"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","RB","A","DD","GS","SG","CV","FT","GC","PP","DP"
"41","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,16,"FLA","gol","Provável",-1.5,11.65,-0.65,5.38,"Flamengo",1,NA,NA,NA,4,NA,NA,16,NA,NA,18,7,8,NA,NA,NA,NA,NA
"42","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,16,"PAL","mei","Provável",0,2.67,0,0.67,"Palmeiras",8,22,1,4,7,NA,1,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,16,"SAN","mei","Nulo",0,6.97,0,1.92,"Santos",1,4,2,2,8,1,2,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Elton Rodrigues Brandão","elton","Elton","https://s.glbimg.com/es/sde/f/2018/05/25/f85dba3a9b276e1b282f403b58a9980a_FORMATO.png",38588,16,"CEA","ata","Nulo",0,6.18,0,3.45,"Ceará",2,17,4,4,4,2,1,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"45","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,16,"PAR","mei","Nulo",0,2.92,0,0.47,"Paraná",NA,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,16,"FLA","mei","Nulo",3.3,9.64,0.24,3.87,"Flamengo",5,21,3,12,41,3,6,51,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,16,"AME","mei","Nulo",1.1,2.49,-0.51,1.1,"América-MG",NA,2,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,16,"AME","zag","Provável",4.4,5.79,0.55,2.13,"América-MG",2,10,NA,1,5,NA,1,19,15,NA,NA,NA,3,NA,NA,NA,NA,NA
"49","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,16,"GRE","mei","Provável",-1,4.68,0.1,-1.43,"Grêmio",1,1,NA,1,2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/05/26/df16876e9f870ea8c1233df2e4dc4c5a_FORMATO.png",38913,16,"SAO","mei","Provável",-0.5,9.77,-0.78,5.27,"São Paulo",5,15,5,11,35,6,2,51,11,2,NA,NA,NA,NA,2,NA,NA,NA
"51","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,16,"ATL","ata","Provável",7.1,11.91,1.32,6.63,"Atlético-MG",2,25,13,14,17,7,9,26,8,5,NA,NA,NA,NA,NA,NA,NA,NA
"52","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,16,"GRE","tec","Provável",2.31,14.45,-0.39,4.71,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,16,"AME","tec","Provável",4.19,8.19,-0.06,4.19,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,16,"SPO","gol","Provável",-5,6.2,-1.26,1.68,"Sport",3,1,NA,NA,1,NA,NA,5,NA,NA,15,18,2,NA,NA,NA,NA,1
"55","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,16,"SPO","ata","Provável",3.9,4.22,1.27,2.4,"Sport",1,12,7,7,13,1,6,16,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"56","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,16,"BOT","mei","Nulo",0,2.91,0,-0.5,"Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,16,"PAL","ata","Provável",9.2,12.66,0.92,6.52,"Palmeiras",2,30,9,9,17,7,6,9,14,2,NA,NA,NA,NA,3,NA,NA,NA
"58","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,16,"COR","ata","Contundido",0,6.57,0,4.27,"Corinthians",NA,5,NA,3,2,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,16,"BAH","lat","Provável",-3.8,2.21,-1.18,-1.07,"Bahia",1,7,NA,NA,4,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,16,"CRU","lat","Provável",2,10,0.24,5.38,"Cruzeiro",1,16,NA,5,11,NA,5,36,32,NA,NA,NA,5,NA,NA,NA,NA,NA
"61","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,16,"COR","gol","Provável",1,10.21,-1.98,5.28,"Corinthians",1,NA,NA,NA,NA,NA,NA,5,NA,NA,15,7,4,NA,NA,NA,NA,NA
"62","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,16,"SAN","tec","Provável",0,10.28,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,16,"CHA","mei","Provável",6.7,4.99,1.06,2.01,"Chapecoense",1,14,2,1,2,NA,NA,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,16,"ATL","lat","Nulo",0,6,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,16,"SPO","zag","Nulo",0,3.97,0,1.45,"Sport",3,8,NA,NA,4,NA,NA,5,8,NA,NA,NA,3,NA,NA,NA,NA,NA
"66","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,16,"FLU","gol","Provável",4,5.07,-0.93,2.78,"Fluminense",1,NA,NA,NA,1,NA,NA,10,NA,NA,23,20,4,NA,NA,NA,NA,NA
"67","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png",68920,16,"PAL","ata","Provável",5.4,14.98,-0.1,4.59,"Palmeiras",5,12,11,6,46,3,2,39,12,3,NA,NA,NA,1,NA,NA,NA,NA
"68","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2018/05/17/eb369a54700edd67173154dd1a72cf7b_FORMATO.png",68901,16,"BOT","ata","Provável",0,4.18,0,2.1,"Botafogo",3,9,3,4,13,1,NA,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,16,"ATL","mei","Nulo",0,7.99,0,1.96,"Atlético-PR",3,12,2,7,15,2,NA,28,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,16,"FLA","zag","Contundido",0,8.57,0,4.95,"Flamengo",NA,1,NA,1,2,NA,1,5,7,NA,NA,NA,3,1,NA,NA,NA,NA
"71","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,16,"COR","lat","Provável",0.6,10.12,-0.87,4.11,"Corinthians",1,10,NA,1,5,NA,NA,30,11,2,NA,NA,3,NA,NA,NA,NA,NA
"72","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2018/05/26/de6f3a08fa69d30bfb5573c0aac02244_FORMATO.png",68911,16,"SAO","mei","Provável",6.2,12.29,-0.35,5.24,"São Paulo",NA,19,5,8,20,6,6,25,3,1,NA,NA,NA,NA,1,NA,NA,NA
"73","Vinicius Santos Silva","vinicius","Vinicius","https://s.glbimg.com/es/sde/f/2018/05/24/0cbf8c93ebf616fd456c58a062f7fb7b_FORMATO.png",68917,16,"CHA","ata","Contundido",0,3.39,0,1.27,"Chapecoense",NA,1,1,4,3,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,16,"BAH","mei","Nulo",0.9,5.28,-0.04,2.78,"Bahia",4,5,10,NA,13,1,1,28,9,2,NA,NA,NA,NA,NA,NA,NA,NA
"75","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/04/09/258482949eb7622bf48b8c8e13189cae_FORMATO.png",49674,16,"VAS","lat","Nulo",0,3.47,0,0,"Vasco",1,2,NA,NA,3,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,16,"BAH","ata","Provável",2.6,7.87,0.25,3.48,"Bahia",NA,11,3,3,12,2,2,9,4,NA,NA,NA,NA,NA,1,NA,NA,NA
"77","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2018/04/08/c714e94cf7e83d9faed670b675e6ec25_FORMATO.png",69051,16,"INT","gol","Provável",10.7,10,2,4.01,"Internacional",NA,NA,NA,NA,2,NA,NA,3,NA,NA,14,10,6,NA,NA,NA,NA,NA
"78","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,16,"PAL","mei","Contundido",0,7.89,0,2.23,"Palmeiras",NA,5,1,1,1,1,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2014/06/11/c1749b2e1565635c44be7bb5bcf83f71_FORMATO.jpeg",43618,16,"PAL","tec","Provável",0,12.08,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2018/05/08/cf32acce95d925ec92b7e084202c7e06_FORMATO.png",69138,16,"ATL","ata","Provável",15.5,11.89,2.11,4.3,"Atlético-PR",2,30,7,16,11,4,9,14,19,1,NA,NA,NA,NA,NA,NA,NA,NA
