"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","FT","SG","G","I","GC","CV","DD","GS","DP","PP"
"11","Ánderson Daniel Plata Guillén","plata","Plata","https://s.glbimg.com/es/sde/f/2018/08/15/e5c84107ae73d82ddbf8e716b4feacc7_FORMATO.png",98841,37,"ATL","ata","Nulo",0,4.77,0,2.7,"Atlético-PR",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Edgardo Daniel Orzusa Cáceres","orzusa","Orzusa","https://s.glbimg.com/es/sde/f/2018/08/03/9fe6d520171ca66a71766e405c2f636a_FORMATO.png",99160,37,"CHA","mei","Nulo",0,2.78,0,0.35,"Chapecoense",NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Elias Lira Nogueira Junior ","elias","Elias","https://s.glbimg.com/es/sde/f/2018/09/12/7611a5bada11e1caea4cac58a32db3e8_FORMATO.png",99034,37,"SPO","lat","Nulo",0,2,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Felipe Souza Moreno Sampaio","felipe","Felipe","https://s.glbimg.com/es/sde/f/2018/01/21/2bee05842c9d96fbbae04d80edc9f2fb_FORMATO.png",99425,37,"FLU","ata","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Bruno Cosendey Lobo Pinto","bruno-cosendey","Bruno Cosendey","https://s.glbimg.com/es/sde/f/2018/09/27/fa6ad7ea560f7cfd705eed2799c9c148_FORMATO.png",99615,37,"VAS","mei","Nulo",0,3.35,0,1.53,"Vasco",NA,11,2,3,20,6,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"16","Linik Eduardo Santos","linik","Linik","https://s.glbimg.com/es/sde/f/2018/03/21/1b2fe22656db0d2209b8e7ef2717f9a7_FORMATO.png",99545,37,"VIT","mei","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Gabriel Baralhas","baralhas","Baralhas","https://s.glbimg.com/es/sde/f/2018/07/16/28f39d74cf08d7877f7636c358641eb4_FORMATO.png",99440,37,"ATL","mei","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Alexsander Jhonatta de Oliveira Andrade","alexsander","Alexsander","https://s.glbimg.com/es/sde/f/2018/05/08/0c6b57f472519b0ccc3970a86ae1b337_FORMATO.png",99411,37,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Jean Carlos de Brito","jean","Jean","https://s.glbimg.com/es/sde/f/2018/07/05/bffb1664849744b4d0766f95b9bbff78_FORMATO.png",99584,37,"SPO","lat","Nulo",0,3,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Diego Terra Loureiro","diego","Diego","https://s.glbimg.com/es/sde/f/2018/07/31/1acd43a543bac1739692fcd99d2a0f5e_FORMATO.png",99430,37,"BOT","gol","Nulo",0,1.98,0,5,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"21","Robson Azevedo da Silva","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/07/25/6b15b755bc411ce7d63c908bc84f2fae_FORMATO.png",99574,37,"AME","ata","Dúvida",0,3.35,0,1.13,"América-MG",1,8,3,11,24,8,1,7,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"22","Ezequiel Gonzalo Esperon","esperon","Esperon","https://s.glbimg.com/es/sde/f/2017/06/07/dfce0445c3144c43e2d3f33bb0dd4131_FORMATO.jpeg",99628,37,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Daniel dos Santos Oliveira","daniel","Daniel ","https://s.glbimg.com/es/sde/f/2018/05/08/800b5bc243c8107741d0f9ce23c04bfc_FORMATO.png",99461,37,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Patrick William Sá de Oliveira","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/05/25/a1c5d2208ca42adb18c95300079de72e_FORMATO.png",99595,37,"CEA","zag","Nulo",0,1.12,0,-0.3,"Ceará",1,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Luiz Henrique Beserra dos Santos","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2018/09/04/8faa5c06d04fcf63cbbe6913818173e3_FORMATO.png",99627,37,"BAH","mei","Nulo",0,4,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Jadson Ailton Oliveira Da Silva Vale","jadson","Jadson","https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_FORMATO.jpeg",99629,37,"GRE","ata","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/08/21/993c919329907447bdfe72defc7eced9_FORMATO.png",99789,37,"SAO","ata","Contundido",0,2.49,0,3.06,"São Paulo",NA,2,1,4,6,4,NA,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"28","Leonardo da Silva Simas","leonardo-simas","Leonardo Simas","https://s.glbimg.com/es/sde/f/2018/05/08/9f9fa35de662c141a4b23af95f99f022_FORMATO.png",99832,37,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","José Francisco dos Santos Júnior","junior-brumado","Júnior Brumado","https://s.glbimg.com/es/sde/f/2018/03/21/bd18849356245d84cf422f076a8f1cdf_FORMATO.png",99894,37,"BAH","ata","Nulo",0,2.75,-0.43,1.04,"Bahia",3,17,2,9,8,5,NA,10,1,NA,1,6,NA,NA,NA,NA,NA,NA
"30","Jhonny Lucas Flora Barboza ","jhonny-lucas","Jhonny Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/1891e9e504ce289621d56cf6db5ba93d_FORMATO.png",99994,37,"PAR","mei","Provável",3.5,4.06,0.26,1.13,"Paraná",7,51,6,19,40,29,NA,8,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"31","Khevin Rodrigo Fraga","khevin","Khevin","https://s.glbimg.com/es/sde/f/2018/05/24/aa909d621dc61944afb0d68fa14e38af_FORMATO.png",99921,37,"CHA","mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2018/09/27/8b63cdcb68dc035fb9be678fc9c4b4e7_FORMATO.png",99881,37,"VAS","zag","Nulo",0,3.67,0,1.58,"Vasco",6,13,1,8,14,15,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"33","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2018/05/17/9790a9eb14c2629004e401eb258e2505_FORMATO.png",99903,37,"BOT","ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Yimmi Javier Chará Zamora","chara","Chará","https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png",99891,37,"ATL","ata","Provável",7.5,10.92,0.02,4.14,"Atlético-MG",1,19,5,46,44,23,7,9,NA,NA,1,4,NA,NA,NA,NA,NA,NA
"35","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2018/08/22/151d1a25f1a557fbf4d66544c4d67e2a_FORMATO.png",100084,37,"SAO","mei","Contundido",0.5,0.86,-0.14,0.5,"São Paulo",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Ezequiel Santos da Silva","ezequiel","Ezequiel","https://s.glbimg.com/es/sde/f/2018/05/17/f4995e8da11ffe996033b0ebf06c4a13_FORMATO.png",99915,37,"BOT","ata","Nulo",0,4.56,0,1.96,"Botafogo",NA,3,1,8,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Lucas Soares de Almeida","lucas-soares","Lucas Soares",NA,100158,37,"CRU","lat","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Kleber Augusto Caetano Leite Filho","kleber","Kleber","https://s.glbimg.com/es/sde/f/2018/05/04/3c7fcc093b6dd915834a1c3c3231e0c0_FORMATO.png",100126,37,"FLA","lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Pablo Carneiro Freitas","pablo-maldini","Pablo Maldini",NA,100127,37,"FLA","lat","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/05/04/26a67180b8114a860a9e6f9c54cdebd4_FORMATO.png",100065,37,"FLA","ata","Nulo",0,1.98,0,0.86,"Flamengo",NA,7,3,3,4,4,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"41","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2018/05/04/092bb0f0452c36118decf2dba0e806a4_FORMATO.png",100125,37,"FLA","zag","Nulo",0,4.34,0,6.06,"Flamengo",1,6,NA,2,9,13,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"42","Pedro Henrique de Oliveira Correia","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2017/09/14/f98ef7fba472b456f28c1888c9e392e5_FORMATO.jpeg",100322,37,"PAL","zag","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Vander Tavares Silva","vander","Vander",NA,100159,37,"CRU","mei","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2018/05/23/c12302cb409beb75eb67f045028f774e_FORMATO.png",100652,37,"SAN","ata","Nulo",0,2.25,0,1.06,"Santos",1,2,5,3,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"45","Matheus Matias Ferreira","matheus-matias","Matheus Matias","https://s.glbimg.com/es/sde/f/2018/03/20/eb73de7fb8328542fb0438fdd1809c4b_FORMATO.png",100430,37,"COR","ata","Nulo",0,2.66,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes",NA,100741,37,"GRE","lat","Nulo",0,0.95,0,1,"Grêmio",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Matheus Gabriel Guedes Caetano","matheus-guedes","Matheus Guedes","https://s.glbimg.com/es/sde/f/2017/11/21/beea04b2739626d19d9a6c24da40762e_FORMATO.png",100746,37,"SAN","zag","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Filipe Gonçalves dos Santos","filipe","Filipe","https://s.glbimg.com/es/sde/f/2018/03/19/27a5b03e54471091e2daf78e203363ef_FORMATO.png",100712,37,"COR","gol","Nulo",0,1,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Diogo Augusto Pereira Neto","diogo","Diogo","https://s.glbimg.com/es/sde/f/2018/01/21/14cbdb450d8081db2cd35451de9e77ef_FORMATO.png",100683,37,"FLU","lat","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Weverton Almeida Silva","weverton-almeida","Weverton Almeida","https://s.glbimg.com/es/sde/f/2018/05/08/4c72622d78b8cfdc737c1eb48ea75370_FORMATO.png",100459,37,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Rodrygo Silva de Goes","rodrygo","Rodrygo","https://s.glbimg.com/es/sde/f/2018/05/23/a4027e39ad5dea6e62cfafe8425bd637_FORMATO.png",100651,37,"SAN","ata","Provável",3.3,11.77,-1.27,4.04,"Santos",1,30,17,65,67,16,3,16,2,NA,7,1,NA,NA,NA,NA,NA,NA
"52","Guilherme Bissoli Campos ","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2018/08/21/22011257c0776df772761efd89a801d2_FORMATO.png",100762,37,"SAO","ata","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Paulo Henrique Pereira da Silva","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2018/05/26/755b69cb731efaf835f0b845f7693bbf_FORMATO.png",100333,37,"SAO","ata","Nulo",0,1.29,0,2.5,"São Paulo",NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,37,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,NA,1,7,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg",100830,37,"GRE","gol","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Gabriel Davi Gomes Sara","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/08/21/de4ebb4930052513099aefe26a7f4caa_FORMATO.png",100763,37,"SAO","mei","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Ericson da Silva","ericson","Ericson",NA,100839,37,"GRE","zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Ruan Tressoldi Netto","ruan","Ruan",NA,100842,37,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Emerson Barbosa Rodrigues Dos Santos","emerson-barbosa","Emerson Barbosa","https://s.glbimg.com/es/sde/f/2018/03/21/412270f069daea4bf712a92e52a6a14e_FORMATO.png",100800,37,"SAN","lat","Nulo",0,1,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Alan de Souza Guimarães","alanzinho","Alanzinho","https://s.glbimg.com/es/sde/f/2017/12/02/2f1ae5575738c09ceb9e0a585385faa1_FORMATO.png",100845,37,"PAL","mei","Nulo",0,3,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Lucas Esteves de Souza","esteves","Esteves","https://s.glbimg.com/es/sde/f/2017/12/02/1506a1501f5670d8841c320d2456e45d_FORMATO.png",100846,37,"PAL","lat","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Luan Cândido de Almeida","luan-candido","Luan Cândido","https://s.glbimg.com/es/sde/f/2017/12/02/e7ddf5812ba39b07d5ce1a4b9475ebd0_FORMATO.png",100848,37,"PAL","lat","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Lucas Araújo de Oliveira","lucas-araujo","Lucas Araújo",NA,100844,37,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2018/08/22/5074326c849aa0f7702b74cfcf2be30f_FORMATO.png",100761,37,"SAO","lat","Provável",8.2,7.57,1.37,3.85,"São Paulo",4,27,NA,27,29,35,1,7,NA,10,1,1,NA,NA,NA,NA,NA,NA
"65","Felipe Albuquerque Felippi","felipe","Felipe",NA,100843,37,"GRE","lat","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Aníbal Gabriel Vega da Silva","anibal","Aníbal","https://s.glbimg.com/es/sde/f/2017/12/02/fefa8b7d5270b00509e86279efdf2c9f_FORMATO.png",100847,37,"PAL","ata","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Victor Alexander Da Silva ","vitinho","Vitinho",NA,100898,37,"CRU","lat","Nulo",0,0.95,0,0.5,"Cruzeiro",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Guilherme Vieira Moraes da Silva","guilherme-vieira","Guilherme Vieira","https://s.glbimg.com/es/sde/f/2017/12/02/4f51d2cd317db553d2b03d1df58350a2_FORMATO.png",100849,37,"PAL","ata","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2018/07/23/765c032bd553fcba8b0ef9139f425012_FORMATO.png",100987,37,"INT","mei","Nulo",0,2,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Matheus Ferreira de Sousa","ferreira","Ferreira","https://s.glbimg.com/es/sde/f/2018/04/12/1a8922ffc1c19237faf02beed71c102d_FORMATO.png",100985,37,"SPO","mei","Nulo",0,2.81,0,1.01,"Sport",1,5,NA,NA,4,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2018/09/14/448879bc85937305a08a7038f527e40a_FORMATO.png",100963,37,"SAN","ata","Provável",8.5,4.14,0.99,3.9,"Santos",NA,8,NA,6,2,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"72","Ademir da Silva Santos Junior","ademir","Ademir","https://s.glbimg.com/es/sde/f/2018/04/10/785797e137683aa3f4810b86b8ffc886_FORMATO.png",101314,37,"AME","ata","Nulo",0,2.67,0,2.98,"América-MG",3,15,5,30,18,11,1,7,1,NA,1,3,NA,NA,NA,NA,NA,NA
"73","Helerson Mateus do Nascimento","helerson","Helerson","https://s.glbimg.com/es/sde/f/2018/05/17/d77174c23bf61556c34f3ce05ac4c396_FORMATO.png",101073,37,"BOT","zag","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Mateus Felipe Santiago Dutra","santiago","Santiago",NA,101481,37,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Bruno da Silva Santos","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/24/c08c1ffb51c09b59126c4f9ae3771ec7_FORMATO.png",101422,37,"CHA","ata","Nulo",0,3.19,0,2.08,"Chapecoense",1,33,6,22,56,32,2,14,1,NA,1,5,NA,NA,NA,NA,NA,NA
"76","Jorge Ambrosio Mendonça","mendonca","Mendonça",NA,101480,37,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Emanuel Leone Moura","emanuel","Emanuel","https://s.glbimg.com/es/sde/f/2017/12/01/e2a85d715ac397898197228bac470497_FORMATO.jpeg",100840,37,"GRE","zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Igor Henrique Pereira de Campos","igor-campos","Igor Campos","https://s.glbimg.com/es/sde/f/2018/05/24/97ef928b4d8da38916e72a5166792dc8_FORMATO.png",101421,37,"CHA","gol","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Rodrigo Jorge Medina Ancheta","rodrigo-ancheta","Rodrigo Ancheta",NA,101482,37,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2018/07/05/ce690031c364aa0119c415809e422cf0_FORMATO.png",101315,37,"INT","mei","Nulo",0,5,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Marco Antonio Saravia Antinori","marco-saravia","Marco Saravia",NA,101479,37,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Laércio da Silva Carvalho","laercio","Laércio",NA,101524,37,"CRU","ata","Nulo",0,1.01,0,0.5,"Cruzeiro",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Thonny Anderson da Silva Carvalho","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2018/05/21/c953437a71c9cd2f1052eaf9d828bd6d_FORMATO.png",101484,37,"GRE","mei","Nulo",-0.3,3.46,-0.32,2.73,"Grêmio",NA,17,4,5,18,10,1,9,NA,NA,3,2,NA,NA,NA,NA,NA,NA
