"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","I","PE","RB","CA","SG","G","DD","GS","CV","FT","GC","PP","DP"
"11","Moisés Lima Magalhães","moises","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,7,"PAL","mei","Dúvida",0,5.68,0,1.5,"Palmeiras",NA,2,NA,1,1,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2018/04/09/1cb2f4ec223fc588acc04336d52fcf07_FORMATO.png",63172,7,"VAS","zag","Nulo",0,5.71,0,2.43,"Vasco",NA,1,NA,1,3,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,7,"ATL","zag","Contundido",0,8.08,0,5.8,"Atlético-PR",NA,4,NA,NA,4,NA,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"14","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,7,"ATL","ata","Provável",7.3,14.59,1.28,5.14,"Atlético-MG",NA,15,2,3,5,1,21,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","José Luis dos Santos Pinto","zezinho","Zezinho","https://s.glbimg.com/es/sde/f/2018/03/21/20af82e27e6699c69e9458932cd76ae4_FORMATO.png",63208,7,"PAR","mei","Nulo",0,4.47,0,0.2,"Paraná",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/05/07/3497662bc32f7504a1fa070ddc56cce4_FORMATO.png",63194,7,"AME","lat","Nulo",0,12.58,0,3.95,"América-MG",NA,11,3,1,2,1,7,5,1,1,1,NA,NA,NA,NA,NA,NA,NA
"17","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_FORMATO.png",71631,7,"PAL","gol","Nulo",0,8.88,0,5.5,"Palmeiras",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"18","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2018/05/17/841f78d103e083bd0e8af280fcb5ffe8_FORMATO.png",74061,7,"BOT","gol","Contundido",0,14.65,0,8.05,"Botafogo",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA
"19","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,7,"GRE","ata","Provável",-0.1,8.02,-0.18,1.42,"Grêmio",NA,19,3,5,10,8,19,3,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"20","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,7,"INT","mei","Provável",-0.2,9.08,-0.8,3.28,"Internacional",2,3,NA,2,4,NA,14,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,7,"ATL","ata","Nulo",0,4.11,0,-1,"Atlético-PR",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,7,"INT","zag","Provável",4.6,12.39,-0.73,7.32,"Internacional",NA,9,1,2,6,1,8,13,1,4,1,NA,NA,NA,NA,NA,NA,NA
"23","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/18/c5296c34cd5096c635acc7874899ab65_FORMATO.png",68698,7,"CRU","mei","Nulo",8,7.67,1.61,3.5,"Cruzeiro",NA,6,1,6,1,NA,5,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"24","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2018/05/23/bed8c47807867724de1462e2c2e094cc_FORMATO.png",68727,7,"SAN","lat","Provável",-0.2,10.88,-0.83,3.67,"Santos",NA,4,1,2,11,NA,26,15,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"25","Márcio Passos de Albuquerque","emerson-sheik","Emerson Sheik","https://s.glbimg.com/es/sde/f/2018/05/18/64c04239bb8fc608b9061c8f7833750c_FORMATO.png",68744,7,"COR","ata","Nulo",0,7.41,0,1.98,"Corinthians",1,3,1,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Sérgio Dutra Júnior","junior-dutra","Júnior Dutra","https://s.glbimg.com/es/sde/f/2018/03/20/c8437e142fdd78fc9a58612ecb464b3f_FORMATO.png",68784,7,"COR","ata","Nulo",0.7,4.92,-0.01,0.33,"Corinthians",NA,3,NA,NA,2,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Emiliano Gabriel Vecchio","vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2018/05/23/580db24e5f5f2179cb2757fc3a0e8286_FORMATO.png",68745,7,"SAN","mei","Nulo",0,5.26,0,0.7,"Santos",NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2018/05/02/6971ebec7f9c3c38db9490eb58f746f3_FORMATO.png",68808,7,"BAH","lat","Nulo",0,13.84,0,7.34,"Bahia",NA,3,2,2,11,NA,11,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"29","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/dd10c890ac24ce82978a7b585a33b7df_FORMATO.png",68821,7,"VAS","lat","Nulo",-1.5,2.76,-0.62,0.85,"Vasco",NA,6,2,4,7,1,20,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,7,"GRE","zag","Nulo",0,7.76,0,5.4,"Grêmio",NA,2,NA,1,3,NA,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"31","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2018/03/21/3c546811d33f612cacba3bdc1dace452_FORMATO.png",71719,7,"BAH","mei","Provável",4,8.84,0.56,3.93,"Bahia",1,22,1,4,1,NA,11,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Agenor Detofol","agenor","Agenor","https://s.glbimg.com/es/sde/f/2018/05/24/9106ac655d6f1ff7b1d569a560869619_FORMATO.png",71724,7,"SPO","gol","Nulo",0,0.69,0,-6,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"33","Silvio José Cardoso Reis Junior","silvinho","Silvinho","https://s.glbimg.com/es/sde/f/2018/04/24/7ceaf9ab1a9cc4e1cb61cdef960b1079_FORMATO.png",71799,7,"PAR","ata","Provável",4.2,8.34,0.07,5.25,"Paraná",NA,6,7,9,16,NA,21,11,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"34","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2018/05/26/6ec50553602c7380485a79fa43cc7366_FORMATO.png",63422,7,"SAO","mei","Provável",1.1,6.96,-0.12,2.62,"São Paulo",NA,11,NA,NA,7,NA,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,7,"FLA","mei","Dúvida",0,9.43,0,3.82,"Flamengo",1,11,NA,1,2,NA,8,22,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"36","Bruno Medeiros Grassi","bruno-grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,7,"GRE","gol","Nulo",0,4,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Michel Ferreira dos Santos","michel","Michel ","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,7,"GRE","mei","Contundido",0,4.7,0,1.9,"Grêmio",NA,NA,NA,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,7,"VAS","mei","Contundido",0,8.65,0,4.35,"Vasco",2,4,2,3,6,NA,8,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"39","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,7,"GRE","lat","Provável",7.8,15.8,0.77,7.1,"Grêmio",NA,10,NA,NA,11,NA,18,15,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"40","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/25/c45bca15473040483b19685839de093e_FORMATO.png",71937,7,"CEA","mei","Contundido",1.8,6.25,-1.11,3.69,"Ceará",NA,12,1,5,4,NA,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Uillian Correia Granemann","uillian-correia","Uillian Correia","https://s.glbimg.com/es/sde/f/2018/03/21/540117d8a1c994a105ca9ce63944758d_FORMATO.png",72007,7,"VIT","mei","Nulo",0,5,0,1.83,"Vitória",NA,8,4,1,1,NA,11,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png",72168,7,"BOT","mei","Contundido",0,10,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,7,"BOT","mei","Provável",3.4,8.62,0.47,3.53,"Botafogo",NA,8,2,5,11,1,14,5,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"44","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/bb4f1adb5bf49bba67eace97f861dea9_FORMATO.png",72097,7,"AME","lat","Provável",-1.8,7.33,-1.56,8.93,"América-MG",NA,1,NA,NA,4,NA,4,5,1,1,2,NA,NA,NA,NA,NA,NA,NA
"45","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_FORMATO.png",68770,7,"ATL","mei","Provável",-0.3,4.2,-0.5,1.6,"Atlético-PR",NA,7,1,1,4,NA,18,13,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"46","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,7,"PAL","gol","Provável",-3,14.43,-2.82,7.37,"Palmeiras",NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,16,6,NA,NA,NA,NA,NA
"47","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/02/28/6f67a80ba6e92a9f10be76328ba32f5c_FORMATO.png",72294,7,"CEA","gol","Provável",7,9.44,1.65,3.6,"Ceará",NA,1,NA,NA,NA,NA,1,NA,1,1,NA,15,11,NA,NA,NA,NA,NA
"48","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,7,"CEA","zag","Provável",0.7,7.38,-0.17,3.2,"Ceará",NA,3,NA,1,4,NA,8,15,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"49","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2018/03/01/744e7ddbce3e389aa300edd8ce854afc_FORMATO.png",72391,7,"ATL","tec","Provável",2.58,9.9,0.2,3.76,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,7,"ATL","gol","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Renato de Araújo Chaves Júnior","renato-chaves","Renato Chaves","https://s.glbimg.com/es/sde/f/2018/05/18/06623512e1b55ebe6fb8640b1303d37d_FORMATO.png",68827,7,"FLU","zag","Provável",0.7,7.14,-1.69,3.94,"Fluminense",NA,8,1,NA,4,NA,17,17,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"52","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,7,"GRE","zag","Provável",8,9.17,0.72,5.1,"Grêmio",NA,3,NA,NA,2,NA,5,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"53","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,7,"CEA","lat","Provável",-1.9,3.41,-0.87,0.3,"Ceará",NA,3,NA,NA,4,NA,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,7,"PAR","gol","Provável",7.7,6.7,0.22,9.6,"Paraná",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA
"55","Cléber Janderson Pereira Reis","cleber-reis","Cléber Reis","https://s.glbimg.com/es/sde/f/2018/04/24/69768a9bda3441e7a742ff9d70ba8d95_FORMATO.png",72376,7,"PAR","zag","Provável",4.1,6.03,-0.14,4.47,"Paraná",NA,4,NA,3,4,NA,5,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"56","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/05/18/f5e286630b93e3cd7c5dbe4b2f42d48a_FORMATO.png",72386,7,"GRE","ata","Nulo",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,7,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"58","Francisco Hércules de Araújo","pio","Pio","https://s.glbimg.com/es/sde/f/2018/05/25/34192056adab9a75057cb15464001838_FORMATO.png",73466,7,"CEA","mei","Provável",0,7.6,0,6.83,"Ceará",1,5,4,3,2,1,13,12,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"59","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,7,"COR","mei","Contundido",0,6.7,0,2.6,"Corinthians",NA,6,NA,1,4,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2018/03/01/2ef9cc100ce47aba30588d47885223ec_FORMATO.png",73446,7,"ATL","ata","Nulo",0,8.1,0,3.13,"Atlético-PR",NA,2,NA,1,NA,1,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"61","Bruno Batista Pereira Pires","bruno-pires","Bruno Pires","https://s.glbimg.com/es/sde/f/2018/05/25/db9f0f22d2802a88b0b0954ce59466b4_FORMATO.png",73487,7,"CEA","zag","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Bryan Silva Garcia","bryan","Bryan","https://s.glbimg.com/es/sde/f/2018/03/21/a8f3ed5f7b584d647a494bae8c83e9f0_FORMATO.png",78632,7,"VIT","lat","Contundido",0,7,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_FORMATO.png",78605,7,"COR","mei","Provável",0,11.54,0,5.22,"Corinthians",NA,11,NA,2,11,NA,10,17,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"64","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/05/16/a263b1371bc6737cc4e274a26a816460_FORMATO.png",78584,7,"BAH","gol","Nulo",0,2.36,0,0.52,"Bahia",NA,NA,NA,NA,2,NA,3,NA,1,2,NA,6,9,NA,NA,1,NA,NA
"65","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/05/26/c262791e94df94c4a25cc800029ae88e_FORMATO.png",78850,7,"SAO","lat","Provável",2.6,9.92,0.02,3.67,"São Paulo",NA,10,1,2,5,NA,12,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"66","Petros Mateus dos Santos Araújo","petros","Petros","https://s.glbimg.com/es/sde/f/2018/05/26/f4dc7e2a98ac687c63b75ab300484e6c_FORMATO.png",78891,7,"SAO","mei","Dúvida",0,9.21,0,4.75,"São Paulo",NA,3,NA,NA,4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,7,"PAR","gol","Nulo",0,4.18,0,0.25,"Paraná",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
"68","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2018/05/21/b542f6b29859cc988c01d38d2b6e75b2_FORMATO.png",78715,7,"GRE","mei","Provável",-2.4,4.49,-0.95,0.48,"Grêmio",NA,11,1,2,8,1,8,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,7,"PAL","mei","Dúvida",0,6.76,0,4.35,"Palmeiras",NA,4,1,NA,1,NA,1,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"70","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2018/03/21/bb96e12d42dead8632e9cf0a06183eec_FORMATO.png",78866,7,"PAR","ata","Nulo",0,1.38,0,-1,"Paraná",NA,2,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Jonatas Elias Belusso","jonatas-belusso","Jonatas Belusso","https://s.glbimg.com/es/sde/f/2018/03/21/155f4a413a5e54cbda24a44dd83b3e7d_FORMATO.png",78763,7,"VIT","ata","Contundido",0,5,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,7,"INT","mei","Provável",11.7,12.76,1.67,5.13,"Internacional",NA,14,2,1,11,1,11,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Marinaldo dos Santos Oliveira","naldo","Naldo","https://s.glbimg.com/es/sde/f/2018/05/25/f27f8c84b95126a4dcb1cffaf4630800_FORMATO.png",78897,7,"CEA","mei","Nulo",0,1.98,0,-0.8,"Ceará",NA,2,NA,NA,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,7,"CHA","ata","Nulo",3.4,7.23,0.32,4.57,"Chapecoense",NA,2,2,1,9,1,1,7,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"75","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,7,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2018/05/23/e95e3279b90476741de13a56e388d9e2_FORMATO.png",78548,7,"SAN","mei","Provável",8,11.27,1.44,5.73,"Santos",NA,10,7,5,8,NA,20,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"77","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,7,"SAN","zag","Nulo",0,4,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Roger Machado Marques","roger-machado","Roger Machado ","https://s.glbimg.com/es/sde/f/2018/03/01/212d053449b688cbf5c418199f7d8e8d_FORMATO.png",79437,7,"PAL","tec","Provável",3.66,11.47,-0.5,4.94,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
