"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","G","RB","A","CA","FD","FF","FT","I","PE","SG","GC","DD","GS","CV","DP","PP"
"11","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,32,"PAR","mei","Nulo",0,2.37,0,0.5,"Paraná",2,4,NA,2,NA,NA,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"12","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,32,"CEA","mei","Provável",0,2.34,0,0.14,"Ceará",35,11,NA,17,NA,3,1,3,NA,1,29,NA,NA,NA,NA,NA,NA,NA
"13","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,32,"CRU","ata","Nulo",0,10.62,0,4.79,"Cruzeiro",8,20,3,19,1,2,7,15,3,2,21,NA,NA,NA,NA,NA,NA,NA
"14","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,32,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,32,"GRE","gol","Contundido",0,13.66,0,4.14,"Grêmio",NA,2,NA,NA,NA,2,NA,NA,NA,NA,5,11,NA,14,9,NA,NA,NA
"16","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,32,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",NA,3,NA,NA,NA,1,NA,NA,NA,NA,5,4,NA,10,11,NA,NA,NA
"17","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,32,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",8,6,NA,7,NA,NA,NA,2,NA,1,10,4,NA,NA,NA,1,NA,NA
"18","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,32,"CRU","gol","Provável",1.5,10.56,0.6,4.02,"Cruzeiro",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,12,8,NA,32,20,NA,1,NA
"19","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,32,"BAH","mei","Provável",1.7,5.33,0.37,1.59,"Bahia",9,5,NA,5,1,1,2,4,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"20","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,32,"AME","ata","Provável",7.5,9.79,1.58,2.14,"América-MG",36,15,6,4,2,3,8,8,NA,8,32,NA,NA,NA,NA,1,NA,NA
"21","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,32,"PAL","gol","Nulo",0,9.55,0,1.7,"Palmeiras",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA
"22","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,32,"GRE","mei","Provável",0,7.02,0,3.22,"Grêmio",21,14,3,32,2,3,3,4,NA,NA,58,NA,NA,NA,NA,NA,NA,1
"23","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,32,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,1,NA,NA,1,NA,NA,NA,NA,NA,7,2,NA,16,16,NA,NA,NA
"24","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,32,"CRU","ata","Nulo",0,14.15,0,3.1,"Cruzeiro",5,4,1,NA,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"25","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,32,"ATL","lat","Provável",-0.4,5.83,0.79,2.58,"Atlético-MG",32,40,3,24,NA,6,1,6,NA,5,72,8,NA,NA,NA,NA,NA,1
"26","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,32,"CRU","mei","Provável",9.3,10.17,0.25,2.73,"Cruzeiro",14,21,3,14,NA,2,17,14,NA,9,57,NA,NA,NA,NA,NA,NA,NA
"27","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,32,"PAL","zag","Dúvida",6.5,6.25,1.04,1.71,"Palmeiras",12,15,1,11,NA,4,1,2,1,3,11,4,1,NA,NA,1,NA,NA
"28","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,32,"CHA","mei","Provável",0,4.32,0,2.23,"Chapecoense",22,24,NA,43,NA,2,2,3,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
"29","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,32,"CHA","ata","Provável",-1,8.71,-1.91,2.86,"Chapecoense",41,32,5,10,2,7,4,21,NA,9,40,NA,NA,NA,NA,NA,NA,NA
"30","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,32,"CRU","tec","Provável",4.03,11.23,-0.15,3.73,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,32,"COR","ata","Nulo",1.2,4.79,-0.74,1.59,"Corinthians",37,18,4,4,NA,3,4,13,1,13,14,NA,NA,NA,NA,NA,NA,NA
"32","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,32,"ATL","zag","Nulo",0,7.18,0,2.98,"Atlético-PR",11,7,1,6,NA,5,NA,NA,NA,NA,24,7,NA,NA,NA,NA,NA,NA
"33","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,32,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"34","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,32,"COR","mei","Provável",0,8.34,0,3.17,"Corinthians",10,10,4,4,5,NA,5,8,1,1,59,NA,NA,NA,NA,NA,NA,NA
"35","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,32,"CRU","mei","Contundido",0,7.1,0,2.42,"Cruzeiro",13,40,NA,17,1,NA,4,3,NA,4,27,NA,NA,NA,NA,NA,NA,NA
"36","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,32,"ATL","zag","Provável",-2.6,7.83,-0.73,3.36,"Atlético-PR",19,13,2,11,NA,2,1,5,1,NA,16,6,1,NA,NA,NA,NA,NA
"37","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,32,"CEA","ata","Nulo",-0.3,2.99,-0.12,0.68,"Ceará",6,10,NA,4,NA,NA,2,2,NA,5,9,NA,NA,NA,NA,NA,NA,NA
"38","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,32,"VAS","zag","Suspenso",4,6.58,-0.07,1.32,"Vasco",10,7,NA,11,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,1,NA,NA
"39","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,32,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,32,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",NA,7,NA,NA,NA,2,NA,NA,NA,NA,28,11,NA,29,16,NA,1,NA
"41","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,32,"FLA","tec","Provável",4.67,15.41,0.28,6.24,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,32,"PAL","mei","Dúvida",-0.5,3.17,-1.3,1.74,"Palmeiras",37,18,1,41,1,11,1,9,1,1,47,NA,NA,NA,NA,NA,NA,NA
"43","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,32,"CRU","lat","Provável",-0.9,6.6,-0.65,2.45,"Cruzeiro",17,8,1,15,1,8,2,6,NA,NA,43,5,NA,NA,NA,NA,NA,NA
"44","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,32,"BAH","lat","Nulo",0,4.6,0,2.58,"Bahia",15,9,NA,15,NA,1,NA,1,NA,NA,25,3,NA,NA,NA,NA,NA,NA
"45","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,32,"SAO","mei","Nulo",0,9.98,0,4.23,"São Paulo",24,56,8,21,4,7,10,17,3,4,91,NA,NA,NA,NA,NA,NA,NA
"46","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,32,"GRE","mei","Nulo",0,4.78,0,1.19,"Grêmio",8,13,2,1,1,1,4,3,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
"47","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,32,"AME","zag","Provável",1,6.18,0.03,2.78,"América-MG",24,14,NA,35,NA,3,2,2,NA,2,30,8,NA,NA,NA,NA,NA,NA
"48","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,32,"AME","tec","Provável",1.57,9.04,0.19,3.06,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,32,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",5,1,NA,8,NA,NA,NA,2,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"50","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,32,"ATL","ata","Provável",0.5,11.71,-0.53,5.42,"Atlético-MG",42,34,11,9,7,2,24,27,2,22,39,NA,NA,NA,NA,NA,NA,NA
"51","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,32,"SAN","mei","Nulo",0,5.79,0,1.18,"Santos",4,9,1,7,NA,1,2,2,NA,2,18,NA,NA,NA,NA,NA,NA,NA
"52","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,32,"SPO","ata","Nulo",0,3.59,0,1.75,"Sport",13,15,1,11,1,1,10,8,NA,6,24,NA,NA,NA,NA,NA,NA,NA
"53","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,32,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",1,3,NA,NA,NA,4,NA,NA,NA,NA,14,4,NA,38,42,NA,2,NA
"54","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,32,"GRE","tec","Provável",5.38,15.58,0.23,4.82,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,32,"COR","gol","Provável",4,10.19,0.55,3.25,"Corinthians",1,1,NA,1,NA,3,NA,NA,NA,NA,11,7,NA,27,20,NA,NA,NA
"56","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,32,"BOT","mei","Nulo",0,2.32,0,-1.25,"Botafogo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,32,"CRU","lat","Provável",-2.5,9.27,0.04,4.56,"Cruzeiro",25,22,NA,54,1,4,2,6,NA,8,78,8,1,NA,NA,NA,NA,NA
"58","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,32,"PAL","ata","Nulo",0,11.7,0,5.29,"Palmeiras",41,29,9,27,2,2,16,15,3,6,22,NA,NA,NA,NA,NA,NA,NA
"59","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,32,"CHA","mei","Provável",0.5,3.94,0.15,1.56,"Chapecoense",31,8,NA,29,NA,2,3,4,NA,1,16,NA,NA,NA,NA,NA,NA,NA
"60","Levir Culpi","levir-culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2018/10/19/ae6ff45c9b9c188b0c6fb42f4573451d_FORMATO.png",40025,32,"ATL","tec","Provável",1.88,8.97,-0.22,1.56,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,32,"ATL","lat","Nulo",0,4.31,-0.34,1.07,"Atlético-PR",3,7,NA,5,NA,2,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"62","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,32,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",8,4,1,4,NA,NA,2,5,NA,1,8,NA,NA,NA,NA,NA,NA,NA
"63","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2018/04/08/8ed64ccf988eab46873b7e4c9d99ebef_FORMATO.png",62009,32,"INT","mei","Nulo",0,3.72,0,2.35,"Internacional",6,6,1,3,2,NA,1,7,NA,2,16,NA,NA,NA,NA,NA,NA,NA
"64","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,32,"COR","mei","Provável",2.4,7.16,0.08,1.68,"Corinthians",14,12,NA,23,NA,4,NA,2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"65","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,32,"SAN","tec","Provável",1.83,11.06,-0.79,4.64,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,32,"FLA","zag","Nulo",0,7.6,0,3.34,"Flamengo",2,2,NA,9,NA,NA,NA,1,NA,1,7,4,NA,NA,NA,1,NA,NA
"67","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,32,"SAO","zag","Dúvida",-0.5,7.29,0.46,3.05,"São Paulo",29,10,1,38,NA,5,3,6,NA,NA,33,7,1,NA,NA,2,NA,NA
"68","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,32,"FLA","zag","Provável",3.4,15.53,0.2,5.59,"Flamengo",9,22,2,26,NA,NA,4,10,NA,NA,21,11,NA,NA,NA,NA,NA,NA
"69","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,32,"COR","lat","Provável",3.7,10.41,-0.21,4.14,"Corinthians",14,18,NA,27,3,3,2,3,NA,NA,61,4,NA,NA,NA,NA,NA,NA
"70","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,32,"SPO","zag","Provável",3.9,4.99,0.1,2.02,"Sport",13,11,NA,24,NA,4,2,1,NA,NA,25,6,NA,NA,NA,NA,NA,NA
"71","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,32,"BOT","lat","Provável",6.3,8.15,0.75,4.19,"Botafogo",22,31,1,33,NA,4,2,4,NA,NA,39,4,NA,NA,NA,1,NA,NA
"72","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,32,"VAS","lat","Nulo",7.1,4.72,0.97,3.41,"Vasco",8,10,1,6,1,2,5,5,NA,1,26,2,NA,NA,NA,NA,NA,NA
"73","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,32,"ATL","gol","Provável",9.7,12.31,1.35,3.75,"Atlético-MG",NA,4,NA,NA,NA,2,NA,NA,NA,NA,23,8,NA,55,38,NA,NA,NA
"74","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,32,"PAL","tec","Provável",3.39,14.5,0,5.37,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,32,"SAO","mei","Dúvida",0,10.35,0,4.05,"São Paulo",29,44,5,14,6,5,6,7,NA,8,54,NA,NA,NA,NA,NA,NA,NA
"76","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,32,"AME","ata","Nulo",0,5.33,0,1.33,"América-MG",6,11,1,6,1,1,3,2,1,2,33,NA,NA,NA,NA,NA,NA,NA
"77","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,32,"ATL","mei","Contundido",0,6.8,0,1.68,"Atlético-PR",18,19,2,7,1,4,3,8,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"78","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,32,"ATL","mei","Provável",0.2,6.43,-0.35,3.3,"Atlético-MG",32,28,4,39,4,8,6,14,NA,5,54,NA,NA,NA,NA,NA,NA,NA
"79","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,32,"BOT","lat","Nulo",0,3.88,0,2.27,"Botafogo",3,1,NA,7,NA,NA,NA,NA,NA,NA,21,3,NA,NA,NA,NA,NA,NA
"80","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,32,"FLU","gol","Provável",1,5.64,-1.41,3.01,"Fluminense",1,6,NA,1,NA,2,NA,NA,NA,NA,16,10,NA,40,36,NA,NA,NA
