"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FS","I","PI","SG","CV","DD","GS","A","FD","FF","FT","G","DP","GC","PP"
"19","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,27,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,27,293,"zag","Nulo",0,3.19,0,1.18,8,"293",1,5,9,4,NA,31,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"21","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,27,354,"gol","Provável",1.5,5.77,0.2,2.65,22,"354",2,NA,1,2,NA,181,6,NA,29,33,NA,NA,NA,NA,NA,NA,NA,NA
"22","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,27,294,"gol","Provável",3.5,8.53,0.57,2.51,26,"Coritiba",NA,1,NA,2,NA,219,6,NA,30,36,NA,NA,NA,NA,NA,1,NA,NA
"23","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,27,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,27,264,"lat","Nulo",5.8,7.17,0.71,5.18,11,"264",NA,21,9,5,NA,67,7,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"25","Alexander Lecaros Aragón","lecaros","Lecaros","https://s.glbimg.com/es/sde/f/2020/03/01/53edbb0ca79d3f3796591671f994f93b_FORMATO.png",102276,27,263,"ata","Nulo",2.3,2.6,0.03,1.18,4,"263",NA,3,1,5,1,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"26","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,27,293,"ata","Nulo",0,4.57,0,2.37,11,"293",4,9,15,13,1,44,NA,NA,NA,NA,2,7,2,1,1,NA,NA,NA
"27","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,27,264,"zag","Nulo",6.7,6.93,0.75,3.27,20,"264",2,31,16,12,1,80,7,NA,NA,NA,1,1,2,1,1,NA,1,NA
"28","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,27,293,"zag","Nulo",0,5.19,0,1.71,8,"293",1,10,4,2,NA,11,2,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA
"29","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,27,294,"mei","Provável",3.7,10.97,0.47,4.39,19,"Coritiba",4,59,24,39,1,116,NA,NA,NA,NA,1,7,12,2,1,NA,NA,NA
"30","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,27,356,"ata","Provável",0,4.52,0,1.9,20,"356",3,15,16,27,4,35,NA,NA,NA,NA,1,4,14,NA,1,NA,NA,NA
"31","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,27,265,"zag","Nulo",0,4.57,0,1.82,8,"265",1,8,5,4,NA,30,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"32","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,27,293,"mei","Contundido",0,4.18,0,2.03,17,"293",5,42,36,5,NA,58,NA,NA,NA,NA,1,7,13,NA,NA,NA,NA,NA
"33","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,27,265,"zag","Suspenso",-0.7,7.31,-0.68,1.98,20,"265",2,32,5,6,1,74,2,1,NA,NA,NA,2,4,NA,1,NA,NA,NA
"34","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,27,263,"gol","Nulo",0,14.9,0,5.6,8,"263",1,NA,NA,NA,NA,62,3,NA,13,7,NA,NA,NA,NA,NA,NA,NA,NA
"35","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,27,266,"lat","Provável",-0.9,2.41,0.13,0.15,15,"266",5,23,41,4,1,206,3,1,NA,NA,1,3,3,NA,1,NA,NA,NA
"36","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,27,263,"mei","Nulo",0,5.81,0,2.86,17,"263",1,34,22,10,NA,94,NA,NA,NA,NA,NA,6,11,NA,2,NA,NA,NA
"37","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,27,262,"zag","Provável",5.2,8.74,0.36,2.97,13,"Flamengo",1,21,12,8,NA,28,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA
"38","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,27,293,"ata","Nulo",0,2.37,0,0.68,8,"293",NA,2,5,3,2,8,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA
"39","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2020/11/09/8879b35c72aef797d229636dbdf3dd4f_FORMATO.png",97341,27,262,"tec","Provável",4.08,8.12,-0.4,3.52,24,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,27,262,"mei","Provável",5,9.18,0.84,4.46,21,"Flamengo",4,28,23,43,1,164,NA,NA,NA,NA,2,7,14,1,6,NA,NA,NA
"41","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,27,282,"zag","Nulo",10.3,11.48,1.01,3.53,19,"282",5,36,29,2,NA,122,8,NA,NA,NA,2,4,11,1,NA,NA,NA,NA
"42","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,27,290,"ata","Provável",-1.4,5.26,-0.83,1.67,17,"290",6,8,34,16,15,95,NA,NA,NA,NA,NA,6,14,NA,5,NA,NA,NA
"43","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,27,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,26,2,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"44","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2020/08/31/3e81a4b7346c3b3aec5a43ccf3aa2197_FORMATO.png",89493,27,282,"zag","Nulo",6,11.61,0.98,3.07,18,"282",2,20,18,16,NA,76,6,NA,NA,NA,1,1,1,1,1,NA,NA,NA
"45","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2020/10/22/c4fb7a28616bd29c86efe4c7ae63a1b7_FORMATO.png",91191,27,290,"mei","Nulo",-2.6,3.95,-0.57,-1.1,3,"290",1,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,27,293,"ata","Provável",18.3,8.56,2.66,3.99,19,"293",NA,16,14,26,2,54,NA,NA,NA,NA,2,4,7,NA,5,NA,NA,NA
"47","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,27,265,"ata","Provável",-1.6,8.19,-2.9,4.12,20,"265",4,12,21,30,5,65,NA,NA,NA,NA,1,20,19,1,5,NA,NA,1
"48","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,27,293,"mei","Nulo",1,1.23,0.25,-0.3,7,"293",2,4,4,1,NA,14,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"49","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,27,284,"tec","Provável",1.62,12.24,-0.16,3.92,25,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2020/08/26/07181c4e061a2e4a3daef524908f563b_FORMATO.png",62121,27,284,"gol","Provável",-2.7,7.1,-0.11,2.2,19,"284",1,NA,NA,3,NA,119,6,NA,14,16,NA,NA,NA,NA,NA,NA,NA,NA
"51","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,27,282,"ata","Nulo",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Ramón Martínez López","ramon-martinez","Ramón Martínez","https://s.glbimg.com/es/sde/f/2020/09/10/3ec7fbe3fc53cbbd7d412caa63adc854_FORMATO.png",92155,27,294,"mei","Nulo",0,2.84,0,0.31,7,"Coritiba",1,7,7,3,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,27,265,"mei","Dúvida",0,13.69,0,4.14,16,"265",2,12,12,29,3,88,NA,NA,NA,NA,1,10,10,1,4,NA,NA,NA
"54","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,27,293,"zag","Nulo",0,5.9,0,2.1,7,"293",2,6,6,2,NA,27,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"55","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,27,284,"lat","Provável",0,6.81,0,2.5,8,"284",1,7,6,2,NA,70,2,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA
"56","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2020/08/31/5da528d4c6029f923a12da18ad0cf054_FORMATO.png",96652,27,282,"mei","Nulo",0,5.87,0,1.41,20,"282",3,38,28,16,NA,120,NA,NA,NA,NA,NA,2,11,1,NA,NA,NA,NA
"57","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,27,262,"lat","Provável",0,7.46,0,4.04,18,"Flamengo",5,57,31,21,1,158,4,NA,NA,NA,2,2,1,1,2,NA,1,NA
"58","Wellington Daniel Bueno","bueno","Bueno","https://s.glbimg.com/es/sde/f/2020/08/31/3f5160eda219c10021204248fc78195d_FORMATO.png",97425,27,282,"zag","Nulo",0,6.89,0,2.39,7,"282",NA,5,6,1,NA,16,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"59","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,27,262,"mei","Nulo",1.9,5.39,0.29,2.12,15,"Flamengo",3,11,17,33,NA,47,NA,NA,NA,NA,2,2,4,NA,1,NA,NA,NA
"60","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,27,262,"mei","Provável",1.4,7.13,0.15,1.11,21,"Flamengo",4,40,29,9,NA,75,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA
"61","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,27,284,"zag","Nulo",0,9.63,0,4.07,11,"284",2,33,9,6,1,54,5,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"62","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,27,284,"ata","Provável",0,11.84,0,3.89,16,"284",3,8,20,17,1,81,NA,1,NA,NA,1,6,14,NA,7,NA,NA,1
"63","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,27,262,"gol","Contundido",0,9.26,0,1.86,9,"Flamengo",NA,NA,NA,3,NA,38,2,1,9,11,NA,NA,NA,NA,NA,NA,NA,NA
"64","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,27,262,"zag","Nulo",0,5.15,0,1.28,13,"Flamengo",3,14,16,6,NA,37,3,1,NA,NA,NA,1,4,NA,1,NA,1,NA
"65","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,27,285,"ata","Contundido",0,20.81,0,11.2,3,"285",NA,2,7,5,3,15,NA,NA,NA,NA,1,1,3,1,3,NA,NA,NA
"66","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/11/12/7baefdcac45915f2d98c0f57b44e3198_FORMATO.png",97898,27,294,"lat","Provável",0,2.3,0,1.38,10,"Coritiba",2,10,8,10,3,65,2,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
"67","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,27,275,"ata","Nulo",5.1,11.44,0.17,4.46,17,"275",2,10,17,15,1,44,NA,NA,NA,NA,1,5,6,NA,8,NA,NA,1
"68","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,27,282,"ata","Nulo",0,9.23,0,2.74,20,"282",1,10,20,9,NA,19,NA,NA,NA,NA,1,8,6,1,4,NA,NA,NA
"69","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,27,263,"mei","Nulo",0,6.88,0,2.65,17,"263",3,23,24,24,NA,137,NA,NA,NA,NA,2,10,11,1,1,NA,NA,NA
"70","Dylan Felipe Borrero Caicedo","borrero","Borrero","https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png",106843,27,282,"mei","Nulo",0,2,0,-1.77,4,"282",2,4,3,NA,NA,14,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"71","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,27,262,"ata","Suspenso",-1.2,6.17,-1.54,2.64,20,"Flamengo",3,21,20,11,2,91,NA,NA,NA,NA,2,12,15,NA,2,NA,NA,NA
"72","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,27,262,"lat","Nulo",5.2,4.43,0.26,4.1,3,"Flamengo",1,5,7,7,NA,15,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"73","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,27,282,"ata","Nulo",-0.9,5.79,-0.38,3.28,19,"282",2,7,15,20,7,131,NA,NA,NA,NA,4,5,18,3,3,NA,NA,NA
"74","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,27,263,"gol","Provável",3.4,5.44,-0.97,0.81,15,"263",2,NA,1,1,NA,99,1,NA,15,23,NA,NA,NA,NA,NA,1,NA,NA
"75","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,27,282,"ata","Nulo",0,3.86,0,1.4,11,"282",NA,12,13,5,3,35,NA,NA,NA,NA,1,1,4,1,NA,NA,NA,NA
"76","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,27,275,"ata","Nulo",-0.5,9.71,-0.06,3.28,23,"275",1,10,17,21,8,41,NA,NA,NA,NA,2,6,15,NA,6,NA,NA,1
"77","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,27,262,"ata","Nulo",0,3.78,0,1.88,12,"Flamengo",1,4,2,1,NA,15,NA,NA,NA,NA,1,8,NA,NA,1,NA,NA,NA
"78","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,27,294,"mei","Provável",1.9,2.82,0.09,1.07,17,"Coritiba",3,31,31,20,NA,48,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"79","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,27,262,"lat","Nulo",3.1,5.7,-0.76,3.05,10,"Flamengo",2,21,11,8,NA,88,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"80","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2020/10/15/788a514811d1b7fe6bc8f3cb4078b1b4_FORMATO.png",62033,27,290,"ata","Suspenso",9.7,6.18,0.18,2.91,11,"290",2,6,11,13,5,41,NA,NA,NA,NA,NA,3,10,NA,3,NA,NA,NA
