"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","DP","DS","FC","FD","FF","FS","G","GS","PI","SG","A","I","FT","PP","CV","GC"
"16","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,26,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,NA,NA,15,8,1,5,13,2,NA,39,NA,NA,NA,NA,NA,NA,NA
"17","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,26,293,"zag","Provável",5.1,6.41,1.72,2.68,17,"293",3,NA,NA,17,15,2,9,15,1,NA,81,6,1,NA,NA,NA,1,1
"18","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,26,373,"mei","Nulo",0,2.82,0,1.07,13,"373",3,NA,NA,29,22,2,5,9,NA,NA,34,NA,NA,1,NA,NA,1,NA
"19","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,26,282,"ata","Nulo",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,26,373,"mei","Nulo",0,2.44,0,1.04,19,"373",3,NA,NA,10,21,2,12,29,NA,NA,52,NA,1,NA,NA,NA,NA,NA
"21","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,26,373,"zag","Provável",0,4.09,0,2.58,17,"373",6,NA,NA,35,19,1,1,20,NA,NA,65,4,1,NA,NA,NA,NA,NA
"22","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,26,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,NA,NA,NA,NA,NA,NA,NA
"23","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,26,373,"zag","Nulo",0,3,0,2.82,9,"373",2,NA,NA,7,9,NA,1,7,2,NA,34,2,NA,NA,NA,NA,NA,NA
"24","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,26,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,26,293,"mei","Nulo",-0.1,2.72,0.06,-0.1,9,"293",1,NA,NA,3,6,NA,1,3,NA,NA,27,NA,NA,3,1,NA,NA,NA
"26","Odair Marciano de Oliveira Filho","odair","Odair","",108745,26,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,26,266,"lat","Provável",0,2.28,0,0.23,14,"266",4,NA,NA,21,37,2,3,2,1,NA,195,3,1,1,NA,NA,1,NA
"28","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,26,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,26,373,"lat","Nulo",0,7.21,0,2.92,22,"373",NA,NA,NA,36,24,6,11,11,NA,NA,249,6,3,2,NA,NA,NA,NA
"30","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,26,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,26,373,"lat","Provável",0,4.83,0,2.71,22,"373",2,NA,NA,55,24,2,6,26,NA,NA,186,5,NA,2,NA,NA,1,NA
"32","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,26,373,"ata","Nulo",0,1.26,0,1.7,1,"373",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,26,354,"gol","Nulo",0,5.57,0,2.7,21,"354",2,28,NA,NA,1,NA,NA,2,NA,32,176,6,NA,NA,NA,NA,NA,NA
"34","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,26,293,"lat","Nulo",0,9.64,0,3.07,8,"293",2,NA,NA,8,4,NA,NA,4,NA,NA,45,4,1,NA,NA,NA,NA,NA
"35","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,26,264,"gol","Dúvida",1.4,7.45,-0.9,1.08,19,"264",1,17,NA,1,1,NA,NA,1,NA,26,145,5,NA,NA,NA,NA,1,NA
"36","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,26,294,"mei","Provável",0.2,10.5,-0.96,4.43,18,"Coritiba",4,NA,NA,57,23,6,11,37,1,NA,113,NA,1,NA,2,NA,NA,NA
"37","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,26,264,"mei","Nulo",0.7,6.85,-0.26,2.22,14,"264",1,NA,NA,14,11,4,8,12,1,NA,86,NA,1,NA,1,NA,NA,NA
"38","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,26,263,"gol","Contundido",0,14.9,0,5.6,8,"263",1,13,NA,NA,NA,NA,NA,NA,NA,7,62,3,NA,NA,NA,NA,NA,NA
"39","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,26,262,"mei","Provável",-0.5,8.34,-0.36,4.43,20,"Flamengo",4,NA,NA,25,23,7,14,38,6,NA,159,NA,2,1,1,NA,NA,NA
"40","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,26,264,"zag","Provável",2.4,6.18,-0.42,3.09,19,"264",2,NA,NA,29,15,1,2,11,1,NA,77,6,1,1,1,NA,NA,1
"41","Danilo Alves da Silva","danilo","Danilo","",107981,26,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,26,262,"zag","Provável",2.9,8.38,0.3,2.78,12,"Flamengo",1,NA,NA,21,12,1,4,7,NA,NA,25,3,NA,NA,NA,NA,NA,NA
"43","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,26,293,"ata","Nulo",0,4.57,0,2.37,11,"293",4,NA,NA,9,15,7,2,13,1,NA,44,NA,2,1,1,NA,NA,NA
"44","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,26,294,"gol","Provável",-0.4,7.96,-0.3,2.47,25,"Coritiba",NA,28,1,1,NA,NA,NA,2,NA,34,214,6,NA,NA,NA,NA,NA,NA
"45","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,26,293,"ata","Nulo",-3.2,2.38,-0.73,0.05,11,"293",1,NA,NA,1,6,1,4,6,NA,NA,18,NA,NA,2,NA,NA,NA,NA
"46","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,26,262,"mei","Nulo",0,6.98,0,1.1,20,"Flamengo",4,NA,NA,38,27,2,7,9,NA,NA,71,NA,NA,NA,NA,NA,NA,NA
"47","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,26,262,"lat","Provável",0,6.46,0,3.05,9,"Flamengo",1,NA,NA,19,9,NA,1,7,1,NA,74,2,NA,NA,NA,NA,NA,NA
"48","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,26,262,"zag","Nulo",0,5.15,0,1.28,13,"Flamengo",3,NA,NA,14,16,1,4,6,1,NA,37,3,NA,NA,NA,NA,1,1
"49","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,26,276,"zag","Provável",0,8.03,0,3.04,14,"276",1,NA,NA,17,15,NA,4,21,NA,NA,37,5,NA,NA,NA,NA,NA,NA
"50","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,26,262,"lat","Suspenso",6.5,7.46,0.05,4.04,18,"Flamengo",5,NA,NA,57,31,2,1,21,2,NA,158,4,2,1,1,NA,NA,1
"51","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/10/03/6d8ae397f0417ad0faa735bc5f9c21d5_FORMATO.png",72391,26,276,"tec","Provável",0,9.49,0,3.84,21,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,26,262,"zag","Nulo",0,5.1,0,2.26,12,"Flamengo",1,NA,NA,20,15,2,3,9,1,NA,56,1,NA,NA,NA,NA,NA,NA
"53","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,26,262,"ata","Nulo",8,7.71,1.28,2.84,19,"Flamengo",2,NA,NA,20,19,12,15,10,2,NA,89,NA,2,2,NA,NA,NA,NA
"54","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,26,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,26,262,"mei","Provável",2,9.63,-0.82,3.4,20,"Flamengo",5,NA,NA,39,43,6,10,75,1,NA,83,NA,2,4,NA,NA,NA,NA
"56","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,26,262,"mei","Contundido",0,6.99,0,2.72,12,"Flamengo",4,NA,NA,39,26,2,3,7,NA,NA,66,NA,2,NA,1,NA,NA,NA
"57","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,26,262,"mei","Nulo",-0.2,5.1,-0.32,2.14,14,"Flamengo",3,NA,NA,10,17,2,4,31,1,NA,46,NA,2,NA,NA,NA,NA,NA
"58","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,26,262,"ata","Provável",13.5,7.64,2.14,4.59,19,"Flamengo",1,NA,NA,5,18,15,8,19,8,NA,37,NA,1,4,NA,1,NA,NA
"59","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,26,262,"gol","Provável",5.9,9.26,1.38,1.86,9,"Flamengo",NA,9,NA,NA,NA,NA,NA,3,NA,11,38,2,NA,NA,NA,NA,1,NA
"60","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,26,276,"gol","Provável",0,12.94,0,3.95,21,"276",1,20,3,1,NA,NA,NA,4,NA,20,139,6,1,NA,NA,NA,NA,NA
"61","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,26,276,"zag","Provável",0,8.75,0,3.43,8,"276",2,NA,NA,7,8,4,2,3,1,NA,24,3,NA,NA,NA,NA,NA,NA
"62","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,26,262,"gol","Nulo",0,3.38,0,1.2,4,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,2,NA,NA,NA,NA,NA,NA
"63","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,26,276,"lat","Nulo",0,5.71,0,2.45,15,"276",4,NA,NA,23,30,4,6,11,NA,NA,84,4,2,NA,NA,NA,NA,NA
"64","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,26,276,"lat","Provável",0,5.95,0,2.72,11,"276",2,NA,NA,17,7,1,2,6,NA,NA,54,3,1,NA,NA,NA,NA,NA
"65","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,26,276,"ata","Nulo",0,7.52,0,1.78,17,"276",1,NA,NA,11,22,5,17,14,1,NA,33,NA,1,8,NA,NA,NA,NA
"66","Germán Ezequiel Cano","cano","Cano","https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png",79631,26,267,"ata","Provável",0.3,12.93,-1.91,5.59,20,"267",NA,NA,NA,8,19,13,10,15,11,NA,49,NA,NA,7,1,NA,NA,NA
"67","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,26,276,"mei","Dúvida",0,7.4,0,1.75,11,"276",3,NA,NA,10,12,5,4,14,1,NA,30,NA,NA,NA,NA,NA,NA,NA
"68","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,26,284,"mei","Nulo",0,4.91,0,1.38,9,"284",1,NA,NA,12,14,3,2,11,NA,NA,42,NA,1,4,NA,NA,NA,NA
"69","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,26,276,"zag","Contundido",0,4,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,26,267,"gol","Provável",12.2,9.87,1.92,2.48,21,"267",NA,20,2,NA,NA,NA,NA,4,NA,29,157,6,NA,NA,NA,NA,NA,NA
"71","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/11/03/51e9f9ba46d806d46d4d256d45ac95e6_FORMATO.png",101727,26,262,"lat","Nulo",0,2.31,-0.06,1.96,9,"Flamengo",1,NA,NA,8,4,3,2,2,NA,NA,26,1,1,NA,NA,NA,NA,NA
"72","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,26,292,"ata","Nulo",0,2.72,0,1.32,16,"292",2,NA,NA,3,7,NA,3,18,2,NA,17,NA,NA,NA,NA,NA,NA,NA
"73","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,26,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,2,NA,NA,NA,NA,NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA
"74","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,26,262,"ata","Nulo",0,3.22,0,0.8,5,"Flamengo",NA,NA,NA,1,2,NA,NA,1,NA,NA,15,NA,1,NA,NA,NA,NA,NA
"75","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,26,267,"lat","Nulo",5.5,7.95,1.22,2.6,14,"267",3,NA,NA,20,15,2,5,21,NA,NA,90,4,NA,2,1,NA,NA,NA
"76","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2020/03/09/bfe14638328381a0498413759e610ed4_FORMATO.png",94857,26,292,"mei","Nulo",0,9.31,0,1.41,21,"292",1,NA,NA,11,18,2,14,29,1,NA,59,NA,NA,1,NA,NA,NA,NA
"77","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,26,262,"ata","Nulo",0,3.78,0,1.88,12,"Flamengo",1,NA,NA,4,2,8,NA,1,1,NA,15,NA,1,NA,NA,NA,NA,NA
"78","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,26,267,"lat","Suspenso",6.5,7.03,1.29,1.86,17,"267",6,NA,NA,38,28,2,NA,18,NA,NA,101,4,NA,3,NA,NA,NA,NA
"79","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,26,266,"mei","Provável",0,13.16,0,5.03,20,"266",2,NA,NA,21,10,9,19,36,8,NA,206,NA,1,NA,NA,1,NA,NA
"80","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,26,262,"ata","Nulo",0,5.09,0,0.97,15,"Flamengo",1,NA,NA,7,13,3,9,8,NA,NA,38,NA,1,NA,NA,NA,NA,NA
"81","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,26,267,"mei","Nulo",0,9.36,0,3.49,17,"267",3,NA,NA,41,19,8,10,38,1,NA,151,NA,1,2,NA,NA,NA,NA
"82","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,26,262,"zag","Nulo",0,2.2,0,-0.28,4,"Flamengo",1,NA,NA,2,3,NA,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
