"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FS","FT","PI","A","CA","FD","FF","G","DD","DP","GS","I","SG","PP","CV","GC"
"14","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,5,294,"mei","Provável",10.6,11.9,1.65,6.18,5,"Coritiba",21,3,13,1,33,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,5,293,"ata","Nulo",1.8,15.46,0.18,5.9,5,"Athlético-PR",5,13,11,1,29,1,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"16","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,5,262,"zag","Contundido",2.8,9.28,0.16,3.16,5,"Flamengo",12,3,2,NA,11,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA
"17","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,5,262,"mei","Dúvida",0.9,8.58,-0.22,1.8,5,"Flamengo",11,7,5,NA,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,5,293,"zag","Nulo",0,2.97,0,0.5,3,"Athlético-PR",NA,5,3,NA,13,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,5,262,"mei","Provável",0.9,5.75,-0.16,1.48,5,"Flamengo",6,3,11,NA,34,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,5,293,"lat","Nulo",3.3,5.43,0.91,1.75,4,"Athlético-PR",9,4,1,NA,35,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"21","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,5,293,"lat","Nulo",0.3,9.31,-0.28,3.8,5,"Athlético-PR",11,7,2,NA,41,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA
"22","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,5,282,"lat","Nulo",0,5.89,0,2,2,"Atlético-MG",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"23","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,5,293,"zag","Nulo",0,2,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,5,265,"zag","Nulo",0,6,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,5,265,"mei","Provável",3.2,14.93,-0.43,4.7,4,"Bahia",1,3,12,NA,32,1,NA,2,2,1,NA,NA,NA,1,NA,NA,NA,NA
"26","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,5,265,"ata","Provável",-1.1,6.38,-0.68,0.9,3,"Bahia",4,3,3,NA,24,NA,NA,4,1,NA,NA,NA,NA,1,NA,1,NA,NA
"27","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2020/03/02/6ec74772de012171f72f546a01823ea0_FORMATO.png",79578,5,294,"ata","Provável",2,2.04,-0.65,0.82,5,"Coritiba",NA,8,4,NA,8,NA,2,3,1,1,NA,NA,NA,3,NA,NA,NA,NA
"28","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/02/28/dd86094ef601a75530073e438be55002_FORMATO.png",38231,5,282,"ata","Contundido",0,9,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,5,262,"gol","Provável",-2.1,6.58,-0.75,-1.35,4,"Flamengo",NA,NA,2,NA,14,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,1,NA
"30","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,5,293,"gol","Nulo",0,2,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,5,265,"zag","Provável",3.4,9.09,0.58,4.13,4,"Bahia",3,NA,2,NA,17,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"32","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,5,263,"mei","Provável",3.9,5.35,0.36,2.37,3,"Botafogo",10,5,1,NA,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/03/01/c8face553c42ac18972ec8f145b8441c_FORMATO.png",84382,5,263,"lat","Nulo",1.1,3.68,0.62,-1.85,2,"Botafogo",2,3,NA,NA,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,5,263,"gol","Provável",1.3,12.93,-1.23,4.68,4,"Botafogo",NA,NA,NA,NA,43,NA,NA,NA,NA,NA,6,NA,3,NA,1,NA,NA,NA
"35","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,5,373,"mei","Dúvida",2,4.06,0.43,1.03,3,"Atlético-GO",2,2,3,NA,13,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"36","Wendell Maksinczuk Ortega","wendell","Wendell","https://s.glbimg.com/es/sde/f/2020/02/27/f22d57268e40f2e45144a79165d888e7_FORMATO.png",78738,5,373,"gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,5,264,"gol","Provável",-2.3,9.31,-0.89,2.22,4,"Corinthians",NA,NA,NA,NA,21,NA,NA,NA,NA,NA,4,NA,5,NA,1,NA,NA,NA
"38","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png",102598,5,276,"ata","Nulo",0,3.4,0,1.15,2,"São Paulo",2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Danilo Alves da Silva","danilo","Danilo","",107981,5,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/02/27/851090fa3a68b14a9b55eb825b21a6f9_FORMATO.png",77544,5,373,"mei","Provável",3.9,11.44,0.33,7.3,4,"Atlético-GO",9,3,7,NA,22,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"41","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,5,354,"gol","Provável",16.2,5.46,4.71,2.7,5,"Ceará",NA,NA,NA,NA,35,NA,1,NA,NA,NA,8,NA,9,NA,1,NA,NA,NA
"42","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2020/07/16/ec131d189cf34596591ae2d9d86d1cf5_FORMATO.png",40990,5,293,"tec","Nulo",0.76,9.01,-0.17,2.42,5,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,5,264,"zag","Provável",2,4.71,0.37,2,3,"Corinthians",6,3,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"44","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,5,293,"lat","Nulo",-1.4,3.39,-1.61,-1.4,1,"Athlético-PR",1,3,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,5,293,"lat","Nulo",0,10.54,0,2.97,3,"Athlético-PR",3,1,NA,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"46","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,5,293,"mei","Nulo",-4.5,1.64,-1.19,-1.25,4,"Athlético-PR",4,11,3,NA,18,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,5,293,"ata","Nulo",1.1,4.06,-0.94,1.1,1,"Athlético-PR",NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,5,293,"zag","Contundido",0,4.81,0,-0.5,3,"Athlético-PR",3,4,4,NA,13,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,5,293,"mei","Nulo",2,4.35,-0.58,1.4,2,"Athlético-PR",NA,1,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Marcos Gabriel do Nascimento","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2020/02/28/e46f09afd434bd93aff4ac163dca230c_FORMATO.png",68954,5,293,"mei","Nulo",1.1,3.84,-0.07,1.1,4,"Athlético-PR",3,NA,2,NA,24,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,5,293,"ata","Nulo",1.7,4.22,0.21,1.5,4,"Athlético-PR",NA,4,5,NA,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,5,293,"mei","Nulo",0,1.44,0,-0.2,3,"Athlético-PR",2,1,NA,NA,9,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,5,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"54","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,5,293,"zag","Nulo",0,6.96,0,5.6,1,"Athlético-PR",1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"55","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,5,262,"ata","Nulo",2.2,6.33,0.32,1.02,4,"Flamengo",2,4,3,NA,18,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,5,262,"lat","Nulo",0,5.1,0,2,1,"Flamengo",2,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,5,293,"mei","Contundido",0,4,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,5,293,"zag","Nulo",-2.5,5.65,-1.89,1.45,2,"Athlético-PR",4,1,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"59","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,5,356,"ata","Provável",5.8,6.88,0.16,3.2,5,"Fortaleza",1,5,4,NA,9,1,NA,3,1,1,NA,NA,NA,2,NA,NA,NA,NA
"60","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,5,262,"zag","Provável",1.2,5.47,-0.52,2.64,5,"Flamengo",10,8,5,NA,27,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"61","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,5,262,"ata","Nulo",0.1,3.79,-1.21,0.1,1,"Flamengo",1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,5,293,"ata","Nulo",0,4.81,0,2.17,4,"Athlético-PR",NA,2,3,NA,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"63","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,5,262,"mei","Dúvida",-0.6,5.11,-1.89,-0.6,1,"Flamengo",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,5,262,"mei","Provável",0,10.99,0,3.43,4,"Flamengo",14,9,12,NA,14,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,5,262,"ata","Dúvida",0,0.99,-0.04,-0.94,5,"Flamengo",NA,6,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"66","Robert Ayrton Piris da Motta","piris-da-motta","Piris da Motta","https://s.glbimg.com/es/sde/f/2020/07/21/66692eeeae848a3c29c7646e4312faef_FORMATO.png",95802,5,262,"mei","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,5,262,"gol","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,5,262,"ata","Nulo",0,7.03,0,0.7,1,"Flamengo",NA,1,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,5,262,"ata","Nulo",0,4,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Luan Vinicius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,5,276,"mei","Dúvida",2.8,4.4,-0.04,1.4,2,"São Paulo",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,5,262,"zag","Provável",1.4,3.39,-0.61,1.4,1,"Flamengo",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/03/03/c3634cab50166de94d02500e557e0be7_FORMATO.png",101727,5,262,"lat","Dúvida",1.3,1.86,-0.14,1.3,1,"Flamengo",2,2,1,NA,6,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,5,292,"ata","Nulo",-0.1,1.92,-0.2,-0.14,5,"Sport",NA,2,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,5,276,"zag","Contundido",0,4,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,5,262,"lat","Contundido",0,4.17,0,3.55,2,"Flamengo",4,6,7,NA,12,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"76","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2020/03/09/bfe14638328381a0498413759e610ed4_FORMATO.png",94857,5,292,"mei","Provável",0.5,11.58,-0.49,3.28,5,"Sport",1,4,11,NA,21,NA,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","Vinícius de Souza Costa","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/07/21/6488924ff7580441b41df99682592fb8_FORMATO.png",105199,5,262,"mei","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,5,267,"lat","Provável",5,8.01,0.41,4.55,4,"Vasco",13,10,2,NA,18,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
