"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","SG","A","FD","G","GS","CV","I","DD","DP","FT","GC","PP"
"38","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,20,293,"lat","Provável",-0.4,2.88,-0.43,0.18,6,"293",1,6,9,NA,4,49,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,20,276,"mei","Contundido",0,4.4,0,1.02,5,"276",1,9,7,2,4,44,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,20,267,"lat","Nulo",0,6.99,0,2.36,11,"267",2,16,14,4,20,72,2,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA
"41","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,20,373,"gol","Provável",-1.6,7.87,-0.07,3.21,18,"373",1,1,1,NA,6,149,4,NA,1,1,23,NA,NA,22,NA,NA,NA,NA
"42","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,20,356,"ata","Nulo",0.7,4.8,0.08,2.24,17,"356",2,14,15,13,24,30,NA,1,4,1,NA,NA,3,NA,NA,NA,NA,NA
"43","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,20,293,"mei","Provável",-0.7,0.79,-0.45,-1.16,14,"293",8,13,32,4,7,53,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,20,373,"zag","Dúvida",0,3.26,0,0.92,17,"373",3,10,18,2,10,71,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,20,293,"ata","Provável",15.4,9.11,2.68,5.33,14,"293",2,10,26,14,24,51,NA,1,13,6,NA,NA,10,NA,NA,NA,NA,NA
"46","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,20,290,"ata","Nulo",-0.1,5.81,-0.28,2.39,11,"290",2,4,20,6,10,52,NA,NA,6,4,NA,NA,15,NA,NA,NA,NA,NA
"47","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,20,293,"ata","Nulo",0,2.93,0,0.25,8,"293",NA,1,2,2,2,13,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"48","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,20,373,"mei","Provável",4.1,5.9,0.99,1.81,16,"373",2,29,20,11,15,99,NA,NA,8,NA,NA,1,NA,NA,NA,1,NA,NA
"49","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,20,293,"mei","Nulo",-2.1,0.82,-0.62,-0.68,4,"293",2,2,2,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,20,284,"tec","Provável",6.35,12.87,0.25,3.73,19,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,20,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,20,373,"ata","Nulo",0.3,2.2,0.03,0.64,8,"373",NA,3,5,3,1,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,20,284,"lat","Nulo",0,7.73,0,1.28,4,"284",1,4,3,2,1,37,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2020/08/26/07181c4e061a2e4a3daef524908f563b_FORMATO.png",62121,20,284,"gol","Nulo",0,9.16,0,2.25,14,"284",1,NA,NA,NA,3,80,4,NA,NA,NA,12,NA,NA,11,NA,NA,NA,NA
"55","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,20,284,"ata","Nulo",0,9.07,0,2.54,13,"284",2,6,20,11,14,72,NA,1,4,4,NA,1,1,NA,NA,NA,NA,1
"56","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2020/03/09/73ed5ab3cb9b56aecea70945f57d3adf_FORMATO.png",73974,20,277,"mei","Nulo",0,8.09,0,1.24,10,"Santos",2,27,16,NA,14,46,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"57","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,20,265,"lat","Provável",5.4,8.32,-0.27,2.56,13,"265",2,31,12,1,10,105,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"58","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2019/03/28/8b877a8c4ad54095a090c72a16cdb129_FORMATO.png",77959,20,277,"ata","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,20,284,"zag","Nulo",0,10.89,0,4.1,8,"284",2,30,8,4,5,49,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"60","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,20,285,"ata","Contundido",0,20.81,0,11.2,3,"285",NA,2,7,3,5,15,NA,1,1,3,NA,NA,3,NA,NA,1,NA,NA
"61","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2020/02/28/797ea157d220381c5808fcaa35ab969f_FORMATO.png",78077,20,277,"lat","Provável",1.3,6.11,-0.71,3.92,15,"Santos",2,12,6,NA,12,105,2,3,2,4,NA,NA,2,NA,NA,NA,NA,NA
"62","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,20,285,"mei","Provável",7.3,12.71,0.75,5.14,18,"285",1,45,27,8,33,89,NA,2,6,3,NA,NA,2,NA,NA,3,NA,NA
"63","Elton Júnior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2020/07/23/6bddafb802eca51fa3ab23c76e52a1b1_FORMATO.png",71719,20,265,"mei","Nulo",0,3.66,0,1.3,3,"265",NA,4,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,20,285,"lat","Provável",3,10.51,0.56,3.39,14,"285",1,33,31,5,4,141,6,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"65","Marcos Antônio Cândido Ferreira Júnior","marcos-junior","Marcos Júnior","https://s.glbimg.com/es/sde/f/2020/08/17/36ea552764f49b731d549f23f44aee4d_FORMATO.png",93893,20,267,"mei","Nulo",0.4,3.44,-0.15,2.46,10,"267",NA,18,7,2,13,30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,20,265,"gol","Provável",9,10.14,0.74,3.49,11,"265",NA,NA,NA,NA,2,56,3,NA,NA,NA,10,NA,NA,12,NA,NA,NA,NA
"67","Eduardo Germán Coudet","eduardo-coudet","Eduardo Coudet","https://s.glbimg.com/es/sde/f/2020/07/19/4514b24c3a8147be213e4e8d4297a97c_FORMATO.png",94853,20,285,"tec","Provável",3.11,12.59,0.31,3.85,20,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2020/03/09/981499da2df970e3aa062fabcbf2f745_FORMATO.png",79035,20,277,"zag","Nulo",0,3.54,0,0.17,3,"Santos",NA,1,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,20,276,"zag","Contundido",0,4,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2020/03/09/c51996a402c33b6efe07a6e733476941_FORMATO.png",78548,20,277,"mei","Provável",-3.4,3.4,-1.53,1.69,15,"Santos",1,16,21,7,15,52,NA,1,5,NA,NA,NA,NA,NA,NA,1,NA,NA
"71","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,20,284,"mei","Nulo",1.6,5.26,0.6,1.57,8,"284",1,12,13,2,10,41,NA,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA
"72","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,20,276,"ata","Nulo",2.8,7.68,0.42,2.03,12,"276",1,5,21,17,13,25,NA,1,4,1,NA,NA,7,NA,NA,NA,NA,NA
"73","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,20,265,"ata","Provável",2.6,8.84,-0.05,3.09,15,"265",NA,14,7,8,33,84,NA,1,7,1,NA,NA,6,NA,NA,1,NA,NA
"74","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png",102598,20,276,"ata","Nulo",0,4.08,0,2.57,3,"276",NA,3,NA,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,20,276,"lat","Nulo",0,4.4,0,2.05,11,"276",1,12,7,1,11,53,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,20,373,"mei","Nulo",1.6,5.09,0.33,2.13,16,"373",NA,9,5,9,9,43,NA,1,4,1,NA,NA,1,NA,NA,1,NA,NA
"77","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,20,265,"zag","Provável",4.3,5.41,0.98,1.35,2,"265",1,1,4,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,20,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,20,373,"ata","Nulo",0,6.01,0,1.48,15,"373",2,10,15,8,4,18,NA,NA,3,2,NA,NA,5,NA,NA,NA,NA,NA
"80","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,20,276,"mei","Provável",4.5,8.38,0.09,3,7,"276",1,7,10,4,13,27,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"81","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,20,275,"ata","Provável",3.8,11.67,-0.73,4.57,15,"275",1,10,16,6,15,38,NA,1,3,7,NA,NA,1,NA,NA,NA,NA,1
"82","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,20,294,"mei","Nulo",0,12.25,0,4.77,15,"Coritiba",2,46,15,10,25,96,NA,1,6,1,NA,NA,NA,NA,NA,2,NA,NA
