"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","A","FD","FT","G","I","SG","DD","GS","CV","DP","GC","PP"
"19","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,8,293,"lat","Nulo",0,10.54,0,2.97,3,"Athlético-PR",1,3,1,NA,NA,16,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"20","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,8,373,"gol","Provável",-2.4,6.3,-0.89,2.25,7,"Atlético-GO",1,NA,1,NA,1,44,NA,1,NA,NA,NA,1,9,10,NA,NA,NA,NA
"21","Danilo Alves da Silva","danilo","Danilo","",107981,8,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,8,373,"lat","Provável",2.2,6.13,0.3,2.17,7,"Atlético-GO",NA,14,9,5,6,99,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"23","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/02/27/f22a30bebccebd99dba033a4a509804f_FORMATO.png",92696,8,373,"ata","Provável",0.7,4.3,-1.43,6.05,2,"Atlético-GO",NA,1,6,3,7,5,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"24","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,8,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,8,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,8,373,"ata","Nulo",0,2.5,0,0.77,3,"Atlético-GO",NA,1,2,2,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,8,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,8,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,8,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,8,373,"zag","Provável",-0.4,1.84,-0.88,1.53,3,"Atlético-GO",NA,6,2,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,8,293,"lat","Provável",0.9,3.41,0.02,-0.25,2,"Athlético-PR",NA,3,3,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,8,293,"ata","Nulo",0,3.64,0,0.55,2,"Athlético-PR",NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,8,293,"mei","Dúvida",0,1.51,0,-1.36,5,"Athlético-PR",3,5,14,1,3,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,8,293,"ata","Nulo",1.8,2.49,0.42,0.76,5,"Athlético-PR",NA,1,5,1,3,12,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,8,373,"mei","Provável",2.1,5.8,0.24,2.28,6,"Atlético-GO",NA,14,8,6,7,44,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"36","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,8,293,"ata","Provável",1.2,2.42,0.34,0.2,2,"Athlético-PR",NA,1,2,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"37","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,8,293,"mei","Provável",4.3,13.03,0.52,3.74,7,"Athlético-PR",1,11,8,9,15,27,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"38","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,8,293,"mei","Nulo",0,1.44,0,-0.2,3,"Athlético-PR",1,2,1,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,8,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"40","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,8,293,"mei","Provável",3.4,4.41,-0.13,4.9,2,"Athlético-PR",NA,5,3,NA,NA,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,8,373,"mei","Nulo",0,2.58,0,0.43,3,"Atlético-GO",NA,NA,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,8,373,"tec","Provável",2.46,5.92,0.02,3.15,7,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Marcos Gabriel do Nascimento","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2020/02/28/e46f09afd434bd93aff4ac163dca230c_FORMATO.png",68954,8,293,"mei","Nulo",0,3.84,0,1.1,4,"Athlético-PR",NA,3,NA,2,2,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,8,293,"ata","Nulo",0,4.22,0,1.72,5,"Athlético-PR",NA,NA,2,1,3,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"45","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,8,293,"mei","Nulo",0,3.82,-0.53,0.93,3,"Athlético-PR",NA,NA,1,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,8,293,"zag","Nulo",0,6.96,0,5.6,1,"Athlético-PR",NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"47","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,8,294,"gol","Provável",0.8,9.51,-1.55,5.49,8,"Coritiba",NA,1,NA,NA,2,71,NA,NA,NA,NA,NA,2,12,8,NA,1,NA,NA
"48","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,8,293,"zag","Provável",0.6,2.99,-0.16,0.8,5,"Athlético-PR",1,3,7,1,4,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,8,293,"ata","Provável",-0.1,4.56,-1.25,2.43,6,"Athlético-PR",1,4,10,2,6,24,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"50","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,8,293,"zag","Nulo",0,5.65,0,1.45,2,"Athlético-PR",1,4,1,NA,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"51","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,8,293,"gol","Nulo",0,2,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,8,293,"lat","Nulo",0,4.11,0,0.9,5,"Athlético-PR",2,11,9,1,1,43,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"53","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,8,293,"lat","Nulo",-0.1,8.72,-0.43,3,7,"Athlético-PR",NA,12,8,2,4,48,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"54","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,8,293,"zag","Nulo",0,2,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/08/31/eafd006d2fd67a1a408086328eb3fd4c_FORMATO.png",38229,8,282,"lat","Nulo",0,6.19,0,3.3,3,"Atlético-MG",NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"56","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,8,263,"gol","Provável",-0.7,12.8,-1.55,4.36,7,"Botafogo",NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,2,10,7,NA,NA,NA,NA
"57","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,8,282,"ata","Contundido",0,9,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,8,265,"zag","Provável",-0.1,8.55,-0.78,3.23,7,"Bahia",NA,9,1,1,3,24,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"59","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,8,266,"lat","Nulo",0,3.23,0,-1.43,3,"Fluminense",1,2,5,1,NA,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,8,265,"zag","Nulo",0,4.22,0,-0.45,2,"Bahia",NA,NA,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,8,263,"mei","Provável",6.8,6.09,1.47,2.82,5,"Botafogo",NA,16,7,4,1,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,8,264,"gol","Provável",-3.4,8.41,-1.69,1.49,7,"Corinthians",NA,1,NA,NA,NA,36,NA,NA,NA,NA,NA,1,7,10,NA,NA,NA,NA
"63","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,8,264,"mei","Nulo",0,7.75,0,3.73,4,"Corinthians",NA,4,4,2,3,24,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"64","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,8,264,"zag","Provável",0.5,4.23,-0.11,1.2,6,"Corinthians",1,9,7,NA,4,33,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"65","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,8,354,"gol","Provável",5.6,6.26,0.72,4.36,8,"Ceará",1,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,3,12,10,NA,NA,NA,NA
"66","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,8,294,"mei","Provável",2.7,11.24,0.08,5.18,8,"Coritiba",1,30,6,4,19,52,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,8,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,8,262,"mei","Provável",6.9,7.78,-0.13,3.11,8,"Flamengo",2,8,8,4,18,57,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"69","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,8,265,"mei","Provável",7.8,16.16,0.14,5.4,7,"Bahia",NA,1,5,6,15,51,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"70","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,8,262,"gol","Nulo",0,5.09,0,3,3,"Flamengo",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"71","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2020/03/02/6ec74772de012171f72f546a01823ea0_FORMATO.png",79578,8,294,"ata","Provável",0.6,2.37,-0.04,1.24,8,"Coritiba",2,2,16,7,9,15,NA,4,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"72","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,8,262,"zag","Provável",1.2,9.33,-0.36,3.15,8,"Flamengo",1,17,7,3,3,14,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"73","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,8,265,"ata","Provável",5.7,7.95,0.38,2.58,6,"Bahia",NA,5,4,2,9,38,1,6,1,NA,2,NA,NA,NA,NA,NA,NA,1
"74","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,8,262,"mei","Dúvida",3.2,8.71,0.01,1.9,8,"Flamengo",1,19,10,3,5,29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,8,262,"mei","Nulo",-0.1,4.39,0.24,-0.34,5,"Flamengo",2,2,8,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,8,262,"lat","Provável",0.1,4.72,-1.07,2.31,7,"Flamengo",1,16,7,1,8,60,NA,2,NA,NA,1,2,NA,NA,NA,NA,1,NA
"77","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,8,262,"mei","Dúvida",1.1,9.4,-0.12,2.28,6,"Flamengo",2,15,16,4,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,8,277,"lat","Provável",7.3,8.75,1.36,2.92,8,"Santos",1,14,12,6,15,51,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA
