"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","SG","A","FD","FT","G","I","PP","GC","CV","DD","DP","GS"
"11","Gonzalo Rodrigo Carneiro Méndez","gonzalo-carneiro","Gonzalo Carneiro","https://s.glbimg.com/es/sde/f/2019/04/01/504b1e2a808ffe49b9679b8e86de83b8_FORMATO.png",101796,19,276,"ata","Nulo",0,3.01,0,1.93,3,"276",NA,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jurani Francisco Ferreira","ratinho","Ratinho","https://s.glbimg.com/es/sde/f/2020/08/26/6e025e8dfe1cf4c483ce1c8f215ff1f3_FORMATO.jpeg",101841,19,290,"mei","Nulo",0,2.26,0,1.04,7,"290",2,14,10,2,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Bruno Roberto Pereira da Silva","bruninho","Bruninho","https://s.glbimg.com/es/sde/f/2020/07/19/a8a4dd85c718d51ded9273e2453ecfd5_FORMATO.png",101716,19,292,"mei","Nulo",0,3.78,0,1.71,8,"292",1,6,3,3,3,18,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA
"14","Jonas Gabriel da Silva Nunes","toro","Toró","https://s.glbimg.com/es/sde/f/2019/04/01/537547b0687a098437442f6632e753bc_FORMATO.png",101885,19,276,"ata","Nulo",0,3.33,0,1.54,5,"276",NA,1,NA,2,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Guilherme Nunes da Silva","guilherme-nunes","Guilherme Nunes","https://s.glbimg.com/es/sde/f/2018/05/23/7e91393fb9d0c73f8ae12e9e96c38308_FORMATO.png",101912,19,277,"mei","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,19,293,"tec","Provável",1.09,8,0.07,3.03,13,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Cristiano Pereira de Oliveira ","cristiano","Cristiano","https://s.glbimg.com/es/sde/f/2020/10/28/5a938ee3441b2001445e97d9f027ad70_FORMATO.png",102145,19,354,"ata","Nulo",0,1,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,19,293,"ata","Contundido",0,15.46,0,5.9,5,"293",1,5,13,2,11,29,NA,1,4,1,2,NA,NA,NA,NA,NA,NA,NA
"19","Kevin Martín Quevedo Mathey","quevedo","Quevedo","https://s.glbimg.com/es/sde/f/2020/08/26/54867caab3aa189c69f2374c4489689d_FORMATO.jpeg",102197,19,290,"ata","Nulo",0,0.85,0,0.4,1,"290",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Leonardo Roque Albano Gil","leo-gil","Léo Gil","https://s.glbimg.com/es/sde/f/2020/10/20/f7a798f150be1b7d8d66fc4986be3fab_FORMATO.png",102506,19,267,"mei","Provável",2.4,4.63,-0.37,2.4,1,"267",1,NA,2,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alexander Lecaros Aragón","lecaros","Lecaros","https://s.glbimg.com/es/sde/f/2020/03/01/53edbb0ca79d3f3796591671f994f93b_FORMATO.png",102276,19,263,"ata","Contundido",0.3,2.33,0.04,0.05,2,"263",NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,19,293,"zag","Nulo",0,2.57,0,0.67,6,"293",1,3,7,1,4,25,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bruno da Silva Costa Leite","bruno-leite","Bruno Leite","https://s.glbimg.com/es/sde/f/2020/02/28/0b11aa48b3f2ef3b333a9cf52a39e44e_FORMATO.png",102301,19,293,"mei","Nulo",0,0.77,0,-0.6,1,"293",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"24","Mikael Filipe Viana","mikael","Mikael","https://s.glbimg.com/es/sde/f/2018/05/24/681f1987afa6a94cda5e9a9f643a0bc5_FORMATO.png",102299,19,292,"ata","Nulo",-0.7,2.85,-0.3,2.8,3,"292",NA,NA,1,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"25","Kelvyn Ramos da Fonseca","kelvyn","Kelvyn","https://s.glbimg.com/es/sde/f/2020/08/07/02c22a8c5d9e06f0f869d0ea30ebb496_FORMATO.png",102464,19,354,"lat","Nulo",0,1.01,0,1.28,5,"354",NA,1,1,NA,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Miguel Ferreira Damasceno","miguel-figueira","Miguel Figueira","https://s.glbimg.com/es/sde/f/2020/08/26/3fa464ee6de9c64f2d753dc0dc419801_FORMATO.jpeg",102565,19,290,"mei","Nulo",0,1.37,0,0.52,6,"290",1,3,9,1,4,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2020/08/26/defba11bfc1c0574154c40932f23aefd_FORMATO.jpeg",102563,19,290,"mei","Nulo",0,3,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Alyson Vinícius Almeida Neves","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/07/16/d2d8dba7990915f9cb778e454ae473a0_FORMATO.png",102330,19,354,"lat","Nulo",0,2.04,0,-0.55,4,"354",3,9,9,1,7,40,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"29","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png",102598,19,276,"ata","Nulo",0,4.08,0,2.57,3,"276",NA,3,NA,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,19,276,"mei","Provável",3.9,4.1,1.14,1.33,9,"276",2,18,8,1,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,19,294,"zag","Contundido",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Nathan Uilian Fogaça","nathan","Nathan ","https://s.glbimg.com/es/sde/f/2020/03/03/e6e59b655c3cc3a36d2dd52bda9b59d7_FORMATO.png",102667,19,294,"ata","Nulo",0.4,0.79,-0.15,0.22,6,"Coritiba",NA,1,4,NA,3,11,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"33","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2020/07/21/e063b0d6307468bf5a905f24f53404ff_FORMATO.png",102352,19,264,"mei","Nulo",0,7.51,0,3.6,7,"264",2,7,5,4,9,34,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"34","Luan Silva dos Santos","luan-silva","Luan Silva","https://s.glbimg.com/es/sde/f/2020/03/07/9323f3231e0e80378421c98fe7c6b795_FORMATO.png",102295,19,275,"ata","Contundido",0,2,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,19,266,"ata","Provável",2.6,4.12,0.46,2.44,10,"266",NA,11,7,3,9,28,NA,1,1,NA,1,3,NA,NA,NA,NA,NA,NA
"36","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,19,277,"ata","Provável",1.1,4.24,-0.64,1.55,16,"Santos",3,12,24,12,22,29,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA
"37","Matheus Henrique Teixeira","matheus-teixeira","Matheus Teixeira","https://s.glbimg.com/es/sde/f/2020/02/28/0be52fce88dbd641cee3e966d4765bbb_FORMATO.png",102907,19,265,"gol","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Pablo Thiago Ferreira Thomaz","pablo-thomaz","Pablo Thomaz","https://s.glbimg.com/es/sde/f/2020/09/30/a7b22d74d41827304b8a71b4c57641d3_FORMATO.png",102797,19,294,"ata","Nulo",0,0.78,0,-0.1,2,"Coritiba",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,19,293,"gol","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Lucas Ribeiro dos Santos","lucas-ribeiro","Lucas Ribeiro","https://s.glbimg.com/es/sde/f/2020/08/11/93a36fa67c35580ef4e99cac7a12dff1_FORMATO.png",103088,19,285,"zag","Nulo",0,4,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2020/03/02/0f8cdae2b0676e92c2ccef0b10c4f252_FORMATO.png",103076,19,354,"ata","Nulo",0,7.06,0,2.01,12,"354",1,13,5,6,2,32,NA,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA
"42","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,19,264,"mei","Provável",1.7,5.53,-0.48,2.64,11,"264",NA,25,12,3,14,29,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Rhuan Silveira Castro","rhuan","Rhuan","https://s.glbimg.com/es/sde/f/2019/03/28/4d88ed09bc75e94e5f255e63ec33d09c_FORMATO.png",102958,19,263,"ata","Nulo",0,3.44,0,2.36,14,"263",NA,7,3,9,21,31,NA,1,5,1,NA,2,NA,NA,NA,NA,NA,NA
"44","Andrew da Silva Ventura","andrew","Andrew","https://s.glbimg.com/es/sde/f/2019/03/28/6bb49f946fbf4eb4e9fa370948141d04_FORMATO.png",103183,19,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Eric dos Santos Rodrigues","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/03/29/c45004f6a309f5dfe660c3becb1ad077_FORMATO.png",103295,19,265,"mei","Nulo",0,4.89,0,-0.65,2,"265",NA,NA,1,NA,2,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"46","Rodrigo dos Santos de Freitas","rodrigo-freitas","Rodrigo Freitas","https://s.glbimg.com/es/sde/f/2020/09/04/018d68fa1c6441d3b39970cfad8ee083_FORMATO.png",103261,19,276,"zag","Nulo",0,1,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Gabriel Vinícius Menino","gabriel-menino","Gabriel Menino","https://s.glbimg.com/es/sde/f/2020/01/20/119d338ee09aacf08faae33fa7047de7_FORMATO.png",103767,19,275,"mei","Provável",-0.8,5.43,-1.17,3.14,14,"275",3,32,19,11,27,102,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA
"48","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,19,356,"ata","Provável",-0.1,4.72,-0.29,2.34,16,"356",2,14,15,12,24,29,NA,1,4,NA,1,3,NA,NA,NA,NA,NA,NA
"49","Daniel Sartori Bessa","daniel-bessa","Daniel Bessa","https://s.glbimg.com/es/sde/f/2020/08/26/f8c7d3a76680619bf773e434179d4df4_FORMATO.jpeg",103591,19,290,"mei","Contundido",0,6.46,0,2.65,12,"290",3,23,19,4,9,74,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA
"50","Dênis de Oliveira Aguiar Júnior","junior","Júnior","https://s.glbimg.com/es/sde/f/2019/04/01/f8a36e8e52088ffa0e8b4469629c46fe_FORMATO.png",103662,19,276,"gol","Nulo",0,1,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,19,266,"ata","Nulo",1.3,5.4,-0.93,1.42,15,"266",NA,10,5,5,2,38,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"52","Ramon Rodrigo de Carvalho","ramon","Ramon","https://s.glbimg.com/es/sde/f/2020/03/01/96275404d7db5a1ad2bda2053ea034fd_FORMATO.png",103515,19,265,"mei","Nulo",0,0.78,0,-0.7,3,"265",1,NA,3,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,19,294,"zag","Provável",8.8,8.91,1.58,3.8,18,"Coritiba",1,26,7,4,16,98,5,NA,NA,1,3,1,NA,1,NA,NA,NA,NA
"54","Francisco Anderson de Jesus dos Santos","anderson-ceara","Anderson Ceará","https://s.glbimg.com/es/sde/f/2020/08/31/7dffc611b801a4acf1b89b964333decb_FORMATO.png",103724,19,277,"mei","Nulo",0,1.67,0,0.6,1,"Santos",NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Gabriel Veron Fonseca de Souza","gabriel-veron","Gabriel Veron","https://s.glbimg.com/es/sde/f/2020/01/20/4d926ee7edebf4a6823049ca2eb242a7_FORMATO.png",103764,19,275,"ata","Nulo",1.5,5.87,0.21,4.07,9,"275",1,10,10,3,8,20,NA,1,1,NA,3,2,NA,NA,NA,NA,NA,NA
"56","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,19,264,"zag","Nulo",0,1.88,0,-1.15,4,"264",1,1,3,NA,1,26,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"57","Gabriel Silva Vieira","gabriel-silva","Gabriel Silva","https://s.glbimg.com/es/sde/f/2020/08/31/0a2bee87b74c5aa4a5eb332b01b24185_FORMATO.png",103766,19,275,"mei","Nulo",0,0.77,0,-0.65,4,"275",1,NA,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Denilson Rodrigues Roldão","denilson","Denilson","https://s.glbimg.com/es/sde/f/2020/10/04/0e3d68c778426e447bda7cfe1987508c_FORMATO.png",104025,19,266,"mei","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,19,276,"zag","Contundido",0,4,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Marcelo Alves Santos","marcelo-alves","Marcelo Alves","https://s.glbimg.com/es/sde/f/2020/08/17/eb3ae31017de7743d4838a3e8d4412be_FORMATO.png",104050,19,267,"zag","Nulo",0,1.67,0,1.25,4,"267",NA,4,6,NA,1,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,19,373,"zag","Provável",1.5,3.05,0.27,2.18,13,"373",5,24,13,1,11,54,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Cléber Bomfim de Jesus","cleber","Cléber","https://s.glbimg.com/es/sde/f/2020/07/16/715ecd8cb7718372d50406be7b2b10d9_FORMATO.png",104125,19,354,"ata","Dúvida",8.9,12,1.21,3.52,16,"354",NA,19,33,12,17,48,NA,NA,7,1,4,6,NA,NA,NA,NA,NA,NA
"63","Reinaldo Nascimento Satorno","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png",104420,19,293,"ata","Provável",0,1.58,-0.42,0,1,"293",NA,1,2,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","João Fernando Monteiro Siqueira","joao-fernando","João Fernando","https://s.glbimg.com/es/sde/f/2020/09/01/7263507a2ac5cfecff6f8e555a1932dc_FORMATO.png",104079,19,262,"gol","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,19,262,"lat","Nulo",0,4.17,0,3.55,2,"Flamengo",1,4,6,1,7,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Christian Roberto Alves Cardoso","christian","Christian","https://s.glbimg.com/es/sde/f/2020/02/28/459619b85e3c40ab2998b4b1deef1873_FORMATO.png",104502,19,293,"mei","Provável",1.8,0.98,0.21,0.13,12,"293",4,11,25,2,15,62,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA
"67","Jaques Bonfim Nazaré Neto","jaques","Jaques","https://s.glbimg.com/es/sde/f/2019/03/29/0aa6fcfbdf775616d09fa583d45fecee_FORMATO.png",104128,19,265,"zag","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ruan de Oliveira Ferreira","ruan","Ruan","https://s.glbimg.com/es/sde/f/2020/08/18/46767ddb19cde394d78839a4e9182e63_FORMATO.png",104153,19,264,"mei","Contundido",0,1.22,0,0.77,4,"264",NA,3,2,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Lucas Felipe Calegari","calegari","Calegari","https://s.glbimg.com/es/sde/f/2020/08/11/62173af2578274ecacd1dfb222a0b1ed_FORMATO.png",104276,19,266,"lat","Nulo",0,5.21,0,5.14,7,"266",NA,28,7,2,16,50,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"70","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,19,293,"lat","Provável",0,8.76,0,2.8,15,"293",3,22,16,7,8,133,4,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"71","João Igor Oliveira de Santana","joao-igor","João Igor","https://s.glbimg.com/es/sde/f/2020/02/27/e7e17a777e58973a249cd30a2e3df0f0_FORMATO.png",104217,19,292,"mei","Nulo",0,1.93,0,-0.37,3,"292",NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,19,284,"mei","Dúvida",0,4.29,0,1.74,9,"284",1,13,10,2,5,25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"73","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,19,354,"tec","Provável",2.36,8.77,-0.05,3.52,18,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Heitor Rodrigues da Fonseca","heitor","Heitor","https://s.glbimg.com/es/sde/f/2020/02/27/46ea70366228afe849358bbedd6c18e1_FORMATO.png",104649,19,285,"lat","Provável",-0.1,4.61,-0.89,5.55,6,"285",2,19,10,1,8,39,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,19,354,"ata","Nulo",3.2,1.16,0.39,0.48,4,"354",NA,2,5,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Fabrício do Rosário dos Santos","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/01/08/a1caa292583494d502e98f7521e81dd8_FORMATO.png",104134,19,284,"ata","Nulo",0,0.77,0,0,1,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,19,294,"mei","Nulo",0,1.7,0,0.6,2,"Coritiba",NA,2,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Luis Phelipe de Souza Figueiredo","luis-phelipe","Luis Phelipe","https://s.glbimg.com/es/sde/f/2020/08/28/603f9c40a4384779d4bf795d27336987_FORMATO.png",104500,19,280,"ata","Nulo",0,4.14,0,1.82,10,"280",1,8,4,NA,12,10,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"79","Luiz Henrique Augustin ","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/03/1a216904bc60228576fbef1f7a6fece2_FORMATO.png",104526,19,294,"mei","Nulo",0,1.52,0,0.84,7,"Coritiba",NA,7,4,1,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,19,263,"ata","Provável",1.6,2.43,0.04,0,4,"263",1,1,4,1,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
