"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FD","FF","FS","G","I","PI","A","CA","DD","GS","SG","GC","PP","FT","DP","CV"
"19","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,7,265,"zag","Dúvida",-0.2,4.22,-0.16,-0.45,2,"Bahia",NA,2,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,7,293,"gol","Nulo",0,2,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,7,265,"ata","Provável",6.2,7.57,1.08,1.96,5,"Bahia",4,4,5,2,6,NA,1,33,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"22","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,7,265,"mei","Provável",10.8,16.02,1.93,5,6,"Bahia",1,5,3,6,14,2,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,7,282,"ata","Contundido",0,9,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,7,293,"ata","Nulo",0,15.46,0,5.9,5,"Athlético-PR",5,13,4,2,11,2,NA,29,1,1,NA,NA,NA,NA,NA,1,NA,NA
"25","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,7,293,"mei","Provável",6.4,4.54,0.54,6.4,1,"Athlético-PR",1,1,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,7,293,"lat","Provável",2.1,9.15,-0.16,3.52,6,"Athlético-PR",12,8,1,2,4,1,NA,47,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"27","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,7,293,"ata","Provável",-0.8,2.08,-0.92,-0.8,1,"Athlético-PR",NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,7,293,"ata","Provável",-0.3,2.07,-0.24,0.5,4,"Athlético-PR",1,4,NA,NA,2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"29","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,7,265,"zag","Provável",4.8,9.33,0.61,3.78,6,"Bahia",9,1,1,1,3,1,NA,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"30","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,7,263,"mei","Provável",0.2,4.62,-0.73,1.83,4,"Botafogo",11,7,1,1,1,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,7,263,"gol","Provável",9,14.35,1.16,5.2,6,"Botafogo",NA,NA,NA,NA,NA,NA,NA,48,NA,NA,9,5,2,NA,NA,NA,NA,NA
"32","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,7,293,"zag","Nulo",0,2,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,7,293,"lat","Provável",-2.5,4.11,-1.32,0.9,5,"Athlético-PR",11,9,NA,1,1,NA,NA,43,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"34","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,7,266,"lat","Nulo",0,3.23,0,-1.43,3,"Fluminense",2,5,1,1,NA,NA,NA,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"35","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,7,264,"mei","Provável",1.4,7.75,0.02,3.73,4,"Corinthians",4,4,1,2,3,1,NA,24,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"36","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/08/31/eafd006d2fd67a1a408086328eb3fd4c_FORMATO.png",38229,7,282,"lat","Nulo",5.9,6.19,0.3,3.3,3,"Atlético-MG",1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"37","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,7,373,"mei","Provável",0.4,8.82,-0.32,4.86,5,"Atlético-GO",7,9,2,6,12,1,2,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,7,354,"gol","Provável",3.9,5.54,-0.79,4.18,7,"Ceará",NA,NA,NA,NA,NA,NA,NA,57,NA,1,10,9,3,NA,NA,NA,NA,NA
"39","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,7,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,7,264,"gol","Provável",5.7,10.1,1.07,2.3,6,"Corinthians",NA,NA,NA,NA,NA,NA,NA,32,NA,NA,7,8,1,NA,NA,NA,NA,NA
"41","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,7,373,"zag","Nulo",0,5.05,0,1.94,5,"Atlético-GO",8,7,NA,1,5,NA,NA,11,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"42","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,7,373,"gol","Provável",1.8,7.19,-0.54,3.03,6,"Atlético-GO",NA,1,1,NA,1,NA,NA,40,NA,1,9,9,1,NA,NA,NA,NA,NA
"43","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,7,373,"mei","Provável",1.4,3.05,-0.12,1,3,"Atlético-GO",4,NA,NA,NA,1,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,7,294,"mei","Nulo",0.4,2.36,-0.64,0.4,1,"Coritiba",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,7,373,"zag","Provável",-1,3.45,-0.36,1.08,6,"Atlético-GO",4,5,1,NA,8,NA,NA,32,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"46","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,7,262,"mei","Provável",12.2,7.91,2.89,2.57,7,"Flamengo",7,6,2,4,14,1,NA,46,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,7,294,"mei","Provável",3.1,11.16,-0.3,5.54,7,"Coritiba",28,5,5,4,16,NA,NA,49,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"48","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,7,294,"gol","Provável",12.2,11.06,0.93,6.16,7,"Coritiba",1,NA,NA,NA,2,NA,NA,59,NA,NA,11,7,2,NA,NA,NA,1,NA
"49","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,7,264,"zag","Provável",1.2,4.34,0.17,1.34,5,"Corinthians",8,5,NA,NA,2,NA,NA,28,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"50","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,7,262,"zag","Provável",3.8,9.69,-0.04,3.43,7,"Flamengo",16,4,NA,3,2,NA,NA,14,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"51","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,7,373,"mei","Nulo",0,2.58,0,0.43,3,"Atlético-GO",NA,1,NA,1,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,7,373,"mei","Nulo",0,5.56,0,2.32,5,"Atlético-GO",12,7,3,6,7,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"53","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2020/03/02/6ec74772de012171f72f546a01823ea0_FORMATO.png",79578,7,294,"ata","Provável",1.1,2.41,-0.36,1.33,7,"Coritiba",1,12,3,6,9,1,3,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"54","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,7,373,"ata","Nulo",0,2.5,0,0.77,3,"Atlético-GO",1,2,1,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,7,262,"mei","Dúvida",4.5,8.7,0.93,1.71,7,"Flamengo",16,10,1,2,5,NA,NA,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"56","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,7,373,"ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,7,262,"mei","Nulo",-2.6,4.15,-0.9,-0.4,4,"Flamengo",2,8,NA,NA,11,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"58","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/02/27/f22a30bebccebd99dba033a4a509804f_FORMATO.png",92696,7,373,"ata","Provável",11.4,5.73,1.73,11.4,1,"Atlético-GO",1,3,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,7,262,"lat","Provável",0,5.79,0,2.68,6,"Flamengo",15,7,2,1,7,NA,NA,51,NA,1,NA,NA,2,1,NA,NA,NA,NA
"60","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,7,373,"lat","Provável",0.9,5.83,-0.08,2.17,6,"Atlético-GO",12,8,2,5,5,NA,NA,89,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"61","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,7,373,"zag","Nulo",0,2.15,0,-0.4,1,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,7,262,"gol","Nulo",0,5.09,0,3,3,"Flamengo",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"63","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,7,262,"gol","Contundido",0,10.72,0,2.22,5,"Flamengo",NA,NA,NA,NA,2,NA,NA,19,NA,NA,6,6,1,NA,NA,NA,NA,1
"64","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,7,262,"ata","Nulo",1.3,5.94,-0.39,1.08,5,"Flamengo",2,4,1,5,4,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Henry Vaca Urquiza","vaca","Vaca","https://s.glbimg.com/es/sde/f/2020/03/03/49c4df4b898d3ab3f8b1ae29282b06a4_FORMATO.png",98992,7,373,"mei","Nulo",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,7,262,"zag","Nulo",0,6.32,0,3.2,2,"Flamengo",3,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"67","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,7,373,"lat","Provável",5.8,3.65,0.78,1.52,5,"Atlético-GO",11,7,1,1,4,NA,NA,39,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"68","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,7,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,7,262,"lat","Nulo",1.7,5.28,-0.47,2.9,3,"Flamengo",8,1,NA,NA,1,NA,NA,23,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"70","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,7,373,"zag","Provável",5.7,2.72,1.38,2.5,2,"Atlético-GO",6,2,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,7,262,"mei","Dúvida",0,9.52,0,2.52,5,"Flamengo",15,13,NA,2,16,NA,NA,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"72","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,7,262,"zag","Provável",0,4.99,-0.48,2.2,6,"Flamengo",10,9,2,1,5,NA,NA,30,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"73","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,7,262,"ata","Dúvida",3.9,4.41,0.62,2,2,"Flamengo",1,1,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Robert Ayrton Piris da Motta","piris-da-motta","Piris da Motta","https://s.glbimg.com/es/sde/f/2020/07/21/66692eeeae848a3c29c7646e4312faef_FORMATO.png",95802,7,262,"mei","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,7,262,"mei","Provável",0.9,5.17,-0.25,0.7,3,"Flamengo",5,5,NA,NA,2,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,7,262,"ata","Nulo",20.4,5.73,4.74,2.62,6,"Flamengo",1,8,3,3,1,2,2,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,7,266,"mei","Provável",5.7,12.4,0.53,6.03,6,"Fluminense",5,4,2,5,12,3,NA,62,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,7,262,"gol","Provável",-2.4,1.7,-1.3,-2.4,1,"Flamengo",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,3,NA,NA,NA,NA,NA,NA
