"date","home_team","away_team","home_score","away_score","round"
2020-09-13,263,267,2,3,10
2020-08-26,276,293,1,0,5
2020-09-16,264,265,3,2,10
2020-09-19,280,354,4,2,11
2020-09-19,356,285,1,0,11
2020-09-19,373,282,3,4,11
2020-09-20,284,275,1,1,11
2020-09-20,294,267,1,0,11
2020-09-20,263,277,0,0,11
2020-09-20,292,266,1,0,11
2020-10-13,262,290,2,1,15
2020-09-23,292,264,1,0,11
2020-09-26,285,276,1,1,12
2020-09-26,293,265,1,0,12
2020-09-26,282,284,3,1,12
2020-09-27,267,280,1,1,12
2020-09-27,275,262,1,1,12
2020-09-27,354,290,2,2,12
2020-09-27,373,263,1,1,12
2020-09-27,277,356,1,1,12
2020-09-28,266,294,4,0,12
2020-10-03,284,285,1,1,13
2020-10-03,275,354,2,1,13
2020-10-03,280,264,0,0,13
2020-10-04,263,266,1,1,13
2020-10-04,262,293,3,1,13
2020-10-04,294,276,1,1,13
2020-10-04,265,292,1,2,13
2020-10-04,356,373,0,0,13
2020-10-04,290,277,2,3,13
2020-10-04,282,267,4,1,13
2020-10-07,264,277,1,1,14
2020-10-07,262,292,3,0,14
2020-10-07,284,294,2,1,14
2020-10-07,265,267,3,0,14
2020-10-07,276,373,3,0,14
2020-10-07,290,266,2,4,14
2020-10-07,263,275,2,1,14
2020-10-07,356,282,2,1,14
2020-10-08,293,354,0,0,14
2020-10-08,280,285,0,2,14
2020-10-10,267,262,1,2,15
2020-10-10,275,276,0,2,15
2020-10-10,294,356,0,0,15
2020-10-10,282,290,3,0,15
2020-10-11,266,265,1,0,15
2020-10-11,277,284,2,1,15
2020-10-11,292,263,1,2,15
2020-10-11,373,280,2,1,15
2020-10-11,285,293,2,1,15
2020-10-11,354,264,2,1,15
2020-10-14,275,294,1,3,16
2020-10-14,284,263,3,1,16
2020-10-14,277,373,0,1,16
2020-10-14,282,266,1,1,16
2020-10-14,292,285,3,5,16
2020-10-14,293,264,0,1,16
2020-10-15,262,280,1,1,16
2020-10-16,290,265,1,1,16
2020-11-19,267,356,0,0,21
2020-11-25,354,276,1,1,22
2020-10-17,266,354,2,2,17
2020-10-17,294,277,1,2,17
2020-10-17,373,293,1,1,17
2020-10-17,276,284,0,0,17
2020-10-18,264,262,1,5,17
2020-10-18,285,267,2,0,17
2020-10-18,280,292,2,0,17
2020-10-18,356,275,2,0,17
2020-10-19,263,290,0,0,17
2020-10-19,265,282,3,1,17
2020-10-21,267,264,1,2,17
2020-10-24,280,290,2,0,18
2020-10-24,354,294,2,1,18
2020-10-24,282,292,0,0,18
2020-10-25,266,277,3,1,18
2020-10-25,373,275,0,3,18
2020-10-25,285,262,2,2,18
2020-10-25,293,284,1,2,18
2020-11-11,265,356,2,1,20
2020-12-09,276,263,4,0,24
2020-10-31,263,354,2,2,19
2020-10-31,264,285,1,0,19
2020-10-31,294,373,1,0,19
2020-10-31,356,266,0,1,19
2020-11-01,262,276,1,4,19
2020-11-01,292,293,1,0,19
2020-11-01,277,265,3,1,19
2020-11-01,290,267,1,1,19
2020-11-02,275,282,3,0,19
2020-11-02,284,280,2,1,19
2020-11-07,293,356,2,1,20
2020-11-07,276,290,2,1,20
2020-11-07,373,264,1,1,20
2020-11-08,267,275,0,1,20
2020-11-08,285,294,2,2,20
2020-11-08,280,277,1,1,20
2020-11-08,282,262,4,0,20
2020-11-08,265,263,1,0,20
2020-11-08,266,284,0,1,20
2020-11-08,354,292,0,0,20
2020-11-14,277,285,2,0,21
2020-11-14,292,267,0,2,21
2020-11-14,290,293,0,1,21
2020-11-14,264,282,1,2,21
2020-11-14,284,354,4,2,21
2020-11-14,356,276,2,3,21
2020-11-14,262,373,1,1,21
2020-11-14,275,266,2,0,21
2020-11-16,294,265,1,2,21
2020-11-16,263,280,1,2,21
2020-11-20,280,265,4,0,21
2020-11-21,262,294,3,1,22
2020-11-21,293,277,1,0,22
2020-11-21,290,275,1,0,22
2020-11-22,276,267,1,1,22
2020-11-22,354,282,2,2,22
2020-11-22,263,356,1,2,22
2020-11-22,285,266,1,2,22
2020-11-22,264,284,0,0,22
2020-11-23,292,373,0,1,22
2020-11-25,282,263,2,1,22
2020-11-25,294,264,0,1,22
2020-11-26,356,290,1,1,22
2020-11-28,275,293,3,0,23
2020-11-28,277,292,4,2,23
2020-11-28,265,276,1,3,23
2020-11-28,373,285,0,0,23
2020-11-30,267,354,1,4,23
2020-11-30,266,280,0,0,23
2021-01-28,284,262,2,4,32
2020-12-02,356,264,0,0,23
2020-12-05,263,262,0,1,24
2020-12-05,277,275,2,2,24
2020-12-05,266,293,3,1,24
2020-12-05,265,354,0,2,24
2020-12-05,294,280,0,0,24
2020-12-06,276,292,1,0,24
2020-12-06,284,267,4,0,24
2020-12-06,282,285,2,2,24
2020-12-07,373,290,0,1,24
2020-12-12,280,356,2,1,25
2020-12-12,293,282,0,1,25
2020-12-12,275,265,3,0,25
2020-12-12,285,263,2,1,25
2020-12-12,354,373,1,2,25
2020-12-12,290,284,0,0,25
2020-12-13,262,277,4,1,25
2020-12-13,264,276,1,0,25
2020-12-13,292,294,1,0,25
2020-12-13,267,266,1,1,25
2020-12-16,276,282,3,0,25
2020-12-16,373,266,2,1,25
2020-12-19,292,284,1,1,26
2020-12-19,285,275,2,0,26
2020-12-19,294,263,1,2,26
2020-12-20,267,277,1,0,26
2020-12-20,280,293,0,1,26
2020-12-20,262,265,4,3,26
2020-12-20,356,354,0,2,26
2020-12-21,264,290,2,1,26
2020-12-26,282,294,2,0,27
2020-12-26,356,262,0,0,27
2020-12-26,290,292,1,0,27
2020-12-26,266,276,1,2,27
2020-12-27,263,264,0,2,27
2020-12-27,265,285,1,2,27
2020-12-27,275,280,1,0,27
2020-12-27,277,354,1,1,27
2020-12-27,293,267,3,0,27
2020-12-27,284,373,2,1,27
2021-01-06,263,293,0,2,28
2021-01-06,284,265,2,1,28
2021-01-06,292,356,1,0,28
2021-01-06,294,290,1,2,28
2021-01-06,262,266,1,2,28
2021-01-06,280,276,4,2,28
2021-01-07,354,285,0,2,28
2021-01-07,373,267,0,0,28
2021-01-18,275,264,4,0,30
2021-01-26,282,277,2,0,32
2021-01-09,292,275,0,1,29
2021-01-09,294,293,0,0,29
2021-01-09,356,284,0,0,29
2021-01-10,262,354,0,2,29
2021-01-10,276,277,0,1,29
2021-01-10,285,290,1,0,29
2021-01-10,373,265,1,1,29
2021-01-10,267,263,3,0,29
2021-01-11,280,282,2,2,29
2021-01-13,264,266,5,0,29
2021-01-15,275,284,1,1,29
2021-01-16,266,292,1,0,30
2021-01-16,267,294,0,1,30
2021-01-17,277,263,2,1,30
2021-01-17,293,276,1,1,30
2021-01-17,282,373,3,1,30
2021-01-17,285,356,4,2,30
2021-01-17,354,280,1,2,30
2021-01-18,290,262,0,3,30
2021-01-28,265,264,2,1,32
2021-01-20,263,373,1,3,31
2021-01-20,265,293,1,0,31
2021-01-20,284,282,1,1,31
2021-01-20,294,266,3,3,31
2021-01-20,276,285,1,5,31
2021-01-20,280,267,4,1,31
2021-01-21,262,275,2,0,31
2021-01-21,356,277,2,0,31
2021-01-21,290,354,0,4,31
2021-01-21,264,292,3,0,31
2021-01-23,276,294,1,1,32
2021-01-23,267,282,3,2,32
2021-01-24,285,284,2,1,32
2021-01-24,293,262,2,1,32
2021-01-24,354,275,2,1,32
2021-01-24,277,290,3,4,32
2021-01-24,292,265,2,0,32
2021-01-24,373,356,2,0,32
2021-01-24,266,263,2,0,32
2021-01-25,264,280,0,2,32
2021-01-31,267,265,0,0,33
2021-01-31,294,284,1,1,33
2021-01-31,354,293,0,2,33
2021-01-31,373,276,2,1,33
2021-01-31,282,356,2,0,33
2021-01-31,285,280,2,1,33
2021-01-31,266,290,3,0,33
2021-02-01,292,262,0,3,33
2021-02-02,275,263,1,1,33
2021-02-17,277,264,1,0,36
2021-02-03,284,277,3,3,34
2021-02-03,280,373,2,0,34
2021-02-03,264,354,2,1,34
2021-02-03,265,266,0,1,34
2021-02-03,290,282,1,0,34
2021-02-04,356,294,3,1,34
2021-02-04,262,267,2,0,34
2021-02-04,293,285,0,0,34
2021-02-05,263,292,0,1,34
2021-02-19,276,275,1,1,36
2021-02-06,265,290,3,3,35
2021-02-06,373,277,1,1,35
2021-02-07,280,262,1,1,35
2021-02-08,263,284,2,5,35
2021-02-10,285,292,1,2,35
2021-02-10,356,267,3,0,35
2021-02-10,276,354,1,1,35
2021-02-10,266,282,0,0,35
2021-02-10,264,293,3,3,35
2021-02-17,294,275,1,0,36
2021-02-13,290,263,2,0,36
2021-02-13,277,294,2,0,36
2021-02-13,282,265,1,1,36
2021-02-14,262,264,2,1,36
2021-02-14,267,285,0,2,36
2021-02-14,275,356,3,0,36
2021-02-14,293,373,2,1,36
2021-02-14,284,276,1,2,36
2021-02-15,354,266,1,3,36
2021-02-15,292,280,0,0,36
2021-02-20,294,354,0,2,37
2021-02-20,356,265,0,4,37
2021-02-21,262,285,2,1,37
2021-02-21,264,267,0,0,37
2021-02-21,292,282,2,3,37
2021-02-21,277,266,1,1,37
2021-02-21,284,293,1,0,37
2021-02-21,290,280,0,0,37
2021-02-22,275,373,1,1,37
2021-02-22,263,276,1,0,37
2021-02-25,266,356,2,0,38
2021-02-25,266,356,2,0,38
2021-02-25,267,290,3,2,38
2021-02-25,267,290,3,2,38
2021-02-25,276,262,2,1,38
2021-02-25,276,262,2,1,38
2021-02-25,280,284,1,0,38
2021-02-25,280,284,1,0,38
2021-02-25,282,275,2,0,38
2021-02-25,282,275,2,0,38
2021-02-25,285,264,0,0,38
2021-02-25,285,264,0,0,38
2021-02-25,265,277,2,0,38
2021-02-25,265,277,2,0,38
2021-02-25,293,292,2,0,38
2021-02-25,293,292,2,0,38
2021-02-25,354,263,2,1,38
2021-02-25,354,263,2,1,38
2021-02-25,373,294,3,1,38
2021-02-25,373,294,3,1,38
