"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","GS","PI","SG","A","CV","DS","FC","FD","FF","FS","G","I","FT","DP","GC","PP"
"11","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,34,373,"zag","Nulo",0,4.72,0,1.96,18,"373",6,NA,NA,22,5,NA,NA,20,25,1,3,11,1,NA,NA,NA,NA,NA
"12","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,34,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,34,373,"lat","Nulo",0,6.89,0,2.58,26,"373",1,NA,NA,270,7,3,NA,40,30,6,12,11,NA,2,NA,NA,NA,NA
"14","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2019/03/28/8b877a8c4ad54095a090c72a16cdb129_FORMATO.png",77959,34,277,"ata","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,34,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,NA,NA,39,NA,NA,NA,15,8,1,5,13,2,NA,NA,NA,NA,NA
"16","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,34,265,"zag","Nulo",0,7.17,0,1.93,23,"265",2,NA,NA,92,3,NA,1,33,5,2,4,7,1,1,NA,NA,NA,NA
"17","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,34,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,34,264,"gol","Provável",-3.5,6.5,-1.14,1.27,22,"264",1,20,29,179,6,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"19","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,34,264,"zag","Provável",1.2,6.09,-0.48,3.21,22,"264",2,NA,NA,87,7,1,NA,36,16,1,2,14,1,1,1,NA,1,NA
"20","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,34,293,"ata","Nulo",2.3,6.69,-2.27,4.24,26,"293",1,NA,NA,80,NA,4,NA,26,28,6,10,37,7,3,NA,NA,NA,NA
"21","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2020/03/09/c51996a402c33b6efe07a6e733476941_FORMATO.png",78548,34,277,"mei","Provável",-0.7,3.55,-0.22,1.37,23,"Santos",1,NA,NA,83,NA,1,NA,24,24,7,10,19,NA,NA,1,NA,NA,1
"22","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,34,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,34,264,"mei","Nulo",0,6.35,0,2.03,15,"264",1,NA,NA,88,NA,1,NA,14,12,4,8,12,1,NA,1,NA,NA,NA
"24","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,34,284,"mei","Nulo",0,4.92,0,1.58,13,"284",1,NA,NA,45,NA,1,NA,13,16,3,2,12,1,4,NA,NA,NA,NA
"25","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,34,294,"mei","Nulo",2.5,10.47,0.24,3.8,23,"Coritiba",5,NA,NA,137,NA,1,NA,64,33,8,18,42,1,1,2,NA,NA,NA
"26","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,34,293,"zag","Nulo",0,5.89,0,2.13,9,"293",1,NA,NA,11,3,NA,NA,10,4,1,2,3,NA,NA,NA,NA,1,NA
"27","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,34,293,"mei","Contundido",0,4.18,0,2.03,17,"293",5,NA,NA,58,NA,1,NA,42,36,7,13,5,NA,NA,NA,NA,NA,NA
"28","Odair Marciano de Oliveira Filho","odair","Odair","",108745,34,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,34,294,"gol","Nulo",-3.4,7.75,-3.19,2.79,33,"Coritiba",NA,38,46,285,8,NA,1,1,NA,NA,NA,4,1,NA,NA,2,NA,NA
"30","Danilo Alves da Silva","danilo","Danilo","",107981,34,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,34,262,"mei","Provável",7.9,10.11,-0.62,4.63,28,"Flamengo",4,NA,NA,218,NA,4,NA,49,29,10,18,56,6,1,1,NA,NA,NA
"32","Vitor Benedito Leque da Silva","vitor","Vitor","https://s.glbimg.com/es/sde/f/2021/01/20/a04662c0c16a9801200893034e85e656_FORMATO.png",108714,34,373,"ata","Nulo",2,1.64,-0.5,2.82,6,"373",1,NA,NA,3,NA,NA,NA,4,5,1,NA,1,2,NA,NA,NA,NA,NA
"33","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,34,293,"lat","Provável",3.5,8.85,0.82,2.58,14,"293",3,NA,NA,80,7,1,NA,10,7,NA,NA,8,NA,1,NA,NA,NA,NA
"34","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,34,293,"zag","Provável",4.5,6.86,-0.22,3.24,25,"293",4,NA,NA,129,11,1,1,30,19,2,12,23,1,NA,NA,NA,1,NA
"35","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,34,293,"zag","Nulo",5,6.2,-0.03,2.35,11,"293",2,NA,NA,30,5,NA,NA,8,7,NA,3,2,NA,NA,NA,NA,NA,NA
"36","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,34,262,"zag","Contundido",0,8.75,0,3.23,17,"Flamengo",1,NA,NA,36,6,NA,NA,26,16,2,5,12,NA,NA,NA,NA,NA,NA
"37","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,34,262,"gol","Nulo",0,8.96,0,2.14,10,"Flamengo",NA,9,11,41,3,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"38","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,34,262,"mei","Provável",1.9,7.17,0.29,1.24,28,"Flamengo",4,NA,NA,99,NA,NA,NA,54,35,2,10,12,NA,NA,NA,NA,NA,NA
"39","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,34,262,"mei","Suspenso",-2.7,4.83,-0.93,2.13,22,"Flamengo",6,NA,NA,82,NA,3,NA,26,31,4,6,48,1,NA,NA,NA,NA,NA
"40","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,34,262,"lat","Provável",7.7,8.09,0.37,4.27,25,"Flamengo",6,NA,NA,236,8,2,NA,80,39,2,2,29,2,1,1,NA,1,NA
"41","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,34,354,"gol","Nulo",0,5.77,0,2.65,22,"354",2,29,33,181,6,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"42","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,34,264,"mei","Provável",3.2,10.57,0.66,3.39,15,"264",6,NA,NA,97,NA,1,1,21,23,11,16,42,1,2,3,NA,NA,NA
"43","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,34,293,"mei","Provável",1.1,1.21,0.29,-0.1,13,"293",3,NA,NA,37,NA,NA,NA,8,10,1,2,6,NA,1,NA,NA,NA,NA
"44","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,34,262,"zag","Provável",5.9,6.18,-0.14,2.49,19,"Flamengo",4,NA,NA,53,7,NA,1,19,24,2,8,8,2,NA,NA,NA,1,NA
"45","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,34,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,34,282,"mei","Provável",-0.3,11.7,-1.24,5.2,23,"282",2,NA,NA,167,NA,4,NA,26,34,12,20,32,8,2,2,NA,NA,1
"47","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,34,262,"ata","Nulo",1.8,6.59,0.08,2.43,26,"Flamengo",3,NA,NA,112,NA,2,NA,29,23,15,16,14,2,2,NA,NA,NA,NA
"48","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,34,276,"mei","Provável",0,4.88,0,1.41,28,"276",2,NA,NA,128,NA,3,NA,19,32,10,7,29,1,4,NA,NA,NA,NA
"49","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,34,262,"lat","Nulo",0,5,0,3.38,12,"Flamengo",3,NA,NA,92,4,1,NA,24,12,NA,1,8,1,NA,NA,NA,NA,NA
"50","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,34,293,"lat","Contundido",0,2.88,0,0.18,6,"293",1,NA,NA,49,1,NA,NA,6,9,NA,NA,4,NA,1,NA,NA,NA,NA
"51","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,34,293,"ata","Nulo",0,2.71,0,0.21,15,"293",1,NA,NA,24,NA,NA,NA,1,8,2,6,9,NA,2,NA,NA,NA,NA
"52","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,34,276,"mei","Nulo",0,7.35,0,2.23,24,"276",2,NA,NA,74,NA,NA,1,24,22,7,14,27,3,NA,NA,NA,NA,NA
"53","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,34,293,"mei","Contundido",0,2.45,0,-0.19,11,"293",1,NA,NA,32,NA,NA,NA,3,9,NA,2,3,NA,3,1,NA,NA,NA
"54","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,34,276,"mei","Nulo",0,7.75,0,2.08,25,"276",2,NA,NA,97,NA,1,NA,14,10,9,13,26,2,3,1,NA,NA,NA
"55","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,34,262,"zag","Nulo",0,5.1,0,2.26,12,"Flamengo",1,NA,NA,56,1,NA,NA,20,15,2,3,9,1,NA,NA,NA,NA,NA
"56","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,34,267,"mei","Provável",3.3,9.09,0.53,3.49,21,"267",4,NA,NA,179,NA,2,NA,49,22,10,12,45,1,2,NA,NA,NA,NA
"57","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,34,262,"mei","Dúvida",3.6,9.65,0.47,3.03,27,"Flamengo",7,NA,NA,125,NA,2,NA,50,57,9,14,97,1,4,NA,NA,NA,NA
"58","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,34,262,"ata","Nulo",-0.6,5.69,-1.49,4.07,27,"Flamengo",1,NA,NA,47,NA,2,NA,7,26,18,13,22,10,5,NA,NA,NA,2
"59","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,34,262,"mei","Contundido",0,6.99,0,2.72,12,"Flamengo",4,NA,NA,66,NA,2,NA,39,26,2,3,7,NA,NA,1,NA,NA,NA
"60","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png",87009,34,282,"mei","Nulo",0.9,9.3,-0.02,2.96,21,"282",NA,NA,NA,48,NA,1,NA,21,7,9,7,10,3,2,NA,NA,NA,NA
"61","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2020/11/20/7c0d041c984aed2ad0bddb5980390af3_FORMATO.png",102598,34,280,"ata","Provável",1.6,3.89,-1,3.48,11,"280",4,NA,NA,46,NA,2,NA,19,14,4,2,7,2,NA,1,NA,NA,NA
"62","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,34,262,"gol","Nulo",0,2.35,0,0.16,5,"Flamengo",NA,NA,4,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,34,265,"zag","Nulo",0,6.34,0,2.82,5,"265",1,NA,NA,5,1,NA,NA,4,6,NA,2,2,1,NA,NA,NA,NA,NA
"64","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/08/31/70a9b022ffebe02680755240aa4440cc_FORMATO.png",68928,34,282,"gol","Nulo",0,7.01,0,2,9,"282",NA,6,7,65,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Júnior Osmar Ignacio Alonso Mujica","junior-alonso","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,34,282,"zag","Provável",-0.7,9.91,-0.96,3.5,25,"282",5,NA,NA,165,9,2,NA,47,33,5,13,2,1,NA,1,NA,NA,NA
"66","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2020/10/29/46f07bfe5b86d16343f64516421ab810_FORMATO.png",86859,34,263,"mei","Provável",0,4.29,0,2.57,13,"263",NA,NA,NA,49,NA,1,NA,32,18,NA,6,11,NA,NA,NA,NA,NA,NA
"67","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,34,262,"zag","Nulo",0,2.2,0,-0.28,4,"Flamengo",1,NA,NA,11,NA,NA,NA,2,3,NA,NA,3,NA,NA,NA,NA,NA,NA
"68","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/11/03/51e9f9ba46d806d46d4d256d45ac95e6_FORMATO.png",101727,34,262,"lat","Nulo",0,2.12,0,1.71,10,"Flamengo",1,NA,NA,26,1,1,NA,8,5,3,2,2,NA,NA,NA,NA,NA,NA
"69","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,34,276,"mei","Provável",0,3.33,0,0.74,20,"276",5,NA,NA,53,NA,NA,NA,33,25,2,2,11,NA,NA,NA,NA,NA,NA
"70","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,34,276,"lat","Nulo",0,3.88,0,1.35,17,"276",2,NA,NA,82,2,1,NA,16,10,NA,2,15,NA,NA,NA,NA,NA,NA
"71","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,34,293,"ata","Nulo",0,4.57,0,2.37,11,"293",4,NA,NA,44,NA,2,NA,9,15,7,2,13,1,1,1,NA,NA,NA
"72","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,34,276,"mei","Contundido",0,4.4,0,1.02,5,"276",1,NA,NA,44,NA,NA,NA,9,7,2,2,4,NA,NA,NA,NA,NA,NA
"73","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,34,292,"ata","Nulo",0,3,0,1.28,20,"292",2,NA,NA,18,NA,NA,NA,4,10,1,4,24,2,NA,NA,NA,NA,NA
"74","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,34,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,2,5,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"75","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png",87393,34,282,"zag","Dúvida",0.9,6.48,-0.85,2.94,8,"282",2,NA,NA,8,4,NA,NA,9,8,1,2,1,NA,NA,NA,NA,NA,NA
"76","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,34,373,"mei","Provável",-2.2,2.24,-0.3,0.85,18,"373",5,NA,NA,51,NA,NA,1,40,31,2,5,10,NA,1,NA,NA,NA,NA
"77","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,34,262,"ata","Nulo",-0.2,4.74,-0.09,0.78,18,"Flamengo",1,NA,NA,41,NA,1,NA,8,17,3,10,8,NA,NA,NA,NA,NA,NA
"78","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,34,267,"gol","Provável",-0.6,7.96,-1.47,2.52,29,"267",NA,29,41,222,9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA
"79","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2020/08/17/bfaf7651c9572b3c95e4d731dadc3958_FORMATO.png",93787,34,267,"mei","Nulo",-0.7,5.88,-1.21,3.2,21,"267",6,NA,NA,83,NA,2,1,70,46,6,4,34,1,NA,NA,NA,NA,NA
"80","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,34,373,"mei","Dúvida",1.2,2.99,-0.11,1.13,25,"373",3,NA,NA,89,NA,1,NA,19,34,4,15,40,NA,1,NA,NA,NA,NA
"81","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2020/08/31/5da528d4c6029f923a12da18ad0cf054_FORMATO.png",96652,34,282,"mei","Provável",-1.2,5.66,-0.7,1.38,26,"282",5,NA,NA,167,NA,NA,NA,46,33,6,14,23,NA,NA,1,NA,NA,NA
"82","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,34,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,5,3,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
