"ID","rodata","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"51","5","19/4/2003","18:00","Flamengo","Santos","","","","","Santos"," Maracanã","0","2","RJ","SP"
"52","5","20/4/2003","16:00","Sao Paulo","Vasco","","","","","Sao Paulo"," Morumbi","3","1","SP","RJ"
"53","5","20/4/2003","16:00","Internacional","Corinthians","","","","","Internacional"," Beira Rio","2","1","RS","SP"
"54","5","20/4/2003","16:00","Criciuma","Guarani","","","","","Criciuma"," Heriberto Hulse","1","0","SC","SP"
"55","5","20/4/2003","16:00","Juventude","Vitoria","","","","","-"," Alfredo Jaconi","1","1","RS","BA"
"56","5","20/4/2003","16:00","Fortaleza","Athletico-PR","","","","","Fortaleza"," Presidente Vargas","1","0","CE","PR"
"57","5","20/4/2003","16:00","Ponte Preta","Paysandu","","","","","-"," Moisés Lucarelli","4","4","SP","PA"
"58","5","20/4/2003","18:00","Cruzeiro","Goias","","","","","Cruzeiro"," Mineirão","4","1","MG","GO"
"59","5","20/4/2003","18:00","Fluminense","Parana","","","","","-"," Maracanã","0","0","RJ","PR"
"60","5","21/4/2003","20:30","Coritiba","Figueirense","","","","","Coritiba"," Couto Pereira","1","0","PR","SC"
"61","6","26/4/2003","16:00","Atletico-MG","Coritiba","","","","","Coritiba"," Mineirão","1","2","MG","PR"
"62","6","26/4/2003","16:00","Parana","Bahia","","","","","Parana"," Pinheirão","3","1","PR","BA"
"63","6","26/4/2003","16:00","Vitoria","Internacional","","","","","Internacional"," Barradão","0","3","BA","RS"
"64","6","26/4/2003","18:00","Guarani","Cruzeiro","","","","","-"," Brinco de Ouro","1","1","SP","MG"
"65","6","27/4/2003","16:00","Corinthians","Flamengo","","","","","-"," Pacaembu","1","1","SP","RJ"
"66","6","27/4/2003","16:00","Goias","Juventude","","","","","Goias"," Serra Dourada","7","0","GO","RS"
"67","6","27/4/2003","16:00","Figueirense","Ponte Preta","","","","","-"," Orlando Scarpelli","0","0","SC","SP"
"68","6","27/4/2003","16:00","Santos","Fortaleza","","","","","Santos"," Vila Belmiro","4","0","SP","CE"
"69","6","27/4/2003","16:00","Gremio","Fluminense","","","","","Fluminense"," Olímpico","0","1","RS","RJ"
"70","6","27/4/2003","16:00","Athletico-PR","Criciuma","","","","","Athletico-PR"," Arena da Baixada","4","2","PR","SC"
"71","6","27/4/2003","18:00","Paysandu","Sao Paulo","","","","","Paysandu"," Mangueirão","5","2","PA","SP"
"72","6","27/4/2003","18:00","Vasco","Sao Caetano","","","","","Vasco"," São Januário","1","0","RJ","SP"
"73","7","3/5/2003","16:00","Flamengo","Vitoria","","","","","Flamengo"," Maracanã","2","1","RJ","BA"
"74","7","3/5/2003","16:00","Bahia","Gremio","","","","","Bahia"," Fonte Nova","2","1","BA","RS"
"75","7","3/5/2003","18:00","Cruzeiro","Athletico-PR","","","","","Cruzeiro"," Mineirão","5","2","MG","PR"
"76","7","4/5/2003","16:00","Fortaleza","Corinthians","","","","","Corinthians"," Castelão","1","2","CE","SP"
"77","7","4/5/2003","16:00","Sao Paulo","Figueirense","","","","","Sao Paulo"," Morumbi","3","2","SP","SC"
"78","7","4/5/2003","16:00","Sao Caetano","Paysandu","","","","","Sao Caetano"," Anacleto Campanella","2","0","SP","PA"
"79","7","4/5/2003","16:00","Internacional","Goias","","","","","Internacional"," Beira Rio","2","1","RS","GO"
"80","7","4/5/2003","16:00","Ponte Preta","Atletico-MG","","","","","Ponte Preta"," Moisés Lucarelli","2","1","SP","MG"
"81","7","4/5/2003","16:00","Juventude","Guarani","","","","","-"," Alfredo Jaconi","1","1","RS","SP"
"82","7","4/5/2003","16:00","Coritiba","Parana","","","","","Coritiba"," Couto Pereira","2","1","PR","PR"
"83","7","4/5/2003","18:00","Criciuma","Santos","","","","","Santos"," Heriberto Hulse","1","3","SC","SP"
"84","7","4/5/2003","18:00","Fluminense","Vasco","","","","","-"," Maracanã","0","0","RJ","RJ"
"85","8","10/5/2003","16:00","Goias","Flamengo","","","","","-"," Serra Dourada","1","1","GO","RJ"
"86","8","10/5/2003","16:00","Santos","Cruzeiro","","","","","Cruzeiro"," Vila Belmiro","0","2","SP","MG"
"87","8","10/5/2003","16:00","Parana","Ponte Preta","","","","","Parana"," Pinheirão","3","2","PR","SP"
"88","8","10/5/2003","18:00","Corinthians","Criciuma","","","","","Corinthians"," Pacaembu","3","0","SP","SC"
"89","8","11/5/2003","16:00","Vasco","Bahia","","","","","-"," São Januário","1","1","RJ","BA"
"90","8","11/5/2003","16:00","Paysandu","Fluminense","","","","","-"," Mangueirão","2","2","PA","RJ"
"91","8","11/5/2003","16:00","Atletico-MG","Sao Paulo","","","","","-"," Mineirão","2","2","MG","SP"
"92","8","11/5/2003","16:00","Vitoria","Fortaleza","","","","","Vitoria"," Barradão","2","1","BA","CE"
"93","8","11/5/2003","16:00","Guarani","Internacional","","","","","Guarani"," Brinco de Ouro","3","0","SP","RS"
"94","8","11/5/2003","16:00","Athletico-PR","Juventude","","","","","Athletico-PR"," Arena da Baixada","2","0","PR","RS"
"95","8","11/5/2003","16:00","Figueirense","Sao Caetano","","","","","Figueirense"," Orlando Scarpelli","3","0","SC","SP"
"96","8","11/5/2003","18:00","Gremio","Coritiba","","","","","Gremio"," Olímpico","1","0","RS","PR"
"97","9","17/5/2003","16:00","Fluminense","Figueirense","","","","","Fluminense"," Maracanã","3","0","RJ","SC"
"98","9","17/5/2003","16:00","Sao Caetano","Atletico-MG","","","","","Sao Caetano"," Anacleto Campanella","2","0","SP","MG"
"99","9","17/5/2003","18:00","Juventude","Santos","","","","","-"," Alfredo Jaconi","1","1","RS","SP"
"100","9","18/5/2003","16:00","Bahia","Paysandu","","","","","Bahia"," Fonte Nova","2","0","BA","PA"
"101","9","18/5/2003","16:00","Internacional","Athletico-PR","","","","","-"," Beira Rio","1","1","RS","PR"
"102","9","18/5/2003","16:00","Coritiba","Vasco","","","","","-"," Couto Pereira","1","1","PR","RJ"
"103","9","18/5/2003","16:00","Cruzeiro","Corinthians","","","","","-"," Mineirão","1","1","MG","SP"
"104","9","18/5/2003","16:00","Fortaleza","Goias","","","","","Fortaleza"," Castelão","1","0","CE","GO"
"105","9","18/5/2003","16:00","Ponte Preta","Gremio","","","","","Ponte Preta"," Moisés Lucarelli","2","1","SP","RS"
"106","9","18/5/2003","16:00","Criciuma","Vitoria","","","","","-"," Heriberto Hulse","1","1","SC","BA"
"107","9","18/5/2003","18:00","Flamengo","Guarani","","","","","-"," Maracanã","1","1","RJ","SP"
"108","9","18/5/2003","18:00","Sao Paulo","Parana","","","","","Sao Paulo"," Morumbi","2","0","SP","PR"
"109","10","24/5/2003","16:00","Atletico-MG","Fluminense","","","","","Atletico-MG","  Independência","3","0","MG","RJ"
"110","10","24/5/2003","16:00","Parana","Sao Caetano","","","","","-"," Pinheirão","1","1","PR","SP"
"111","10","24/5/2003","16:00","Corinthians","Juventude","","","","","Corinthians"," Pacaembu","3","0","SP","RS"
"112","10","24/5/2003","18:00","Vasco","Ponte Preta","","","","","Vasco"," São Januário","1","0","RJ","SP"
"113","10","25/5/2003","16:00","Athletico-PR","Flamengo","","","","","Athletico-PR"," Arena da Baixada","4","1","PR","RJ"
"114","10","25/5/2003","16:00","Paysandu","Coritiba","","","","","Coritiba"," Mangueirão","1","3","PA","PR"
"115","10","25/5/2003","16:00","Goias","Criciuma","","","","","Criciuma"," Serra Dourada","0","2","GO","SC"
"116","10","25/5/2003","16:00","Gremio","Sao Paulo","","","","","Sao Paulo"," Olímpico","1","2","RS","SP"
"117","10","25/5/2003","16:00","Guarani","Fortaleza","","","","","Guarani"," Brinco de Ouro","2","1","SP","CE"
"118","10","25/5/2003","16:00","Figueirense","Bahia","","","","","Figueirense"," Orlando Scarpelli","1","0","SC","BA"
"119","10","25/5/2003","18:00","Vitoria","Cruzeiro","","","","","Vitoria"," Barradão","2","1","BA","MG"
"120","10","25/5/2003","18:00","Santos","Internacional","","","","","Santos"," Vila Belmiro","2","1","SP","RS"
"121","11","31/5/2003","16:00","Fluminense","Athletico-PR","","","","","Fluminense","  Édson Passos","2","1","RJ","PR"
"122","11","31/5/2003","16:00","Cruzeiro","Criciuma","","","","","Cruzeiro"," Mineirão","2","0","MG","SC"
"123","11","31/5/2003","16:00","Coritiba","Guarani","","","","","Coritiba"," Couto Pereira","3","2","PR","SP"
"124","11","31/5/2003","16:00","Ponte Preta","Sao Caetano","","","","","-"," Moisés Lucarelli","0","0","SP","SP"
"125","11","31/5/2003","18:00","Internacional","Paysandu","","","","","Internacional"," Beira Rio","2","1","RS","PA"
"126","11","1/6/2003","16:00","Parana","Flamengo","","","","","Parana"," Pinheirão","6","2","PR","RJ"
"127","11","1/6/2003","16:00","Bahia","Goias","","","","","Bahia"," Fonte Nova","2","1","BA","GO"
"128","11","1/6/2003","16:00","Fortaleza","Juventude","","","","","Fortaleza"," Castelão","3","1","CE","RS"
"129","11","1/6/2003","16:00","Figueirense","Gremio","","","","","Figueirense"," Orlando Scarpelli","2","1","SC","RS"
"130","11","1/6/2003","16:00","Santos","Sao Paulo","","","","","Santos"," Vila Belmiro","3","2","SP","SP"
"131","11","1/6/2003","18:00","Corinthians","Vitoria","","","","","Corinthians"," Pacaembu","4","0","SP","BA"
"132","11","1/6/2003","18:00","Vasco","Atletico-MG","","","","","-"," São Januário","2","2","RJ","MG"
"133","12","7/6/2003","16:00","Vitoria","Fluminense","","","","","Vitoria"," Barradão","2","1","BA","RJ"
"134","12","7/6/2003","16:00","Guarani","Santos","","","","","Santos"," Brinco de Ouro","1","2","SP","SP"
"135","12","7/6/2003","16:00","Gremio","Fortaleza","","","","","Gremio"," Olímpico","3","1","RS","CE"
"136","12","7/6/2003","18:00","Atletico-MG","Figueirense","","","","","-","  Independência","1","1","MG","SC"
"137","12","8/6/2003","16:00","Paysandu","Parana","","","","","Paysandu"," Mangueirão","3","0","PA","PR"
"138","12","8/6/2003","16:00","Juventude","Vasco","","","","","-"," Alfredo Jaconi","0","0","RS","RJ"
"139","12","8/6/2003","16:00","Athletico-PR","Ponte Preta","","","","","Athletico-PR"," Arena da Baixada","4","2","PR","SP"
"140","12","8/6/2003","16:00","Goias","Coritiba","","","","","Coritiba"," Serra Dourada","1","2","GO","PR"
"141","12","8/6/2003","16:00","Sao Caetano","Corinthians","","","","","Sao Caetano"," Anacleto Campanella","1","0","SP","SP"
"142","12","8/6/2003","18:00","Criciuma","Internacional","","","","","Criciuma"," Heriberto Hulse","1","0","SC","RS"
"143","12","8/6/2003","18:00","Sao Paulo","Bahia","","","","","-"," Morumbi","2","2","SP","BA"
"145","13","14/6/2003","16:00","Fluminense","Goias","","","","","Goias"," Maracanã","2","3","RJ","GO"
"146","13","14/6/2003","16:00","Ponte Preta","Guarani","","","","","Guarani"," Moisés Lucarelli","0","2","SP","SP"
"147","13","14/6/2003","18:00","Coritiba","Athletico-PR","","","","","Coritiba"," Couto Pereira","2","0","PR","PR"
"148","13","15/6/2003","16:00","Corinthians","Sao Paulo","","","","","Sao Paulo"," Morumbi","1","2","SP","SP"
"149","13","15/6/2003","16:00","Fortaleza","Paysandu","","","","","Paysandu"," Presidente Vargas","1","2","CE","PA"
"150","13","15/6/2003","16:00","Parana","Juventude","","","","","Juventude"," Pinheirão","1","2","PR","RS"
"151","13","15/6/2003","16:00","Gremio","Internacional","","","","","-"," Olímpico","0","0","RS","RS"
"152","13","15/6/2003","16:00","Santos","Sao Caetano","","","","","Sao Caetano"," Vila Belmiro","0","1","SP","SP"
"153","13","15/6/2003","16:00","Criciuma","Figueirense","","","","","Criciuma"," Heriberto Hulse","1","0","SC","SC"
"154","13","15/6/2003","16:00","Bahia","Vitoria","","","","","Bahia"," Fonte Nova","2","1","BA","BA"
"155","13","15/6/2003","18:00","Vasco","Flamengo","","","","","Flamengo"," Maracanã","1","2","RJ","RJ"
"156","13","15/6/2003","18:00","Cruzeiro","Atletico-MG","","","","","-"," Mineirão","0","0","MG","MG"
"157","14","19/6/2003","16:00","Bahia","Coritiba","","","","","-"," Fonte Nova","2","2","BA","PR"
"158","14","21/6/2003","16:00","Vasco","Criciuma","","","","","Vasco"," São Januário","2","0","RJ","SC"
"159","14","21/6/2003","16:00","Atletico-MG","Gremio","","","","","Atletico-MG"," Mineirão","3","2","MG","RS"
"160","14","21/6/2003","16:00","Internacional","Parana","","","","","Internacional"," Beira Rio","2","1","RS","PR"
"161","14","21/6/2003","18:00","Sao Paulo","Goias","","","","","Sao Paulo"," Morumbi","1","0","SP","GO"
"162","14","22/6/2003","16:00","Paysandu","Flamengo","","","","","-"," Mangueirão","2","2","PA","RJ"
"163","14","22/6/2003","16:00","Ponte Preta","Corinthians","","","","","-"," Moisés Lucarelli","3","3","SP","SP"
"164","14","22/6/2003","16:00","Sao Caetano","Vitoria","","","","","Sao Caetano"," Anacleto Campanella","2","1","SP","BA"
"165","14","22/6/2003","16:00","Figueirense","Fortaleza","","","","","-"," Orlando Scarpelli","2","2","SC","CE"
"166","14","22/6/2003","18:00","Juventude","Cruzeiro","","","","","Cruzeiro"," Alfredo Jaconi","0","1","RS","MG"
"167","14","22/6/2003","18:00","Fluminense","Guarani","","","","","Fluminense"," Maracanã","5","2","RJ","SP"
"168","15","28/6/2003","16:00","Fortaleza","Vasco","","","","","Vasco"," Castelão","0","1","CE","RJ"
"169","15","28/6/2003","16:00","Coritiba","Sao Caetano","","","","","Coritiba"," Couto Pereira","2","0","PR","SP"
"170","15","28/6/2003","16:00","Gremio","Juventude","","","","","Juventude"," Olímpico","1","4","RS","RS"
"171","15","28/6/2003","16:00","Santos","Bahia","","","","","Santos"," Vila Belmiro","4","0","SP","BA"
"172","15","28/6/2003","18:00","Flamengo","Figueirense","","","","","Figueirense"," Maracanã","0","2","RJ","SC"
"173","15","29/6/2003","16:00","Corinthians","Fluminense","","","","","Corinthians"," Pacaembu","1","0","SP","RJ"
"174","15","29/6/2003","16:00","Guarani","Sao Paulo","","","","","Sao Paulo"," Brinco de Ouro","0","1","SP","SP"
"175","15","29/6/2003","16:00","Criciuma","Paysandu","","","","","Criciuma"," Heriberto Hulse","2","0","SC","PA"
"176","15","29/6/2003","16:00","Vitoria","Athletico-PR","","","","","Vitoria"," Barradão","1","0","BA","PR"
"177","15","29/6/2003","18:00","Cruzeiro","Internacional","","","","","Cruzeiro"," Mineirão","3","2","MG","RS"
"178","15","29/6/2003","18:00","Parana","Atletico-MG","","","","","-"," Pinheirão","1","1","PR","MG"
"181","16","5/7/2003","16:00","Vasco","Parana","","","","","Parana"," São Januário","1","4","RJ","PR"
"182","16","5/7/2003","16:00","Sao Paulo","Sao Caetano","","","","","-"," Morumbi","1","1","SP","SP"
"183","16","5/7/2003","16:00","Figueirense","Cruzeiro","","","","","Figueirense"," Orlando Scarpelli","1","0","SC","MG"
"184","16","5/7/2003","16:00","Atletico-MG","Paysandu","","","","","Atletico-MG","  Independência","3","2","MG","PA"
"185","16","6/7/2003","16:00","Gremio","Flamengo","","","","","Gremio"," Olímpico","2","0","RS","RJ"
"186","16","6/7/2003","16:00","Guarani","Goias","","","","","Guarani"," Brinco de Ouro","3","2","SP","GO"
"187","16","6/7/2003","16:00","Athletico-PR","Corinthians","","","","","Athletico-PR"," Arena da Baixada","3","1","PR","SP"
"188","16","6/7/2003","16:00","Juventude","Internacional","","","","","-"," Alfredo Jaconi","1","1","RS","RS"
"189","16","6/7/2003","16:00","Fortaleza","Criciuma","","","","","Criciuma"," Presidente Vargas","0","1","CE","SC"
"190","16","6/7/2003","16:00","Vitoria","Ponte Preta","","","","","Ponte Preta"," Barradão","1","4","BA","SP"
"191","16","6/7/2003","18:00","Santos","Coritiba","","","","","Santos"," Vila Belmiro","3","1","SP","PR"
"192","16","6/7/2003","18:00","Fluminense","Bahia","","","","","Fluminense"," Maracanã","1","0","RJ","BA"
"193","17","9/7/2003","16:00","Sao Caetano","Athletico-PR","","","","","-"," Anacleto Campanella","0","0","SP","PR"
"194","17","9/7/2003","16:00","Corinthians","Santos","","","","","-"," Morumbi","1","1","SP","SP"
"195","17","9/7/2003","20:30","Cruzeiro","Fortaleza","","","","","Cruzeiro"," Mineirão","2","0","MG","CE"
"196","17","9/7/2003","20:30","Bahia","Guarani","","","","","Bahia"," Fonte Nova","2","0","BA","SP"
"197","17","9/7/2003","20:30","Paysandu","Figueirense","","","","","Paysandu"," Mangueirão","1","0","PA","SC"
"198","17","9/7/2003","20:30","Goias","Vitoria","","","","","-"," Serra Dourada","1","1","GO","BA"
"199","17","9/7/2003","20:30","Flamengo","Juventude","","","","","Flamengo"," Maracanã","2","1","RJ","RS"
"200","17","9/7/2003","21:40","Internacional","Vasco","","","","","Internacional"," Beira Rio","2","1","RS","RJ"
"201","17","9/7/2003","21:40","Coritiba","Sao Paulo","","","","","Sao Paulo"," Couto Pereira","0","2","PR","SP"
"202","17","10/7/2003","20:30","Ponte Preta","Fluminense","","","","","Ponte Preta"," Moisés Lucarelli","3","0","SP","RJ"
"203","17","10/7/2003","20:30","Criciuma","Atletico-MG","","","","","Criciuma"," Heriberto Hulse","1","0","SC","MG"
"204","17","10/7/2003","20:30","Parana","Gremio","","","","","Parana"," Pinheirão","3","1","PR","RS"
"205","18","12/7/2003","16:00","Athletico-PR","Goias","","","","","-"," Arena da Baixada","0","0","PR","GO"
"206","18","12/7/2003","16:00","Fortaleza","Internacional","","","","","Fortaleza"," Castelão","3","0","CE","RS"
"207","18","12/7/2003","18:00","Vasco","Paysandu","","","","","Paysandu"," São Januário","0","2","RJ","PA"
"208","18","13/7/2003","16:00","Atletico-MG","Flamengo","","","","","Atletico-MG"," Mineirão","1","0","MG","RJ"
"209","18","13/7/2003","16:00","Ponte Preta","Bahia","","","","","Ponte Preta"," Moisés Lucarelli","1","0","SP","BA"
"210","18","13/7/2003","16:00","Corinthians","Coritiba","","","","","Coritiba"," Morumbi","0","1","SP","PR"
"211","18","13/7/2003","16:00","Criciuma","Juventude","","","","","Criciuma"," Heriberto Hulse","3","0","SC","RS"
"212","18","13/7/2003","16:00","Figueirense","Parana","","","","","Figueirense"," Orlando Scarpelli","4","2","SC","PR"
"213","18","13/7/2003","16:00","Sao Caetano","Guarani","","","","","Guarani"," Anacleto Campanella","0","2","SP","SP"
"214","18","13/7/2003","16:00","Fluminense","Sao Paulo","","","","","Sao Paulo"," Maracanã","1","3","RJ","SP"
"215","18","13/7/2003","18:00","Gremio","Cruzeiro","","","","","Cruzeiro"," Olímpico","0","1","RS","MG"
"216","18","13/7/2003","18:00","Vitoria","Santos","","","","","Vitoria"," Barradão","2","0","BA","SP"
"217","19","16/7/2003","20:30","Flamengo","Fortaleza","","","","","Fortaleza"," Maracanã","0","2","RJ","CE"
"218","19","16/7/2003","20:30","Juventude","Figueirense","","","","","Figueirense"," Alfredo Jaconi","1","2","RS","SC"
"219","19","16/7/2003","20:30","Bahia","Sao Caetano","","","","","-"," Fonte Nova","0","0","BA","SP"
"220","19","16/7/2003","20:30","Coritiba","Fluminense","","","","","Coritiba"," Couto Pereira","3","0","PR","RJ"
"221","19","16/7/2003","20:30","Guarani","Vitoria","","","","","-"," Brinco de Ouro","2","2","SP","BA"
"222","19","16/7/2003","20:30","Internacional","Atletico-MG","","","","","-"," Beira Rio","3","3","RS","MG"
"223","19","16/7/2003","21:40","Santos","Ponte Preta","","","","","Santos"," Vila Belmiro","2","1","SP","SP"
"224","19","16/7/2003","21:40","Cruzeiro","Vasco","","","","","Cruzeiro"," Mineirão","4","1","MG","RJ"
"225","19","16/7/2003","21:40","Goias","Corinthians","","","","","-"," Serra Dourada","1","1","GO","SP"
"226","19","17/7/2003","20:30","Paysandu","Gremio","","","","","-"," Mangueirão","1","1","PA","RS"
"227","19","17/7/2003","20:30","Sao Paulo","Athletico-PR","","","","","Sao Paulo"," Morumbi","2","0","SP","PR"
"229","20","19/7/2003","16:00","Fluminense","Santos","","","","","Santos","  Giulite Coutinho","1","4","RJ","SP"
"230","20","19/7/2003","16:00","Corinthians","Guarani","","","","","Corinthians"," Pacaembu","1","0","SP","SP"
"231","20","19/7/2003","16:00","Fortaleza","Atletico-MG","","","","","Fortaleza"," Castelão","4","3","CE","MG"
"232","20","19/7/2003","18:00","Internacional","Figueirense","","","","","Internacional"," Beira Rio","3","0","RS","SC"
"233","20","20/7/2003","16:00","Juventude","Paysandu","","","","","Juventude"," Alfredo Jaconi","2","0","RS","PA"
"234","20","20/7/2003","16:00","Athletico-PR","Bahia","","","","","Athletico-PR"," Arena da Baixada","2","1","PR","BA"
"235","20","20/7/2003","16:00","Ponte Preta","Coritiba","","","","","-"," Moisés Lucarelli","1","1","SP","PR"
"236","20","20/7/2003","16:00","Criciuma","Flamengo","","","","","Criciuma"," Heriberto Hulse","4","3","SC","RJ"
"237","20","20/7/2003","16:00","Goias","Sao Caetano","","","","","Goias"," Serra Dourada","2","1","GO","SP"
"238","20","20/7/2003","16:00","Vitoria","Sao Paulo","","","","","Sao Paulo"," Barradão","0","2","BA","SP"
"239","20","20/7/2003","18:00","Cruzeiro","Parana","","","","","Cruzeiro"," Mineirão","5","1","MG","PR"
"240","20","20/7/2003","18:00","Vasco","Gremio","","","","","Vasco"," São Januário","2","0","RJ","RS"
"241","21","23/7/2003","20:30","Parana","Fortaleza","","","","","Parana"," Pinheirão","4","1","PR","CE"
"242","21","23/7/2003","20:30","Atletico-MG","Juventude","","","","","Atletico-MG"," Mineirão","2","1","MG","RS"
"243","21","23/7/2003","20:30","Paysandu","Cruzeiro","","","","","Paysandu"," Mangueirão","3","0","PA","MG"
"244","21","23/7/2003","20:30","Guarani","Athletico-PR","","","","","Guarani"," Brinco de Ouro","1","0","SP","PR"
