"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","I","PE","PP","RB","CA","CV","SG","DD","DP","GS","GC"
"24","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/07/14/c2a0b87e385e6c928a8460ec1a0ed143_FORMATO.png",42232,32,315,"mei","Provável",0.8,2.87,-0.02,1.07,"Chapecoense",NA,9,NA,3,2,NA,NA,NA,4,NA,10,1,NA,NA,NA,NA,NA,NA
"25","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,32,283,"lat","Nulo",0,10.34,0,4.38,"Cruzeiro",1,25,8,7,19,NA,NA,1,61,NA,37,1,NA,8,NA,NA,NA,NA
"26","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,32,275,"ata","Nulo",-0.8,7.38,-0.36,2.8,"Palmeiras",1,11,7,5,14,1,4,3,22,NA,4,1,1,NA,NA,NA,NA,NA
"27","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,32,264,"lat","Dúvida",0,12.65,0,4.89,"Corinthians",2,19,5,4,33,NA,1,NA,73,NA,40,5,NA,9,NA,NA,NA,NA
"28","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,32,356,"ata","Suspenso",6.4,6.6,0.49,2.63,"Fortaleza",5,23,7,16,16,2,3,NA,34,NA,13,3,1,NA,NA,NA,NA,NA
"29","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,32,293,"lat","Provável",4.4,6.13,0.12,2.59,"Athlético-PR",3,32,1,4,23,NA,NA,3,48,NA,17,5,NA,9,NA,NA,NA,NA
"30","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,32,264,"gol","Nulo",0,7.34,0,3.02,"Corinthians",NA,1,NA,NA,5,NA,NA,NA,12,NA,NA,6,NA,10,25,1,23,NA
"31","Maurício Donizete Ramos Júnior","mauricio-ramos","Maurício Ramos","https://s.glbimg.com/es/sde/f/2019/08/16/019effb07a1b8eb64d39d92e80bdc238_FORMATO.png",42477,32,315,"zag","Nulo",0,4.98,0,1.92,"Chapecoense",NA,15,2,1,9,NA,NA,NA,14,NA,6,1,NA,4,NA,NA,NA,NA
"32","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2019/04/26/d902e9b106945142d1e4b989287abaa1_FORMATO.png",42499,32,285,"lat","Nulo",0,4.24,0,2.35,"Internacional",NA,7,NA,1,5,NA,NA,NA,15,NA,7,1,1,4,NA,NA,NA,NA
"33","Sebastião Sousa Costa","tiao","Tião","https://s.glbimg.com/es/sde/f/2019/04/01/2f2d8115868a8a24ba14c10ce4bc4fa2_FORMATO.png",47134,32,356,"mei","Nulo",0,1,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2019/09/04/773ad9e26e2760e008e5aafe52ef90f3_FORMATO.png",50284,32,282,"gol","Nulo",0,4.21,0,1.97,"Atlético-MG",NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,9,NA
"35","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2019/04/26/51d02738aaf54038d8131123fd325008_FORMATO.png",42501,32,262,"zag","Nulo",0,4.62,0,2.12,"Flamengo",NA,4,1,1,NA,NA,NA,NA,3,NA,1,NA,NA,2,NA,NA,NA,NA
"36","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2019/02/27/6fa92b9ae476bc3a5c60c6beed20ac71_FORMATO.png",49651,32,265,"zag","Nulo",0,10.78,0,4.64,"Bahia",NA,2,NA,NA,4,1,1,NA,3,NA,4,NA,NA,4,NA,NA,NA,NA
"37","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,32,315,"mei","Nulo",0,4.58,0,0.82,"Chapecoense",NA,23,3,9,19,NA,NA,NA,25,NA,15,5,NA,NA,NA,NA,NA,NA
"38","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2019/05/04/999c57638fe8815a7060966d05a4be93_FORMATO.png",50294,32,266,"mei","Nulo",0.5,2.7,-0.17,-0.17,"Fluminense",NA,4,NA,3,3,NA,NA,NA,7,NA,2,2,NA,NA,NA,NA,NA,NA
"39","Alexandre Rodrigues da Silva","alexandre-pato","Alexandre Pato","https://s.glbimg.com/es/sde/f/2019/03/29/eeca6b8bc1af0980d000db756e4c61ec_FORMATO.png",49675,32,276,"ata","Dúvida",0,8.27,0,3.81,"São Paulo",NA,19,13,20,29,NA,5,13,37,NA,14,2,NA,NA,NA,NA,NA,NA
"40","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,32,284,"gol","Contundido",0,6.29,0,4.34,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,17,NA,13,NA
"41","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2019/04/01/f6dbb421ca616441bbb6ab053b0bbd90_FORMATO.png",50301,32,276,"mei","Contundido",0,7.34,0,1.68,"São Paulo",2,32,3,3,22,NA,1,7,31,NA,18,3,NA,NA,NA,NA,NA,NA
"42","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/12/5f154e14178b2e22a7884dd5b6c9ab84_FORMATO.png",50317,32,284,"zag","Provável",12.2,10.49,0.87,5.38,"Grêmio",2,13,3,9,2,NA,2,NA,16,NA,23,NA,NA,5,NA,NA,NA,NA
"43","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,32,275,"mei","Nulo",0,6.79,0,1.17,"Palmeiras",NA,2,NA,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"44","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2019/04/01/9e5f146e4b4c3975e459435a5ebde804_FORMATO.png",50324,32,276,"mei","Nulo",0,8.89,0,2.13,"São Paulo",1,25,4,1,10,NA,1,1,18,NA,22,3,NA,NA,NA,NA,NA,NA
"45","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,32,284,"zag","Contundido",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/01/14/819c40f79c6d36a3a715ac4cc0e6ddba_FORMATO.jpeg",68920,32,275,"ata","Provável",4.7,18.73,0.78,5.69,"Palmeiras",4,24,22,26,95,2,6,6,72,NA,11,3,NA,NA,NA,NA,NA,NA
"47","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2019/05/28/e0cc239d7bd9a209bfdc1fecccf39567_FORMATO.png",68911,32,263,"ata","Nulo",6.5,6.95,0.97,2.65,"Botafogo",1,30,11,12,49,1,6,9,50,NA,7,4,NA,NA,NA,NA,NA,NA
"48","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,32,282,"gol","Nulo",0,6.56,0,3.32,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,1,17,NA,11,NA
"49","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2019/05/23/8ef54147edc589e8e177c09584065867_FORMATO.png",69014,32,264,"zag","Provável",0.8,10.56,-0.08,3.68,"Corinthians",NA,24,2,6,11,NA,1,NA,34,NA,28,1,NA,11,NA,NA,NA,1
"50","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,32,282,"mei","Contundido",0,8.31,0,1.45,"Atlético-MG",1,29,5,8,17,1,1,NA,63,NA,28,3,1,NA,NA,NA,NA,NA
"51","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,32,356,"mei","Provável",-2.8,6.29,-0.8,2.85,"Fortaleza",4,46,10,20,23,NA,2,NA,65,NA,38,4,NA,NA,NA,NA,NA,1
"52","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,32,283,"zag","Contundido",0,14.63,0,5.08,"Cruzeiro",NA,14,4,6,21,NA,3,NA,45,NA,28,2,NA,8,NA,NA,NA,NA
"53","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2019/03/22/98a0ece4c6b60ee9652ec2c1e371f056_FORMATO.png",69047,32,356,"mei","Nulo",0,3.66,0,0.68,"Fortaleza",NA,5,NA,1,7,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA
"54","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2019/07/08/b55d0e8a8f26380aedc02448bac387cb_FORMATO.png",69041,32,266,"gol","Contundido",-1,6.82,-1.45,5.13,"Fluminense",NA,1,NA,NA,6,NA,NA,NA,6,NA,NA,1,NA,7,37,NA,21,NA
"55","Marcelo Cirino da Silva","marcelo-cirino","Marcelo Cirino","https://s.glbimg.com/es/sde/f/2019/03/30/c8469dc064bfee30f2576ca3d65fc15b_FORMATO.png",69022,32,293,"ata","Dúvida",10.6,10.18,1.88,4.54,"Athlético-PR",2,19,7,16,25,1,9,6,35,NA,15,NA,NA,NA,NA,NA,NA,NA
"56","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2019/03/25/4bc2171f8c51b2c85199265874ecd26c_FORMATO.png",69040,32,314,"gol","Provável",2,7.51,0.39,4.2,"Avaí",NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,3,NA,7,59,NA,42,NA
"57","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,32,356,"mei","Nulo",0,2.96,0,-0.43,"Fortaleza",NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"58","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,32,285,"lat","Provável",-0.2,3.37,0.05,2.73,"Internacional",1,17,2,4,5,NA,NA,4,37,NA,21,1,NA,4,NA,NA,NA,NA
"59","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2019/04/26/ff9a95bc3d5696feb8d8d55b5b47f12b_FORMATO.png",69051,32,285,"gol","Nulo",0,6.1,0,6.14,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,12,NA,5,NA
"60","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,32,282,"lat","Provável",6.7,5.05,0.33,2.36,"Atlético-MG",1,26,5,8,6,NA,1,1,46,NA,15,3,NA,5,NA,NA,NA,NA
"61","Rodolfo Vicente Gamarra Varela","gamarra","Gamarra","https://s.glbimg.com/es/sde/f/2019/07/08/d5b3fba549a4fd01075274610e2c1fe0_FORMATO.png",69288,32,341,"ata","Nulo",0,5.34,0,0.2,"CSA",NA,2,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"62","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2019/08/23/69269a509e22002208076d8511c9258a_FORMATO.png",69177,32,314,"lat","Provável",0,4.35,0,2.43,"Avaí",2,29,NA,8,21,NA,NA,NA,25,NA,21,5,2,4,NA,NA,NA,NA
"63","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,32,265,"ata","Dúvida",-0.1,15.81,-0.65,5.94,"Bahia",3,28,14,25,15,2,11,8,30,NA,20,1,NA,NA,NA,NA,NA,NA
"64","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,32,283,"mei","Contundido",0,5.52,0,2.48,"Cruzeiro",NA,3,1,3,7,NA,1,1,9,NA,4,2,NA,NA,NA,NA,NA,NA
"65","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,32,276,"ata","Provável",1,12.35,-0.03,3.12,"São Paulo",NA,16,2,10,6,1,3,6,6,NA,3,2,NA,NA,NA,NA,NA,NA
"66","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/06/14/c5f4be26e84f8c3952f53a185dfb8ea5_FORMATO.png",62009,32,315,"mei","Provável",2.9,6.85,0.1,2.64,"Chapecoense",4,31,11,18,22,1,1,5,51,NA,19,2,NA,NA,NA,NA,NA,NA
"67","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/09/16/971dab9cc4ede1bc2109cfaa33591b2e_FORMATO.png",61985,32,266,"mei","Nulo",0,2.38,0,-0.39,"Fluminense",NA,10,NA,NA,11,NA,NA,NA,7,NA,5,2,1,NA,NA,NA,NA,NA
"68","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,32,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Ricardo Bueno da Silva","ricardo-bueno","Ricardo Bueno","https://s.glbimg.com/es/sde/f/2019/07/08/1f73cdfaf6d211abebbace364f7e2da6_FORMATO.png",69141,32,341,"ata","Provável",-0.1,13.91,-0.11,3.51,"CSA",2,28,9,11,37,NA,7,13,28,1,13,5,NA,NA,NA,NA,NA,NA
"70","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2019/07/24/56b02ff991db7a46958a717d7e7bebcb_FORMATO.png",61149,32,265,"ata","Nulo",0,4.94,0,2.05,"Bahia",NA,14,9,6,21,NA,NA,1,16,NA,10,1,NA,NA,NA,NA,NA,NA
"71","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,32,293,"mei","Provável",5,15.75,0.21,4.57,"Athlético-PR",2,14,18,18,17,1,4,3,27,NA,12,2,NA,NA,NA,NA,NA,NA
"72","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2019/05/23/6a353db88a96b39b63e2ff4a5b79226d_FORMATO.png",69161,32,264,"ata","Provável",1.1,4.46,-2.43,3.59,"Corinthians",2,10,8,6,15,NA,5,2,18,NA,2,3,NA,NA,NA,NA,NA,NA
"73","Romulo Borges Monteiro","romulo","Romulo","https://s.glbimg.com/es/sde/f/2019/03/30/b06f6bb3a42e7565fe15d4abdbbbe956_FORMATO.png",70009,32,284,"mei","Nulo",0,4.41,0,1.9,"Grêmio",NA,23,2,4,11,NA,2,NA,18,NA,15,3,NA,NA,NA,NA,NA,NA
"74","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,32,277,"lat","Nulo",14.3,12.22,1.7,4.71,"Santos",1,11,6,5,13,NA,NA,1,55,NA,33,3,NA,12,NA,NA,NA,NA
"75","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/09/27/100cf375e588a977ea2906da9ed2694f_FORMATO.png",62974,32,267,"zag","Nulo",7.5,1.83,1.05,0.37,"Vasco",NA,5,3,NA,3,NA,NA,3,5,NA,2,NA,NA,1,NA,NA,NA,1
"76","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2019/01/14/207e69e5aa0f7a726fd16599f889feec_FORMATO.jpeg",62047,32,275,"mei","Nulo",0,3.5,0,-0.04,"Palmeiras",NA,2,NA,1,1,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA
"77","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,32,285,"mei","Provável",1.2,5.88,0.42,0.72,"Internacional",1,5,9,7,14,1,1,6,63,1,8,5,NA,NA,NA,NA,NA,NA
"78","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,32,277,"lat","Provável",0,4.78,0,2.19,"Santos",NA,16,NA,1,8,NA,NA,NA,14,NA,14,4,NA,5,NA,NA,NA,NA
"79","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2019/04/29/066e54215a4994be68b64958a2b3d326_FORMATO.png",71844,32,354,"mei","Provável",0.5,11.52,-0.96,5.01,"Ceará",1,28,19,26,41,2,10,8,75,1,24,3,NA,NA,NA,NA,NA,NA
"80","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,32,283,"mei","Provável",2.2,5.67,0.28,0.56,"Cruzeiro",1,33,5,16,24,NA,1,NA,96,NA,19,7,NA,NA,NA,NA,NA,NA
"81","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2019/03/26/c1b84ba942df91f5064aabec2e10f1de_FORMATO.png",70116,32,267,"mei","Nulo",0,4.91,0,2.91,"Vasco",NA,10,3,12,6,NA,1,NA,11,NA,16,4,NA,NA,NA,NA,NA,NA
