"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","I","PE","RB","A","CA","G","SG","CV","DD","DP","GS","PP","GC","FT"
"11","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,15,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,15,284,"lat","Provável",1,5.69,0.21,3,"Grêmio",2,NA,1,7,NA,21,6,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"13","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/06/14/c5f4be26e84f8c3952f53a185dfb8ea5_FORMATO.png",62009,15,315,"mei","Provável",-1.3,6.14,-0.23,2.87,"Chapecoense",10,6,8,10,2,25,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/03/21/d608f479e030bba9eaacc9453619b564_FORMATO.png",61985,15,266,"mei","Nulo",0,2.46,0,-0.55,"Fluminense",6,NA,NA,9,NA,6,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"15","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,15,283,"mei","Provável",2.5,8.02,-0.41,4.08,"Cruzeiro",15,2,8,12,1,13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,15,283,"gol","Provável",8,10.95,1.53,3.33,"Cruzeiro",NA,NA,NA,1,NA,2,NA,NA,NA,NA,4,NA,15,1,16,NA,NA,NA
"17","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,15,285,"mei","Nulo",0,6.15,0,1.26,"Internacional",NA,4,4,6,3,33,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"18","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2019/01/14/207e69e5aa0f7a726fd16599f889feec_FORMATO.jpeg",62047,15,275,"mei","Nulo",0,4.33,0,-1,"Palmeiras",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2019/02/27/c71b608a8727463f7418750e4b406c48_FORMATO.png",62033,15,265,"ata","Provável",3.2,7.02,0.71,2.63,"Bahia",4,6,12,11,4,9,5,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"20","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,15,277,"lat","Nulo",-1.1,4.44,-0.98,1.93,"Santos",7,NA,NA,5,NA,10,9,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"21","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,15,277,"gol","Nulo",0,22.89,0,7.97,"Santos",NA,NA,NA,2,NA,4,NA,NA,NA,NA,3,NA,15,NA,6,NA,NA,NA
"22","Maicon Marques Bitencourt","maicon","Maicon","https://s.glbimg.com/es/sde/f/2019/03/29/32816f651b7a79f953bfbe551d47c80e_FORMATO.png",62968,15,282,"ata","Nulo",0,6.27,0,2.6,"Atlético-MG",2,NA,1,2,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2019/08/16/9d0715fe38cb5c9bb0f4b71ba53c7040_FORMATO.png",62137,15,354,"tec","Provável",2.1,10.89,-0.47,3.66,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/09/27/100cf375e588a977ea2906da9ed2694f_FORMATO.png",62974,15,267,"zag","Nulo",0,0.75,0,-1.08,"Vasco",4,3,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"25","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,15,293,"mei","Provável",-1.1,0.78,0.02,-1.32,"Athlético-PR",19,NA,NA,3,NA,25,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,15,314,"zag","Provável",5.2,4.69,0.8,2.4,"Avaí",11,NA,1,15,NA,26,21,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA
"27","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,15,290,"ata","Suspenso",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,15,283,"mei","Nulo",-0.8,6,-0.01,0.93,"Cruzeiro",16,2,7,11,NA,54,10,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"29","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/01/14/5b1562d1bba27830fd9ed3e313848728_FORMATO.jpeg",71631,15,275,"gol","Nulo",1,13.5,0.53,3.64,"Palmeiras",NA,NA,NA,3,NA,4,NA,NA,NA,NA,3,NA,13,NA,9,NA,NA,NA
"30","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2019/04/01/92b08d76fca5665f16a0fee09fbc07d2_FORMATO.png",63058,15,276,"mei","Nulo",0,3,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2019/02/04/c331ee1720c436a925256baca5841194_FORMATO.png",62977,15,266,"mei","Nulo",2.9,8.2,0.76,2.28,"Fluminense",9,6,10,14,NA,33,10,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2019/01/14/7f464fdea223af04dca8d52a2ac4d9d7_FORMATO.jpeg",63013,15,275,"lat","Nulo",-0.3,15.34,-0.83,5.75,"Palmeiras",16,NA,3,10,NA,22,22,1,1,1,3,NA,NA,NA,NA,NA,NA,NA
"33","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,15,315,"zag","Nulo",0,3.12,0,0.3,"Chapecoense",15,NA,4,2,NA,9,6,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"34","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2018/05/24/ddefa1a922260aeb7a1835dd4a8117f5_FORMATO.png",63110,15,315,"lat","Nulo",0,4.44,0,0.8,"Chapecoense",16,2,1,14,NA,8,4,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"35","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,15,356,"lat","Provável",0,5.58,0,3.53,"Fortaleza",21,3,6,9,1,25,26,1,2,1,1,1,NA,NA,NA,NA,NA,NA
"36","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,15,266,"gol","Suspenso",0,2.22,0,-0.67,"Fluminense",NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,7,NA,12,NA,NA,NA
"37","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,15,282,"mei","Nulo",0,7.36,0,3.08,"Atlético-MG",16,3,7,19,NA,33,22,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"38","Cícero dos Santos Bezerra","didira","Didira","https://s.glbimg.com/es/sde/f/2019/03/23/53d76a1f4b80cf6193e40d704877fbab_FORMATO.png",63178,15,341,"mei","Dúvida",0,4.9,0,1.38,"CSA",14,2,3,14,NA,21,16,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,15,285,"mei","Nulo",0,9.01,0,3.22,"Internacional",10,3,1,10,NA,24,8,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"40","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,15,285,"zag","Nulo",0,7.15,0,4.85,"Internacional",2,1,1,1,NA,3,7,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"41","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2019/05/13/8694db2e75af48647f99b643845dac13_FORMATO.png",68696,15,354,"ata","Nulo",0,4.48,0,1.4,"Ceará",10,5,8,9,4,9,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,15,284,"ata","Nulo",0,8.69,0,2.27,"Grêmio",10,4,4,11,3,11,6,1,1,1,NA,NA,NA,NA,NA,1,NA,1
"43","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2019/04/01/3e050c01c28897f628b2b5b275392576_FORMATO.png",63422,15,276,"mei","Nulo",0,8,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2019/08/13/20926f65de350a35d2b3122e69b68821_FORMATO.png",68698,15,285,"mei","Provável",2.9,7.99,0.26,3.64,"Internacional",12,1,2,10,NA,12,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2019/03/30/81d88455f0c9a28fc1bf58482da871c1_FORMATO.png",68770,15,293,"mei","Suspenso",0,4.3,0,1.2,"Athlético-PR",1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2019/03/30/c914f02dc858484095b4c076f9ee33f9_FORMATO.png",68821,15,284,"lat","Nulo",0,3.95,0,3.87,"Grêmio",1,NA,NA,1,1,8,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"47","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2019/02/04/ee21ad2d06f9472ebeac2c604d782d83_FORMATO.png",68727,15,283,"lat","Provável",7.8,7.03,1.35,3.29,"Cruzeiro",12,2,2,4,NA,26,11,NA,1,NA,4,NA,NA,NA,NA,NA,NA,1
"48","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,15,265,"lat","Nulo",0,11.78,0,4.89,"Bahia",12,3,4,14,NA,23,16,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA
"49","Henrique Almeida Caixeta Nascentes","henrique-almeida","Henrique Almeida","https://s.glbimg.com/es/sde/f/2019/07/25/828af9fc6a19344c0716c18dd2ca67d2_FORMATO.png",68773,15,315,"ata","Nulo",0,3.98,0,2.4,"Chapecoense",1,NA,2,3,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,15,284,"zag","Provável",0,3.81,-0.37,0.85,"Grêmio",8,NA,NA,2,NA,2,6,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA
"51","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,15,285,"mei","Provável",2.2,5.79,-0.42,4.17,"Internacional",10,1,2,6,NA,11,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,15,266,"zag","Nulo",0,5.45,0,0.88,"Fluminense",6,NA,1,3,1,6,9,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"53","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2019/08/16/0978fb4a6b4e2c7cc691e71d77c74a9c_FORMATO.png",68872,15,285,"gol","Nulo",0,11.66,0,5,"Internacional",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,NA,20,NA,11,NA,NA,NA
"54","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,15,285,"ata","Provável",12.2,7.16,2.38,3.29,"Internacional",1,3,3,16,NA,15,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2019/06/20/61b536c18d17747b369b6037b3390866_FORMATO.png",68887,15,315,"zag","Provável",3.8,7.29,0.32,2.26,"Chapecoense",7,3,5,11,2,32,8,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"56","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,15,284,"gol","Nulo",0,4.63,0,3.37,"Grêmio",NA,NA,NA,1,NA,9,NA,NA,NA,NA,4,NA,12,NA,10,NA,NA,NA
"57","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/01/14/819c40f79c6d36a3a715ac4cc0e6ddba_FORMATO.jpeg",68920,15,275,"ata","Nulo",14.1,20.95,-0.62,7.75,"Palmeiras",7,7,15,41,3,23,7,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
"58","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/09/27/7b0ec92bd9cd8803ca0b44dec6637586_FORMATO.png",68896,15,267,"lat","Nulo",0,5,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2019/05/28/e0cc239d7bd9a209bfdc1fecccf39567_FORMATO.png",68911,15,263,"ata","Provável",2.3,5.94,-0.75,2.67,"Botafogo",18,6,5,20,6,26,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,1
"60","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2019/03/22/fb5c74a8057f05313adc6f9c2a6a4783_FORMATO.png",68901,15,263,"ata","Dúvida",-0.4,1.69,0.26,0.72,"Botafogo",18,4,7,4,2,32,11,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Geovane Batista de Faria","geovane","Geovane","https://s.glbimg.com/es/sde/f/2019/03/26/c9e38ba62632fce4509a3f9e0181914f_FORMATO.png",71667,15,290,"mei","Provável",0,2.84,0,0.73,"Goiás",33,1,8,8,NA,32,20,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2019/03/27/9bfae7e4b63cac57b0bc415f46d1ab65_FORMATO.png",68938,15,290,"mei","Contundido",0,4.32,0,1.76,"Goiás",16,6,8,15,NA,37,14,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"63","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,15,282,"zag","Nulo",0,4.32,0,0.42,"Atlético-MG",1,NA,NA,4,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2019/07/12/d236ac59751ccacea17719995b9cd8ba_FORMATO.png",68923,15,264,"zag","Provável",2.2,9.59,-1.04,2.62,"Corinthians",4,NA,3,1,2,4,4,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"65","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2018/05/07/950b9601003125498cffc38c229783f4_FORMATO.png",68928,15,283,"gol","Nulo",0,3.99,0,2.73,"Cruzeiro",NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,5,NA,6,NA,NA,NA
"66","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2019/04/22/a6f002f3b99c385acbafd311e4b3da81_FORMATO.png",68930,15,356,"ata","Nulo",0,3.56,0,0.97,"Fortaleza",9,4,5,13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Ronaldo Luiz Alves","ronaldo-alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2019/03/23/3bc2e1eb0ea72584d6300404b6ae37b1_FORMATO.png",68950,15,341,"zag","Nulo",0,4.49,0,-0.5,"CSA",3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Luciano Castán da Silva","luciano-castan","Luciano Castán","https://s.glbimg.com/es/sde/f/2019/03/23/d6ed12c79b94b3fe8318cbe26edff531_FORMATO.png",68942,15,341,"zag","Provável",4.7,6.27,0.43,2.58,"CSA",10,NA,1,3,NA,26,16,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA
"69","Ernandes Dias Luz","ernandes","Ernandes","https://s.glbimg.com/es/sde/f/2019/06/12/4a24187544253bd7f0dfb7afd79c5c18_FORMATO.png",68956,15,315,"lat","Suspenso",0,2.32,0,1.9,"Chapecoense",NA,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,15,277,"ata","Dúvida",0,6.82,0,3.23,"Santos",13,9,5,13,1,15,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,1
"71","Marcos Gabriel do Nascimento","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2019/02/04/f910b4ed58ff035220b338cff4ea9f5b_FORMATO.png",68954,15,283,"mei","Provável",1.1,3.72,-0.8,1.26,"Cruzeiro",3,3,NA,7,NA,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","João Carlos Heidemann","joao-carlos","João Carlos","https://s.glbimg.com/es/sde/f/2019/03/23/b148048ebdcdc02c79c893ae63f6e80d_FORMATO.png",69010,15,341,"gol","Nulo",0,1.19,0,-0.65,"CSA",1,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,NA,2,NA,NA,NA
"73","Hélio Hermito Zampier Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2018/08/01/51a34fdddb000e59403320c7aa8b8db4_FORMATO.png",69008,15,315,"zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","João Vitor Lima Gomes","joao-vitor","João Vitor","https://s.glbimg.com/es/sde/f/2019/07/29/05d3f4bb70d3e41d93b9f96017999f20_FORMATO.png",68987,15,341,"mei","Provável",3.1,5.88,0.44,2.73,"CSA",10,NA,NA,2,NA,7,14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,15,293,"gol","Provável",13.4,8.6,1.88,3.78,"Athlético-PR",1,NA,NA,2,NA,13,NA,NA,1,NA,5,NA,14,NA,10,NA,NA,NA
"76","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2019/03/22/98a0ece4c6b60ee9652ec2c1e371f056_FORMATO.png",69047,15,356,"mei","Nulo",0,3.66,0,0.68,"Fortaleza",5,NA,1,7,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2019/03/25/4bc2171f8c51b2c85199265874ecd26c_FORMATO.png",69040,15,314,"gol","Provável",-2,4.86,-0.46,2.73,"Avaí",NA,NA,NA,1,NA,1,NA,NA,2,NA,3,NA,21,NA,18,NA,NA,NA
"78","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2019/05/23/8ef54147edc589e8e177c09584065867_FORMATO.png",69014,15,264,"zag","Provável",5,11.8,-0.02,4.99,"Corinthians",8,NA,3,3,NA,15,19,NA,1,1,7,NA,NA,NA,NA,NA,1,NA
"79","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2019/07/08/b55d0e8a8f26380aedc02448bac387cb_FORMATO.png",69041,15,266,"gol","Nulo",-2.5,2.92,-1.8,1.38,"Fluminense",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA
"80","Marcelo Cirino da Silva","marcelo-cirino","Marcelo Cirino","https://s.glbimg.com/es/sde/f/2019/03/30/c8469dc064bfee30f2576ca3d65fc15b_FORMATO.png",69022,15,293,"ata","Provável",7.9,8.64,0.63,4.24,"Athlético-PR",8,6,6,11,4,17,5,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
