"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FS","PE","RB","FF","SG","G","I","DD","GS","FT","DP","CV","PP","GC"
"40","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2018/05/17/28dbb606b55029007f0519c4b90dcd6f_FORMATO.png",101715,7,282,"ata","Provável",10.8,5.78,2.12,5.4,"Atlético-MG",1,NA,1,NA,4,2,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"41","Claudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2019/03/29/fb13c66ae9c72ffe321570f916f5d250_FORMATO.png",101319,7,282,"lat","Nulo",0,8.54,0,5.88,"Atlético-MG",3,NA,4,NA,4,18,13,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"42","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,7,282,"zag","Provável",8.2,11.75,0.93,3.56,"Atlético-MG",NA,NA,1,2,1,8,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,7,283,"gol","Provável",1,9.64,-0.46,3.17,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,10,NA,1,NA,NA,NA
"44","Iago Amaral Borduchi","iago","Iago","https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png",97868,7,285,"lat","Nulo",0,9.28,0,3.32,"Internacional",1,1,7,2,2,16,6,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"45","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,7,282,"gol","Provável",5,7.89,-0.81,4.25,"Atlético-MG",NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,14,7,NA,NA,NA,NA,NA
"46","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,7,285,"zag","Contundido",0,7.09,0,4.68,"Internacional",NA,NA,1,1,1,2,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/03/22/27fa5cdf4f485fac2794eb67548421f6_FORMATO.png",74061,7,263,"gol","Suspenso",9,7.8,2.38,2.97,"Botafogo",NA,3,NA,NA,2,4,NA,NA,3,NA,NA,8,6,NA,NA,NA,NA,NA
"48","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,7,277,"mei","Dúvida",-0.9,6.72,-0.69,0.84,"Santos",NA,NA,12,2,13,13,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,7,265,"lat","Provável",10.4,13.11,1.62,4.6,"Bahia",1,3,7,3,8,17,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,7,283,"mei","Nulo",0,5.52,0,2.48,"Cruzeiro",NA,2,3,1,7,9,4,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"51","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,7,277,"gol","Provável",0,22.89,0,7.97,"Santos",NA,NA,NA,NA,2,4,NA,NA,3,NA,NA,15,6,NA,NA,NA,NA,NA
"52","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,7,266,"lat","Provável",0,6.14,0,1.23,"Fluminense",NA,NA,8,1,3,19,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2019/02/04/c331ee1720c436a925256baca5841194_FORMATO.png",62977,7,266,"mei","Provável",0,7.76,0,1.03,"Fluminense",NA,1,4,3,3,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,7,267,"mei","Provável",3.9,9.88,-0.61,3.49,"Vasco",NA,NA,2,2,11,9,6,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,7,276,"mei","Provável",2,13.91,-0.03,3.76,"São Paulo",1,1,3,6,8,3,2,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"56","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,7,276,"ata","Contundido",0,17,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,7,276,"lat","Provável",6.2,12.15,0.48,4.36,"São Paulo",1,1,8,1,5,10,10,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Daniel dos Santos Penha","daniel","Daniel","https://s.glbimg.com/es/sde/f/2017/05/04/6d566daae907e707a8bfbd7975033f26_FORMATO.png",97349,7,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,7,267,"zag","Nulo",0,11,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,7,282,"lat","Provável",14.7,12.61,3.09,4.27,"Atlético-MG",NA,NA,5,NA,6,9,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"61","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,7,282,"mei","Provável",-0.9,9.55,-0.57,2.57,"Atlético-MG",NA,NA,7,2,4,17,8,2,NA,1,NA,NA,NA,1,NA,1,NA,NA
"62","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,7,282,"ata","Nulo",0,15.53,0,4.03,"Atlético-MG",1,NA,3,3,4,7,2,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"63","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,7,282,"mei","Nulo",12.2,8.62,2.46,4.65,"Atlético-MG",NA,NA,1,NA,3,3,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"64","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2019/03/28/731bd0c1760d7e08394c9726255ba348_FORMATO.png",72359,7,354,"zag","Provável",0.2,9.85,-0.05,2.4,"Ceará",1,2,9,1,5,9,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Jaques Bonfim Nazaré Neto","jaques","Jaques","https://s.glbimg.com/es/sde/f/2019/03/29/0aa6fcfbdf775616d09fa583d45fecee_FORMATO.png",104128,7,265,"zag","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Igor Cássio Vieira dos Santos","igor-cassio","Igor Cássio","https://s.glbimg.com/es/sde/f/2019/03/22/7c87ddae633eb2c51a6c053054e56a1a_FORMATO.png",99661,7,263,"ata","Nulo",0,1.29,0,-0.5,"Botafogo",NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Douglas do Espírito Santo Torres","douglas-borel","Douglas Borel","https://s.glbimg.com/es/sde/f/2019/03/29/191f49008e0f92039b6e04b7283da22b_FORMATO.png",104634,7,265,"lat","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Fernando Augusto de Castro Ribeiro","fernando-castro","Fernando Castro","https://s.glbimg.com/es/sde/f/2019/03/29/5d48e68e633e025554f7fb03e89b57cf_FORMATO.png",102609,7,265,"gol","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Alexandre Rodrigues Soares","xandao","Xandão","https://s.glbimg.com/es/sde/f/2019/03/29/af5d7ba38c3fbcc68c13b5fd2a8dd313_FORMATO.png",101626,7,265,"zag","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Ignácio da Silva Oliveira","ignacio","Ignácio","https://s.glbimg.com/es/sde/f/2019/03/29/4aba5de37f22854b10a7562dc8d5cd4d_FORMATO.png",103523,7,265,"zag","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,7,263,"gol","Provável",0,6,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Caíque de Jesus da Silva","caique","Caíque","https://s.glbimg.com/es/sde/f/2019/03/29/3a73b6353572e78678dbadc5d6e657c2_FORMATO.png",104591,7,265,"ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Matheus de Barros da Silva","matheus-silva","Matheus Silva","https://s.glbimg.com/es/sde/f/2019/03/29/d3524f5f0d162ddeaf053afbf4fcff29_FORMATO.png",101035,7,265,"lat","Nulo",0,3,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,7,263,"mei","Provável",3.7,12.7,-0.08,5.09,"Botafogo",1,1,2,2,23,14,9,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"75","Alan Santos da Silva","alan-santos","Alan Santos","https://s.glbimg.com/es/sde/f/2019/03/22/1276ddf39afc2fbbc816f01fd6d4afb2_FORMATO.png",70132,7,263,"mei","Nulo",1.2,3.28,-0.72,1.2,"Botafogo",NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2019/03/22/0f83ef7ddff9bb0d276ef1c978e96cee_FORMATO.png",52674,7,263,"lat","Provável",8.1,5.9,1.97,2.4,"Botafogo",NA,2,5,NA,5,8,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Welker Marçal de Almeida","kieza","Kieza","https://s.glbimg.com/es/sde/f/2019/04/22/a6f002f3b99c385acbafd311e4b3da81_FORMATO.png",68930,7,356,"ata","Provável",0.7,4.27,-0.72,1.9,"Fortaleza",NA,NA,3,3,10,1,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"78","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/22/3b2ab0a4c2f206adcc40b24bfc972cbb_FORMATO.png",72168,7,263,"mei","Provável",2,7.97,0.39,2.57,"Botafogo",NA,2,4,2,10,23,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"79","Rodrigo Pimpão Viana","rodrigo-pimpao","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2019/03/22/fb5c74a8057f05313adc6f9c2a6a4783_FORMATO.png",68901,7,263,"ata","Nulo",5.7,2.53,1.31,0.8,"Botafogo",2,2,8,2,1,14,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"80","Erik Nascimento Lima","erik","Erik","https://s.glbimg.com/es/sde/f/2019/03/22/34b98d60cb3c91184594baa0f454b479_FORMATO.png",84848,7,263,"ata","Provável",-2.6,9.58,-1.25,3.38,"Botafogo",1,2,9,3,17,15,4,4,NA,1,2,NA,NA,NA,NA,NA,NA,NA
