"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","PP","RB","A","SG","CV","DD","GS","DP","FT","GC"
"11","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,34,263,"mei","Provável",1.1,11.2,-0.33,2.81,"Botafogo",8,24,9,10,57,3,4,43,NA,32,1,NA,NA,NA,NA,NA,NA,NA
"12","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,34,275,"tec","Provável",3.21,10.27,-0.4,3.96,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,34,277,"mei","Provável",16.6,7.24,2.61,2.4,"Santos",NA,28,4,4,22,NA,2,23,NA,16,4,NA,1,NA,NA,NA,NA,NA
"14","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/03/29/bbfcc261f62ebb5c1dbea1b7e31f6dca_FORMATO.png",38001,34,265,"gol","Nulo",0,2.08,0,-1,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"15","Márcio Rafael Ferreira de Souza","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/06/26/4bdc0f48c7f1ccb066d6c8c92332453c_FORMATO.png",38144,34,262,"lat","Provável",0,10.17,0,4.3,"Flamengo",6,25,3,1,15,NA,1,30,NA,20,4,9,NA,NA,NA,NA,NA,NA
"16","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,34,275,"gol","Nulo",0,6.94,0,4.5,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA
"17","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,34,290,"tec","Provável",6.23,10.06,0.73,3.66,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/06/20/b08c001d25a758214f1ef1618a1818fb_FORMATO.png",38231,34,284,"ata","Provável",0.1,7.89,-0.29,2.08,"Grêmio",2,23,15,7,21,4,6,60,1,17,1,NA,NA,NA,NA,NA,NA,NA
"19","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,34,283,"mei","Provável",6.3,9.51,0.96,4.43,"Cruzeiro",8,22,21,36,30,6,2,65,NA,15,5,NA,NA,NA,NA,NA,1,NA
"20","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,34,284,"mei","Dúvida",1.8,7.49,0.07,2.76,"Grêmio",6,16,3,4,10,3,NA,37,NA,16,2,NA,NA,NA,NA,NA,NA,NA
"21","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,34,315,"mei","Provável",1.2,8.61,-0.29,2.72,"Chapecoense",4,32,4,7,45,NA,NA,38,NA,61,NA,NA,1,NA,NA,NA,NA,NA
"22","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,34,283,"ata","Dúvida",0,5.15,0,1.73,"Cruzeiro",10,45,13,15,38,5,14,53,NA,5,3,NA,NA,NA,NA,NA,1,NA
"23","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,34,290,"ata","Suspenso",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,34,282,"lat","Provável",2.9,9.57,0.44,2.59,"Atlético-MG",5,29,4,3,21,3,2,46,NA,18,1,6,NA,NA,NA,NA,2,NA
"25","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,34,356,"ata","Provável",0,11.1,-1.13,5.07,"Fortaleza",7,49,16,19,37,13,11,40,NA,10,3,NA,NA,NA,NA,NA,2,NA
"26","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,34,263,"gol","Nulo",0,6.16,0,6.02,"Botafogo",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,23,10,NA,NA,NA
"27","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,34,267,"zag","Suspenso",0,8.45,0,3.07,"Vasco",9,16,2,4,15,2,2,23,NA,20,1,6,1,NA,NA,NA,NA,NA
"28","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,34,341,"lat","Nulo",0,7.16,0,4.11,"CSA",2,22,6,11,24,2,2,59,NA,41,NA,8,NA,NA,NA,NA,NA,1
"29","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,34,293,"zag","Provável",0,2.77,0,1.98,"Athlético-PR",6,17,6,3,13,NA,NA,18,NA,9,NA,4,NA,NA,NA,NA,NA,NA
"30","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,34,293,"lat","Dúvida",0,9.3,0,2.67,"Athlético-PR",3,9,NA,1,3,1,NA,18,NA,8,1,2,NA,NA,NA,NA,NA,NA
"31","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,34,314,"zag","Provável",5,6.31,0.08,2.21,"Avaí",2,15,NA,9,8,NA,1,25,NA,19,NA,2,NA,NA,NA,NA,1,NA
"32","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,34,283,"lat","Nulo",0,6.12,0,2.69,"Cruzeiro",2,16,NA,5,10,NA,NA,26,NA,18,NA,4,2,NA,NA,NA,2,NA
"33","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,34,262,"gol","Provável",0,9.68,0,5.37,"Flamengo",NA,NA,NA,NA,4,NA,NA,16,NA,2,NA,13,NA,37,20,2,NA,NA
"34","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,34,262,"lat","Provável",0,13.55,0,5.88,"Flamengo",NA,21,1,NA,10,NA,NA,31,NA,40,NA,6,NA,NA,NA,NA,NA,NA
"35","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,34,275,"mei","Dúvida",0,7.04,0,2.74,"Palmeiras",7,32,4,14,26,3,1,41,NA,26,1,NA,1,NA,NA,NA,NA,NA
"36","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,34,314,"mei","Contundido",0,5.08,0,0.27,"Avaí",1,3,1,6,8,NA,2,34,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"37","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/09/16/40b7b1cc3de40d354e30d2cf85c1fd24_FORMATO.png",38632,34,266,"zag","Nulo",0,6.23,0,3.56,"Fluminense",1,7,4,3,2,1,1,6,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"38","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,34,276,"mei","Nulo",0,12.79,0,3.34,"São Paulo",4,23,13,15,24,2,1,26,NA,24,4,NA,NA,NA,NA,NA,NA,NA
"39","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,34,341,"mei","Nulo",0,2.71,0,0.28,"CSA",3,10,NA,2,7,NA,NA,12,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,34,282,"ata","Nulo",0,12.31,0,2.63,"Atlético-MG",NA,15,9,14,17,2,2,11,1,6,2,NA,NA,NA,NA,NA,1,NA
"41","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,34,266,"mei","Nulo",0.8,6.12,-0.1,2.48,"Fluminense",1,19,5,19,32,3,2,72,NA,15,2,NA,1,NA,NA,NA,NA,NA
"42","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,34,276,"lat","Provável",0.2,14.99,-2.32,5.33,"São Paulo",4,32,3,11,30,2,3,59,NA,28,3,5,NA,NA,NA,NA,1,NA
"43","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/08/28/fe269809a0e929e19becd912bd4a29e3_FORMATO.png",38959,34,264,"ata","Nulo",0.8,5.11,-0.05,2.16,"Corinthians",4,30,5,11,35,5,9,33,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"44","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,34,262,"mei","Dúvida",0,4.73,0,1.23,"Flamengo",5,12,7,9,18,NA,NA,31,1,9,NA,NA,NA,NA,NA,NA,2,NA
"45","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,34,267,"tec","Provável",0,8.25,0,3.05,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2019/10/15/4210fc1f14796956aaef1b20096062da_FORMATO.png",39850,34,282,"tec","Provável",2.35,6.95,0.03,3.35,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2019/10/04/a6a0d5b8242ab97c304e5febe7e6a675_FORMATO.png",41258,34,354,"tec","Provável",3.41,10.55,0.16,3.5,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,34,275,"ata","Nulo",0,7.3,-0.23,2.53,"Palmeiras",1,12,7,6,15,4,3,22,NA,4,1,NA,1,NA,NA,NA,1,NA
"49","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,34,315,"ata","Nulo",0,5.05,0,2.1,"Chapecoense",2,8,5,6,25,NA,NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"50","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2019/10/14/3dae22953d2e8c2aeb64c86e29127080_FORMATO.png",40006,34,283,"tec","Provável",2.62,9.75,-0.29,3.65,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,34,264,"gol","Provável",-1.5,7.33,-1.55,3.03,"Corinthians",6,1,NA,NA,6,NA,NA,13,NA,NA,NA,11,NA,26,24,1,NA,NA
"52","Maurício Donizete Ramos Júnior","mauricio-ramos","Maurício Ramos","https://s.glbimg.com/es/sde/f/2019/08/16/019effb07a1b8eb64d39d92e80bdc238_FORMATO.png",42477,34,315,"zag","Dúvida",6.5,5.28,0.3,2.27,"Chapecoense",1,15,2,1,9,NA,NA,14,NA,7,NA,5,NA,NA,NA,NA,NA,NA
"53","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,34,356,"ata","Provável",9.1,7.07,0.47,2.86,"Fortaleza",3,23,7,16,18,4,1,37,NA,14,5,NA,1,NA,NA,NA,2,NA
"54","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2019/04/26/d902e9b106945142d1e4b989287abaa1_FORMATO.png",42499,34,285,"lat","Nulo",0,4.24,0,2.35,"Internacional",1,7,NA,1,5,NA,NA,15,NA,7,NA,4,1,NA,NA,NA,NA,NA
"55","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,34,284,"tec","Provável",3.65,12.73,0.13,4.54,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2019/02/27/6fa92b9ae476bc3a5c60c6beed20ac71_FORMATO.png",49651,34,265,"zag","Nulo",0,10.78,0,4.64,"Bahia",NA,2,NA,NA,4,1,NA,3,NA,4,NA,4,NA,NA,NA,NA,1,NA
"57","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/07/14/c2a0b87e385e6c928a8460ec1a0ed143_FORMATO.png",42232,34,315,"mei","Dúvida",0,2.31,0,0.76,"Chapecoense",2,10,NA,4,2,NA,NA,6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"58","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2019/04/26/51d02738aaf54038d8131123fd325008_FORMATO.png",42501,34,262,"zag","Nulo",0,4.77,0,2.72,"Flamengo",NA,5,1,1,NA,NA,NA,4,NA,2,NA,3,NA,NA,NA,NA,NA,NA
"59","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,34,264,"lat","Provável",1,12.34,-1.53,4.94,"Corinthians",6,23,5,5,37,1,NA,79,NA,46,2,10,NA,NA,NA,NA,NA,NA
"60","Sebastião Sousa Costa","tiao","Tião","https://s.glbimg.com/es/sde/f/2019/04/01/2f2d8115868a8a24ba14c10ce4bc4fa2_FORMATO.png",47134,34,356,"mei","Nulo",0,1,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,34,293,"lat","Dúvida",0,6.47,0,2.74,"Athlético-PR",6,35,1,4,24,NA,3,54,NA,21,3,10,NA,NA,NA,NA,NA,NA
"62","Alexandre Rodrigues da Silva","alexandre-pato","Alexandre Pato","https://s.glbimg.com/es/sde/f/2019/03/29/eeca6b8bc1af0980d000db756e4c61ec_FORMATO.png",49675,34,276,"ata","Nulo",0,8.27,0,3.81,"São Paulo",2,19,13,20,29,5,13,37,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"63","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2019/09/04/773ad9e26e2760e008e5aafe52ef90f3_FORMATO.png",50284,34,282,"gol","Nulo",0,4.21,0,1.97,"Atlético-MG",NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,8,9,NA,NA,NA
"64","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,34,284,"gol","Contundido",0,6.29,0,4.34,"Grêmio",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,17,13,NA,NA,NA
"65","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,34,275,"mei","Nulo",2,6.11,-0.68,1.38,"Palmeiras",NA,2,1,2,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"66","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/12/5f154e14178b2e22a7884dd5b6c9ab84_FORMATO.png",50317,34,284,"zag","Nulo",0,9.31,0,5.33,"Grêmio",NA,13,4,12,2,2,NA,18,NA,24,2,5,NA,NA,NA,NA,NA,NA
"67","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,34,315,"mei","Nulo",0,4.58,0,0.82,"Chapecoense",5,23,3,9,19,NA,NA,25,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"68","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2019/04/01/f6dbb421ca616441bbb6ab053b0bbd90_FORMATO.png",50301,34,276,"mei","Contundido",0,7.34,0,1.68,"São Paulo",3,32,3,3,22,1,7,31,NA,18,2,NA,NA,NA,NA,NA,NA,NA
"69","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,34,284,"zag","Contundido",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,34,267,"zag","Nulo",0,6,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2019/05/04/999c57638fe8815a7060966d05a4be93_FORMATO.png",50294,34,266,"mei","Nulo",0,2.7,0,-0.17,"Fluminense",2,4,NA,3,3,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"72","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,34,315,"zag","Nulo",0,4.09,0,0.88,"Chapecoense",4,5,1,NA,6,1,NA,21,NA,9,NA,1,NA,NA,NA,NA,NA,NA
"73","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,34,283,"zag","Nulo",0,6.11,0,1.83,"Cruzeiro",1,17,1,NA,5,NA,NA,17,NA,15,NA,3,NA,NA,NA,NA,NA,NA
"74","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,34,315,"lat","Provável",5.8,8.74,-0.16,2.9,"Chapecoense",3,22,2,4,22,NA,NA,54,NA,25,1,7,NA,NA,NA,NA,NA,NA
"75","Luiz Diallison de Souza Alves","apodi","Apodi","https://s.glbimg.com/es/sde/f/2019/03/30/b18585f6b8ae91f70811643eb4487638_FORMATO.png",51042,34,341,"lat","Provável",0.5,5.61,-0.02,2.79,"CSA",5,50,13,14,45,4,11,50,NA,12,1,7,NA,NA,NA,NA,NA,NA
"76","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2019/03/28/7a6cecf56bf5b7d343a126ff05454101_FORMATO.png",50877,34,354,"mei","Nulo",0,3.06,0,1.21,"Ceará",3,16,1,1,14,NA,NA,7,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"77","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png",51413,34,264,"gol","Nulo",0,8.36,0,7.22,"Corinthians",NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,2,NA,13,6,1,NA,NA
"78","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,34,283,"lat","Dúvida",-1.6,8.69,-1.65,4.11,"Cruzeiro",2,28,8,7,21,NA,1,63,NA,38,1,8,NA,NA,NA,NA,NA,NA
"79","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,34,356,"zag","Contundido",0,4.09,0,0.98,"Fortaleza",NA,5,NA,3,3,NA,NA,24,NA,5,NA,2,NA,NA,NA,NA,NA,NA
"80","Adalberto dos Santos Rodrigues","adalberto","Adalberto","https://s.glbimg.com/es/sde/f/2019/08/19/ce679bd6eb8a2add9e76265ac4d23cdb_FORMATO.png",51549,34,356,"zag","Nulo",0,1.72,0,-2.8,"Fortaleza",1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
