"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CV","FC","FD","FF","FS","I","PE","RB","CA","G","SG","FT","DD","GS","PP","DP","GC"
"11","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,31,283,"mei","Provável",0,9.65,0,4.66,"Cruzeiro",4,NA,22,20,31,27,2,54,14,7,6,NA,1,NA,NA,NA,NA,NA
"12","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,31,315,"mei","Provável",-0.4,8.39,-0.89,2.68,"Chapecoense",NA,1,31,4,6,40,NA,35,56,4,NA,NA,NA,NA,NA,NA,NA,NA
"13","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/09/16/40b7b1cc3de40d354e30d2cf85c1fd24_FORMATO.png",38632,31,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",NA,NA,7,4,3,2,1,6,11,1,1,NA,NA,NA,NA,NA,NA,NA
"14","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,31,283,"lat","Nulo",6.2,6.12,1.09,2.69,"Cruzeiro",NA,2,16,NA,5,10,NA,26,18,2,NA,4,2,NA,NA,NA,NA,NA
"15","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,31,314,"mei","Contundido",0,5.08,0,0.27,"Avaí",1,NA,3,1,6,8,2,34,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,31,282,"ata","Nulo",0,12.63,0,2.77,"Atlético-MG",2,NA,15,9,14,17,2,11,6,NA,2,NA,1,NA,NA,1,NA,NA
"17","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,31,276,"mei","Nulo",2.2,13.14,0.46,3.48,"São Paulo",4,NA,23,13,15,24,1,26,24,4,2,NA,NA,NA,NA,NA,NA,NA
"18","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,31,262,"gol","Provável",8,9.57,1.4,5.44,"Flamengo",NA,NA,NA,NA,NA,3,NA,14,2,NA,NA,12,NA,35,19,NA,2,NA
"19","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,31,262,"lat","Provável",0,13.05,0,5.89,"Flamengo",NA,NA,21,1,NA,10,NA,30,36,NA,NA,6,NA,NA,NA,NA,NA,NA
"20","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,31,341,"mei","Nulo",0,2.71,0,0.28,"CSA",NA,NA,10,NA,2,7,NA,12,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"21","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,31,262,"mei","Nulo",0,4.66,0,1.4,"Flamengo",NA,NA,10,6,8,16,NA,27,9,5,NA,NA,2,NA,NA,1,NA,NA
"22","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,31,276,"lat","Provável",-3.1,14.55,-2.54,5.38,"São Paulo",3,NA,30,3,11,26,3,45,21,4,1,5,1,NA,NA,NA,NA,NA
"23","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,31,314,"zag","Nulo",0,5.43,0,1.8,"Avaí",NA,NA,15,NA,9,7,1,24,16,2,NA,1,1,NA,NA,NA,NA,NA
"24","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,31,275,"mei","Suspenso",0,7.04,0,2.74,"Palmeiras",1,1,32,4,14,26,1,41,26,7,3,NA,NA,NA,NA,NA,NA,NA
"25","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,31,266,"mei","Nulo",-3.3,5.63,-0.55,2.66,"Fluminense",2,1,19,4,18,31,2,68,15,1,3,NA,NA,NA,NA,NA,NA,NA
"26","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2019/10/15/4210fc1f14796956aaef1b20096062da_FORMATO.png",39850,31,282,"tec","Provável",8.28,7.87,1.23,3.71,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,31,267,"tec","Provável",0.08,7.96,-0.53,3,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2019/10/14/3dae22953d2e8c2aeb64c86e29127080_FORMATO.png",40006,31,283,"tec","Provável",5.69,10.24,0.73,3.64,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,31,315,"ata","Provável",4.9,5.47,0.87,2.12,"Chapecoense",NA,NA,7,5,5,23,NA,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"30","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2019/10/04/a6a0d5b8242ab97c304e5febe7e6a675_FORMATO.png",41258,31,354,"tec","Provável",6.71,11.31,1.17,4.02,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,31,275,"ata","Nulo",1.3,7.74,0.09,3.04,"Palmeiras",1,1,10,7,4,14,2,20,4,1,4,NA,1,NA,NA,NA,NA,NA
"32","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,31,283,"lat","Dúvida",7.7,10.34,0.53,4.38,"Cruzeiro",1,NA,25,8,7,19,1,61,37,1,NA,8,NA,NA,NA,NA,NA,NA
"33","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/08/28/fe269809a0e929e19becd912bd4a29e3_FORMATO.png",38959,31,264,"ata","Nulo",0,5.11,0,2.35,"Corinthians",NA,NA,29,5,8,33,8,33,13,4,5,NA,NA,NA,NA,NA,NA,NA
"34","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,31,284,"tec","Provável",2.73,12.7,-0.8,4.63,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,31,290,"tec","Provável",3.08,9.63,-0.3,3.72,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2019/04/26/d902e9b106945142d1e4b989287abaa1_FORMATO.png",42499,31,285,"lat","Nulo",0,4.24,0,2.35,"Internacional",NA,1,7,NA,1,5,NA,15,7,1,NA,4,NA,NA,NA,NA,NA,NA
"37","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,31,275,"mei","Nulo",0,6.79,0,1.17,"Palmeiras",NA,NA,2,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,31,264,"lat","Contundido",0,12.65,0,4.89,"Corinthians",2,NA,19,5,4,33,NA,73,40,5,1,9,NA,NA,NA,NA,NA,NA
"39","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,31,356,"ata","Provável",4.2,6.11,-0.48,2.49,"Fortaleza",4,1,22,6,15,14,NA,32,12,2,3,NA,2,NA,NA,NA,NA,NA
"40","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,31,264,"gol","Nulo",0,7.34,0,3.02,"Corinthians",NA,NA,1,NA,NA,5,NA,12,NA,6,NA,10,NA,25,23,NA,1,NA
"41","Wellington Silva Sanches Aguiar","wellington-nem","Wellington Nem","https://s.glbimg.com/es/sde/f/2019/08/06/eed31b97dfa9c8ecd78df822c04269ab_FORMATO.png",73619,31,266,"ata","Nulo",0,4.77,0,1.88,"Fluminense",NA,NA,15,4,13,32,NA,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"42","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,31,293,"lat","Provável",4.3,6.01,-0.51,2.51,"Athlético-PR",3,NA,28,1,4,22,3,46,16,5,NA,8,NA,NA,NA,NA,NA,NA
"43","Wesley Soares Xavier","wesley","Wesley","https://s.glbimg.com/es/sde/f/2019/03/26/c2306740c31403d20520165b9297b553_FORMATO.png",99462,31,314,"mei","Nulo",0,1.15,0,-1.25,"Avaí",NA,1,6,NA,3,1,NA,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"44","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/07/14/c2a0b87e385e6c928a8460ec1a0ed143_FORMATO.png",42232,31,315,"mei","Nulo",1,2.89,0.1,1.1,"Chapecoense",NA,NA,7,NA,2,2,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/06/20/b08c001d25a758214f1ef1618a1818fb_FORMATO.png",38231,31,284,"ata","Provável",10.6,9.73,1.48,2.35,"Grêmio",1,NA,20,14,7,20,5,52,14,1,4,NA,NA,NA,NA,1,NA,NA
"46","Raúl Alejandro Cáceres Bogado","raul-caceres","Raúl Cáceres","https://s.glbimg.com/es/sde/f/2019/02/04/8b0cf393436f7ab7db324b1059c9b76c_FORMATO.jpeg",71680,31,267,"lat","Nulo",0,1.76,0,-0.02,"Vasco",NA,NA,11,1,NA,1,1,6,2,1,NA,1,NA,NA,NA,NA,NA,NA
"47","Maurício Donizete Ramos Júnior","mauricio-ramos","Maurício Ramos","https://s.glbimg.com/es/sde/f/2019/08/16/019effb07a1b8eb64d39d92e80bdc238_FORMATO.png",42477,31,315,"zag","Provável",0,4.98,0,1.92,"Chapecoense",NA,NA,15,2,1,9,NA,14,6,1,NA,4,NA,NA,NA,NA,NA,NA
"48","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2019/01/14/3bd03adab98a337f19a89fde0e3a3b69_FORMATO.jpeg",71684,31,275,"zag","Provável",1.4,12.24,-0.98,4.05,"Palmeiras",NA,1,16,4,2,15,1,18,22,6,2,6,1,NA,NA,NA,NA,NA
"49","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2019/03/29/ba5687c390564e23e74776f29ea757f3_FORMATO.png",71719,31,265,"mei","Contundido",0,5.22,0,1.71,"Bahia",NA,NA,19,1,4,NA,NA,15,18,1,NA,NA,NA,NA,NA,NA,NA,NA
"50","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2019/04/29/066e54215a4994be68b64958a2b3d326_FORMATO.png",71844,31,354,"mei","Provável",6.8,12.48,1.26,5.18,"Ceará",1,NA,28,18,25,41,8,70,24,3,10,NA,2,NA,NA,1,NA,NA
"51","Tadeu Antonio Ferreira","tadeu","Tadeu","https://s.glbimg.com/es/sde/f/2019/04/04/2c3f9d22de0dfd11ee1e9331d5fd85d9_FORMATO.png",82453,31,290,"gol","Provável",19.7,18.88,1.01,7.46,"Goiás",NA,NA,NA,NA,NA,7,NA,17,NA,NA,NA,10,NA,78,40,NA,2,NA
"52","Ocimar de Almeida Júnior","junior-urso","Júnior Urso","https://s.glbimg.com/es/sde/f/2019/05/23/5276932da13edef774a1a4af1abb3beb_FORMATO.png",71829,31,264,"mei","Provável",7.3,7.53,1.32,2.35,"Corinthians",NA,NA,27,10,7,18,1,26,25,4,1,NA,NA,NA,NA,NA,NA,NA
"53","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2019/03/28/124aa9812703927dd6cfd2001e5b1299_FORMATO.png",71882,31,354,"gol","Provável",11.2,12,1.66,3.76,"Ceará",NA,NA,NA,NA,NA,11,NA,13,1,2,NA,8,NA,44,29,NA,NA,NA
"54","Agenor Detofol","agenor","Agenor","https://s.glbimg.com/es/sde/f/2019/04/28/250bbbb44b3bc7a9a330aa4be2da6f11_FORMATO.png",71724,31,266,"gol","Nulo",0,3.05,0,2.37,"Fluminense",NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,1,NA,9,7,NA,NA,NA
"55","Maurício Azevedo Alves","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/03/23/2c3a6bf46567ed434223ed72f1109c0a_FORMATO.png",72071,31,341,"mei","Contundido",0,4,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2019/03/28/290762becedf23c80b831f923f4b7b33_FORMATO.png",71787,31,354,"mei","Nulo",0,3.99,0,1.5,"Ceará",NA,NA,2,NA,4,4,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"57","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,31,276,"gol","Provável",-4.6,10.49,-2.98,5.01,"São Paulo",NA,NA,NA,NA,NA,8,NA,25,NA,1,NA,13,NA,45,22,NA,NA,NA
"58","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2019/07/12/5e27f57916bf0f965ddc5074bd107452_FORMATO.png",72097,31,265,"lat","Contundido",0,6.01,0,3.59,"Bahia",NA,NA,7,NA,1,3,NA,18,13,1,NA,5,NA,NA,NA,NA,NA,NA
"59","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,31,356,"mei","Provável",2,7.09,-0.73,3.07,"Fortaleza",4,NA,43,10,20,22,NA,59,38,4,2,NA,NA,NA,NA,NA,NA,1
"60","Michel Ferreira dos Santos","michel","Michel","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,31,284,"mei","Nulo",0,4,0,1.82,"Grêmio",NA,NA,31,5,7,2,NA,27,40,4,NA,NA,NA,NA,NA,NA,NA,2
"61","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,31,284,"lat","Suspenso",4.2,6.47,-1.02,4.35,"Grêmio",2,NA,17,NA,1,18,4,29,28,3,1,5,NA,NA,NA,NA,NA,NA
"62","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2019/03/28/83ec5c765fe26cff5158a6e6b1d55061_FORMATO.png",72294,31,277,"gol","Provável",3.4,9.08,0.59,4.06,"Santos",NA,NA,1,NA,NA,9,NA,38,NA,1,NA,11,NA,31,22,NA,1,NA
"63","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2019/01/14/89275763a0ba1f9787279a68c22de24f_FORMATO.jpeg",72290,31,275,"gol","Nulo",0,6.78,0,3,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"64","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2019/05/23/3838256f970424f3a26f7cf5a433287b_FORMATO.png",72142,31,264,"lat","Provável",5.2,8.81,1.17,4.28,"Corinthians",NA,NA,28,6,4,26,1,39,28,6,1,10,NA,NA,NA,NA,NA,NA
"65","Glédson Ribeiro dos Santos","gledson","Glédson","https://s.glbimg.com/es/sde/f/2019/02/18/c6d4b90211065258bf950d6d8491a977_FORMATO.png",73533,31,314,"gol","Nulo",0,2.69,0,2,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"66","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2019/09/19/818f872bdf2e62a1bd0a9dab332b5fd7_FORMATO.png",72362,31,285,"mei","Provável",4.6,10.69,0.79,5.55,"Internacional",2,NA,29,6,10,21,1,34,48,2,4,NA,2,NA,NA,NA,NA,NA
"67","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,31,356,"gol","Provável",-8.3,6.56,-1.6,2.48,"Fortaleza",NA,NA,1,NA,NA,1,NA,33,NA,4,NA,3,NA,42,34,NA,1,NA
"68","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/09/12/b74e9e7b74db80e81be2f85ce7279210_FORMATO.png",72168,31,263,"mei","Provável",2.2,8.74,-0.41,3.09,"Botafogo",1,NA,27,10,9,47,NA,88,44,4,3,NA,NA,NA,NA,NA,NA,NA
"69","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/10/03/6d8ae397f0417ad0faa735bc5f9c21d5_FORMATO.png",72391,31,276,"tec","Provável",1.95,7.31,-1.05,3.57,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2019/03/28/731bd0c1760d7e08394c9726255ba348_FORMATO.png",72359,31,354,"zag","Provável",8.6,10.44,0.38,3.42,"Ceará",1,NA,27,1,3,10,NA,22,26,5,2,6,NA,NA,NA,NA,NA,NA
"71","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,31,276,"lat","Nulo",-0.3,10.13,-1.56,3.6,"São Paulo",1,NA,15,NA,NA,3,NA,18,14,NA,NA,5,NA,NA,NA,NA,NA,NA
"72","Celsonil Santos de Macedo Junior ","celsinho","Celsinho","https://s.glbimg.com/es/sde/f/2019/03/23/8e0cf56b709151b2440313376e51f0c5_FORMATO.png",72494,31,341,"lat","Provável",2.1,3.49,0.16,2.22,"CSA",1,NA,6,1,NA,4,NA,26,16,1,NA,1,NA,NA,NA,NA,NA,NA
"73","Gustavo Campanharo","gustavo-campanharo","Gustavo Campanharo","https://s.glbimg.com/es/sde/f/2019/03/26/9799555064b37105b45b0acc0e54c2b7_FORMATO.png",72497,31,315,"mei","Nulo",0,6.02,0,4.14,"Chapecoense",1,NA,26,4,10,31,NA,33,40,NA,1,NA,NA,NA,NA,NA,NA,NA
"74","Vitor Hugo Franchescoli de Souza","vitor-hugo","Vitor Hugo","https://s.glbimg.com/es/sde/f/2019/08/01/10d95e2af722b1c1c76a7fe3c403de16_FORMATO.png",72605,31,275,"zag","Provável",0,7.09,0,2.91,"Palmeiras",NA,NA,12,4,4,7,4,8,11,1,NA,5,NA,NA,NA,NA,NA,NA
"75","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,31,275,"ata","Dúvida",7.8,6.98,1.06,3.33,"Palmeiras",1,NA,14,1,4,12,3,8,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"76","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,31,356,"gol","Nulo",0,4.9,0,4.41,"Fortaleza",NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,2,NA,15,10,NA,NA,NA
"77","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2019/05/23/605fd3e976ffe9b529d0208eb32fa15b_FORMATO.png",73281,31,264,"mei","Nulo",0,5.84,0,2.2,"Corinthians",NA,NA,1,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2019/03/28/a19b59f7d716d5610181d660801756b6_FORMATO.png",73384,31,354,"lat","Provável",11.8,13.8,1.71,3.77,"Ceará",3,NA,32,5,15,54,3,61,35,9,NA,8,1,NA,NA,NA,NA,NA
"79","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2019/03/29/391192f2c104011047dcb18e6855dd72_FORMATO.png",37798,31,285,"ata","Nulo",0,7.14,-0.62,4.15,"Internacional",3,NA,12,16,15,10,NA,20,10,4,2,NA,NA,NA,NA,NA,NA,NA
"80","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,31,284,"lat","Provável",3.5,5.78,-0.59,2.37,"Grêmio",1,NA,6,NA,2,13,1,37,11,1,NA,5,NA,NA,NA,NA,NA,NA
