"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","PE","RB","FF","A","CA","FD","G","DD","GS","DP","SG","I","PP","FT","CV","GC"
"11","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,16,293,"lat","Contundido",0,7.3,0,4.32,"Athlético-PR",4,3,7,6,NA,NA,2,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"12","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,16,283,"mei","Nulo",3.9,8.26,0.24,4.07,"Cruzeiro",16,15,16,30,9,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"13","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,16,284,"lat","Nulo",0,5.69,0,3,"Grêmio",2,7,21,6,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"14","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,16,275,"gol","Nulo",0,8,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,16,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",3,2,1,4,3,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"16","Márcio Rafael Ferreira de Souza","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/06/26/4bdc0f48c7f1ccb066d6c8c92332453c_FORMATO.png",38144,16,262,"lat","Provável",10.9,10.14,2.45,4.36,"Flamengo",7,4,9,8,NA,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"17","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,16,263,"mei","Provável",0,12.18,0,4.56,"Botafogo",7,36,27,18,7,1,3,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"18","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,16,283,"ata","Nulo",9.1,6.79,0.08,1.69,"Cruzeiro",14,15,26,2,5,2,4,3,2,NA,NA,NA,NA,8,NA,1,NA,NA
"19","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/03/29/bbfcc261f62ebb5c1dbea1b7e31f6dca_FORMATO.png",38001,16,265,"gol","Nulo",0,2.08,0,-1,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"20","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,16,283,"mei","Nulo",1.4,7.92,-2.24,4.48,"Cruzeiro",13,10,23,2,14,2,4,10,4,NA,NA,NA,NA,2,NA,1,NA,NA
"21","Alecsandro Barbosa Felisbino","alecsandro","Alecsandro","https://s.glbimg.com/es/sde/f/2019/08/16/4a2c1f65c81e89225ad8cbc89dbf310c_FORMATO.png",37673,16,341,"ata","Provável",0.7,4.25,-0.11,0.83,"CSA",8,3,6,1,5,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"22","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,16,284,"mei","Nulo",0,7.81,0,1.98,"Grêmio",6,2,18,7,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,16,356,"ata","Provável",14.6,12.72,2.3,4.9,"Fortaleza",28,19,14,6,10,1,2,8,5,NA,NA,NA,NA,6,NA,1,NA,NA
"24","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,16,315,"lat","Provável",7,9.67,0.22,4.04,"Chapecoense",9,12,27,16,NA,1,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"25","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,16,285,"mei","Nulo",0,6.15,0,1.26,"Internacional",NA,6,33,1,4,1,NA,4,1,NA,NA,NA,NA,3,1,NA,NA,NA
"26","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2019/03/28/7a6cecf56bf5b7d343a126ff05454101_FORMATO.png",50877,16,354,"mei","Nulo",0,2.79,0,1.03,"Ceará",7,8,1,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Luiz Diallison de Souza Alves","apodi","Apodi","https://s.glbimg.com/es/sde/f/2019/03/30/b18585f6b8ae91f70811643eb4487638_FORMATO.png",51042,16,341,"lat","Provável",10.3,5.79,1.27,1.63,"CSA",24,10,30,7,4,NA,3,3,1,NA,NA,NA,4,1,NA,NA,NA,NA
"28","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,16,315,"zag","Nulo",0,5.26,0,4.4,"Chapecoense",NA,1,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,16,356,"zag","Contundido",0,4.09,0,0.98,"Fortaleza",5,3,24,5,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"30","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2019/03/28/d9cac4a21775ee745faf095781d51f77_FORMATO.png",51495,16,354,"zag","Provável",0.2,5.59,-0.03,2.26,"Ceará",4,1,10,5,1,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA
"31","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,16,282,"zag","Provável",0,11.87,0,4.42,"Atlético-MG",2,6,17,22,4,NA,NA,2,NA,NA,NA,NA,3,1,NA,1,NA,NA
"32","Adalberto dos Santos Rodrigues","adalberto","Adalberto","https://s.glbimg.com/es/sde/f/2019/08/19/ce679bd6eb8a2add9e76265ac4d23cdb_FORMATO.png",51549,16,356,"zag","Nulo",0,3,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Thiago Carleto Alves","thiago-carleto","Thiago Carleto","https://s.glbimg.com/es/sde/f/2019/03/28/e6019b20be4192e66ea436db383a8d95_FORMATO.png",51700,16,354,"lat","Contundido",0,7.44,0,2.6,"Ceará",4,2,16,2,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"34","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2019/08/16/0560ea5840e544229931b88728f2acec_FORMATO.png",52674,16,263,"lat","Provável",3.8,5.44,0.73,1.99,"Botafogo",13,11,28,11,1,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA
"35","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2019/04/01/0024f435e5e19a93ff9b8b2d9efe929a_FORMATO.png",52618,16,276,"zag","Provável",0.2,2.92,-1.18,1.59,"São Paulo",8,1,8,10,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"36","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2019/03/31/3b9db9e833f13f65a65d1546e2608e81_FORMATO.jpeg",52558,16,267,"mei","Nulo",0,6.11,0,1.37,"Vasco",5,12,10,1,1,NA,1,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA
"37","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2019/04/23/cfa31f72beaf2822c06932837b119ffa_FORMATO.png",51772,16,262,"mei","Dúvida",0,11.38,-0.15,3.2,"Flamengo",12,20,42,15,3,3,1,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"38","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2019/05/23/6bb1b3455b09de07ffee5ece7a922ca8_FORMATO.png",52190,16,264,"mei","Nulo",0,9.95,-1.56,3.97,"Corinthians",10,18,16,25,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"39","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,16,282,"gol","Nulo",0,6.56,0,3.32,"Atlético-MG",NA,NA,7,NA,NA,NA,1,NA,NA,17,11,NA,1,NA,NA,NA,NA,NA
"40","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png",51413,16,264,"gol","Nulo",0,8.01,0,9.63,"Corinthians",NA,1,2,NA,NA,NA,NA,NA,NA,7,1,NA,2,NA,NA,NA,NA,NA
"41","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,16,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,16,285,"lat","Nulo",0,3.87,0,4.42,"Internacional",9,2,10,11,3,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"43","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,16,356,"mei","Nulo",0,3.15,0,-0.5,"Fortaleza",1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,16,282,"mei","Provável",0,8.74,0,1.99,"Atlético-MG",15,11,41,18,2,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,NA
"45","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,16,283,"zag","Nulo",0,15.79,0,5.18,"Cruzeiro",10,12,28,22,6,NA,2,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA
"46","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,16,282,"lat","Provável",0,3.91,0,1.66,"Atlético-MG",18,2,23,6,5,1,3,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"47","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2019/07/24/56b02ff991db7a46958a717d7e7bebcb_FORMATO.png",61149,16,265,"ata","Provável",6,6.09,0.78,2.43,"Bahia",9,11,9,5,3,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,16,265,"ata","Provável",9.2,17.07,-1.36,7.78,"Bahia",8,7,15,9,10,2,NA,4,8,NA,NA,NA,NA,4,NA,NA,NA,NA
"49","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/03/21/d608f479e030bba9eaacc9453619b564_FORMATO.png",61985,16,266,"mei","Nulo",0,2.46,0,-0.55,"Fluminense",6,9,6,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"50","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,16,283,"mei","Contundido",0,5.52,0,2.48,"Cruzeiro",3,7,9,4,3,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"51","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/06/14/c5f4be26e84f8c3952f53a185dfb8ea5_FORMATO.png",62009,16,315,"mei","Provável",2.1,6.61,0.47,2.8,"Chapecoense",12,10,27,9,8,3,1,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"52","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,16,341,"lat","Provável",6.2,7.99,-0.36,5.56,"CSA",4,12,37,20,6,NA,NA,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA
"53","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,16,263,"gol","Nulo",0,5.46,0,5.5,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA
"54","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png",38315,16,264,"mei","Nulo",0,3.27,0,-0.2,"Corinthians",3,1,12,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2019/02/27/c71b608a8727463f7418750e4b406c48_FORMATO.png",62033,16,265,"ata","Nulo",0,6.43,-0.59,2.44,"Bahia",5,12,9,5,12,NA,NA,6,2,NA,NA,NA,NA,4,NA,NA,1,NA
"56","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,16,315,"mei","Provável",-0.6,9.02,-0.77,3.64,"Chapecoense",18,18,21,40,6,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,16,293,"lat","Dúvida",0,11.69,0,5.7,"Athlético-PR",1,NA,2,2,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"58","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,16,293,"zag","Suspenso",0,1.27,0,-2.1,"Athlético-PR",2,1,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2019/02/04/ee21ad2d06f9472ebeac2c604d782d83_FORMATO.png",68727,16,283,"lat","Nulo",3.7,6.48,-0.55,3.33,"Cruzeiro",13,5,27,14,2,NA,1,2,NA,NA,NA,NA,4,1,NA,1,NA,NA
"60","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,16,314,"zag","Suspenso",-4.2,3.04,-1.65,1.96,"Avaí",13,15,30,23,1,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA
"61","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,16,341,"mei","Contundido",0,2.88,0,0.16,"CSA",9,6,11,7,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,16,262,"gol","Provável",7.9,7.62,-1.24,4.57,"Flamengo",NA,1,7,1,NA,NA,NA,NA,NA,18,14,2,3,NA,NA,NA,NA,NA
"63","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/03/21/153f5cacc7a34ba4806328a24f5a1750_FORMATO.png",38632,16,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",7,2,6,11,3,NA,1,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"64","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,16,314,"zag","Provável",0.7,5.89,-0.32,1.78,"Avaí",10,6,21,15,8,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"65","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,16,283,"lat","Provável",0,4.84,0.48,0.84,"Cruzeiro",7,4,8,7,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA
"66","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,16,267,"zag","Suspenso",10.1,11.64,-0.3,7.67,"Vasco",3,8,10,10,1,1,3,1,2,NA,NA,NA,3,1,NA,NA,NA,NA
"67","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,16,282,"ata","Provável",0,15.85,0,3.77,"Atlético-MG",11,11,10,4,7,2,NA,7,2,NA,NA,NA,NA,1,1,1,NA,NA
"68","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,16,276,"mei","Contundido",0,14.45,0,4.31,"São Paulo",9,13,11,9,8,4,2,8,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"69","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,16,314,"mei","Nulo",0,4.65,0,-0.45,"Avaí",1,3,14,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"70","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,16,262,"lat","Provável",0,11.37,0,1.6,"Flamengo",6,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,16,262,"mei","Contundido",0,5.52,0,1.53,"Flamengo",10,16,25,9,7,NA,5,6,NA,NA,NA,NA,NA,NA,1,2,NA,NA
"72","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,16,276,"lat","Provável",1.2,15.36,-2.29,7.75,"São Paulo",4,5,5,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"73","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,16,267,"tec","Provável",6.68,8.81,0.85,3.47,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/05/23/baafa063aa2addaba5bf9bcfb361129f_FORMATO.png",38959,16,264,"ata","Provável",7.6,6.12,0.91,2.82,"Corinthians",13,23,18,7,5,NA,2,2,3,NA,NA,NA,NA,5,NA,NA,NA,NA
"75","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,16,356,"ata","Nulo",-1.5,4.3,-0.38,1.19,"Fortaleza",11,4,16,5,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"76","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,16,283,"lat","Provável",0,9.33,0,4.47,"Cruzeiro",6,8,32,17,1,1,NA,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"77","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,16,315,"ata","Contundido",0,5.74,0,2.55,"Chapecoense",NA,9,2,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2019/07/14/c2a0b87e385e6c928a8460ec1a0ed143_FORMATO.png",42232,16,315,"mei","Nulo",1.5,3.27,0.23,1.74,"Chapecoense",2,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,16,264,"gol","Provável",-2.3,7.6,-1.49,4.37,"Corinthians",NA,2,5,NA,NA,NA,3,NA,NA,15,8,NA,6,NA,NA,NA,NA,NA
"80","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,16,284,"tec","Provável",3.94,11.62,0.29,3.72,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
