"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","DD","GS","FF","CV","DP","A","I","PP","FT","GC"
"11","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,21,290,"ata","Provável",-0.3,3.15,-0.11,0.37,"Goiás",NA,13,1,7,NA,4,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA
"12","Alecsandro Barbosa Felisbino","alecsandro","Alecsandro","https://s.glbimg.com/es/sde/f/2019/08/16/4a2c1f65c81e89225ad8cbc89dbf310c_FORMATO.png",37673,21,341,"ata","Provável",1.7,4.13,-0.1,0.77,"CSA",1,14,5,6,1,12,3,NA,NA,NA,7,NA,NA,NA,4,1,NA,NA
"13","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,21,267,"tec","Provável",0,8.04,0,3.06,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,21,283,"lat","Provável",5.5,9.38,0.49,4.1,"Cruzeiro",NA,13,3,10,NA,35,21,4,NA,NA,2,NA,NA,1,1,NA,NA,NA
"15","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,21,275,"ata","Provável",10.8,9.19,0.74,3.62,"Palmeiras",1,4,3,7,3,12,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"16","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,21,293,"zag","Suspenso",0,1.27,0,-2.1,"Athlético-PR",2,2,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,21,283,"mei","Provável",2.6,7.93,-0.39,3.37,"Cruzeiro",2,21,3,26,NA,24,37,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA
"18","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,21,284,"tec","Nulo",7.47,12.96,0.05,4.61,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,21,283,"lat","Nulo",0,4.97,0,0.92,"Cruzeiro",1,8,NA,4,NA,12,9,1,NA,NA,2,2,NA,NA,NA,NA,1,NA
"20","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,21,263,"mei","Provável",0,11.68,0.15,3.33,"Botafogo",5,12,2,41,3,33,21,NA,NA,NA,9,NA,NA,1,3,NA,NA,NA
"21","Adalberto dos Santos Rodrigues","adalberto","Adalberto","https://s.glbimg.com/es/sde/f/2019/08/19/ce679bd6eb8a2add9e76265ac4d23cdb_FORMATO.png",51549,21,356,"zag","Nulo",0,3,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Thiago Carleto Alves","thiago-carleto","Thiago Carleto","https://s.glbimg.com/es/sde/f/2019/03/28/e6019b20be4192e66ea436db383a8d95_FORMATO.png",51700,21,354,"lat","Provável",7.1,7.54,0.1,3.5,"Ceará",NA,4,4,2,NA,17,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"23","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,21,263,"gol","Nulo",0,5.35,0,5,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA
"24","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,21,341,"lat","Provável",0.4,7.69,-1.95,5.4,"CSA",NA,9,6,14,2,45,26,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"25","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,21,262,"gol","Provável",-2.3,6.6,-0.55,4.46,"Flamengo",NA,NA,NA,2,NA,11,2,6,21,16,NA,NA,2,NA,NA,NA,NA,NA
"26","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2019/05/23/6bb1b3455b09de07ffee5ece7a922ca8_FORMATO.png",52190,21,264,"mei","Provável",0,10.87,0,4.1,"Corinthians",1,10,1,22,NA,16,30,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"27","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2019/04/23/cfa31f72beaf2822c06932837b119ffa_FORMATO.png",51772,21,262,"mei","Provável",5.7,12.75,-0.84,4.13,"Flamengo",1,14,5,30,1,51,22,NA,NA,NA,10,NA,NA,5,1,NA,NA,NA
"28","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2019/08/16/0560ea5840e544229931b88728f2acec_FORMATO.png",52674,21,263,"lat","Suspenso",-4.8,4.05,-0.97,1.7,"Botafogo",2,18,NA,12,NA,36,16,5,NA,NA,1,2,NA,1,NA,NA,NA,NA
"29","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,21,282,"zag","Provável",0,11.68,0,4.08,"Atlético-MG",1,3,2,10,NA,21,28,3,NA,NA,5,NA,NA,NA,1,NA,1,NA
"30","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,21,267,"zag","Provável",0,10.15,0,5.35,"Vasco",4,6,2,8,2,16,14,3,NA,NA,2,NA,NA,1,2,NA,NA,NA
"31","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,21,282,"mei","Provável",0,9.17,0,1.68,"Atlético-MG",2,22,3,13,1,49,22,NA,NA,NA,3,1,NA,1,NA,NA,1,NA
"32","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2019/03/31/3b9db9e833f13f65a65d1546e2608e81_FORMATO.jpeg",52558,21,267,"mei","Nulo",0,6.11,0,1.37,"Vasco",1,5,NA,12,2,10,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
"33","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2019/04/01/0024f435e5e19a93ff9b8b2d9efe929a_FORMATO.png",52618,21,276,"zag","Nulo",0,3.03,0,1.9,"São Paulo",5,10,NA,1,NA,10,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,21,282,"gol","Nulo",0,6.56,0,3.32,"Atlético-MG",1,NA,NA,NA,NA,7,NA,1,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"35","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,21,276,"mei","Provável",0,14.38,0,4.53,"São Paulo",3,15,10,14,2,17,12,NA,NA,NA,12,NA,NA,4,1,NA,NA,NA
"36","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,21,314,"zag","Nulo",0,6.34,0,2.08,"Avaí",2,14,NA,6,NA,23,16,1,NA,NA,8,NA,NA,NA,1,NA,1,NA
"37","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,21,356,"ata","Nulo",0,5.12,0,1.92,"Fortaleza",1,14,4,6,2,20,6,NA,NA,NA,6,1,NA,3,NA,NA,NA,NA
"38","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,21,341,"mei","Nulo",0,2.88,0,0.16,"CSA",3,9,NA,6,NA,11,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"39","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,21,285,"lat","Provável",-0.9,3.09,-1.47,4.04,"Internacional",NA,10,1,2,NA,21,17,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA
"40","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,21,283,"zag","Provável",3.2,14.98,-0.92,5.14,"Cruzeiro",2,12,4,16,2,37,23,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"41","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,21,275,"mei","Provável",5.6,6.97,0.07,2.2,"Palmeiras",5,19,3,13,1,24,15,NA,NA,NA,10,1,NA,1,NA,NA,NA,NA
"42","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,21,356,"mei","Nulo",0,3.15,0,-0.5,"Fortaleza",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2019/03/29/391192f2c104011047dcb18e6855dd72_FORMATO.png",37798,21,285,"ata","Provável",0,8.67,0,4.68,"Internacional",3,9,15,10,2,17,8,NA,NA,NA,13,NA,NA,3,NA,NA,NA,NA
"44","Márcio Rafael Ferreira de Souza","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/06/26/4bdc0f48c7f1ccb066d6c8c92332453c_FORMATO.png",38144,21,262,"lat","Provável",4.1,9.78,0.98,4.38,"Flamengo",4,17,1,11,NA,18,13,4,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"45","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,21,275,"gol","Nulo",0,8,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,21,282,"lat","Provável",0,3.63,0,1.87,"Atlético-MG",3,20,2,3,NA,31,12,3,NA,NA,5,NA,NA,1,NA,NA,NA,NA
"47","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/09/16/40b7b1cc3de40d354e30d2cf85c1fd24_FORMATO.png",38632,21,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",1,7,4,2,1,6,11,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA
"48","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/03/29/bbfcc261f62ebb5c1dbea1b7e31f6dca_FORMATO.png",38001,21,265,"gol","Nulo",0,2.08,0,-1,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"49","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,21,314,"mei","Nulo",0,4.65,0,-0.45,"Avaí",1,1,NA,3,NA,14,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA
"50","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,21,284,"mei","Nulo",0,7.81,0,1.98,"Grêmio",3,6,1,2,NA,18,7,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA
"51","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2019/07/24/56b02ff991db7a46958a717d7e7bebcb_FORMATO.png",61149,21,265,"ata","Nulo",0,5.32,0,2.36,"Bahia",1,11,8,17,NA,14,7,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA
"52","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,21,262,"lat","Provável",7.8,13.86,0.09,6.13,"Flamengo",NA,16,1,3,NA,24,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,21,267,"zag","Nulo",0,6,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,21,282,"lat","Provável",0,9.92,0,2.48,"Atlético-MG",2,13,1,14,2,26,11,3,NA,NA,1,NA,NA,NA,2,NA,NA,NA
"55","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,21,283,"zag","Contundido",0,6.34,0,1.92,"Cruzeiro",1,16,NA,4,NA,15,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,21,283,"ata","Suspenso",-0.9,5.43,0.1,1.81,"Cruzeiro",6,20,8,23,3,36,3,NA,NA,NA,7,NA,NA,2,9,NA,1,NA
"57","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,21,283,"mei","Nulo",0,5.52,0,2.48,"Cruzeiro",2,3,1,7,1,9,4,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA
"58","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,21,356,"ata","Provável",8.5,11.64,1.78,4.37,"Fortaleza",3,32,13,22,6,24,7,NA,NA,NA,12,NA,NA,1,7,NA,1,NA
"59","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,21,315,"lat","Provável",0,8.18,0,2.53,"Chapecoense",2,16,NA,18,NA,45,18,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"60","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/23/e07f02ef4a79d6525b03ab26a352738b_FORMATO.png",51413,21,264,"gol","Nulo",0,8.01,0,9.63,"Corinthians",NA,NA,NA,1,NA,2,NA,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"61","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/06/20/b08c001d25a758214f1ef1618a1818fb_FORMATO.png",38231,21,284,"ata","Nulo",14,10.34,2.62,2.6,"Grêmio",1,13,12,11,3,32,9,NA,NA,NA,4,NA,NA,1,4,1,NA,NA
"62","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,21,356,"zag","Contundido",0,4.09,0,0.98,"Fortaleza",NA,5,NA,3,NA,24,5,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"63","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png",38315,21,264,"mei","Nulo",0,3.19,0,-0.02,"Corinthians",2,4,NA,1,NA,17,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA
"64","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,21,315,"zag","Provável",0,3.84,0,0.87,"Chapecoense",2,2,NA,2,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,21,262,"mei","Contundido",0,5.52,0,1.53,"Flamengo",5,10,6,16,NA,25,9,NA,NA,NA,7,NA,NA,NA,NA,1,2,NA
"66","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2019/03/28/d9cac4a21775ee745faf095781d51f77_FORMATO.png",51495,21,354,"zag","Provável",5.4,6.29,1.01,1.93,"Ceará",1,11,NA,2,1,20,8,3,NA,NA,2,NA,NA,NA,2,NA,NA,NA
"67","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,21,293,"lat","Nulo",0,10.25,0,3.13,"Athlético-PR",2,3,NA,1,NA,8,4,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"68","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2019/03/28/7a6cecf56bf5b7d343a126ff05454101_FORMATO.png",50877,21,354,"mei","Nulo",0,3.33,0,1.3,"Ceará",1,7,NA,9,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,21,315,"mei","Provável",0,9.31,0,3.18,"Chapecoense",2,21,3,25,NA,24,44,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA
"70","Luiz Diallison de Souza Alves","apodi","Apodi","https://s.glbimg.com/es/sde/f/2019/03/30/b18585f6b8ae91f70811643eb4487638_FORMATO.png",51042,21,341,"lat","Provável",9.8,6.57,0.29,2.73,"CSA",3,33,5,21,2,39,10,6,NA,NA,7,NA,NA,1,4,NA,NA,NA
"71","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,21,283,"mei","Provável",0,9.32,0,4.53,"Cruzeiro",4,14,11,15,5,31,6,NA,NA,NA,19,NA,NA,2,2,NA,1,NA
"72","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,21,265,"ata","Provável",4.1,16.59,-0.77,7.29,"Bahia",NA,16,6,11,11,22,13,NA,NA,NA,14,NA,NA,2,6,NA,NA,NA
"73","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/09/16/971dab9cc4ede1bc2109cfaa33591b2e_FORMATO.png",61985,21,266,"mei","Provável",0,1.97,0,-0.73,"Fluminense",2,9,NA,9,NA,7,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"74","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,21,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,21,283,"mei","Provável",1.1,5.92,0.29,0.78,"Cruzeiro",5,22,3,16,1,72,14,NA,NA,NA,11,NA,NA,1,NA,NA,NA,NA
"76","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,21,266,"mei","Provável",-0.4,5.54,-0.27,2.22,"Fluminense",NA,11,3,14,1,35,6,NA,NA,NA,7,1,NA,2,NA,NA,NA,NA
"77","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,21,276,"lat","Provável",4.5,15.8,0.27,6.03,"São Paulo",NA,15,3,12,1,24,11,2,NA,NA,6,NA,NA,NA,2,NA,1,NA
"78","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,21,290,"ata","Suspenso",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2019/06/20/61b536c18d17747b369b6037b3390866_FORMATO.png",68887,21,315,"zag","Provável",0,6.62,0,1.92,"Chapecoense",1,10,6,14,1,42,13,4,NA,NA,7,1,NA,NA,2,NA,NA,1
"80","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,21,282,"ata","Nulo",0,13.34,0,3.29,"Atlético-MG",NA,14,9,14,2,11,5,NA,NA,NA,9,NA,NA,2,2,1,1,NA
"81","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2018/04/08/37fba0582d79360263206da6e9868169_FORMATO.png",68895,21,285,"ata","Dúvida",0,6.11,0,3.1,"Internacional",1,2,4,21,1,20,7,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA
