"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","CV","FF","FT","DD","DP","GS","A","I","GC","PP"
"11","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,33,315,"ata","Dúvida",2,5.05,-0.03,2.1,"Chapecoense",2,8,5,25,NA,10,10,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"12","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,33,275,"tec","Provável",5.34,10.67,0.4,3.99,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,33,275,"mei","Nulo",0,7.04,0,2.74,"Palmeiras",7,32,4,26,3,41,26,NA,1,14,NA,NA,NA,NA,1,1,NA,NA
"14","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/09/16/40b7b1cc3de40d354e30d2cf85c1fd24_FORMATO.png",38632,33,266,"zag","Nulo",0,6.23,0,3.56,"Fluminense",1,7,4,2,1,6,11,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA
"15","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,33,276,"mei","Nulo",0,12.79,0,3.34,"São Paulo",4,23,13,24,2,26,24,NA,NA,15,NA,NA,NA,NA,4,1,NA,NA
"16","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,33,341,"mei","Nulo",0,2.71,0,0.28,"CSA",3,10,NA,7,NA,12,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"17","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,33,314,"mei","Contundido",0,5.08,0,0.27,"Avaí",1,3,1,8,NA,34,2,NA,NA,6,NA,NA,NA,NA,1,2,NA,NA
"18","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2019/08/07/be3fc6b9543b1a74a45b5b684c55dd34_FORMATO.png",38939,33,276,"lat","Provável",13.9,17.31,2.13,5.67,"São Paulo",4,32,3,29,2,58,28,5,NA,11,1,NA,NA,NA,3,3,NA,NA
"19","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,33,262,"mei","Nulo",0.8,4.73,0.08,1.23,"Flamengo",5,12,7,18,NA,31,9,NA,NA,9,2,NA,NA,NA,NA,NA,NA,1
"20","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg",38913,33,266,"mei","Nulo",0,6.22,0,2.56,"Fluminense",1,19,5,32,3,72,15,NA,1,18,NA,NA,NA,NA,2,2,NA,NA
"21","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,33,262,"lat","Nulo",0,13.55,0,5.88,"Flamengo",NA,21,1,10,NA,31,40,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,33,282,"ata","Nulo",0,12.31,0,2.63,"Atlético-MG",NA,15,9,17,2,11,6,NA,NA,14,1,NA,NA,NA,2,2,NA,1
"23","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/08/28/fe269809a0e929e19becd912bd4a29e3_FORMATO.png",38959,33,264,"ata","Provável",0.8,5.16,-0.06,2.22,"Corinthians",4,29,5,33,5,33,13,NA,NA,10,NA,NA,NA,NA,NA,8,NA,NA
"24","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,33,283,"gol","Provável",8,11.62,0.49,3.9,"Cruzeiro",2,NA,NA,5,NA,11,NA,12,NA,NA,NA,36,2,30,NA,NA,NA,NA
"25","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,33,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",NA,3,1,2,NA,1,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"26","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2019/09/16/326457da2c79ca194d2abecdf7ec0ff8_FORMATO.png",62977,33,266,"mei","Provável",0.8,7.35,0.35,1.63,"Fluminense",8,28,10,32,2,79,29,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"27","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/09/27/100cf375e588a977ea2906da9ed2694f_FORMATO.png",62974,33,267,"zag","Nulo",0,1.83,0,0.37,"Vasco",NA,5,3,3,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA
"28","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2019/01/14/7f464fdea223af04dca8d52a2ac4d9d7_FORMATO.jpeg",63013,33,275,"lat","Provável",8.6,17.11,0.48,6.51,"Palmeiras",3,33,1,29,1,70,72,8,NA,5,NA,NA,NA,NA,1,1,NA,NA
"29","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2019/08/27/52414dcf5cfe27cb0571cb0f29c845c6_FORMATO.png",63110,33,290,"lat","Suspenso",-1,4.37,-0.19,1.73,"Goiás",6,22,3,21,1,10,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"30","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,33,356,"zag","Nulo",12.2,7.93,1.5,4.5,"Fortaleza",1,6,1,4,2,15,10,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"31","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,33,266,"gol","Suspenso",0,2.22,0,-0.67,"Fluminense",NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,7,NA,12,NA,NA,NA,NA
"32","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,33,315,"zag","Provável",3.9,3.24,0.42,1.16,"Chapecoense",7,24,2,8,NA,16,14,4,NA,5,NA,NA,NA,NA,1,NA,NA,NA
"33","Cícero dos Santos Bezerra","didira","Didira","https://s.glbimg.com/es/sde/f/2019/03/23/53d76a1f4b80cf6193e40d704877fbab_FORMATO.png",63178,33,341,"mei","Nulo",0,4.69,0,1.29,"CSA",3,15,2,15,NA,21,17,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"34","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,33,356,"lat","Dúvida",5.4,6.81,1.18,2.89,"Fortaleza",5,49,4,18,1,47,44,4,1,7,NA,NA,NA,NA,2,1,NA,NA
"35","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,33,284,"ata","Nulo",3,7.95,0.64,2.22,"Grêmio",3,20,6,19,2,18,10,NA,NA,6,1,NA,NA,NA,2,5,NA,1
"36","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,33,285,"mei","Provável",0.5,8.23,-0.09,2.7,"Internacional",6,27,6,18,5,53,27,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA
"37","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2019/08/13/20926f65de350a35d2b3122e69b68821_FORMATO.png",68698,33,285,"mei","Nulo",0,7.84,0,2.46,"Internacional",4,22,4,15,NA,23,27,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA
"38","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,33,282,"mei","Provável",3.9,8.35,0.42,3.6,"Atlético-MG",5,45,6,48,3,69,44,NA,NA,21,NA,NA,NA,NA,1,6,NA,1
"39","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2019/04/01/3e050c01c28897f628b2b5b275392576_FORMATO.png",63422,33,276,"mei","Nulo",-0.8,6.18,-0.57,1.77,"São Paulo",NA,4,NA,5,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,33,285,"zag","Provável",7.7,7.35,1.16,4.24,"Internacional",1,7,2,6,1,9,19,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2019/05/13/8694db2e75af48647f99b643845dac13_FORMATO.png",68696,33,354,"ata","Provável",4.8,5.55,0.9,2.83,"Ceará",3,22,17,28,3,19,10,NA,NA,14,NA,NA,NA,NA,1,12,NA,1
"42","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2019/02/04/ee21ad2d06f9472ebeac2c604d782d83_FORMATO.png",68727,33,283,"lat","Dúvida",6.6,7,-0.01,3.74,"Cruzeiro",2,24,5,6,NA,37,25,8,NA,2,1,NA,NA,NA,NA,1,NA,NA
"43","Henrique Almeida Caixeta Nascentes","henrique-almeida","Henrique Almeida","https://s.glbimg.com/es/sde/f/2019/07/25/828af9fc6a19344c0716c18dd2ca67d2_FORMATO.png",68773,33,315,"ata","Dúvida",4.6,5.07,-0.44,3.92,"Chapecoense",3,11,6,9,3,14,11,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA
"44","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,33,265,"lat","Dúvida",0,13.15,0,5.54,"Bahia",4,32,8,35,2,59,39,10,NA,7,1,NA,NA,NA,4,NA,NA,NA
"45","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2019/03/30/81d88455f0c9a28fc1bf58482da871c1_FORMATO.png",68770,33,293,"mei","Nulo",4.7,4.31,0.97,2.1,"Athlético-PR",1,9,1,3,NA,11,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"46","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,33,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,33,285,"lat","Provável",5.2,4.27,0.9,2.88,"Internacional",1,19,2,5,NA,38,22,5,NA,4,NA,NA,NA,NA,1,4,NA,NA
"48","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/09/16/971dab9cc4ede1bc2109cfaa33591b2e_FORMATO.png",61985,33,266,"mei","Nulo",0,2.38,0,-0.39,"Fluminense",2,10,NA,11,NA,7,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2019/06/14/c5f4be26e84f8c3952f53a185dfb8ea5_FORMATO.png",62009,33,315,"mei","Provável",0,6.32,-0.53,2.53,"Chapecoense",2,31,11,22,1,51,19,NA,NA,18,1,NA,NA,NA,4,5,NA,NA
"50","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,33,265,"ata","Provável",3.4,16.2,0.39,5.85,"Bahia",1,28,15,17,11,31,21,NA,NA,25,2,NA,NA,NA,3,8,NA,NA
"51","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,33,282,"lat","Provável",-2.7,3.49,-1.56,2.09,"Atlético-MG",3,28,6,6,1,49,17,5,NA,8,NA,NA,NA,NA,1,1,1,NA
"52","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,33,283,"mei","Contundido",0,5.52,0,2.48,"Cruzeiro",2,3,1,7,1,9,4,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA
"53","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2019/07/24/56b02ff991db7a46958a717d7e7bebcb_FORMATO.png",61149,33,265,"ata","Dúvida",1.8,5.22,0.28,2.03,"Bahia",1,14,9,23,NA,16,10,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA
"54","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,33,277,"lat","Dúvida",0,4.78,0,2.19,"Santos",4,16,NA,8,NA,14,14,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2019/04/26/1fb896f3ea8d1a587b57fffd9f5e313d_FORMATO.png",62023,33,285,"mei","Provável",1.1,5.81,-0.07,0.74,"Internacional",5,6,10,14,1,67,8,NA,NA,9,1,NA,NA,NA,1,6,NA,1
"56","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2019/01/14/207e69e5aa0f7a726fd16599f889feec_FORMATO.jpeg",62047,33,275,"mei","Nulo",0,3.5,0,-0.04,"Palmeiras",NA,2,NA,1,NA,7,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,33,293,"mei","Provável",0.6,0.78,-0.01,-0.74,"Athlético-PR",10,46,4,14,NA,52,14,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA
"58","Maicon Marques Bitencourt","maicon","Maicon","https://s.glbimg.com/es/sde/f/2019/03/29/32816f651b7a79f953bfbe551d47c80e_FORMATO.png",62968,33,282,"ata","Nulo",0,5.16,0,1.76,"Atlético-MG",1,8,1,6,NA,11,6,NA,NA,3,NA,NA,NA,NA,2,1,NA,NA
"59","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,33,290,"ata","Suspenso",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2019/04/26/ff9a95bc3d5696feb8d8d55b5b47f12b_FORMATO.png",69051,33,285,"gol","Nulo",0,6.1,0,6.14,"Internacional",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,12,NA,5,NA,NA,NA,NA
"61","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,33,277,"gol","Nulo",0,22.89,0,7.97,"Santos",NA,NA,NA,2,NA,4,NA,3,NA,NA,NA,15,NA,6,NA,NA,NA,NA
"62","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2019/02/27/c71b608a8727463f7418750e4b406c48_FORMATO.png",62033,33,265,"ata","Nulo",0.8,6.25,-0.04,2.07,"Bahia",1,11,9,18,4,13,6,NA,1,20,NA,NA,NA,NA,NA,9,NA,NA
"63","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,33,283,"mei","Nulo",-0.3,5.21,-0.46,0.52,"Cruzeiro",7,33,5,24,1,97,19,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA
"64","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,33,276,"ata","Suspenso",-1.1,11.83,-0.52,2.7,"São Paulo",3,20,4,8,3,8,3,NA,NA,12,1,NA,NA,NA,NA,9,NA,NA
"65","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2019/08/23/69269a509e22002208076d8511c9258a_FORMATO.png",69177,33,314,"lat","Nulo",0,4.35,0,2.43,"Avaí",5,29,NA,21,NA,25,21,4,2,8,NA,NA,NA,NA,2,NA,NA,NA
"66","Romulo Borges Monteiro","romulo","Romulo","https://s.glbimg.com/es/sde/f/2019/03/30/b06f6bb3a42e7565fe15d4abdbbbe956_FORMATO.png",70009,33,284,"mei","Nulo",0,4.41,0,1.9,"Grêmio",3,23,2,11,2,18,15,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"67","Ricardo Bueno da Silva","ricardo-bueno","Ricardo Bueno","https://s.glbimg.com/es/sde/f/2019/07/08/1f73cdfaf6d211abebbace364f7e2da6_FORMATO.png",69141,33,341,"ata","Provável",3.1,14.28,0.37,3.49,"CSA",5,29,9,41,7,28,13,NA,NA,13,NA,NA,NA,NA,2,13,NA,1
"68","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,33,293,"mei","Provável",5.5,15.73,-0.02,4.62,"Athlético-PR",2,16,19,18,4,30,14,NA,NA,22,1,NA,NA,NA,2,4,NA,NA
"69","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2019/05/23/6a353db88a96b39b63e2ff4a5b79226d_FORMATO.png",69161,33,264,"ata","Nulo",-0.1,4.21,-0.25,3.37,"Corinthians",3,10,8,15,5,21,2,NA,NA,7,NA,NA,NA,NA,2,2,NA,NA
"70","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2019/10/15/4210fc1f14796956aaef1b20096062da_FORMATO.png",39850,33,282,"tec","Provável",1.86,6.92,-0.34,3.48,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,33,284,"zag","Nulo",0,4.96,0,2.3,"Grêmio",2,14,1,4,1,14,11,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"72","Rodolfo Vicente Gamarra Varela","gamarra","Gamarra","https://s.glbimg.com/es/sde/f/2019/07/08/d5b3fba549a4fd01075274610e2c1fe0_FORMATO.png",69288,33,341,"ata","Nulo",0,5.34,0,0.2,"CSA",NA,2,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"73","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,33,284,"tec","Provável",2.18,12.6,-0.53,4.57,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,33,267,"tec","Nulo",1.64,8.25,-0.7,3.05,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2019/10/14/3dae22953d2e8c2aeb64c86e29127080_FORMATO.png",40006,33,283,"tec","Provável",4.02,10.04,-0.11,3.71,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Marco Aurélio de Oliveira Breves","marcao","Marcão","https://s.glbimg.com/es/sde/f/2019/08/19/a82fef08b06cc512020f41628fd14b56_FORMATO.png",73476,33,266,"tec","Provável",1.52,7.23,-0.22,3.78,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2019/10/04/a6a0d5b8242ab97c304e5febe7e6a675_FORMATO.png",41258,33,354,"tec","Provável",1.96,10.39,0.09,3.51,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,33,275,"ata","Nulo",0.8,7.53,0.15,2.68,"Palmeiras",1,12,7,15,4,22,4,NA,1,6,1,NA,NA,NA,1,3,NA,NA
"79","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,33,264,"gol","Provável",7.7,8.88,1.54,3.21,"Corinthians",6,1,NA,5,NA,13,NA,11,NA,NA,NA,26,1,23,NA,NA,NA,NA
"80","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,33,283,"lat","Dúvida",0,10.34,0,4.38,"Cruzeiro",1,25,8,19,NA,61,37,8,NA,7,NA,NA,NA,NA,1,1,NA,NA
"81","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,33,356,"ata","Provável",0,6.6,0,2.63,"Fortaleza",3,23,7,16,3,34,13,NA,1,16,2,NA,NA,NA,5,NA,NA,NA
