"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","PE","RB","SG","DD","GS","FD","FF","G","FT","A","I","DP","PP","CV","GC"
"11","Michael Matias Fracaro","michael","Michael","https://s.glbimg.com/es/sde/f/2018/05/07/b00362ea5028e43dae1152d78fbf5ccc_FORMATO.png",93659,11,282,"gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,11,264,"lat","Provável",0.1,12.84,-0.97,7.88,"Corinthians",2,6,14,27,17,5,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA
"13","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,11,285,"ata","Nulo",0,15.29,0,2.99,"Internacional",2,10,7,17,11,NA,NA,NA,5,10,NA,2,NA,4,NA,NA,NA,NA
"14","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png",83257,11,262,"ata","Provável",7.5,19.61,-3.07,10.31,"Flamengo",2,7,10,20,5,NA,NA,NA,11,12,8,NA,2,6,NA,NA,NA,NA
"15","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,11,284,"zag","Nulo",0,14.7,0,3.7,"Grêmio",3,9,4,3,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"16","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2019/05/30/7e60ff2712f74e10b9a6bcf9661f2f8f_FORMATO.png",81682,11,282,"mei","Provável",8.9,11.84,0.67,6.72,"Atlético-MG",NA,3,2,21,3,NA,NA,NA,9,6,3,1,NA,NA,NA,NA,NA,NA
"17","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2019/02/04/c331ee1720c436a925256baca5841194_FORMATO.png",62977,11,266,"mei","Provável",0,7.94,0,2.42,"Fluminense",3,6,7,17,5,NA,NA,NA,4,6,1,NA,NA,NA,NA,NA,NA,NA
"18","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,11,282,"gol","Nulo",0,6.56,0,3.32,"Atlético-MG",1,NA,NA,7,NA,1,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,11,277,"gol","Nulo",0,22.89,0,7.97,"Santos",NA,NA,2,4,NA,3,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,11,283,"gol","Nulo",0,10.75,0,3.75,"Cruzeiro",NA,NA,NA,1,NA,3,12,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"21","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,11,265,"lat","Nulo",0,12.31,0,4.4,"Bahia",3,9,12,22,13,3,NA,NA,3,4,NA,NA,1,NA,NA,NA,NA,NA
"22","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/03/22/27fa5cdf4f485fac2794eb67548421f6_FORMATO.png",74061,11,263,"gol","Provável",9.7,8.64,1.3,3.88,"Botafogo",3,NA,2,7,NA,4,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,11,266,"lat","Provável",7.7,7.05,1.46,1.93,"Fluminense",NA,11,5,27,12,NA,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA
"24","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,11,283,"mei","Contundido",0,5.52,0,2.48,"Cruzeiro",2,3,7,9,4,NA,NA,NA,1,3,1,NA,NA,1,NA,NA,NA,NA
"25","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,11,276,"mei","Provável",4.7,14.37,-0.42,4.28,"São Paulo",1,7,12,9,9,NA,NA,NA,7,7,1,NA,2,1,NA,NA,NA,NA
"26","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,11,277,"mei","Provável",1.3,8.59,0.22,2.84,"Santos",NA,12,16,18,6,NA,NA,NA,3,4,1,1,1,NA,NA,NA,NA,NA
"27","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,11,276,"lat","Provável",8.6,13.29,0.82,4.83,"São Paulo",1,14,11,19,17,5,NA,NA,3,4,NA,NA,1,NA,NA,NA,NA,NA
"28","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,11,276,"ata","Contundido",0,15.1,0,10.2,"São Paulo",NA,NA,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"29","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,11,267,"mei","Provável",-0.1,9.46,-1.27,3.29,"Vasco",1,2,22,18,8,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA
"30","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,11,267,"zag","Provável",10.6,10.63,-0.37,10.6,"Vasco",NA,1,3,3,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"31","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,11,282,"lat","Nulo",0,10.45,0,3.31,"Atlético-MG",1,7,9,11,6,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"32","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,11,282,"lat","Nulo",0,3.03,0,0.86,"Atlético-MG",2,10,NA,16,3,1,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA
"33","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,11,282,"ata","Nulo",0,13.22,0,2.6,"Atlético-MG",NA,8,8,8,2,NA,NA,NA,5,6,1,1,1,NA,NA,1,NA,NA
"34","Carlos Cesar Neves","carlos-cesar","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,11,282,"lat","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,11,282,"mei","Provável",-1.2,8.99,-0.76,2.11,"Atlético-MG",NA,10,8,27,12,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,1,NA
"36","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,11,282,"zag","Nulo",0,4.32,0,0.42,"Atlético-MG",2,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,11,282,"mei","Nulo",-1.7,7.34,-1.46,3.43,"Atlético-MG",2,16,18,31,22,NA,NA,NA,3,7,NA,NA,1,NA,NA,1,NA,NA
"38","Maicon Marques Bitencourt","maicon","Maicon","https://s.glbimg.com/es/sde/f/2019/03/29/32816f651b7a79f953bfbe551d47c80e_FORMATO.png",62968,11,282,"ata","Nulo",0,6.27,0,2.6,"Atlético-MG",1,2,2,3,2,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA
"39","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/29/188d8189b08f034c67505831cfe67554_FORMATO.png",71162,11,282,"mei","Provável",5.3,4.48,-0.19,2.58,"Atlético-MG",1,6,4,13,2,NA,NA,NA,3,6,1,1,NA,NA,NA,NA,NA,NA
"40","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2019/03/25/6756f079e2e35d2a22e59a73782daa41_FORMATO.png",73896,11,282,"ata","Provável",5.2,12.75,0.75,3.32,"Atlético-MG",1,17,20,15,12,NA,NA,NA,6,10,NA,NA,1,NA,NA,NA,NA,NA
"41","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/05/07/211b2cfc9413080da0e36bac586628df_FORMATO.png",89226,11,282,"zag","Nulo",0,5.09,0,5.75,"Atlético-MG",1,2,2,7,2,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA
"42","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,11,282,"mei","Nulo",0,4.6,0,2.25,"Atlético-MG",2,6,4,9,12,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"43","Igor Alves dos Reis","igor-reis","Igor Reis",NA,104408,11,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,11,282,"mei","Provável",4.5,7.15,-0.01,3.7,"Atlético-MG",1,8,7,7,12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"45","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,11,282,"mei","Contundido",0,9,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2019/05/28/31576151f911825460540e32249a6735_FORMATO.png",89493,11,282,"zag","Provável",-0.8,8.23,-0.69,1.85,"Atlético-MG",NA,9,5,16,11,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"47","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,11,282,"gol","Contundido",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Daniel dos Santos Penha","daniel","Daniel","https://s.glbimg.com/es/sde/f/2017/05/04/6d566daae907e707a8bfbd7975033f26_FORMATO.png",97349,11,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,11,282,"mei","Nulo",0,5.07,0,2.96,"Atlético-MG",1,1,1,4,4,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA
"50","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2018/05/07/8a0462ed1a379da917d8f4b4fa8cc04a_FORMATO.png",93882,11,282,"gol","Provável",-1.3,1.29,-0.44,-0.15,"Atlético-MG",NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Alessandro Vinícius Gonçalves da Silva","alessandro-vinicius","Alessandro Vinícius","https://s.glbimg.com/es/sde/f/2019/03/30/ffa3db77225e133627999054dd742e50_FORMATO.png",94495,11,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2019/02/15/7f94dd0a492218c6dcc1fbc02473637c_FORMATO.png",98765,11,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Fernando Rodrigues Caixeta Barbosa","fernando","Fernando","https://s.glbimg.com/es/sde/f/2018/05/07/f73daae77a916904f7cc997667e506ad_FORMATO.png",97543,11,282,"gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Bruno Roberto Pereira da Silva","bruninho","Bruninho","https://s.glbimg.com/es/sde/f/2018/05/17/4db250b451ffbbeb0a3e8ec81fe6023a_FORMATO.png",101716,11,282,"mei","Nulo",0,1.53,0,0.57,"Atlético-MG",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Miguel David Terans Pérez  ","terans","Terans","https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png",102878,11,282,"mei","Nulo",0,5,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Yimmi Javier Chará Zamora","chara","Chará","https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png",99891,11,282,"ata","Nulo",0.4,10.92,-0.7,4.53,"Atlético-MG",NA,4,15,28,9,NA,NA,NA,4,5,3,1,NA,2,NA,NA,NA,NA
"57","Felipe Fernandes Sousa","felipe-sousa","Felipe Sousa",NA,101861,11,282,"ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Claudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2019/03/29/fb13c66ae9c72ffe321570f916f5d250_FORMATO.png",101319,11,282,"lat","Provável",1.9,8.39,-0.51,5.27,"Atlético-MG",NA,4,6,24,18,NA,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,NA
"59","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2018/05/17/28dbb606b55029007f0519c4b90dcd6f_FORMATO.png",101715,11,282,"ata","Provável",4.5,7.05,-0.93,7.92,"Atlético-MG",NA,2,8,3,4,NA,NA,NA,2,7,2,1,1,1,NA,NA,NA,NA
"60","Rafael Elias da Silva","papagaio","Papagaio","https://s.glbimg.com/es/sde/f/2019/03/29/6cce9b5a37d0722657f590f8d01229f4_FORMATO.png",102302,11,282,"ata","Nulo",0,1.45,0,0.6,"Atlético-MG",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Carlos Gabriel Moreira de Oliviera","hulk","Hulk","https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png",102700,11,282,"lat","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Antônio Fialho de Carvalho Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2019/03/30/845cad8021ef58fd85f953cdd5d0fae9_FORMATO.png",103706,11,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Hélio Júnior Rossi Francino","helio-junior","Hélio Júnior",NA,104622,11,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Raphael Lopes Silva","raphael-lopes","Raphael Lopes",NA,105198,11,282,"ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Glédson Ribeiro dos Santos","gledson","Glédson","https://s.glbimg.com/es/sde/f/2019/02/18/c6d4b90211065258bf950d6d8491a977_FORMATO.png",73533,11,314,"gol","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Matheus Bungenstab Stockl","matheus-stockl","Matheus Stockl","https://s.glbimg.com/es/sde/f/2019/03/30/86011c733ddfa6a95f8ce320b63fab21_FORMATO.png",104088,11,282,"zag","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Gabriel Alves da Cunha Borges","gabriel","Gabriel",NA,104404,11,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,11,314,"zag","Provável",3.8,3.93,0.59,2.03,"Avaí",4,7,10,21,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,11,314,"zag","Contundido",0,6.52,0,2.5,"Avaí",1,2,4,14,8,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"70","Daniel Amorim Dias da Silva","daniel-amorim","Daniel Amorim","https://s.glbimg.com/es/sde/f/2019/02/18/0d8fec2dd84657e690f017bb4a25b414_FORMATO.png",82880,11,314,"ata","Nulo",-1.8,5.23,-0.6,1.5,"Avaí",1,5,9,6,NA,NA,NA,NA,3,4,1,NA,NA,2,NA,NA,NA,NA
"71","André Francisco Moritz","andre-moritz","André Moritz","https://s.glbimg.com/es/sde/f/2019/02/18/d99758d2310a72493c0acbd56c97f22d_FORMATO.png",42208,11,314,"mei","Nulo",0,3.64,0,1.13,"Avaí",NA,NA,2,9,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"72","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,11,314,"mei","Provável",-1.4,4.96,-0.6,-0.16,"Avaí",NA,1,3,12,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"73","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2019/03/25/4bc2171f8c51b2c85199265874ecd26c_FORMATO.png",69040,11,314,"gol","Nulo",5.7,6.16,1.25,3.47,"Avaí",1,NA,1,1,NA,3,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Júlio César Godinho Catole","julinho","Julinho","https://s.glbimg.com/es/sde/f/2019/02/18/cf3d8eab528cc3bf388f557c9134576c_FORMATO.png",73501,11,314,"mei","Provável",0.2,1.98,-0.29,2.2,"Avaí",1,4,3,8,5,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"75","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,11,314,"mei","Provável",1.5,4.3,-0.64,2.24,"Avaí",NA,17,14,22,16,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA
"76","Matheus Barbosa Teixeira","matheus-barbosa","Matheus Barbosa","https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png",74069,11,314,"mei","Nulo",0,3.8,0,1.67,"Avaí",NA,8,3,16,10,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA
"77","Alex da Silva","alex-silva","Alex Silva","https://s.glbimg.com/es/sde/f/2019/02/18/2ffd333de72b16a616330241a2857925_FORMATO.png",84861,11,314,"lat","Contundido",0,4.35,0,1.7,"Avaí",1,2,3,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"78","Geirton Marques Aires","gege","Gegê","https://s.glbimg.com/es/sde/f/2019/02/18/a6e6b20f53d3e64deddfd38a901450c0_FORMATO.png",82474,11,314,"mei","Nulo",0,3.23,0,3.54,"Avaí",NA,9,4,6,10,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA
"79","Jonny Ferney Mosquera Mena","mosquera","Mosquera","https://s.glbimg.com/es/sde/f/2019/03/31/8ef2e2aca1a983bd2f770590e4a0aa91_FORMATO.png",86116,11,314,"mei","Nulo",0,2.69,0,0.5,"Avaí",NA,2,2,7,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"80","Igor Fernandes da Silva Araújo","igor-fernandes","Igor Fernandes","https://s.glbimg.com/es/sde/f/2019/02/18/8ab8d39b2dc545324288925073d88bfd_FORMATO.png",82635,11,314,"lat","Provável",7.3,4.94,1.11,3.74,"Avaí",2,12,8,14,16,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"81","Lucas Henrique Frigeri","lucas-frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2019/03/26/65f2f48172da036fdca184334f150eab_FORMATO.png",84854,11,314,"gol","Provável",0,5,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
