"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FF","FS","G","PE","RB","CA","FD","I","DD","GS","SG","DP","FT","A","PP","CV","GC"
"11","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,3,285,"ata","Provável",3.2,16.88,-1.55,4.5,"Internacional",1,4,1,NA,2,2,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"12","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,3,283,"zag","Provável",8.7,15.63,0.68,6.57,"Cruzeiro",1,1,2,1,7,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"13","Iago Amaral Borduchi","iago","Iago","https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png",97868,3,285,"lat","Provável",3.9,8.82,0.14,1.95,"Internacional",1,NA,1,NA,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,3,285,"zag","Provável",5,12.72,-0.17,4.85,"Internacional",2,NA,2,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2018/05/07/2952d9583a363deaf38934dd9c4cd382_FORMATO.png",81682,3,282,"mei","Nulo",0,11,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,3,282,"zag","Provável",1.8,11.14,-1.09,1.65,"Atlético-MG",NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,3,265,"lat","Provável",7.4,12.66,0.96,3.93,"Bahia",4,2,4,NA,10,4,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"18","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,3,267,"zag","Nulo",0,11,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,3,282,"gol","Provável",3.7,5.75,0.34,1.7,"Atlético-MG",NA,NA,NA,NA,3,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
"20","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,3,264,"lat","Provável",0,11.32,0,8.75,"Corinthians",1,NA,6,NA,4,8,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"21","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/03/22/27fa5cdf4f485fac2794eb67548421f6_FORMATO.png",74061,3,263,"gol","Provável",8.5,5.46,2.57,0.1,"Botafogo",NA,NA,1,NA,4,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA
"22","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2019/02/04/c331ee1720c436a925256baca5841194_FORMATO.png",62977,3,266,"mei","Dúvida",0,11,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,3,277,"gol","Provável",10.7,22.74,1.48,9.03,"Santos",NA,NA,NA,NA,3,NA,NA,NA,NA,9,2,1,NA,NA,NA,NA,NA,NA
"24","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,3,266,"lat","Provável",2.7,6.46,0.09,0.4,"Fluminense",1,NA,1,NA,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2019/05/08/aed67dfbed5ad1906c0e020b63389e1d_FORMATO.png",61033,3,283,"mei","Provável",6.8,6.22,1.36,4.4,"Cruzeiro",2,NA,2,1,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,3,276,"lat","Provável",-1.1,9.97,-1.68,2.5,"São Paulo",5,NA,2,NA,5,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"27","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2019/04/04/f6df9ba4f9ba25d9b872308e30c5baa9_FORMATO.png",78548,3,277,"mei","Dúvida",1.2,8.4,-0.63,1.67,"Santos",4,1,1,NA,4,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,3,276,"mei","Nulo",6.3,14.77,0.48,4.43,"São Paulo",NA,2,2,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"29","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,3,276,"ata","Contundido",0,17,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Martín Rea Zuccotti","martin-rea","Martín Rea","https://s.glbimg.com/es/sde/f/2018/08/15/112cfc233171e1ce071bc8982b37d432_FORMATO.png",103093,3,282,"zag","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Miguel David Terans Pérez  ","terans","Terans","https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png",102878,3,282,"mei","Nulo",0,5,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Rafael Elias da Silva","papagaio","Papagaio","https://s.glbimg.com/es/sde/f/2019/03/29/6cce9b5a37d0722657f590f8d01229f4_FORMATO.png",102302,3,282,"ata","Nulo",0,1.45,-0.55,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,3,267,"mei","Provável",3.2,9.11,-0.11,2.2,"Vasco",1,2,5,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Matheus Bungenstab Stockl","matheus-stockl","Matheus Stockl","https://s.glbimg.com/es/sde/f/2019/03/30/86011c733ddfa6a95f8ce320b63fab21_FORMATO.png",104088,3,282,"zag","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Antônio Fialho de Carvalho Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2019/03/30/845cad8021ef58fd85f953cdd5d0fae9_FORMATO.png",103706,3,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Carlos Gabriel Moreira de Oliviera","hulk","Hulk","https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png",102700,3,282,"lat","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Renan Guedes Borges","renan-guedes","Renan Guedes","https://s.glbimg.com/es/sde/f/2019/03/30/326a3140a44042ebe99aabbad8cfef22_FORMATO.png",104127,3,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Hélio Júnior Rossi Francino","helio-junior","Hélio Júnior",NA,104622,3,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,3,314,"mei","Contundido",0,8,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Gabriel Alves da Cunha Borges","gabriel","Gabriel",NA,104404,3,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Igor Alves dos Reis","igor-reis","Igor Reis",NA,104408,3,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,3,314,"zag","Provável",5,2.56,1.52,0.57,"Avaí",3,NA,3,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Jones da Silva Lopes","jones-carioca","Jones Carioca","https://s.glbimg.com/es/sde/f/2019/02/18/29ad9c787e1cd6aa361a8f1e8029722a_FORMATO.png",70161,3,314,"ata","Nulo",0,3.04,0,1.15,"Avaí",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,3,284,"zag","Provável",0,11.61,0,4.3,"Grêmio",1,1,2,NA,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Raphael Lopes Silva","raphael-lopes","Raphael Lopes",NA,105198,3,282,"ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","André Francisco Moritz","andre-moritz","André Moritz","https://s.glbimg.com/es/sde/f/2019/02/18/d99758d2310a72493c0acbd56c97f22d_FORMATO.png",42208,3,314,"mei","Nulo",0,4.56,0,2,"Avaí",NA,3,2,NA,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,3,314,"zag","Provável",0.7,7.48,-0.82,3.53,"Avaí",2,4,4,NA,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Alex da Silva","alex-silva","Alex Silva","https://s.glbimg.com/es/sde/f/2019/02/18/2ffd333de72b16a616330241a2857925_FORMATO.png",84861,3,314,"lat","Contundido",0,4.35,0,1.7,"Avaí",2,1,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Júlio César Godinho Catole","julinho","Julinho","https://s.glbimg.com/es/sde/f/2019/02/18/cf3d8eab528cc3bf388f557c9134576c_FORMATO.png",73501,3,314,"mei","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Pedro Henrique de Castro Silva","pedro-castro","Pedro Castro","https://s.glbimg.com/es/sde/f/2019/03/25/cdc521cfa238c56aa9fb0eb73e4aca7a_FORMATO.png",78840,3,314,"mei","Provável",0.5,2.46,-0.27,0.8,"Avaí",6,1,5,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Glédson Ribeiro dos Santos","gledson","Glédson","https://s.glbimg.com/es/sde/f/2019/02/18/c6d4b90211065258bf950d6d8491a977_FORMATO.png",73533,3,314,"gol","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Daniel Amorim Dias da Silva","daniel-amorim","Daniel Amorim","https://s.glbimg.com/es/sde/f/2019/02/18/0d8fec2dd84657e690f017bb4a25b414_FORMATO.png",82880,3,314,"ata","Provável",3.5,6.27,-0.73,3.5,"Avaí",2,2,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Matheus Barbosa Teixeira","matheus-barbosa","Matheus Barbosa","https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png",74069,3,314,"mei","Nulo",0,4.51,0,3.3,"Avaí",1,1,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Geirton Marques Aires","gege","Gegê","https://s.glbimg.com/es/sde/f/2019/02/18/a6e6b20f53d3e64deddfd38a901450c0_FORMATO.png",82474,3,314,"mei","Nulo",0,1.87,0,-0.3,"Avaí",4,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Lucas Henrique Frigeri","lucas-frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2019/03/26/65f2f48172da036fdca184334f150eab_FORMATO.png",84854,3,314,"gol","Nulo",0,5,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2019/03/25/4bc2171f8c51b2c85199265874ecd26c_FORMATO.png",69040,3,314,"gol","Provável",16.5,4.94,4.22,3.5,"Avaí",NA,NA,1,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA
"57","Getúlio Wandelly Silva Timoteo","getulio","Getúlio","https://s.glbimg.com/es/sde/f/2019/02/18/3eda93423ebb9e3f661c0360363ef5e5_FORMATO.png",90573,3,314,"ata","Provável",1.9,7.18,-0.41,3.77,"Avaí",3,1,5,NA,3,4,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"58","Igor Fernandes da Silva Araújo","igor-fernandes","Igor Fernandes","https://s.glbimg.com/es/sde/f/2019/02/18/8ab8d39b2dc545324288925073d88bfd_FORMATO.png",82635,3,314,"lat","Provável",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","João Paulo da Silva Alves","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/02/18/e6b56502fd1ec5cd75f853c47b7df942_FORMATO.png",86770,3,314,"mei","Provável",0.8,4.42,-0.35,1.57,"Avaí",5,NA,9,NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Maurício Tomazi Pinheiro","mauricio","Maurício","https://s.glbimg.com/es/sde/f/2019/03/26/1f39cc62496e44034c3eeebbdf31abf6_FORMATO.png",96464,3,314,"zag","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Eduardo Kunde","kunde","Kunde","https://s.glbimg.com/es/sde/f/2019/03/25/c4c9c869583e3c80724d1cea7d6dbbc9_FORMATO.png",95476,3,314,"zag","Nulo",0.1,0.73,0.01,-1,"Avaí",3,NA,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Leonardo Thomas Lopes","leo-lopes","Léo Lopes","https://s.glbimg.com/es/sde/f/2019/03/25/75373f3be71d114621aba37a7d05db97_FORMATO.png",96965,3,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Eugênio Machado Souto","geninho","Geninho","https://s.glbimg.com/es/sde/f/2019/03/31/0f7029892255153d5c0261c6523eef36_FORMATO.png",36886,3,314,"tec","Provável",2.85,5.03,0.37,2.43,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Luan Martins Pereira","luan-pereira","Luan Pereira","https://s.glbimg.com/es/sde/f/2019/03/26/4ea943857c8fd654cdc1fe1f3e802748_FORMATO.png",99900,3,314,"mei","Provável",0,2.47,-0.44,0.85,"Avaí",2,NA,1,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Gabriel Farias de Lima","gabriel-lima","Gabriel Lima","https://s.glbimg.com/es/sde/f/2019/02/18/a93bba8cbc0b3d63a2713d51b3e80af1_FORMATO.png",98400,3,314,"ata","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gustavo Alcindo (Alcino)","gustavo","Gustavo","https://s.glbimg.com/es/sde/f/2019/02/18/2d52dcaf120ebbe0826308ada2b51f8d_FORMATO.png",101316,3,314,"zag","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Wesley Soares Xavier","wesley","Wesley","https://s.glbimg.com/es/sde/f/2019/03/26/c2306740c31403d20520165b9297b553_FORMATO.png",99462,3,314,"mei","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Cláudio Vitor Morais de Lima Cruz","claudio-vitor","Cláudio Vitor","https://s.glbimg.com/es/sde/f/2019/02/18/798d0ead220702bf3c3f671330c609e5_FORMATO.png",98888,3,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Ricardo Thalheimer","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2019/03/26/d6db02ce94eb23f6a9e0090158f1d7e8_FORMATO.png",101491,3,314,"zag","Nulo",0,4,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Iury de Oliveira Nascimento ","iury","Iury","https://s.glbimg.com/es/sde/f/2019/02/18/0758f27a5553304e808e5732adb6eadd_FORMATO.png",101846,3,314,"lat","Provável",-2.9,5.55,-1.53,2.15,"Avaí",3,NA,2,NA,9,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"71","João Paulo Ferreira Lourenço","lourenco","Lourenço","https://s.glbimg.com/es/sde/f/2019/03/26/a10ea3714ffa4fb0caf1a1a80ffd5255_FORMATO.png",99032,3,314,"ata","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Acácio Nuno Boing","nuno","Nuno","https://s.glbimg.com/es/sde/f/2019/03/26/c1b1a18f433b957ac0690204c16bedca_FORMATO.png",104326,3,314,"zag","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2019/02/18/9a6fef900167a97e0492da10177e45b8_FORMATO.png",102318,3,314,"ata","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Feliciano Brizuela","brizuela","Brizuela","https://s.glbimg.com/es/sde/f/2019/03/26/5b47fe819c97b3c422671ac692dc59d7_FORMATO.png",104819,3,314,"ata","Nulo",0.5,7.33,-0.65,3.3,"Avaí",2,NA,2,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Lucas de Oliveira Teodoro Falcão","falcao","Falcão","https://s.glbimg.com/es/sde/f/2019/02/18/6a3faee3e0ccb1919d96bae0cb823728_FORMATO.png",104104,3,314,"mei","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Márcio Rodrigues Velasco","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2019/03/26/f668b0e7484644c6732bfc57f72a5fdb_FORMATO.png",102380,3,314,"mei","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,3,293,"mei","Provável",1.6,1.6,0.39,-0.3,"Athlético-PR",3,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Rodrigo Jardim dos Santos Almeida","rodrigo","Rodrigo","https://s.glbimg.com/es/sde/f/2019/03/26/ba2af494a1681ac20387f7fc39e21721_FORMATO.png",104328,3,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Eduardo Luis Tapparo","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/02/18/802f542c5adf740551a1a6aec66a72ba_FORMATO.png",104327,3,314,"mei","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,3,293,"lat","Nulo",8.4,5.36,1.89,4.2,"Athlético-PR",2,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"81","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,3,293,"lat","Provável",0,4.71,0,0.8,"Athlético-PR",3,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
