ID,Apelido,ClubeID,PosicaoID
73635,Rildo,277,5
37684,Chicão,262,3
60803,Souza,276,4
78578,Paulinho,262,5
36790,Josué,282,4
51779,Pedro Botelho,282,2
60858,Moacir,294,2
73317,Argel Fucks,316,6
38365,Henrique,266,3
81031,Marquinhos Santos,294,6
68909,Souza,277,4
69018,Deivid,293,4
50462,Leandro Almeida,294,3
50317,David Braz,277,3
69329,Cereceda,316,2
68685,Alan Patrick,285,4
39850,Vagner Mancini,263,6
71631,Weverton,293,1
82469,Douglas Coutinho ,293,5
38695,David,290,4
89275,William,285,4
86411,Breno,283,2
89494,Leandro Vicentin,292,3
89677,Fernandinho,275,4
78558,Romulo Cabral,293,5
87009,Nathan,293,4
38630,Rivaldo,316,4
83528,Léo Pereira,293,3
88479,Walace,284,4
73708,Samudio,283,2
88850,Marco Damasceno ,293,5
80779,Joílson,288,3
77567,Zé Mário,292,4
87227,Zé Paulo,293,4
82455,Zé Rafael ,294,4
80774,Alan Pinheiro,287,5
70055,Geraldo,294,5
80370,Edson,266,4
86757,Everton,284,5
89341,Nicolas Careca,284,5
72488,Follmann ,284,1
86744,Canavesio,284,3
70010,Spessato,284,2
86754,Guilherme Amorim,284,4
69051,Danilo Fernandes,264,1
85004,Marcos Felipe ,266,1
78464,Fábio Braga,266,4
85121,Robert ,266,4
86449,Samuel,294,1
73336,Rafael Martins,294,1
82453,Tadeu,294,1
72603,William Menezes,294,1
86587,Igor Leandro,294,3
73857,Jackson,294,2
78423,Timbó,294,2
86969,Rhuan,294,2
82630,Calyson,294,4
88054,Diogo Sodré,294,4
80572,Alex Santos,294,5
82419,Luan Sérgio,316,1
38229,Fábio Santos,264,2
83257,Gabriel,277,5
49675,Alexandre Pato,276,5
62974,Werley,284,3
42501,Rhodolfo,284,3
37984,Aranha,277,1
40006,Abel Braga,285,6
38140,Fernando Prass,275,1
37281,Mano Menezes,264,6
69022,Marcelo,293,5
37718,Arouca,277,4
37798,Rafael Sobis,266,5
38194,Antônio Carlos,276,3
36612,Zé Roberto,284,4
63013,Marcos Rocha,282,2
62136,Marcelo Oliveira,283,6
68958,Wallace,262,3
38431,Diego Cavalieri,266,1
69325,Aránguiz,285,4
41519,Lúcio,275,3
84585,Allione,275,4
70951,Fabio,275,1
70058,Tiago Real,290,4
73515,Gabriel,262,4
62104,Robinho,294,4
68908,Gualberto,288,3
38602,Edno,287,5
71146,Léo Veloso,290,2
71055,Pato Rodríguez,277,4
84674,Lucas Evangelista,276,4
83772,Neilton,283,5
73454,Cidinho,263,4
73851,Ronny,263,4
41126,Rodrigo Gral,315,5
70916,Diogo Goiano,294,2
37659,Lauro,315,1
84918,Rafael Ratão,277,5
72039,Ferron,292,3
78968,Leandro,315,5
50295,Felipe Menezes,275,4
52558,Bruno César,275,4
84848,Erik,290,5
52618,Anderson Martins,264,3
71038,Pedro Henrique,290,3
37701,Léo Moura,262,2
80944,Marlone,283,4
72893,Eduardo Da Silva,262,5
86264,Natanael,293,2
78648,Dráusio,293,3
69304,Lodeiro,264,4
74059,Elivelton,266,3
37653,Nilmar,285,5
50353,Titi,265,3
38432,Wendel,275,2
62047,Jean,266,4
73617,Emerson,277,2
80853,Pedro Geromel,284,3
37673,Alecsandro,262,5
51548,Giuliano,284,4
73465,Luccas Claro,294,3
85027,Carlos,282,5
80287,Luciano,264,5
68995,Régis Souza,263,2
71778,Bady,293,4
50961,Léo Gago,265,4
68808,Nino Paraíba,287,2
87741,Joelinton,292,5
38067,Danilo,264,4
71042,Augusto,292,4
72375,Weldinho,275,2
74061,Roberto Fernández,287,1
71575,Danilo Tarracha,287,2
80552,Marquinhos Pedroso,316,2
38613,Zé Carlos,288,5
78422,Oswaldo,292,3
80036,Alex Alves,290,3
71093,Baraka,294,4
63018,Guilherme Andrade,264,2
39137,Adaílton,265,3
61033,Rodriguinho,284,4
85149,Ronaldo,292,4
89468,Erik,284,5
37794,Tinga,283,4
62971,Nirley,316,3
78604,Andrey,263,1
83614,Bruno Lopes,288,5
37678,Rodrigo Souto,263,4
82625,Maurinho,288,5
85067,Matheus Salustiano,287,3
54189,Tiago Saletti,315,3
83511,Érico Júnior,292,5
88056,Malcom,264,5
89253,Andreazzi,263,4
88075,Jeam,265,5
88987,Bruno Correa,263,5
86764,Sidcley,293,2
63058,Willian Farias,283,4
37792,Edinho,284,4
88480,Ronan,284,5
82613,Alan,285,3
78086,César,262,1
74103,Frauches ,262,3
88146,Maranhão,294,4
82626,Thales ,285,3
86491,Jonatha Fumaça,294,5
79066,Alex ,316,1
88651,Vinícius,263,5
68824,Raphael Augusto,266,4
88848,Júnior Oliveira,316,1
88849,João Gabriel ,263,4
85210,Jonatan Ponciano,316,5
73760,Wallinson,290,3
82884,Matheus Gonzaga,316,4
87273,Carlinhos,285,4
88166,Felipe Caldeira,316,4
85798,João Paulo Kuspiosz,262,1
83963,Leandro Canhoto,284,4
80286,Matheus Vidotto,264,1
71947,Guilherme,263,2
89224,Barreto,288,4
89157,Guilherme,275,2
87008,Léo,284,1
89190,Judivan ,283,5
89257,Breno,266,2
89226,Iago,288,3
89227,Balbino,284,4
89285,Matheus Sales,275,4
89256,Gerson,266,4
86512,Bruno Gomes,285,5
89371,Rômulo,265,4
89444,Hugo Ragelli,283,5
82928,Edson,288,1
89466,Horácio,292,4
89258,Daniel,262,1
89343,Júnior,284,2
89467,Erick Samuel,284,4
89492,Saulo,263,1
89493,Igor Rabello,263,3
89681,Mateus Muller,275,2
85418,Uilson,282,1
61985,Airton,263,4
78500,Sérgio Manoel,294,4
80667,Fernando,266,2
38579,Rodrigo Mancha,292,4
50417,Valencia,266,4
70216,Gustavo,287,1
73634,Felipe Lima,287,4
74096,Saulo,292,1
63082,Rodolfo,293,1
82459,Rafael Zuchi,293,3
69153,Clemente Rodríguez,276,2
77777,João Schmidt ,276,4
71102,Omar,265,1
68821,Rafael Galhardo,265,2
83522,Fagner Alemão,315,3
80795,Dieguinho,315,4
37749,Harlei,290,1
86934,Túlio,290,4
70914,Raphael Luz,290,4
87228,Guilherme Arana,264,2
68907,Wellington,275,3
69186,Branquinho,265,4
84554,Lucão,276,3
80576,Renato,275,4
70944,Bruno Henrique,264,4
70225,Luís Aguiar,287,4
72133,Ednei,287,3
73974,Alison,277,4
63326,Rychely ,315,5
54250,Maylson,288,4
81236,Ferreyra,263,5
78458,João Afonso,285,4
82474,Gegê,263,4
78716,Nem,316,4
88224,Paulo Ricardo,277,3
50413,Anderson Aquino,294,5
80164,Jussandro,315,2
72167,Mazinho,275,4
73633,Júnior Timbó,315,4
50324,Hudson,276,4
68872,Marcelo Lomba,265,1
37848,Leonardo,292,5
79973,Helton Leite,263,1
79892,Nenén,315,4
49641,Adriano,287,4
63031,Valmir Lucas,290,3
73806,Samuel ,290,5
68917,Vinícius,287,5
51168,André Paulino,315,3
70915,Luis Felipe,288,2
69041,Muriel,285,1
79193,Abuda,315,4
69141,Ricardo Bueno,316,5
87192,Zeca,277,2
37621,Junior Cesar,263,2
68987,João Vitor,288,4
71507,Edson Silva,276,3
69047,Paulo Roberto,316,4
72084,França,316,4
72768,Muralha,262,4
89883,Dodi,288,4
89884,Kalil,288,5
88717,Celso Rodrigues,315,6
88064,Marcos Vinícius,282,5
62976,Everton Silva,315,2
77827,Bruno Oliveira,275,2
37610,Ivan,316,2
89100,Éder Bastos,287,6
83471,Paulinho,264,5
82458,Erwin,293,3
84314,Ítalo Melo,265,4
82466,Bruno Pelissari,293,4
73563,Lúcio Maranhão,316,5
82468,Willyan Sotto,293,4
72742,Wagner Lopes,288,6
88617,Carlos Amadeu,287,6
42540,Bileu,292,4
84530,Maxi Rodríguez,284,4
68702,Bruno Collaço,315,2
63034,Douglas,287,1
69180,Busatto,284,1
71742,Hiroshi,316,4
69183,Lee,282,1
38362,Rodrigo Silva,288,5
84545,Romulo,288,2
69703,Diego Maurício,292,5
80456,Diego Felipe,265,4
70218,Ernesto Farías,283,5
36940,Oswaldo De Oliveira,277,6
38990,Alcides,288,3
36943,Paulo Autuori,282,6
68689,Anderson Uchoa,288,4
71636,Guilherme,264,4
77911,Jean Deretti,284,4
72281,Artur,316,2
50362,Lucas,263,2
88670,Hyago,292,3
88671,Guilherme,292,4
78946,Dória,263,3
69219,Otamendi,282,3
83048,Rafael Thyere,284,3
88686,Leandro Ávila,293,6
82547,Sérgio Raphael,265,3
62070,Marcelo Cordeiro,292,2
78967,Dudu,316,5
68728,Douglas,276,2
38523,Edílson,263,2
86143,Wanderson,264,3
86144,Luizinho Mello,288,4
78977,Bruno Mendes,293,5
84098,Gustavo,293,5
84099,Anderson Talisca,265,4
87935,Cristiano,288,5
81543,Josué,287,3
68744,Emerson,263,5
73353,Eduardo,266,4
68746,Sergio Escudero,288,3
71618,Anderson Conceição,265,3
78478,Willian Arão,264,4
87185,Mario Risso,263,3
62101,Renan Rocha,293,1
50326,Éverton Santos,316,5
73879,Rogério,288,2
80536,Victor Andrade,277,5
50329,Lulinha,288,4
86767,Dominic,293,5
73890,Mário Sérgio,290,2
79044,Wangler,265,4
70311,Fran Mérida,293,4
87226,Fabiano,264,4
79019,Jayme De Almeida,262,6
37917,Elano,262,4
41946,Caio Júnior,288,6
62130,William Matheus,275,2
72376,Cléber,264,3
80570,Wendell,284,2
50369,Carlos Eduardo,262,4
72386,Hernane,262,5
82628,Tinga,284,2
79045,Wellington Carvalho,266,3
68807,Neto Berola,282,5
80585,Otávio,285,4
80076,Zé Roberto,265,5
50382,Charles,283,4
73423,Rodrigo Defendi,287,3
82641,Ronan,266,2
86229,Eduardo Hungaro,263,6
79064,Guilherme Biteco,284,4
79578,Sassá,263,5
68827,Renato Chaves,293,3
73948,Ricardo Gareca,275,6
84190,Guilherme,293,5
84860,Abner,294,2
82657,Miguel Ángel Portuga,293,6
84707,Jonatan Lucca,293,4
73446,Éderson,293,5
86760,Lucas Macanhan,293,1
86761,Gerson,293,3
86762,Tárik,293,3
86763,Jonathan Fernando,293,2
86765,Bruno Mota,293,4
68846,Thiago Humberto,288,4
37245,Guto Ferreira,316,6
40179,Kleber,284,5
38133,Julio Cesar,264,1
71037,Clayton Sales,290,2
71039,Leandro,290,4
81148,Ronaldo Mendes,288,4
78077,Madson,265,2
81151,Sandrinho,292,5
83872,Erick,265,5
50439,Vilson,283,3
86792,Mauri,287,4
73481,Gilmar Dal Pozzo,288,6
68893,André Lima,294,5
70925,Wescley,315,4
68883,Caio,287,5
80660,Lucas Farias,276,2
80664,Michel,282,2
61211,Carlos Cesar,293,2
68892,Everton,288,4
70874,Rhayner,265,5
68894,Bruno Veiga,266,5
37663,Julio Cesar,263,2
74017,Josa,287,4
84262,Wallace,283,3
51495,Tiago Alves,275,3
38184,André Santos,262,2
73516,Rafael,265,5
83506,Vítor Michels,288,4
88367,Chico,275,5
73009,Crislan,293,5
78647,Digão,262,2
72504,Denilson,316,5
68922,Fabrício,276,4
71995,Hugo,265,5
38026,Kleber,316,2
68888,Leandro Euzébio,266,3
80192,Hugo Gumiero,293,1
88898,André Jardine,284,6
70986,Léo Cittadini,277,4
86861,Vinicius,287,3
68951,Josimar,275,4
84312,Anderson Mello,265,4
68954,Marquinhos Gabriel,275,4
73051,Robert Flores,292,4
74077,Maycon Canário,293,4
78176,Harrison,293,4
38243,Léo,277,4
38374,Alessandro,265,5
68968,Adailton,287,5
60780,Vinícius Eutrópio,316,6
72046,Rômulo,287,5
60791,Derley,293,4
71032,Lucas Zen,287,4
84857,Rafael Tavares,290,4
79228,Bruno Furlan,293,5
73962,Bruno Peres,277,2
84863,Alberto Valentim,275,6
80769,Fernando Karanga,288,5
68994,Wesley,316,4
82821,Gabriel Soares,287,4
41357,Adriano,293,5
86936,Ray,290,4
60822,Renan Oliveira,292,4
80280,Taiberson,293,5
84379,Raul,265,2
78236,Danilo,290,5
37789,Bolívar,263,3
86942,Abuda,290,4
84896,Lucas Otávio,277,4
78241,Pabón,276,5
60834,Luan,283,5
37795,Jorge Wagner,263,4
78756,Alemão,315,5
70054,Marcos Paulo,294,4
36775,Marcos Assunção,316,4
77738,Romarinho,264,5
82503,Rodolfo,262,4
71581,Léo Costa,287,4
36792,Araújo,290,5
69049,Leandro Amaro,315,3
37306,Gilson Kleina,265,6
71100,Márcio Araújo,265,6
38986,Aílton,292,4
80318,Ezequiel,288,2
80320,Diego Oliveira,288,4
80321,Neílson,315,5
36802,Ronaldinho Gaúcho,282,4
73673,Cañete,276,4
80330,Jocinei,264,4
73530,Wilson Pittoni,265,4
82381,Juninho,293,4
36856,Celso Roth,294,6
73684,Mirabaje,293,4
88538,Wilson Vaterkemper,288,6
72159,Serginho,275,4
86502,Jonathan Ferrari,287,3
79335,Éverton,293,4
82408,Bruninho,292,5
79343,Doriva,293,6
79345,Danilo Alves,288,5
71668,Anderson Carvalho,277,4
70133,Paulo Henrique,275,2
86519,Everton Felipe,292,4
78840,Pedro Castro,277,4
73213,Miguel,275,5
87746,Luizinho Vieira,288,6
89896,Cleiton,288,2
