"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
5,327,81794,FALSE,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,303,37837,FALSE,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,303,37837,FALSE,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,303,37837,TRUE,2.5,2.5,5.78,-0.22,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3,303,37837,TRUE,-0.1,1.2,4.99,-0.79,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4,303,37837,TRUE,1,1.13,4.97,-0.02,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,303,37837,TRUE,1.3,1.17,4.98,0.01,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
6,303,37837,TRUE,2.2,1.38,5.14,0.16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,303,37837,TRUE,-4.8,0.35,3.59,-1.55,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
8,303,37837,TRUE,0.5,0.37,4.24,0.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,303,37837,TRUE,0.3,0.36,4.13,-0.11,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,303,37837,TRUE,0.2,0.34,4.05,-0.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,303,37837,FALSE,0,0.34,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,276,38062,FALSE,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,276,38062,TRUE,5,5,11.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,276,38062,TRUE,8.1,6.55,13.78,2.75,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
3,276,38062,FALSE,0,6.55,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,276,38062,TRUE,5.9,6.33,13.7,-0.08,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0
5,276,38062,TRUE,-1.4,4.4,12.05,-1.65,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
6,276,38062,TRUE,5,4.52,12.94,0.89,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7,276,38062,TRUE,1.3,3.98,12.42,-0.52,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,276,38062,TRUE,10.5,4.91,14.33,1.91,0,4,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0
9,276,38062,FALSE,0,4.91,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,276,38062,FALSE,0,4.91,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,276,38062,TRUE,-6.4,3.5,11.05,-3.28,0,2,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0
12,276,38062,FALSE,0,3.5,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,276,38062,TRUE,-0.8,3.02,11.34,0.29,0,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
14,276,38062,FALSE,0,3.02,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,276,38062,FALSE,0,3.02,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,276,38062,TRUE,-2,2.52,10.73,-0.61,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
17,276,38062,TRUE,0.8,2.36,11.17,0.44,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,276,38062,TRUE,-3,1.91,10.17,-1,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
19,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,276,38062,FALSE,0,1.91,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,276,38062,TRUE,2.9,1.99,10.49,0.32,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
29,276,38062,FALSE,0,1.99,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,276,38062,FALSE,0,1.99,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,276,38062,TRUE,-2,1.7,9.47,-1.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,276,38062,FALSE,0,1.7,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,263,38109,FALSE,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,284,38139,FALSE,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,284,38139,TRUE,0.7,0.7,4.93,-1.07,0,3,0,0,1,1,0,0,0,2,3,0,1,0,0,0,0,0
2,284,38139,TRUE,0.7,0.7,4.34,-0.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,284,38139,FALSE,0,0.7,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,284,38139,FALSE,0,0.7,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,284,38139,TRUE,0.5,0.63,3.78,-0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,284,38139,TRUE,1.7,0.9,3.96,0.18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,284,38139,TRUE,6,1.92,5.15,1.19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,284,38139,TRUE,0,1.6,4.19,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,284,38139,FALSE,0,1.6,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,284,38139,FALSE,0,1.6,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,284,38139,TRUE,-1.4,1.17,3.67,-0.52,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
12,284,38139,TRUE,0,1.02,3.78,0.11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,284,38139,FALSE,0,1.02,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,284,38139,TRUE,8,1.8,5.33,1.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,284,38139,FALSE,0,1.8,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,266,38162,FALSE,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,266,38162,TRUE,6,6,24.27,-2.73,1,4,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0
2,266,38162,TRUE,1.8,3.9,21.38,-2.89,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
3,266,38162,TRUE,4,3.93,20.53,-0.85,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
4,266,38162,TRUE,8.6,5.1,21.38,0.85,3,2,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
5,266,38162,TRUE,-1.7,3.74,18.94,-2.44,5,3,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0
6,266,38162,TRUE,2.6,3.55,18.9,-0.04,4,2,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0
7,282,38162,TRUE,8,4.19,20.22,1.32,0,3,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
8,282,38162,TRUE,-0.3,3.63,18.46,-1.76,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9,282,38162,TRUE,0,3.23,18.07,-0.39,3,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
10,282,38162,TRUE,9.1,3.82,19.72,1.65,2,2,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0
11,282,38162,TRUE,1.5,3.61,18.41,-1.31,5,4,0,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0
12,282,38162,TRUE,16.3,4.67,21.15,2.74,1,4,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
13,282,38162,TRUE,1.7,4.44,18.89,-2.26,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0
14,282,38162,FALSE,0,4.44,18.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,282,38162,TRUE,-0.2,4.11,18.51,-0.38,1,7,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
16,282,38162,TRUE,-0.4,3.81,18.06,-0.45,1,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0
17,282,38162,TRUE,8.8,4.12,19.82,1.76,0,3,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
18,282,38162,TRUE,5.7,4.21,19.09,-0.73,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
19,282,38162,TRUE,1.7,4.07,18.85,-0.24,1,6,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
20,282,38162,TRUE,-1.3,3.79,17.97,-0.88,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
21,282,38162,FALSE,0,3.79,17.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,282,38162,TRUE,-3.8,3.41,17.38,-0.59,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0
23,282,38162,TRUE,25.9,4.48,22.72,5.34,1,3,0,2,1,3,2,1,0,1,2,0,0,0,0,0,0,0
24,282,38162,TRUE,-0.1,4.27,18.38,-4.34,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
25,282,38162,TRUE,3.3,4.23,18.94,0.56,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26,282,38162,TRUE,-1.6,3.99,17.97,-0.97,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
27,282,38162,TRUE,8.2,4.16,19.78,1.81,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28,282,38162,FALSE,0,4.16,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,282,38162,TRUE,0.2,4.01,18.28,-1.5,6,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,282,38162,TRUE,6.6,4.11,19.01,0.73,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
31,282,38162,TRUE,7,4.21,19.31,0.3,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
32,282,38162,TRUE,8.2,4.35,19.81,0.5,3,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0
33,282,38162,TRUE,1.1,4.24,18.6,-1.21,2,2,0,0,2,0,0,3,0,1,3,0,0,0,0,0,0,0
34,282,38162,FALSE,0,4.1,18.17,-0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,282,38162,TRUE,1.2,4.01,18.71,0.54,3,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0
36,282,38162,TRUE,12.5,4.27,20.25,1.54,1,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
37,282,38162,TRUE,0.4,4.16,18.58,-1.67,1,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0
38,282,38162,FALSE,0,4.16,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,282,38061,FALSE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,282,38061,TRUE,8.4,8.4,8.38,5.38,0,4,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0
2,282,38061,TRUE,1.4,4.9,9.69,1.31,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
3,282,38061,TRUE,1.4,3.73,9.43,-0.26,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,282,38061,TRUE,2.8,3.5,9.61,0.18,2,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0
5,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,282,38061,FALSE,0,3.5,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,282,38061,TRUE,-3.4,2.12,7.53,-2.08,0,3,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0
24,282,38061,TRUE,-2,1.43,7.58,0.05,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
25,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,282,38061,FALSE,0,1.43,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,282,38061,TRUE,0.2,1.25,7.35,-0.23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
