"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","I","SG","GC","FT","G","DD","GS","CV","PP","DP"
"14","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,33,"CRU","ata","Suspenso",-1.5,7.52,-3.1,4.44,"Cruzeiro",3,8,7,20,22,19,1,16,2,NA,NA,3,3,NA,NA,NA,NA,NA
"15","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,33,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,33,"CEA","mei","Provável",4,3.31,0.97,0.4,"Ceará",3,36,1,13,30,19,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,33,"SPO","mei","Provável",3,5.22,0.27,2.92,"Sport",1,16,3,12,39,8,3,13,5,NA,NA,3,3,NA,NA,NA,NA,NA
"18","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,33,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,NA,NA,1,7,NA,1,NA,NA,2,NA,NA,NA,16,16,NA,NA,NA
"19","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,33,"PAR","mei","Nulo",0,2.37,0,0.5,"Paraná",NA,2,1,4,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,33,"COR","mei","Provável",4.2,3.66,0.65,2.9,"Corinthians",NA,2,2,7,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"21","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,33,"CRU","ata","Provável",0,14.15,0,3.1,"Cruzeiro",1,5,NA,4,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"22","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,33,"PAL","gol","Nulo",0,9.55,0,1.7,"Palmeiras",1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA
"23","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,33,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",1,NA,NA,3,5,NA,NA,NA,NA,4,NA,NA,NA,10,11,NA,NA,NA
"24","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,33,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",NA,8,NA,6,10,7,NA,2,1,4,NA,NA,NA,NA,NA,1,NA,NA
"25","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,33,"CHA","ata","Provável",-3,8.3,-0.41,2.55,"Chapecoense",7,44,4,32,45,10,2,21,9,NA,NA,NA,5,NA,NA,NA,NA,NA
"26","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,33,"GRE","mei","Provável",0.2,7.32,0.3,3.06,"Grêmio",3,21,3,15,59,32,2,4,NA,NA,NA,NA,3,NA,NA,NA,1,NA
"27","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,33,"COR","ata","Nulo",-0.5,4.51,-0.28,1.49,"Corinthians",3,37,4,18,14,4,NA,13,14,NA,NA,1,4,NA,NA,NA,NA,NA
"28","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,33,"CRU","mei","Dúvida",4.8,9.57,-0.6,2.83,"Cruzeiro",2,15,19,25,59,15,NA,14,9,NA,NA,NA,3,NA,NA,NA,NA,NA
"29","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,33,"ATL","lat","Provável",9.1,7.48,1.65,2.81,"Atlético-MG",6,33,2,42,74,26,1,6,5,8,NA,NA,3,NA,NA,NA,1,NA
"30","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,33,"COR","mei","Provável",-0.6,7.11,-1.23,2.98,"Corinthians",NA,10,6,10,65,4,5,8,1,NA,NA,1,4,NA,NA,NA,NA,NA
"31","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,33,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,33,"BOT","mei","Nulo",0,2.32,0,-1.25,"Botafogo",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,33,"CHA","mei","Suspenso",-3.6,3.35,-0.97,2,"Chapecoense",3,26,2,26,45,43,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Givanildo José de Oliveira","givanildo-oliveira","Givanildo Oliveira","https://s.glbimg.com/es/sde/f/2018/11/13/0060adc224a8a007641085c7f316e46c_FORMATO.png",39431,33,"AME","tec","Provável",0,8.94,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,33,"SPO","ata","Nulo",0,3.59,0,1.75,"Sport",1,13,10,15,24,11,1,8,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"36","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,33,"FLA","tec","Provável",2.51,15.01,-0.4,5.71,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,33,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",4,1,NA,3,14,NA,NA,NA,NA,4,NA,NA,NA,38,42,NA,NA,2
"38","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,33,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",NA,8,2,4,8,4,NA,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","Levir Culpi","levir-culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2018/10/19/ae6ff45c9b9c188b0c6fb42f4573451d_FORMATO.png",40025,33,"ATL","tec","Provável",2.47,9.03,0.06,1.79,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,33,"GRE","tec","Provável",4.94,15.58,0,4.82,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,33,"PAL","ata","Provável",1.4,11.63,-0.07,5.15,"Palmeiras",2,41,16,29,25,28,2,16,6,NA,NA,3,9,NA,NA,NA,NA,NA
"42","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,33,"CHA","mei","Provável",6,4.91,0.97,1.78,"Chapecoense",2,32,3,9,16,33,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,33,"CRU","lat","Provável",1.5,9.89,0.62,4.41,"Cruzeiro",4,26,2,23,83,56,1,6,8,8,1,NA,NA,NA,NA,NA,NA,NA
"44","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,33,"ATL","lat","Nulo",0,4.31,0,1.07,"Atlético-PR",2,3,NA,7,10,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"45","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,33,"COR","gol","Provável",-2,9.2,-0.99,3.01,"Corinthians",3,1,NA,1,11,1,NA,NA,NA,7,NA,NA,NA,27,21,NA,NA,NA
"46","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,33,"PAL","tec","Provável",2.18,14.3,-0.2,5.18,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,33,"SAN","tec","Provável",1.86,11.05,-0.01,4.47,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,33,"CRU","mei","Dúvida",0,7.1,0,2.42,"Cruzeiro",NA,13,4,40,27,17,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,33,"BAH","lat","Provável",2.9,3.96,-0.64,2.61,"Bahia",1,19,NA,11,27,18,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"50","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,33,"COR","lat","Provável",1.7,10.12,-0.29,3.98,"Corinthians",3,14,2,19,67,29,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"51","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,33,"FLA","zag","Nulo",0,7.6,0,3.34,"Flamengo",NA,2,NA,2,7,9,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,NA
"52","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,33,"VAS","zag","Provável",0,6.58,0,1.32,"Vasco",3,10,NA,7,7,11,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA
"53","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,33,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",2,NA,NA,7,28,NA,NA,NA,NA,11,NA,NA,NA,29,16,NA,NA,1
"54","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,33,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,33,"CEA","ata","Nulo",-0.3,2.97,-0.02,0.59,"Ceará",NA,6,2,10,10,4,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,33,"CRU","lat","Suspenso",-1.1,6.53,-0.07,2.21,"Cruzeiro",9,18,2,9,45,16,1,6,NA,5,NA,NA,1,NA,NA,NA,NA,NA
"57","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,33,"PAL","mei","Nulo",0,3.23,0.06,1.67,"Palmeiras",12,38,1,20,47,42,1,9,1,NA,NA,1,1,NA,NA,NA,NA,NA
"58","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,33,"AME","zag","Provável",2,6.37,0.19,2.75,"América-MG",3,25,2,15,31,36,NA,3,2,8,NA,NA,NA,NA,NA,NA,NA,NA
"59","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,33,"GRE","mei","Nulo",0,4.78,0,1.19,"Grêmio",1,8,4,13,53,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"60","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,33,"BAH","ata","Dúvida",7.2,8.78,0.98,3.1,"Bahia",NA,26,6,31,20,9,1,11,2,NA,NA,1,4,NA,NA,NA,NA,NA
"61","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,33,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",NA,5,NA,1,14,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,33,"FLA","mei","Provável",1.2,9.55,0.22,4.12,"Flamengo",8,32,6,71,81,30,2,19,8,NA,NA,1,5,NA,NA,1,NA,NA
"63","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,33,"SAN","mei","Dúvida",0,5.79,0,1.18,"Santos",1,4,2,9,18,7,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"64","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,33,"ATL","ata","Suspenso",0.9,11.76,0.05,5.27,"Atlético-MG",3,45,25,35,40,11,7,27,22,NA,NA,2,11,NA,NA,NA,NA,NA
"65","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,33,"BAH","mei","Suspenso",7.7,6.41,1.08,2.35,"Bahia",2,12,2,6,11,7,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"66","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,33,"FLU","ata","Nulo",0,3.67,0,0.5,"Fluminense",1,18,7,1,10,6,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,33,"AME","mei","Nulo",0,1.14,0,0.09,"América-MG",3,19,2,15,23,9,1,4,1,NA,NA,1,NA,NA,NA,2,NA,NA
"68","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,33,"CRU","zag","Provável",0.7,7.65,-0.05,2.51,"Cruzeiro",2,27,1,5,14,27,NA,5,2,8,NA,NA,NA,NA,NA,NA,NA,NA
"69","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,33,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,33,"COR","zag","Provável",2.8,9.39,0.85,2.59,"Corinthians",4,18,NA,16,20,18,NA,7,1,9,NA,NA,2,NA,NA,NA,NA,NA
"71","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,33,"CHA","lat","Provável",3.2,6.81,0.21,3.51,"Chapecoense",3,36,2,25,67,43,3,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"72","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,33,"SAO","mei","Dúvida",4,10.72,0.74,4.22,"São Paulo",7,26,10,57,91,21,5,17,5,NA,NA,3,8,NA,NA,NA,NA,NA
"73","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,33,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",2,3,NA,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"74","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,33,"COR","gol","Nulo",0,7.17,0,4.59,"Corinthians",1,NA,NA,2,2,1,NA,NA,NA,3,NA,NA,NA,23,11,NA,NA,NA
"75","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,33,"CEA","mei","Nulo",0,3.57,0,0.62,"Ceará",1,6,NA,8,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,33,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",NA,2,NA,6,8,7,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/08/14/896171e75b5e390c3f18888c50298fe1_FORMATO.png",51495,33,"CEA","zag","Provável",0,5.59,-0.25,3.37,"Ceará",4,22,2,6,25,24,NA,2,1,10,NA,NA,1,NA,NA,NA,NA,NA
"78","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,33,"AME","mei","Provável",2,1.96,0.48,0.49,"América-MG",7,33,3,20,59,32,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"79","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,33,"COR","mei","Provável",13.3,9.11,1.95,2.45,"Corinthians",4,14,NA,15,12,25,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"80","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,33,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
