"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean"
"carlos-henrique",87732,"Carlos Henrique","292","ata",2.84,1.41428571428571,1.41428571428571,1.38707923002451,14,3.04285714285714,-0.214285714285714,0.571428571428571,0.5,0.0714285714285714,1,0,0.428571428571429,1.21428571428571,0.214285714285714,0.142857142857143,0,0
"jailson",90290,"Jailson","284","mei",4.29,2.25,2.25,0.465036729138557,14,3.11666666666667,1.6,0.214285714285714,1.35714285714286,1.71428571428571,1.64285714285714,0,0,0.642857142857143,0,0.0714285714285714,0,0
"reina",70118,"Reina","204","mei",1.11,-0.48,-0.48,-0.135363038880203,10,-0.25,-0.633333333333333,0.1,1.2,0.3,1,0,0.1,0.4,0,0,0,0
"gilberto",80313,"Gilberto ","266","lat",9.49,6.67333333333333,4.67333333333333,0.0286116876795433,15,7.9,5.6,0.933333333333333,1.6,2.26666666666667,2.73333333333333,0.133333333333333,0.0666666666666667,1.13333333333333,0.466666666666667,0.2,0,0
"regis",82647,"Régis","265","mei",5.36,3.01875,3.01875,0.6946013463222,16,3.75,1.8,0.8125,1.0625,0.8125,2.3125,0.125,0.0625,1,0.375,0.1875,0,0
"pedro",94583,"Pedro","266","ata",15.34,7.16842105263158,7.16842105263158,-0.910585092292659,19,6.6,7.68,2.31578947368421,1.42105263157895,0.736842105263158,1.73684210526316,0.105263157894737,0.157894736842105,2.10526315789474,1.21052631578947,0.526315789473684,0,0
"cleber-reis",72376,"Cléber Reis","217","zag",7.13,4.10833333333333,2.85833333333333,-1.56572719210136,12,4.2,4.01666666666667,0.5,0.75,2.25,1.83333333333333,0,0.166666666666667,0.75,0.333333333333333,0,0,0
"wagner",37674,"Wagner","267","mei",9.62,2.88666666666667,2.88666666666667,1.03306199986219,15,3.92222222222222,1.33333333333333,1.2,1.73333333333333,0.733333333333333,1.93333333333333,0,0.133333333333333,1.86666666666667,0.466666666666667,0.266666666666667,0,0
"pablo-dyego",86444,"Pablo Dyego","266","ata",5.39,3.23636363636364,3.23636363636364,-2.62702207615805,11,0.88,5.2,1.18181818181818,0.363636363636364,0.454545454545455,1.36363636363636,0,0,1.09090909090909,0.545454545454545,0.181818181818182,0,0
"mantuan",97315,"Mantuan","264","lat",5.11,3.75714285714286,2.68571428571429,-0.21703506614746,14,5.31666666666667,2.5875,0.214285714285714,1.71428571428571,2.35714285714286,2.92857142857143,0,0.0714285714285714,1.71428571428571,0.214285714285714,0,0,0
"diego-alves",38509,"Diego Alves","262","gol",12.02,4.7,3.7,-1.40693367879505,23,5.13076923076923,4.14,0,0.0869565217391304,0,1.21739130434783,0,0,0.304347826086957,0,0,1.26086956521739,0.0434782608695652
"regis",68995,"Régis","276","lat",5.73,2.35454545454545,0.536363636363637,0.441071192179825,11,3.21428571428571,0.85,0.181818181818182,1.18181818181818,1.09090909090909,1.54545454545455,0.0909090909090909,0,0.363636363636364,0.0909090909090909,0,0,0
"nadson",80140,"Nadson","217","mei",2.59,2.40769230769231,2.40769230769231,-0.241757409536468,13,2.52,2.3375,1.07692307692308,0.769230769230769,1,2.76923076923077,0,0.0769230769230769,2,0.384615384615385,0,0,0
"marcelo-hermes",82639,"Marcelo Hermes","283","lat",3.26,1.93636363636364,1.02727272727273,-0.406867345741627,11,2.6,1.6875,0.454545454545455,1.81818181818182,1.81818181818182,3.36363636363636,0,0,0.727272727272727,0.363636363636364,0,0,0
"carlos",85027,"Carlos","217","ata",4.51,1.61111111111111,1.61111111111111,-1.31953576697985,18,0.890909090909091,2.74285714285714,1.22222222222222,1.38888888888889,0.888888888888889,1.33333333333333,0,0.611111111111111,1.33333333333333,0.833333333333333,0.0555555555555556,0,0
"marcelo-grohe",37770,"Marcelo Grohe","284","gol",13.66,4.13888888888889,2.08333333333333,-1.08143414392741,18,2.56,6.1125,0,0.111111111111111,0,0.277777777777778,0,0,0.111111111111111,0,0,0.777777777777778,0
"wesley",50421,"Wesley","327","mei",1.14,0.0999999999999999,0.1,-0.351305140318882,17,0.0857142857142857,0.11,0.411764705882353,1.41176470588235,0.529411764705882,1.35294117647059,0.0588235294117647,0.0588235294117647,0.882352941176471,0.235294117647059,0,0,0
"marcos-rocha",63013,"Marcos Rocha","275","lat",12.82,6.05,4.05,0.533464643875989,20,7.5375,5.05833333333333,0.35,2.4,3.25,4.3,0.15,0,1,0.15,0.05,0,0
"torito-gonzalez",73703,"Torito González","217","mei",5.09,2.99375,2.99375,0.886640978004671,16,4.15,1.8375,0.6875,1.875,1.8125,0.875,0.0625,0,2.0625,0.5625,0,0,0
"caio-henrique",98569,"Caio Henrique","217","mei",4.34,1.85925925925926,1.85925925925926,0.0175506706216667,27,2.20769230769231,1.53571428571429,0.555555555555556,0.666666666666667,0.962962962962963,1.77777777777778,0.111111111111111,0.111111111111111,0.777777777777778,0.407407407407407,0,0,0
"magrao",41218,"Magrão","292","gol",8.22,2.2,4.86666666666667,-0.901545753950625,24,3.29090909090909,1.27692307692308,0,0.208333333333333,0,0.583333333333333,0,0,0.125,0,0,1.58333333333333,0.0833333333333333
"jailson",72290,"Jailson","275","gol",11.78,4.47857142857143,4.26428571428572,-1.31471972605991,14,4.05714285714286,4.9,0,0.214285714285714,0,0.785714285714286,0,0,0,0,0,1.71428571428571,0
"luan",86759,"Luan","284","ata",14.47,5.2,5.2,1.54222454823104,18,6.38333333333333,2.83333333333333,2.16666666666667,1.38888888888889,1.33333333333333,3.88888888888889,0.333333333333333,0.166666666666667,3.05555555555556,1.33333333333333,0.0555555555555556,0,0
"pedro-henrique",87225,"Pedro Henrique","264","zag",5.01,2.34166666666667,0.675,-0.453221739596016,12,3.9,0.783333333333333,0.333333333333333,1.41666666666667,1.16666666666667,1.25,0,0.0833333333333333,0.75,0.25,0,0,0
"tomas-andrade",97619,"Tomás Andrade","282","mei",6.09,4.16470588235294,4.16470588235294,0.501825930610294,19,4.91111111111111,3.325,1,0.470588235294118,1.29411764705882,1.94117647058824,0.117647058823529,0,0.352941176470588,0.352941176470588,0.176470588235294,0,0
"paulo-andre",37604,"Paulo André","293","zag",7.18,2.98181818181818,-0.2,0.069479234914433,11,3.22,2.78333333333333,0.0909090909090909,1.45454545454545,0.545454545454545,2.18181818181818,0,0,0.636363636363636,0,0.0909090909090909,0,0
"rafael-galhardo",68821,"Rafael Galhardo","267","lat",2.65,0.85,0.85,0.330072915739382,10,1.73333333333333,0.471428571428571,1.1,1,0.7,2.8,0,0.1,0.9,0.7,0,0,0
"junior",95210,"Júnior","217","lat",8.25,5.54545454545454,4.63636363636364,-0.176861258140323,22,6.44166666666667,4.47,0.5,1.45454545454545,2.90909090909091,2.27272727272727,0.0454545454545455,0.0454545454545455,1.77272727272727,0.318181818181818,0.0454545454545455,0,0
"bruno-cosendey",99615,"Bruno Cosendey","267","mei",3.35,1.68,1.68,1.52633161319525,10,3.44,-0.08,0.6,1.1,0.6,2,0.1,0,0.3,0.3,0.1,0,0
"guilherme",50294,"Guilherme","293","mei",6.8,1.67857142857143,1.67857142857143,-0.720311342280832,14,1.26666666666667,1.9875,0.928571428571429,1.57142857142857,0.5,2.5,0.0714285714285714,0,1.35714285714286,0.571428571428571,0.142857142857143,0,0
"walter",51413,"Walter","264","gol",7.17,4.76153846153846,5.3,-1.42067262629851,13,5.64285714285714,3.73333333333333,0,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0,0.153846153846154,0,0,1.76923076923077,0
"wallyson",62127,"Wallyson","287","ata",8.81,3.22105263157895,3.22105263157895,0.154830182328864,19,3.71111111111111,2.78,1.15789473684211,0.473684210526316,0.578947368421053,2,0.210526315789474,0.105263157894737,0.842105263157895,0.684210526315789,0.105263157894737,0,0
"bruno-silva",68698,"Bruno Silva","283","mei",6.27,2.33157894736842,2.33157894736842,-2.16234292796875,19,0.157142857142857,3.6,0.947368421052632,2.10526315789474,1.36842105263158,1.84210526315789,0.0526315789473684,0,0.684210526315789,0.684210526315789,0.105263157894737,0,0
"joao-rojas",70784,"Joao Rojas","276","ata",11.21,5.02222222222222,5.02222222222222,-0.335790608498229,18,5.025,5.02,1.16666666666667,1.27777777777778,2,2,0.277777777777778,0.277777777777778,1.83333333333333,0.666666666666667,0.0555555555555556,0,0
"juninho-quixada",71787,"Juninho Quixadá","204","ata",6.97,4.45,4.45,-0.81976832065957,12,4.07142857142857,4.98,2,1.66666666666667,0.666666666666667,2.16666666666667,0.166666666666667,0.25,1.83333333333333,1,0.166666666666667,0,0
"bressan",72491,"Bressan","284","zag",9.43,4.61428571428571,1.75714285714286,-0.213566370008696,21,5.48571428571429,4.17857142857143,0.238095238095238,1.28571428571429,1.42857142857143,1.28571428571429,0,0,0.571428571428571,0.0952380952380952,0.0476190476190476,0,0
"rafael-thyere",83048,"Rafael Thyere","315","zag",5.02,2.35555555555556,1.05925925925926,0.0961421076118401,27,3.40769230769231,1.37857142857143,0.259259259259259,0.851851851851852,1.03703703703704,1.59259259259259,0,0.037037037037037,0.592592592592593,0.111111111111111,0.037037037037037,0,0
"hyoran",85931,"Hyoran","275","mei",5.63,3.1875,3.1875,-0.681860195064287,24,2.83636363636364,3.48461538461539,1.25,1.66666666666667,0.666666666666667,1.375,0.25,0.166666666666667,0.875,0.708333333333333,0.125,0,0
"everton-felipe",86519,"Everton Felipe","276","mei",4.07,1.82,1.82,0.811906343014941,10,2.47142857142857,0.3,0.7,0.9,0.8,3.4,0,0.1,1.4,0.2,0.1,0,0
"saulo",89492,"Saulo","263","gol",2.17,2.68235294117647,4.32941176470588,-0.296499741326414,17,3.58888888888889,1.6625,0,0.0588235294117647,0,0.470588235294118,0,0,0.235294117647059,0,0,1.35294117647059,0.0588235294117647
"lucas-verissimo",93368,"Lucas Veríssimo","277","zag",8.12,2.53846153846154,1,-0.0268874505406788,13,4.12857142857143,0.683333333333333,0.461538461538462,1.38461538461538,1.23076923076923,1.23076923076923,0,0.0769230769230769,0.615384615384615,0.0769230769230769,0,0,0
"sander",95843,"Sander","292","lat",12.32,5.66071428571429,4.76785714285714,0.588648446083596,28,7.07142857142857,4.25,0.5,2.25,3.39285714285714,2.60714285714286,0.107142857142857,0.0714285714285714,2.10714285714286,0.214285714285714,0,0,0
"nino-paraiba",68808,"Nino Paraíba","265","lat",14.83,5.65714285714286,3.75238095238095,0.528929538676383,21,8.11,3.42727272727273,0.428571428571429,1.38095238095238,2.57142857142857,2.14285714285714,0.0476190476190476,0,1.71428571428571,0.238095238095238,0,0,0
"sidao",70222,"Sidão","276","gol",10.37,3.18148148148148,2.9962962962963,-0.586147997221372,27,3.36923076923077,3.00714285714286,0,0.111111111111111,0,0.814814814814815,0,0,0.037037037037037,0,0,1.14814814814815,0
"mancuello",71066,"Mancuello","283","mei",3.01,1.69444444444444,1.69444444444444,-0.43269623186581,18,1.58571428571429,1.76363636363636,0.833333333333333,1.22222222222222,0.944444444444444,1.22222222222222,0.0555555555555556,0.111111111111111,0.833333333333333,0.444444444444444,0.0555555555555556,0,0
"ruy",82939,"Ruy","327","mei",5.32,1.96,1.96,-0.032353274759337,20,2.27777777777778,1.7,1,0.3,0.55,3.55,0.05,0.05,1.35,0.45,0.05,0,0
"jean",89150,"Jean","263","mei",3.54,3.67857142857143,3.67857142857143,-0.281048276708284,14,3.725,3.61666666666667,0.357142857142857,2.64285714285714,2.42857142857143,1.35714285714286,0.142857142857143,0,1.35714285714286,0.285714285714286,0.0714285714285714,0,0
"pepe",91201,"Pepê","284","ata",3.67,2.68888888888889,2.68888888888889,0.476159490310791,18,3.62857142857143,2.09090909090909,0.555555555555556,0.5,1,1.11111111111111,0,0.222222222222222,1.11111111111111,0.277777777777778,0.111111111111111,0,0
"aguirre",92474,"Aguirre","263","ata",0.78,0.233333333333334,0.233333333333333,0.976700943207485,18,1.6125,-0.87,0.944444444444444,1.88888888888889,0.277777777777778,0.722222222222222,0,0,0.666666666666667,0.5,0.0555555555555556,0,0
"ibanez",97803,"Ibañez","266","zag",4.46,2.64285714285714,1.21428571428571,0.0853721699502235,14,3.75714285714286,1.52857142857143,0.357142857142857,0.857142857142857,1.28571428571429,2.21428571428571,0,0,0.714285714285714,0.214285714285714,0,0,0
"yann-rolim",102892,"Yann Rolim","315","mei",2.95,1.98181818181818,1.98181818181818,-0.297824152579396,11,2.01666666666667,1.94,0.818181818181818,0.363636363636364,0.818181818181818,2,0.0909090909090909,0,0.636363636363636,0.545454545454545,0,0,0
"anderson-martins",52618,"Anderson Martins","276","zag",7.21,2.87272727272727,1.28181818181818,-0.689849883462233,22,2.42,3.25,0.454545454545455,1.68181818181818,1.72727272727273,1.54545454545455,0,0,0.454545454545455,0.272727272727273,0.0454545454545455,0,0
"gilson",52674,"Gilson","263","lat",7.21,3.50555555555556,2.39444444444444,-0.903963036027746,18,3.42,3.6125,0.388888888888889,1.66666666666667,1.88888888888889,2.22222222222222,0,0,1.94444444444444,0.222222222222222,0.0555555555555556,0,0
"vinicius",68917,"Vinicius","315","ata",2.6,0.418181818181818,0.418181818181818,-0.124641614451296,11,0.675,0.271428571428571,0.636363636363636,0.727272727272727,0.181818181818182,1.45454545454545,0,0.0909090909090909,0.818181818181818,0.454545454545455,0,0,0
"martin-silva",69249,"Martín Silva","267","gol",5.89,1.81818181818182,3.77272727272727,-0.598024036588776,22,0.966666666666666,2.84,0,0.136363636363636,0,0.227272727272727,0,0,0.0454545454545455,0,0,1.36363636363636,0
"mansur",79553,"Mansur","217","lat",5.04,1.02352941176471,-0.152941176470588,-0.235429666883329,17,1.825,0.311111111111111,0.470588235294118,1.76470588235294,0.823529411764706,2.82352941176471,0,0,0.588235294117647,0.235294117647059,0,0,0
"ronaldo",91101,"Ronaldo","287","gol",3.85,3.285,4.335,0.316007018449409,20,5.34545454545455,0.766666666666667,0,0.05,0,0.55,0,0,0.2,0,0,1.5,0
"junior-brumado",99894,"Júnior Brumado","265","ata",3.18,1.125,1.125,0.0942015783034407,12,1.53333333333333,0.716666666666667,1.16666666666667,1.66666666666667,0.416666666666667,0.666666666666667,0,0.5,0.75,0.833333333333333,0.0833333333333333,0,0
"carneiro",101796,"Carneiro","276","ata",2.88,1.45,1.45,-1.19665792293689,10,0.64,2.26,1,1.5,0.5,0.4,0,0.3,0.6,0.4,0.1,0,0
"arouca",37718,"Arouca","287","mei",2.53,0.01,0.01,0.350254420546735,10,0.66,-0.64,0,2.2,1.2,1.8,0,0.1,1,0,0,0,0
"rafael-marques",38957,"Rafael Marques","292","ata",2.82,1.51818181818182,1.51818181818182,-0.473288576762419,22,1.39090909090909,1.64545454545454,0.863636363636364,0.818181818181818,0.5,1.13636363636364,0.0454545454545455,0.272727272727273,0.727272727272727,0.363636363636364,0.0454545454545455,0,0
"paulo-miranda",68817,"Paulo Miranda","284","zag",7.39,4.77692307692308,2.08461538461538,0.266375041191173,13,6.625,3.95555555555556,0.384615384615385,1.07692307692308,1.76923076923077,2.38461538461538,0,0.0769230769230769,1.23076923076923,0.307692307692308,0,0,0
"ramon",68896,"Ramon","267","lat",7.34,2.85789473684211,2.06842105263158,0.0323957198309213,19,3.4,2.25555555555556,0.473684210526316,1,1.52631578947368,2.94736842105263,0,0,1,0.263157894736842,0.0526315789473684,0,0
"giovanni-augusto",68938,"Giovanni Augusto","267","mei",6.16,1.85294117647059,1.85294117647059,0.177345173629568,17,2.31111111111111,1.3375,1.17647058823529,1.17647058823529,1.05882352941176,3.05882352941176,0.117647058823529,0.0588235294117647,1.11764705882353,0.647058823529412,0,0,0
"silvinho",71799,"Silvinho","217","ata",6.94,2.92,2.92,0.202204162624042,30,3.46428571428571,2.44375,1.5,1.2,0.9,2.6,0,0.0333333333333333,1.96666666666667,0.766666666666667,0.1,0,0
"arnaldo",78497,"Arnaldo","204","lat",4.33,2.88181818181818,0.609090909090909,0.4668026108092,11,3.8,1.78,0,0.727272727272727,0.727272727272727,1.45454545454545,0,0,1.18181818181818,0,0,0,0
"denilson",84718,"Denilson","282","ata",7.07,1.54545454545455,1.54545454545455,1.31560306716513,11,4.1,0.977777777777778,1.09090909090909,1.36363636363636,0.363636363636364,1.18181818181818,0,0.363636363636364,0.545454545454545,0.818181818181818,0.181818181818182,0,0
"joao-lucas",86740,"João Lucas","204","lat",5.02,3.31666666666667,1.23333333333333,0.103535524276842,12,4.72,2.31428571428571,0.666666666666667,0.583333333333333,1.08333333333333,2.33333333333333,0,0.0833333333333333,0.333333333333333,0.5,0,0,0
"henrique",37694,"Henrique","283","mei",8.03,2.51111111111111,2.51111111111111,-0.138306174997942,18,2.7,2.32222222222222,0.666666666666667,1.66666666666667,2.16666666666667,1.44444444444444,0.0555555555555556,0,1.11111111111111,0.611111111111111,0,0,0
"rafael-sobis",37798,"Rafael Sobis","283","ata",7.75,4.49444444444444,4.49444444444444,1.98369496589189,18,7.41666666666667,3.03333333333333,1.66666666666667,0.611111111111111,1.05555555555556,1.22222222222222,0.0555555555555556,0.111111111111111,1.11111111111111,0.944444444444444,0.166666666666667,0,0
"roger",38287,"Roger","264","ata",4.28,1.41,1.41,-1.12249089276987,20,0.67,2.15,1.15,2.15,0.2,0.8,0,0.7,0.9,0.7,0.2,0,0
"marinho",68952,"Marinho","284","ata",10,2.93846153846154,2.93846153846154,1.52750886764234,13,4.02222222222222,0.5,1.46153846153846,1.61538461538462,1,1.30769230769231,0.0769230769230769,0.0769230769230769,1.69230769230769,0.923076923076923,0.0769230769230769,0,0
"giovanni",72097,"Giovanni","327","lat",7.85,3.99583333333333,2.74583333333333,-1.13827268839982,24,3.20769230769231,4.92727272727273,0.833333333333333,0.708333333333333,1.25,1.625,0,0.125,0.625,0.5,0.125,0,0
"thiago-rodrigues",73414,"Thiago Rodrigues","217","gol",7.8,5.36666666666667,5.7,0.00666430120154641,12,7.97142857142857,1.72,0,0.0833333333333333,0,0.583333333333333,0,0,0.166666666666667,0,0,1.75,0.0833333333333333
"geuvanio",73896,"Geuvânio","262","ata",4.35,1.24545454545455,1.24545454545455,-0.917396350165141,11,0.55,1.64285714285714,0.818181818181818,1.27272727272727,0.818181818181818,1.36363636363636,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0,0,0
"barcos",78379,"Barcos","283","ata",6.29,1.46666666666667,1.46666666666667,0.03088210697037,12,1.75714285714286,1.06,1.25,1.33333333333333,0.5,1.83333333333333,0.0833333333333333,0.25,0.666666666666667,0.75,0.0833333333333333,0,0
"henrique-dourado",81905,"Henrique Dourado","262","ata",9.16,1.94210526315789,1.94210526315789,0.546508088034151,19,2.64545454545455,0.975,0.894736842105263,2.26315789473684,0.263157894736842,0.736842105263158,0,0.421052631578947,1.57894736842105,0.473684210526316,0.315789473684211,0,0
"aylon",85930,"Aylon","327","ata",6.36,1.62857142857143,1.62857142857143,1.55357664468517,14,3.41428571428571,-0.157142857142857,1.21428571428571,1.42857142857143,0.642857142857143,0.928571428571429,0.0714285714285714,0.5,1.14285714285714,0.714285714285714,0,0,0
"zeca",87192,"Zeca","285","lat",9.31,4.56111111111111,1.78333333333333,-0.65041185948453,18,5.37777777777778,3.74444444444444,0.166666666666667,0.944444444444444,1.66666666666667,2.44444444444444,0.0555555555555556,0.166666666666667,0.444444444444444,0.111111111111111,0,0,0
"ramon",88087,"Ramon","287","zag",3.14,2.32142857142857,0.714285714285714,-0.542738356592478,28,2.43076923076923,2.22666666666667,0.428571428571429,1.64285714285714,0.928571428571429,1.46428571428571,0,0,0.928571428571429,0.214285714285714,0.0357142857142857,0,0
"barreto",89224,"Barreto","315","mei",1.16,1.03,1.03,-0.264272400837172,10,1.1,0.96,0.1,1.1,1.4,1,0,0,0.9,0.1,0,0,0
"bruno-henrique",90285,"Bruno Henrique","277","ata",9.28,1.79230769230769,1.79230769230769,-1.13434752684419,26,0.983333333333333,2.48571428571429,1.03846153846154,2.15384615384615,0.807692307692308,1.5,0.115384615384615,0.153846153846154,1.69230769230769,0.692307692307692,0.0384615384615385,0,0
"joel-carli",93414,"Joel Carli","263","zag",4.86,1.63103448275862,0.0793103448275862,-0.0185431745145616,29,2.5375,0.515384615384615,0.413793103448276,2.03448275862069,0.96551724137931,2.10344827586207,0,0.0689655172413793,0.655172413793103,0.310344827586207,0.0344827586206897,0,0
"matheus-alessandro",97527,"Matheus Alessandro","266","ata",3.51,1.69545454545455,1.69545454545455,-0.459402325443268,22,1.59166666666667,1.82,0.818181818181818,0.772727272727273,0.636363636363636,0.863636363636364,0.0454545454545455,0.181818181818182,1.72727272727273,0.5,0,0,0
"doffo",102894,"Doffo","315","mei",4.05,4.27142857142857,4.27142857142857,0.705953442776336,14,5.25714285714286,3.28571428571429,1.71428571428571,2.21428571428571,1.21428571428571,1.85714285714286,0,0.142857142857143,2.85714285714286,1.14285714285714,0.214285714285714,0,0
"jonathan",37662,"Jonathan","293","lat",9.09,3.59090909090909,1.09090909090909,1.02808130797063,22,4.83846153846154,1.78888888888889,0.0909090909090909,1.22727272727273,0.545454545454545,1.63636363636364,0.227272727272727,0,0.363636363636364,0.0454545454545455,0.0454545454545455,0,0
"edinho",37792,"Edinho","204","mei",2.2,0.135294117647059,0.135294117647059,-0.50325505359758,17,-0.0111111111111111,0.3,0.294117647058824,2.64705882352941,1.11764705882353,1.88235294117647,0,0.0588235294117647,0.764705882352941,0.235294117647059,0,0,0
"thiago-heleno",38394,"Thiago Heleno","293","zag",8.98,3.67222222222222,1.45,0.938881644094539,18,5.98888888888889,1.35555555555556,0.555555555555556,1.5,0.722222222222222,1,0,0,0.944444444444444,0.333333333333333,0.111111111111111,0,0
"rafinha",38421,"Rafinha","283","mei",7.43,2.56111111111111,2.56111111111111,-0.244406232042433,18,2.64,2.4625,0.444444444444444,0.722222222222222,1.11111111111111,1.72222222222222,0.0555555555555556,0.222222222222222,2.27777777777778,0.166666666666667,0,0,0
"marcelo-oliveira",50328,"Marcelo Oliveira","284","lat",2.96,2.07142857142857,0.285714285714286,-0.819642186254524,14,2.26666666666667,1.925,0.0714285714285714,2,1.28571428571429,1.5,0,0.0714285714285714,0.642857142857143,0.0714285714285714,0,0,0
"gerson-magrao",50401,"Gerson Magrão","327","mei",3.34,1.76086956521739,1.76086956521739,1.188504865896,23,3.39,0.507692307692308,0.782608695652174,1.26086956521739,1.08695652173913,2.1304347826087,0,0.217391304347826,0.652173913043478,0.217391304347826,0.0869565217391304,0,0
"leo",50459,"Léo","283","zag",8.33,2.775,0.989285714285714,-0.417904106183148,28,3.41428571428571,2.13571428571429,0.25,1.10714285714286,1.03571428571429,0.571428571428571,0,0.0714285714285714,0.178571428571429,0.214285714285714,0,0,0
"leandro-donizete",51318,"Leandro Donizete","327","mei",1.01,0.296153846153846,0.296153846153846,-0.506198189715318,26,0.15,0.466666666666667,0.269230769230769,1.69230769230769,1.26923076923077,2.57692307692308,0,0,0.769230769230769,0.153846153846154,0,0,0
