"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","FT","G","GC","PE","RB","SG","DD","GS","A","I","DP","CV","PP"
"11","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,26,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,NA,1,1,NA,NA,NA,7,3,1,NA,NA,NA,NA,NA,NA,NA
"12","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,26,"COR","ata","Nulo",0,5.68,0,2.72,"Corinthians",NA,5,NA,5,4,NA,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"13","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,26,"CRU","tec","Provável",4.37,11.19,-0.01,3.76,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,26,"PAL","ata","Nulo",8,12.53,1.2,5.68,"Palmeiras",2,36,11,11,26,3,9,NA,15,19,NA,NA,NA,2,6,NA,NA,NA
"15","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,26,"AME","ata","Nulo",0,8.9,0,2.23,"América-MG",3,31,8,8,14,NA,5,NA,31,4,NA,NA,NA,2,6,NA,1,NA
"16","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,26,"ATL","lat","Dúvida",10,10.31,0.93,4.25,"Atlético-PR",3,13,NA,NA,6,NA,1,NA,23,11,7,NA,NA,5,NA,NA,NA,NA
"17","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,26,"CRU","mei","Nulo",0,7.97,0,2.14,"Cruzeiro",6,18,1,7,16,NA,NA,1,18,31,NA,NA,NA,NA,NA,NA,NA,NA
"18","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,26,"GRE","mei","Nulo",2.3,5.51,0.21,2.35,"Grêmio",4,23,10,9,18,NA,1,NA,36,16,NA,NA,NA,2,NA,NA,NA,NA
"19","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,26,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,26,"PAL","zag","Nulo",0,6.15,0,1.62,"Palmeiras",3,10,1,1,12,1,NA,1,8,11,4,NA,NA,NA,3,NA,1,NA
"21","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,26,"CRU","gol","Nulo",13,12.23,1.03,4.14,"Cruzeiro",NA,NA,NA,NA,1,NA,NA,NA,8,NA,7,29,18,NA,NA,1,NA,NA
"22","Robert Ayrton Piris Da Motta","piris-da-motta","Piris da Motta","https://s.glbimg.com/es/sde/f/2018/08/02/0704358d01e3427f962818bd42cb2484_FORMATO.png",95802,26,"FLA","mei","Nulo",0,5.77,-0.3,1.57,"Flamengo",2,13,NA,1,2,NA,NA,NA,9,16,NA,NA,NA,NA,NA,NA,NA,NA
"23","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,26,"SPO","mei","Provável",0,4.49,0,1.9,"Sport",1,9,2,8,9,1,2,NA,25,3,NA,NA,NA,NA,NA,NA,NA,NA
"24","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,26,"ATL","zag","Provável",0,6.11,0,3.19,"Atlético-PR",3,9,NA,NA,6,NA,1,NA,14,4,4,NA,NA,NA,NA,NA,NA,NA
"25","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2018/03/20/9e024bd996bfcfe044fa0ceaca14d7ee_FORMATO.png",95820,26,"COR","zag","Provável",-0.5,1.88,-0.49,1.71,"Corinthians",NA,5,2,NA,6,NA,NA,NA,11,5,2,NA,NA,NA,NA,NA,NA,NA
"26","Caique da Silva Maria","caique","Caíque","https://s.glbimg.com/es/sde/f/2018/08/21/7bb29a0298d98e6fee209a846989d67c_FORMATO.png",95831,26,"SAO","ata","Nulo",0,1.15,0,2,"São Paulo",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"27","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,26,"GRE","lat","Nulo",9.6,12.33,0.97,5.75,"Grêmio",NA,11,NA,NA,12,NA,NA,NA,25,19,9,NA,NA,3,2,NA,NA,NA
"28","Walter Bou","walter-bou","Walter Bou","https://s.glbimg.com/es/sde/f/2018/07/16/a374e78aa31747574d81d4787b38531c_FORMATO.png",95853,26,"VIT","ata","Nulo",0,4.14,0,0.85,"Vitória",2,9,5,2,4,NA,NA,NA,5,4,NA,NA,NA,NA,1,NA,NA,NA
"29","Ruan Renato Bonifácio Augusto","ruan-renato","Ruan Renato","https://s.glbimg.com/es/sde/f/2018/06/16/cb9b1283653cdfca8e999187da879268_FORMATO.png",96047,26,"VIT","zag","Nulo",0,1.67,0,0.53,"Vitória",2,11,NA,NA,1,NA,NA,NA,16,8,1,NA,NA,NA,NA,NA,NA,NA
"30","Ítalo Barbosa de Andrade","italo","Ítalo","https://s.glbimg.com/es/sde/f/2018/05/08/edabbe9d6fece85f1567311af9ca93e1_FORMATO.png",95958,26,"BAH","ata","Nulo",0,0.75,0,-2.9,"Bahia",NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA
"31","Hugo da Conceição Borges Alves","hugo-borges","Hugo Borges","https://s.glbimg.com/es/sde/f/2018/07/12/a2915e07f8614150b5d3d4343a9bb658_FORMATO.png",95875,26,"VAS","ata","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Rafael Santiago Gonçalves","rafael-grampola","Rafael Grampola","https://s.glbimg.com/es/sde/f/2018/08/02/cd538946a9fb6711e44baf4de32943e4_FORMATO.png",95803,26,"PAR","ata","Nulo",0,3.23,0,2.06,"Paraná",1,17,2,7,17,NA,1,NA,10,6,NA,NA,NA,NA,3,NA,NA,NA
"33","Sander Henrique Bortolotto","sander","Sander","https://s.glbimg.com/es/sde/f/2018/05/24/53ffed7a90ef04e11377eb7816360dc4_FORMATO.png",95843,26,"SPO","lat","Nulo",0.9,10.96,-0.69,5.41,"Sport",7,48,8,5,46,NA,NA,NA,63,84,5,NA,NA,NA,2,NA,NA,NA
"34","Mauricio Caprini Pinto","caprini","Caprini","https://s.glbimg.com/es/sde/f/2018/05/18/974cf193c41e59553e84f947ddaab668_FORMATO.png",96049,26,"ATL","ata","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/21/b3da5e7d34e88ee1ac405e3ada92c40f_FORMATO.png",96340,26,"GRE","mei","Nulo",0,2.34,0,1.37,"Grêmio",NA,6,3,4,6,NA,NA,NA,5,5,NA,NA,NA,NA,1,NA,NA,NA
"36","Felipe Gustavo Domingos","felipe","Felipe","https://s.glbimg.com/es/sde/f/2017/02/21/e708f975f303fd9301b35bbd18a258b2_FORMATO.png",95849,26,"BAH","gol","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Pablo Silva de Lara","pablo-pardal","Pablo Pardal","https://s.glbimg.com/es/sde/f/2017/02/14/f9c5c6dfb4f99f29774612985f6e6464_FORMATO.png",96633,26,"SPO","mei","Nulo",0.5,1.63,-0.37,0.5,"Sport",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cassiano Silva dos Santos","cassiano","Cassiano","https://s.glbimg.com/es/sde/f/2018/03/21/3cae94aec96c4ad0739c8e679527507a_FORMATO.png",96411,26,"BAH","gol","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Charles Rigon Matos","charles","Charles","https://s.glbimg.com/es/sde/f/2018/04/09/5b69cf49021eaeb9e4ade25dc2614887_FORMATO.png",96342,26,"INT","mei","Nulo",0,5,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Daniel de Sousa Brito","daniel","Daniel","https://s.glbimg.com/es/sde/f/2018/04/08/c1cd28e8c43b4edcf47c77241aa2efe3_FORMATO.png",96468,26,"INT","gol","Nulo",0,0.75,0,-1.5,"Internacional",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"41","Gabriel Pires de Oliveira","gabriel-pires","Gabriel Pires","https://s.glbimg.com/es/sde/f/2018/03/21/13a5b6a7ba6b442bdc5769461ae475be_FORMATO.png",96559,26,"PAR","mei","Nulo",0,4,0,0,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Renan Augusto Lodi dos Santos","renan-lodi","Renan Lodi","https://s.glbimg.com/es/sde/f/2018/03/01/4eaa6c2a6e5a7da6c4f98c27ddd89b48_FORMATO.png",96591,26,"ATL","lat","Provável",10.6,4.77,1.79,3.47,"Atlético-PR",4,15,11,10,26,NA,NA,1,21,10,6,NA,NA,1,1,NA,1,NA
"43","Rodrigo Figueiredo de Carvalho","rodrigo-figueiredo","Rodrigo Figueiredo","https://s.glbimg.com/es/sde/f/2017/04/20/bef317b8404e13356cc3277dae40f4c9_FORMATO.png",96832,26,"COR","mei","Nulo",0,1.51,0,-0.1,"Corinthians",NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Wesley Dias Claudino","wesley-dias","Wesley Dias","https://s.glbimg.com/es/sde/f/2018/03/21/bd01b16a7f9c3c1d4858cc8ada530b69_FORMATO.png",97154,26,"PAR","mei","Provável",-0.6,0.77,-0.39,0.08,"Paraná",1,11,NA,1,11,NA,NA,NA,12,4,NA,NA,NA,NA,1,NA,NA,NA
"45","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2018/05/23/5475c0938368ee4b155ff28fbba435d6_FORMATO.png",96966,26,"SAN","ata","Nulo",0,2.41,0,0.56,"Santos",1,2,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA
"46","Emerson Aparecido Leite de Souza Junior","emerson","Emerson","https://s.glbimg.com/es/sde/f/2018/05/02/e6ac5064048c2847351bacf000cd76bd_FORMATO.png",96870,26,"ATL","lat","Provável",2.6,5.34,-0.99,3.79,"Atlético-MG",4,27,2,3,28,NA,NA,NA,30,24,5,NA,NA,NA,NA,NA,NA,NA
"47","Deivid Anacleto de Souza","deivid","Deivid","https://s.glbimg.com/es/sde/f/2018/09/04/2a00922f8aced657801b4b073689d6aa_FORMATO.png",97155,26,"PAR","ata","Dúvida",1,2.25,0.02,0.5,"Paraná",NA,1,NA,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","José Ricardo Barbosa Ribeiro Drumond","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2018/05/07/66c84fb19bfc8dcb826762a661f9205d_FORMATO.png",97317,26,"AME","mei","Provável",3.1,1.7,0.31,1.33,"América-MG",NA,6,NA,3,3,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA
"49","Gabriel Vinícius de Oliveira Furtado","gabriel-furtado","Gabriel Furtado","https://s.glbimg.com/es/sde/f/2017/06/23/b6f602ff015eb0fd2e4305c2b8361284_FORMATO.jpeg",97322,26,"PAL","mei","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Marcos Vinícius Silva Rocha Calazans","marcos-calazans","Marcos Calazans","https://s.glbimg.com/es/sde/f/2018/09/20/a0f7f5a4cab2aadb8015e478a8433dfc_FORMATO.png",97452,26,"FLU","ata","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Luiz Henrique Pachu Lira","pachu","Pachu","https://s.glbimg.com/es/sde/f/2018/05/17/24cdb04412dd6d812b54821d4a8054bf_FORMATO.png",97352,26,"BOT","ata","Nulo",0,2.55,0,2.7,"Botafogo",NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"52","Guilherme Mantuan","mantuan","Mantuan","https://s.glbimg.com/es/sde/f/2018/05/18/53d5b5f3442929a93b052228d4f4dd8f_FORMATO.png",97315,26,"COR","lat","Dúvida",0,5.11,0,3.76,"Corinthians",1,23,NA,3,24,NA,NA,NA,41,33,3,NA,NA,NA,1,NA,NA,NA
"53","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2018/09/04/b1e08ad08aa0c33054b6c23b40023cca_FORMATO.png",97321,26,"PAR","mei","Nulo",0,2,0,0,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Joriwinnyson Santos dos Anjos Rodrigues","jori","Jori","https://s.glbimg.com/es/sde/f/2018/05/07/74ebf6f155bba3965e6fbdd4d47886ed_FORMATO.png",97453,26,"AME","gol","Nulo",0,8.8,0,1.48,"América-MG",NA,1,NA,NA,1,NA,NA,NA,9,NA,2,10,12,NA,NA,NA,NA,NA
"55","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2018/04/09/cb32c36884710a73aa2671bf0998c170_FORMATO.png",97133,26,"INT","lat","Nulo",0,4.07,0,4.5,"Internacional",NA,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"56","Luis Henrique Lima Ferreira","luis-henrique","Luis Henrique","https://s.glbimg.com/es/sde/f/2018/06/05/f468a62494928820ad0f8123756afdf3_FORMATO.png",97459,26,"AME","zag","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2018/09/20/757d419d1040c909be357a50fb4f34b8_FORMATO.png",97528,26,"FLU","zag","Nulo",0,3.74,0,2.12,"Fluminense",NA,4,1,NA,2,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA
"58","Willean Bernardo Willemen","lepu","Lepu","https://s.glbimg.com/es/sde/f/2018/06/05/664e239f7dce6e6497a82d094f42723a_FORMATO.png",97522,26,"BAH","mei","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Shaylon Kallyson Cardoso","shaylon","Shaylon","https://s.glbimg.com/es/sde/f/2018/08/22/8dada340d3eace63bb678a5ac94eaaff_FORMATO.png",97520,26,"SAO","mei","Nulo",0,2.95,0,1.3,"São Paulo",1,6,NA,1,2,NA,2,NA,12,2,NA,NA,NA,NA,1,NA,NA,NA
"60","Tomás Gustavo Andrade","tomas-andrade","Tomás Andrade","https://s.glbimg.com/es/sde/f/2018/05/07/efc79595752a6acffda52ff4455cbc32_FORMATO.png",97619,26,"ATL","mei","Nulo",2,5.95,-1.23,4.19,"Atlético-MG",1,7,6,3,5,1,3,NA,31,19,NA,NA,NA,2,NA,NA,NA,NA
"61","Matheus Alessandro dos Santos Pereira","matheus-alessandro","Matheus Alessandro","https://s.glbimg.com/es/sde/f/2018/05/18/28524541dbc99ed7fa6cadc1531e6cf9_FORMATO.png",97527,26,"FLU","ata","Nulo",2.7,4,0.44,2.12,"Fluminense",4,9,5,8,30,1,NA,NA,14,14,NA,NA,NA,1,3,NA,NA,NA
"62","Hiago Correa Silveira Cena","hiago","Hiago","https://s.glbimg.com/es/sde/f/2018/05/24/290a6f9eadad6684596a861f850734aa_FORMATO.png",97535,26,"CHA","zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Jhemerson Guimarães Gaigher","jhemerson","Jhemerson","https://s.glbimg.com/es/sde/f/2018/03/21/4352f97cb92d8c89a85442b0da6b66fb_FORMATO.png",97863,26,"VIT","mei","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Erick de Arruda Serafim","erick","Erick","https://s.glbimg.com/es/sde/f/2018/06/28/c1426d2e4418dfcc0731f1ddf753c5bf_FORMATO.png",97810,26,"VIT","ata","Contundido",0,6.32,0,3.85,"Vitória",3,9,6,6,19,NA,2,NA,26,11,NA,NA,NA,NA,2,NA,NA,NA
"65","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,26,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,26,"VIT","mei","Nulo",0,2.86,0,0.38,"Vitória",3,7,NA,NA,3,NA,NA,NA,9,9,NA,NA,NA,NA,1,NA,NA,NA
"67","Murilo Cerqueira Paim","murilo","Murilo","https://s.glbimg.com/es/sde/f/2018/05/07/e153f69f7bac5d6410218a2a59787c11_FORMATO.png",97653,26,"CRU","zag","Nulo",0.7,6.33,-0.82,1.7,"Cruzeiro",2,12,2,1,1,1,NA,NA,12,7,2,NA,NA,NA,NA,NA,NA,NA
"68","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,26,"CRU","ata","Provável",0,7.42,-0.81,4.23,"Cruzeiro",2,6,6,14,15,2,2,NA,17,13,NA,NA,NA,1,2,NA,NA,NA
"69","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,26,"CEA","mei","Provável",2.2,3.2,0.83,0.42,"Ceará",2,29,1,2,9,NA,NA,NA,22,15,NA,NA,NA,NA,1,NA,NA,NA
"70","Lucas de Souza Ventura","nonoca","Nonoca","https://s.glbimg.com/es/sde/f/2018/04/09/f994b05e8cd6aee16ab81f7cc4871c16_FORMATO.png",97856,26,"SPO","mei","Nulo",0,2.96,0,3.7,"Sport",NA,2,NA,NA,1,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"71","Roger Ibañez da Silva","ibanez","Ibañez","https://s.glbimg.com/es/sde/f/2018/09/20/69ed2b738cbaf148777b6d868df813c9_FORMATO.png",97803,26,"FLU","zag","Provável",1.2,4.98,-0.05,2.54,"Fluminense",2,3,1,3,5,NA,NA,NA,19,12,2,NA,NA,NA,NA,NA,NA,NA
"72","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,26,"PAR","mei","Nulo",0,2.37,-0.11,0.5,"Paraná",NA,2,1,1,4,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"73","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,26,"GRE","gol","Nulo",-1,14.19,-0.67,4.5,"Grêmio",2,NA,NA,NA,2,NA,NA,NA,5,NA,11,14,8,NA,NA,NA,NA,NA
"74","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,26,"BAH","gol","Provável",0,2.84,0,1.92,"Bahia",NA,NA,NA,NA,2,NA,NA,NA,3,NA,3,10,11,NA,NA,NA,NA,NA
"75","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,26,"AME","zag","Provável",3,6.11,0.28,2.56,"América-MG",3,21,1,2,9,NA,NA,NA,22,27,6,NA,NA,NA,2,NA,NA,NA
"76","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,26,"VAS","zag","Provável",4,6.84,0.79,1.02,"Vasco",NA,4,NA,NA,5,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"77","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,26,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,26,"CEA","ata","Nulo",0,3.67,0,0.93,"Ceará",NA,6,2,2,10,NA,NA,NA,7,4,NA,NA,NA,NA,5,NA,NA,NA
"79","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,26,"CRU","mei","Nulo",0,7.53,0,2.45,"Cruzeiro",NA,12,4,3,35,NA,NA,NA,27,17,NA,NA,NA,1,4,NA,NA,NA
