"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","I","PE","RB","CV","FT","GC","SG","DD","GS","PP","DP"
"11","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2018/05/23/600ec8ed7ab3b2e4b459743279ec4d6a_FORMATO.png",78248,18,"SAN","zag","Nulo",0,4.9,0,3.93,"Santos",NA,2,13,6,5,4,1,1,13,10,NA,1,NA,3,NA,NA,NA,NA
"12","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2018/05/17/841f78d103e083bd0e8af280fcb5ffe8_FORMATO.png",74061,18,"BOT","gol","Nulo",0,14.65,0,8.05,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7,2,NA,NA
"13","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,18,"BAH","ata","Provável",2.2,8.21,-1.17,3.98,"Bahia",NA,NA,14,3,6,14,3,2,12,6,NA,1,NA,NA,NA,NA,NA,NA
"14","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2018/04/12/c30228fd68db0c7f81326317ddc62ba6_FORMATO.png",74074,18,"SPO","lat","Provável",-1.5,3.6,-0.86,3.13,"Sport",1,1,17,2,4,10,2,NA,23,6,NA,NA,NA,1,NA,NA,NA,NA
"15","Guilherme Costa Machado Silveira","guilherme-costa","Guilherme Costa","https://s.glbimg.com/es/sde/f/2018/03/21/4f92ef0e30740bc3960607bec48d3c00_FORMATO.png",74081,18,"VIT","mei","Contundido",0,2.27,0,0.72,"Vitória",NA,1,8,1,1,10,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"16","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2018/08/14/11a728603cfca7e8c71e3fadccee1148_FORMATO.png",75295,18,"INT","ata","Nulo",0,11.23,0,3.9,"Internacional",1,NA,9,3,5,10,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"17","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,18,"BOT","zag","Nulo",0,5.82,0,5.83,"Botafogo",NA,NA,1,NA,NA,1,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA
"18","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2018/05/04/5049d8a52c5a5f82e57248ab2ff94218_FORMATO.png",73992,18,"FLA","lat","Provável",6.5,13.67,0.85,5.24,"Flamengo",2,2,10,4,5,25,NA,1,25,20,NA,NA,NA,10,NA,NA,NA,NA
"19","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,18,"PAL","mei","Contundido",0,7.89,0,2.23,"Palmeiras",NA,NA,5,1,1,1,1,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"20","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2018/03/21/c6572fbc65cb9ee9ad6f2d3e068ccbd1_FORMATO.png",85626,18,"BAH","lat","Provável",7.6,10.44,1.13,4.26,"Bahia",1,NA,18,3,3,14,NA,3,38,29,NA,NA,NA,4,NA,NA,NA,NA
"21","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,18,"BAH","mei","Nulo",3.7,5.88,0.21,2.84,"Bahia",3,5,6,11,NA,16,1,1,29,10,NA,NA,NA,NA,NA,NA,NA,NA
"22","Wagner Ferreira dos Santos","wagner","Wagner","https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png",37674,18,"VAS","mei","Nulo",0,9.26,0,2.14,"Vasco",NA,6,13,5,5,20,2,2,19,7,NA,NA,NA,NA,NA,NA,NA,NA
"23","Osmar Loss","osmar-loss","Osmar Loss","https://s.glbimg.com/es/sde/f/2018/05/23/01c6dae8fee10d4a5a525a2c245e55a7_FORMATO.png",77552,18,"COR","tec","Provável",2.48,11.61,-0.39,4.05,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2018/05/23/c1e09ae588439e79293d33881309f392_FORMATO.png",77959,18,"SAN","ata","Nulo",0.8,5.34,-0.43,0.92,"Santos",NA,NA,4,NA,1,4,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA
"25","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,18,"INT","ata","Provável",2.8,5.24,0.05,4.02,"Internacional",NA,2,17,11,11,25,4,7,32,17,1,1,NA,NA,NA,NA,NA,NA
"26","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,18,"SAN","ata","Nulo",0,7.27,0,-1,"Santos",NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"27","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2018/05/21/59123042289044af192df7b66ec997d5_FORMATO.png",78077,18,"GRE","lat","Nulo",0,6.27,0,3.9,"Grêmio",NA,NA,3,1,3,5,NA,1,7,5,NA,NA,NA,2,NA,NA,NA,NA
"28","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2018/05/04/f71b2fc3dc540b79567e4897bc155101_FORMATO.png",78086,18,"FLA","gol","Nulo",0,3.35,0,-6.6,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA
"29","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,18,"CRU","mei","Provável",2.7,9.16,-0.05,2.85,"Cruzeiro",NA,3,13,1,6,15,NA,NA,14,23,NA,NA,NA,NA,NA,NA,NA,NA
"30","Hernán Barcos","barcos","Barcos","https://s.glbimg.com/es/sde/f/2018/07/15/014627951a9b920652b82877cae3a55e_FORMATO.png",78379,18,"CRU","ata","Nulo",0,7.42,0,2.55,"Cruzeiro",NA,NA,5,1,3,3,1,NA,8,4,NA,NA,NA,NA,NA,NA,1,NA
"31","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,18,"GRE","lat","Nulo",0,11.66,0,6.13,"Grêmio",2,NA,5,NA,NA,8,NA,NA,11,8,NA,NA,NA,7,NA,NA,NA,NA
"32","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,18,"GRE","mei","Nulo",0,5.49,0,1.82,"Grêmio",1,3,10,5,5,8,NA,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA
"33","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,18,"CRU","ata","Nulo",0,8.9,0,4.81,"Cruzeiro",1,2,6,5,12,15,2,2,14,10,NA,2,NA,NA,NA,NA,NA,NA
"34","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,18,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,18,"VIT","mei","Nulo",0,3.44,0,0.46,"Vitória",NA,3,7,NA,NA,3,NA,1,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"36","Douglas Ricardo Grolli","douglas-grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,18,"BAH","zag","Provável",0,2,0,-0.45,"Bahia",NA,1,3,NA,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"37","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,18,"PAR","mei","Contundido",-0.3,2.42,-0.1,0.22,"Paraná",NA,NA,2,1,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,18,"CEA","mei","Provável",2.6,3.5,0.49,-0.3,"Ceará",NA,1,11,NA,NA,3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA
"39","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2018/06/26/45c70625ffaffe103edf398479ba754f_FORMATO.png",78415,18,"FLA","ata","Nulo",0,7.85,0,4.38,"Flamengo",1,NA,2,1,5,1,1,3,6,3,NA,1,NA,NA,NA,NA,NA,NA
"40","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,18,"GRE","gol","Nulo",0,15.68,0,4.77,"Grêmio",NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,10,9,5,NA,NA
"41","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,18,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,18,"BAH","gol","Provável",7.7,4.88,1.61,3.12,"Bahia",NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,3,9,7,NA,NA
"43","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,18,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",1,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,2,16,16,NA,NA
"44","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,18,"SPO","zag","Nulo",0,6.27,0,6.75,"Sport",NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA
"45","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,18,"COR","mei","Nulo",0,2.97,0,1.25,"Corinthians",NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"46","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,18,"FLA","lat","Provável",0,13.01,0,6.26,"Flamengo",2,3,20,3,2,16,NA,1,58,44,NA,NA,NA,9,NA,NA,NA,NA
"47","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,18,"CEA","ata","Contundido",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,18,"ATL","lat","Nulo",0,5.84,0,1.99,"Atlético-MG",NA,4,16,1,2,21,1,4,33,13,NA,NA,NA,3,NA,NA,NA,NA
"49","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2018/07/27/9ec5f19c97f40e2971bc97aaad240504_FORMATO.png",78435,18,"FLA","ata","Provável",5.8,13.73,0.26,5.5,"Flamengo",NA,NA,5,1,1,6,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA
"50","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,18,"CRU","ata","Contundido",0,16,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,18,"CHA","mei","Provável",2.6,3.87,0.24,1.81,"Chapecoense",NA,1,14,2,3,16,NA,NA,31,23,NA,NA,NA,NA,NA,NA,NA,NA
"52","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,18,"COR","mei","Nulo",0,7.25,0,3.17,"Corinthians",3,NA,5,1,3,1,2,NA,23,2,NA,1,NA,NA,NA,NA,NA,NA
"53","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,18,"COR","ata","Provável",0.2,4.59,-0.09,1.1,"Corinthians",NA,1,21,1,9,9,2,8,11,2,NA,NA,NA,NA,NA,NA,NA,NA
"54","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,18,"CHA","ata","Provável",0,10.92,0,2.88,"Chapecoense",2,6,35,2,20,22,4,7,34,10,NA,NA,NA,NA,NA,NA,NA,NA
"55","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,18,"GRE","mei","Nulo",1.9,7.78,-0.43,3.16,"Grêmio",1,3,17,2,4,10,3,NA,44,20,NA,NA,NA,NA,NA,NA,1,NA
"56","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,18,"PAL","gol","Nulo",0,12,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,18,"ATL","zag","Dúvida",0,8.87,0,3.02,"Atlético-PR",NA,1,13,1,3,8,1,NA,11,9,NA,1,1,3,NA,NA,NA,NA
"58","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,18,"CRU","mei","Nulo",1.2,8.68,-0.14,1.36,"Cruzeiro",NA,1,5,13,6,10,NA,6,35,6,NA,NA,NA,NA,NA,NA,NA,NA
"59","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,18,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/08/14/452ba81de55e40e0d4dd5782c12f3bb0_FORMATO.png",38505,18,"VAS","zag","Provável",0.5,7.87,-2.13,0.5,"Vasco",NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"61","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,18,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,18,"CRU","mei","Provável",5.9,7.72,1.11,2.34,"Cruzeiro",1,NA,7,2,1,19,NA,4,13,10,NA,NA,NA,NA,NA,NA,NA,NA
"63","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,18,"CEA","ata","Nulo",0,3.67,0,0.93,"Ceará",NA,NA,6,2,2,10,NA,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA
"64","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,18,"AME","zag","Provável",0.5,5.39,-0.77,2.24,"América-MG",NA,2,12,NA,1,6,NA,1,20,16,NA,NA,NA,4,NA,NA,NA,NA
"65","Elton Rodrigues Brandão","elton","Elton","https://s.glbimg.com/es/sde/f/2018/05/25/f85dba3a9b276e1b282f403b58a9980a_FORMATO.png",38588,18,"CEA","ata","Nulo",0,6.18,0,3.45,"Ceará",1,2,17,4,4,4,2,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA
"66","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,18,"SAN","mei","Nulo",0,6.43,0,1.66,"Santos",NA,1,4,2,2,9,1,2,18,7,NA,NA,NA,NA,NA,NA,NA,NA
"67","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,18,"BAH","mei","Nulo",0,5.32,0,-0.5,"Bahia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,18,"CRU","lat","Suspenso",0,6.89,0,1.85,"Cruzeiro",NA,6,10,2,4,7,NA,NA,28,12,NA,NA,NA,3,NA,NA,NA,NA
"69","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,18,"FLA","gol","Provável",5.9,13.01,0.14,5.39,"Flamengo",NA,2,NA,NA,NA,5,NA,NA,21,NA,NA,NA,NA,9,20,9,NA,1
"70","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,18,"AME","mei","Nulo",0,2.28,0,0.4,"América-MG",NA,NA,2,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"71","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,18,"GRE","mei","Provável",15.5,7.53,3.27,1.64,"Grêmio",1,1,6,2,2,2,1,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA
"72","Régis Augusto Salmazzo","regis","Régis","https://s.glbimg.com/es/sde/f/2018/03/21/8756ffae33e39b861390d0b59d5ada2d_FORMATO.png",82647,18,"BAH","mei","Suspenso",-0.3,4.88,-1.84,2.98,"Bahia",2,3,13,3,6,12,3,NA,31,10,NA,1,NA,NA,NA,NA,NA,NA
"73","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,18,"ATL","ata","Provável",17.7,14.11,2.97,6.96,"Atlético-MG",5,2,26,15,16,19,9,11,28,8,NA,NA,NA,NA,NA,NA,NA,NA
"74","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,18,"FLA","mei","Provável",0.9,9.21,-0.43,3.64,"Flamengo",1,5,23,3,12,43,3,6,53,16,NA,NA,NA,NA,NA,NA,NA,NA
"75","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,18,"SPO","ata","Provável",1.6,4.04,-0.24,2.4,"Sport",1,1,12,9,8,15,1,6,19,10,NA,NA,NA,NA,NA,NA,NA,NA
"76","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,18,"BOT","mei","Nulo",0,2.91,0,-0.5,"Botafogo",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,18,"SPO","gol","Provável",-3,6.29,-0.84,1.26,"Sport",NA,3,1,NA,NA,1,NA,NA,5,NA,NA,NA,NA,2,17,22,NA,1
"78","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,18,"VIT","tec","Provável",0,10,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/05/26/df16876e9f870ea8c1233df2e4dc4c5a_FORMATO.png",38913,18,"SAO","mei","Provável",9.2,11.4,1.65,5.15,"São Paulo",2,5,16,6,12,36,7,3,54,11,NA,2,NA,NA,NA,NA,NA,NA
"80","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,18,"AME","tec","Provável",0.19,7.96,-1.01,3.08,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
