"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","G","I","RB","CA","PE","A","SG","DD","FT","GS","CV","GC"
"23","Aylon Darwin Tavella","aylon","Aylon","https://s.glbimg.com/es/sde/f/2018/03/17/126e634285cb02ea065c51098e6404cc_FORMATO.png",85930,1,"AME","ata","Provável",5.1,7.65,1.65,5.1,"América-MG",1,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Norberto Pereira Marinho Neto","norberto","Norberto ","https://s.glbimg.com/es/sde/f/2018/03/17/05b05b9b4b348f4aef923ec2152f275e_FORMATO.png",80374,1,"AME","lat","Provável",10.9,9.58,6.58,10.9,"América-MG",NA,NA,NA,1,NA,NA,4,NA,2,NA,1,NA,NA,NA,NA,NA
"25","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2018/03/17/138010c4f380e27d9122f984627b1769_FORMATO.png",88423,1,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","José Ricardo Barbosa Ribeiro Drumond","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2018/03/17/c4fa59125c92192d3b9cc8e4f1f83c48_FORMATO.png",97317,1,"AME","mei","Nulo",0.4,0.96,-0.04,0.4,"América-MG",1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"27","Michel Araújo Silvestre","michel","Michel","https://s.glbimg.com/es/sde/f/2018/03/17/5788bdb5cfd83c4c9780b6b1a2eabac2_FORMATO.png",92692,1,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","João Victor da Vitória Fernandes","capixaba","Capixaba","https://s.glbimg.com/es/sde/f/2018/03/17/31d6a62e8d0c4154c043891811345219_FORMATO.png",94894,1,"AME","ata","Nulo",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Matheus Leonardo Sales Cardoso","matheusinho","Matheusinho","https://s.glbimg.com/es/sde/f/2018/03/17/74df7b312fb6197007e06d6add443fce_FORMATO.png",93886,1,"AME","mei","Contundido",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2018/03/17/81a3b34ce58a1c6a8f39c4874d7dbeeb_FORMATO.png",89285,1,"AME","mei","Nulo",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Erick Martins Ferreira Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2018/03/17/163ac85e9dc1f71fac933404aeee8acf_FORMATO.png",97930,1,"AME","gol","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Sergio Antonio Soler de Oliveira Junior","serginho","Serginho","https://s.glbimg.com/es/sde/f/2018/03/17/144f983307b6cb40ec9b7a49fd811847_FORMATO.png",88002,1,"AME","mei","Provável",17.9,15.78,10.78,17.9,"América-MG",1,NA,1,NA,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA
"33","Christian Sávio Machado","christian","Christian","https://s.glbimg.com/es/sde/f/2018/03/17/e7a3738a75711b491c5f2a18065022d3_FORMATO.png",91928,1,"AME","mei","Provável",10.7,9.44,6.44,10.7,"América-MG",NA,NA,1,3,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA
"34","Joriwinnyson Santos dos Anjos Rodrigues","jory","Jory","https://s.glbimg.com/es/sde/f/2018/03/17/3e91835be601e74dbfb5f06e1dc35442_FORMATO.png",97453,1,"AME","gol","Provável",13.7,10.13,9.13,13.7,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA
"35","Matheus Santos Soares","matheus-santos","Matheus Santos",NA,101725,1,"AME","ata","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Ronaldo dos Santos Ramos Filho","ronaldo","Ronaldo",NA,102336,1,"AME","lat","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/03/20/68ec2d32eb7682f94494c4ee2cc01766_FORMATO.png",37718,1,"ATL","mei","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_FORMATO.png",68770,1,"ATL","mei","Nulo",4.7,7.37,1.37,4.7,"Atlético-PR",NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"39","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/03/20/08e587e5b70fbd4605dddaf9aaae5281_FORMATO.png",38910,1,"ATL","ata","Provável",-1,2.76,-2.24,-1,"Atlético-MG",3,NA,2,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"40","Roger de Oliveira Bernardo","roger-bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,1,"ATL","mei","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Felipe Augusto Santana","felipe-santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,1,"ATL","zag","Nulo",0,7,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,1,"ATL","lat","Provável",-2,5.51,-4.49,-2,"Atlético-MG",1,NA,NA,1,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA
"43","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,1,"ATL","mei","Provável",1.1,9.02,-2.98,1.1,"Atlético-MG",NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"44","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,1,"ATL","mei","Dúvida",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,1,"ATL","ata","Provável",11.1,13.16,5.16,11.1,"Atlético-MG",NA,NA,NA,NA,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,NA
"46","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,1,"ATL","zag","Nulo",0,12,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Matheus Mancini","matheus-mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2018/03/20/dd0c5ad4abc814c32be74d84ab8a1610_FORMATO.png",80124,1,"ATL","zag","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/03/20/e5e73b264ec674ff095855be3bf9a152_FORMATO.png",73384,1,"ATL","lat","Nulo",0,5,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/03/20/4865bc3b05a4eda4bbc4fd74238ab6a4_FORMATO.png",60969,1,"ATL","lat","Provável",-0.8,4.27,-2.73,-0.8,"Atlético-MG",2,NA,NA,1,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA
"50","Giovanni Aparecido Adriano dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,1,"ATL","gol","Nulo",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Clayton Silveira da Silva","clayton","Clayton","https://s.glbimg.com/es/sde/f/2017/08/25/b1bd13510c1d64d8d7f7058a48c1acdb_FORMATO.png",81770,1,"ATL","ata","Contundido",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2016/04/26/3d46e04733571b02d6699820588895f2_FORMATO.png",82758,1,"ATL","ata","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png",81682,1,"ATL","mei","Contundido",5.1,11.09,0.09,5.1,"Atlético-MG",1,2,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"54","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,1,"ATL","gol","Contundido",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Lucas Cândido Silva","lucas-candido","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,1,"ATL","mei","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Carlos Alberto Carvalho da Silva Júnior","carlos","Carlos","https://s.glbimg.com/es/sde/f/2018/03/20/338b563f51b8c2eb19bd4bfaf237a8cb_FORMATO.png",85027,1,"ATL","ata","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_FORMATO.png",87393,1,"ATL","zag","Provável",-0.5,7.92,-4.08,-0.5,"Atlético-MG",3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/03/20/080ee1951f38a0381e5eccc11b1256cb_FORMATO.png",89226,1,"ATL","zag","Contundido",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Róger Krug Guedes","roger-guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2018/03/20/75c54272e675d64530aeb9cb60976572_FORMATO.png",89898,1,"ATL","ata","Nulo",-0.3,4.62,-2.38,-0.3,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"60","Erik Nascimento Lima","erik","Erik","https://s.glbimg.com/es/sde/f/2018/03/20/09a462d5c0759d7a0970b83c37640c63_FORMATO.png",84848,1,"ATL","ata","Provável",0,4.82,-2.18,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2017/07/04/bdab16330aca79897bf4fa25fd8d7eaf_FORMATO.jpeg",91191,1,"ATL","mei","Dúvida",15.4,12.68,9.68,15.4,"Atlético-MG",3,2,NA,1,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,NA
"62","Marco Túlio Oliveira Lemos","marco-tulio","Marco Túlio","https://s.glbimg.com/es/sde/f/2017/05/04/41bd7f91d7b18b2b10bf42c51a52305f_FORMATO.png",97546,1,"ATL","ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Michael Matias Fracaro","michael","Michael","https://s.glbimg.com/es/sde/f/2018/03/20/66c49b9d55088a1305db28a505d4ec16_FORMATO.png",93659,1,"ATL","gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2017/04/03/ef54b93128f4d412c55c7cd27c83323b_FORMATO.png",93882,1,"ATL","gol","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Yago Henrique Severino dos Santos","yago","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,1,"ATL","mei","Nulo",-3,0.69,-3.31,-3,"Atlético-MG",2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"66","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/07/05/cd8999b74581b3b3784402a115de312f_FORMATO.png",98765,1,"ATL","mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2018/03/20/55a44aa2b58a8a8eca5b32f354474164_FORMATO.png",101715,1,"ATL","ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Fernando Rodrigues Caixeta Barbosa","fernando","Fernando","https://s.glbimg.com/es/sde/f/2017/04/25/81f091bd3dc3451dde264b3a655fe002_FORMATO.png",97543,1,"ATL","gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Tomás Gustavo Andrade","tomas-andrade","Tomás Andrade","https://s.glbimg.com/es/sde/f/2018/03/20/3713f34bd7438d3e7c84de0f426fe826_FORMATO.png",97619,1,"ATL","mei","Nulo",0,5,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Gleison Bremer Silva Nascimento","bremer","Bremer","https://s.glbimg.com/es/sde/f/2017/07/05/3cdbb709a4c4b26a7debd8d34ab4d855_FORMATO.png",99817,1,"ATL","zag","Provável",-0.1,2.69,-1.31,-0.1,"Atlético-MG",2,NA,NA,1,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA
"71","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,1,"ATL","mei","Provável",0,10,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,1,"ATL","lat","Provável",6.2,9.78,1.78,6.2,"Atlético-PR",NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"73","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,1,"ATL","zag","Provável",0,7,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,1,"ATL","ata","Nulo",0,6,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Thiago Larghi","thiago-larghi","Thiago Larghi","https://s.glbimg.com/es/sde/f/2018/03/19/b1b3b42713071408fb76d25cfb76d927_FORMATO.jpeg",101957,1,"ATL","tec","Provável",4.15,6.3,1.3,4.15,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Bruno Roberto Pereira da Silva","bruno-roberto","Bruno Roberto","https://s.glbimg.com/es/sde/f/2018/03/20/25f1df89aba2974c70965460a0d6a42e_FORMATO.png",101716,1,"ATL","mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,1,"ATL","zag","Provável",0,11,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,1,"ATL","gol","Provável",4.1,12.47,-1.53,4.1,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,2,NA,NA
"79","Thiago Carleto Alves","thiago-carleto","Thiago Carleto","https://s.glbimg.com/es/sde/f/2018/03/01/c5b5d602b0e56ba728e728a7256ce180_FORMATO.png",51700,1,"ATL","lat","Provável",13.2,12.54,7.54,13.2,"Atlético-PR",1,1,1,1,1,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA
"80","Deivid Willian da Silva","deivid","Deivid","https://s.glbimg.com/es/sde/f/2018/03/01/2b16e9f400a17ae27de70d4983fb4530_FORMATO.png",69018,1,"ATL","mei","Nulo",0,2.76,-1.24,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,1,"ATL","mei","Provável",10.5,13.43,4.43,10.5,"Atlético-PR",NA,2,NA,3,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"82","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2018/03/01/8a057cef4a095e67d1314d0ff4bff05a_FORMATO.png",83528,1,"ATL","zag","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
