"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","GS","FS","SG","A","FC","FD","FF","G","I","PE","RB","CA","FT","CV","GC"
"20","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/02/28/3b06f379f46cdf143d31a7f24a24fb16_FORMATO.png",37899,3,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/03/25/8ca2b092c57c44412c4e76e7998e6a1a_FORMATO.png",37851,3,"GRE","mei","Nulo",1.4,3.47,-0.05,0.7,"Grêmio",NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"22","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,3,"BAH","gol","Nulo",0,3,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,3,"CRU","ata","Nulo",3.9,6.19,-0.35,2.7,"Cruzeiro",NA,NA,NA,NA,NA,1,NA,4,NA,NA,1,2,NA,NA,NA,NA
"24","Roger de Oliveira Bernardo","roger-bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,3,"ATL","mei","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,3,"SPO","zag","Nulo",0,6,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,3,"GRE","lat","Provável",0,11.58,0,7.1,"Grêmio",NA,NA,4,2,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"27","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/02/28/4302ba476c36ad1c1864dfef94d46485_FORMATO.png",37717,3,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/03/20/68ec2d32eb7682f94494c4ee2cc01766_FORMATO.png",37718,3,"ATL","mei","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,3,"PAL","gol","Nulo",0,12,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,3,"BOT","gol","Provável",-2.3,7.72,-4.28,-2.3,"Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"31","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,3,"COR","mei","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/03/20/dcf1263fda5e3c6b655a72d32ff0d6be_FORMATO.png",38162,3,"CRU","ata","Contundido",0,16,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,3,"GRE","mei","Provável",0,5.75,0,1.65,"Grêmio",NA,NA,2,NA,NA,2,1,NA,NA,NA,3,2,NA,NA,NA,NA
"34","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,3,"ATL","lat","Provável",7.6,5.99,1.75,2.6,"Atlético-MG",NA,NA,5,1,NA,4,NA,NA,NA,1,9,5,1,NA,NA,NA
"35","Roberto César Zardin Rodrigues","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/03/15/ca7cc92d303792c8407c8822f0463882_FORMATO.png",38178,3,"CEA","ata","Nulo",0.9,3.46,-0.16,0.53,"Ceará",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"36","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,3,"COR","mei","Dúvida",0,8.4,0,-0.1,"Corinthians",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"37","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,3,"CEA","ata","Provável",0,5,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/03/17/3d9ef83a1f78786f2014412ea6d66bc0_FORMATO.png",38506,3,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,3,"CRU","mei","Provável",0,7.49,0,-0.6,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"40","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,3,"FLA","gol","Provável",5.2,8.79,-0.92,3.15,"Flamengo",2,2,1,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"41","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,3,"CRU","mei","Provável",0,12.47,0,0.3,"Cruzeiro",NA,NA,1,NA,NA,NA,3,NA,NA,1,10,NA,NA,NA,NA,NA
"42","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/04/20/191fa97ef9fa9152ad4a8b2ed77e1eee_FORMATO.png",38287,3,"COR","ata","Dúvida",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/03/20/8bfba60975f0fbad8d9932b7f4fc39d1_FORMATO.png",38523,3,"CRU","lat","Contundido",0,9.23,0,0.4,"Cruzeiro",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"44","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,3,"CHA","ata","Provável",-1.2,11.24,-2.18,4.77,"Chapecoense",NA,NA,4,NA,NA,6,NA,4,2,4,3,2,2,NA,NA,NA
"45","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,3,"ATL","zag","Dúvida",0,10.99,0,7.7,"Atlético-PR",NA,NA,1,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"46","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,3,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Cleiton Ribeiro Xavier","cleiton-xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2018/03/21/485a73e753a7e5be5555ef9a052c93e3_FORMATO.png",38530,3,"VIT","mei","Nulo",0,5,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,3,"BAH","mei","Nulo",0,7,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/03/02/e9caaeeaca6f6814e4b5092423294e48_FORMATO.png",38311,3,"CHA","mei","Provável",1.9,2.33,-0.56,0.05,"Chapecoense",NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,2,1,NA,NA,NA
"50","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,3,"PAL","mei","Dúvida",-0.2,2.97,-0.46,-0.33,"Palmeiras",NA,NA,NA,NA,NA,5,NA,1,NA,NA,11,4,1,NA,NA,NA
"51","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/03/20/08e587e5b70fbd4605dddaf9aaae5281_FORMATO.png",38910,3,"ATL","ata","Provável",-3.4,5.05,-2.6,3.27,"Atlético-MG",NA,NA,4,NA,1,8,1,3,1,4,6,2,2,NA,NA,NA
"52","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/03/17/6d461d0451195bc6232d8e0dbd1cc5d8_FORMATO.png",38632,3,"AME","zag","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Elton Rodrigues Brandão","elton","Elton","https://s.glbimg.com/es/sde/f/2018/03/01/a62f2faea0d5716e80a1feefde3a97c2_FORMATO.png",38588,3,"CEA","ata","Nulo",0,4.8,0,-0.3,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"54","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/03/11/aa91f2ba09caaa98df783cd528f1955a_FORMATO.png",38913,3,"SAO","mei","Provável",-0.4,5.93,-1.23,1.2,"São Paulo",NA,NA,5,NA,NA,4,2,3,NA,NA,9,2,1,NA,NA,NA
"55","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,3,"BOT","mei","Nulo",0,4,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png",41218,3,"SPO","gol","Nulo",0,10,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,3,"FLA","mei","Contundido",5.7,9.73,-1.16,3.25,"Flamengo",NA,NA,10,NA,NA,5,NA,3,1,3,8,1,2,NA,NA,NA
"58","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,3,"AME","mei","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,3,"GRE","mei","Nulo",0,7,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,3,"SAN","mei","Nulo",0,9,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/04/13/3bf4e1d801d81cef3791617e2804b1e8_FORMATO.png",38957,3,"CRU","ata","Nulo",1.5,2.1,-0.31,0.5,"Cruzeiro",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"62","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,3,"GRE","lat","Contundido",-0.5,2.66,-1.34,-0.5,"Grêmio",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"63","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,3,"PAL","ata","Nulo",0,5.95,-0.83,0.77,"Palmeiras",NA,NA,2,NA,NA,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"64","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/03/20/e6c3059f14e524e15524f9afcdb72548_FORMATO.png",42145,3,"CRU","lat","Provável",0,7.85,0,0.4,"Cruzeiro",NA,NA,1,NA,NA,5,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"65","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,3,"COR","lat","Contundido",-0.3,11.7,-2.41,4.4,"Corinthians",NA,NA,1,1,1,3,NA,NA,NA,NA,11,5,NA,NA,NA,NA
"66","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,3,"GRE","tec","Provável",1.35,13.31,-1.44,4.37,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,3,"ATL","mei","Provável",2,8.61,-0.83,3.85,"Atlético-PR",NA,NA,4,NA,NA,NA,1,3,NA,NA,8,3,NA,NA,NA,NA
"68","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,3,"FLA","zag","Nulo",0,9,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/03/19/dbcf7ccb715fd30000de63618da5c89b_FORMATO.png",42234,3,"COR","gol","Provável",3.7,10.82,-0.66,5.13,"Corinthians",5,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"70","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,3,"SPO","zag","Provável",-0.9,3.28,-0.86,-0.23,"Sport",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"71","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,3,"SAO","lat","Nulo",0,4,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,3,"CHA","mei","Provável",5.5,5.09,1.36,2.1,"Chapecoense",NA,NA,1,NA,NA,4,NA,1,NA,NA,5,7,1,NA,NA,NA
"73","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/01/21/b7eff1a065e603cf19f456fc255eb017_FORMATO.png",49673,3,"FLU","gol","Provável",1,2.55,-0.44,0.8,"Fluminense",2,3,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"74","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/04/09/258482949eb7622bf48b8c8e13189cae_FORMATO.png",49674,3,"VAS","lat","Nulo",0,5,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/04/18/3aa32aba35593f61c8aaae97221cac73_FORMATO.png",50301,3,"SAO","mei","Provável",6.2,9.13,0.86,2.9,"São Paulo",NA,NA,3,NA,NA,2,1,1,NA,NA,4,3,NA,NA,NA,NA
"76","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/03/02/d21178976a5547f864a98aa5cdd36dc9_FORMATO.png",50313,3,"CHA","mei","Provável",2.8,3.77,0.46,1.15,"Chapecoense",NA,NA,3,NA,NA,5,NA,1,NA,NA,NA,3,1,NA,NA,NA
"77","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2017/05/02/7e17e0feab3ee583c5049f63df2c2771_FORMATO.png",50317,3,"SAN","zag","Dúvida",0,10.38,0,2.75,"Santos",NA,NA,2,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA
"78","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/03/01/e1d42c19d15d02974d5cd40ea90fe86c_FORMATO.png",60825,3,"CEA","ata","Provável",2,4.91,-0.18,1.43,"Ceará",NA,NA,2,NA,NA,3,1,NA,NA,NA,13,5,NA,NA,NA,NA
"79","Jael Ferreira Vieira","jael","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_FORMATO.png",60859,3,"GRE","ata","Dúvida",0,3.39,0,-0.3,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"80","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/03/17/1f23eed160c1e8ba9d4402d6859d4e72_FORMATO.png",60834,3,"AME","ata","Nulo",3.4,12.04,-0.06,4.83,"América-MG",NA,NA,4,NA,1,3,1,2,NA,1,6,7,1,NA,NA,NA
"81","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/04/21/4249cbc8bcef3e288002bf3d095bc6a5_FORMATO.png",60969,3,"ATL","lat","Provável",10.5,5.5,3.1,2.93,"Atlético-MG",NA,NA,1,1,1,7,NA,1,NA,1,15,4,NA,NA,NA,NA
