"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","FD","FF","FT","A","GC","I","DD","GS","PP","DP","CV"
"18","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,23,"COR","mei","Provável",2.2,7.18,0.29,1.43,"Corinthians",1,3,2,NA,6,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,23,"CRU","ata","Provável",1.7,7.73,-1.17,4.55,"Cruzeiro",2,6,15,2,16,11,NA,5,13,2,1,NA,2,NA,NA,NA,NA,NA
"20","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,23,"SPO","zag","Provável",1.2,5.43,-0.54,4,"Sport",NA,3,4,NA,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,23,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,NA,1,NA,7,NA,2,NA,NA,NA,1,NA,NA,16,16,NA,NA,NA
"22","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,23,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,23,"CRU","ata","Nulo",0,16,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,23,"COR","ata","Provável",9.2,6.07,2,1.67,"Corinthians",1,29,12,3,13,3,NA,2,11,1,NA,NA,10,NA,NA,NA,NA,NA
"25","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,23,"CHA","mei","Provável",5.6,4.91,0.46,2.46,"Chapecoense",2,19,23,NA,40,39,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,23,"PAL","gol","Dúvida",2.7,9.75,-2.25,2.7,"Palmeiras",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,23,"CRU","mei","Nulo",1.2,8.9,0.41,2.06,"Cruzeiro",2,11,17,1,51,12,NA,16,12,NA,NA,NA,7,NA,NA,NA,NA,NA
"28","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,23,"COR","mei","Provável",5.2,7.95,-0.5,3.13,"Corinthians",NA,8,4,2,37,3,NA,3,6,1,5,NA,NA,NA,NA,NA,NA,NA
"29","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,23,"ATL","lat","Provável",5.7,6.73,-0.35,2.91,"Atlético-MG",4,19,26,2,47,18,6,1,3,NA,NA,NA,5,NA,NA,NA,NA,NA
"30","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,23,"CHA","ata","Nulo",0,9.16,0,2.59,"Chapecoense",7,40,27,4,34,10,NA,2,21,NA,2,NA,8,NA,NA,NA,NA,NA
"31","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/08/14/452ba81de55e40e0d4dd5782c12f3bb0_FORMATO.png",38505,23,"VAS","zag","Nulo",0,7.28,0,0.45,"Vasco",NA,2,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,23,"CRU","mei","Provável",2.2,7.22,0.13,2.34,"Cruzeiro",NA,12,31,NA,24,15,NA,4,3,NA,1,NA,4,NA,NA,NA,NA,NA
"33","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,23,"ATL","zag","Nulo",0,8.87,0,3.02,"Atlético-PR",1,13,8,1,11,9,3,1,3,1,NA,1,NA,NA,NA,NA,NA,NA
"34","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,23,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,23,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,23,"CEA","ata","Contundido",0,3.67,0,0.93,"Ceará",NA,6,10,NA,7,4,NA,2,2,NA,NA,NA,5,NA,NA,NA,NA,NA
"37","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,23,"GRE","mei","Dúvida",0,7.44,0,3.24,"Grêmio",3,18,11,3,46,22,NA,2,4,NA,2,NA,NA,NA,NA,1,NA,NA
"38","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,23,"FLA","gol","Provável",-1.3,11.48,-0.47,4.47,"Flamengo",2,NA,6,NA,26,NA,10,NA,NA,NA,NA,NA,NA,23,14,NA,1,NA
"39","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,23,"PAL","mei","Provável",-1.6,2.64,-1.76,1.33,"Palmeiras",8,27,7,NA,32,28,NA,1,6,1,1,NA,1,NA,NA,NA,NA,NA
"40","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,23,"AME","zag","Suspenso",0.7,5.79,-0.18,2.61,"América-MG",3,18,8,NA,21,23,6,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"41","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,23,"FLA","zag","Provável",0,15.19,0,5.87,"Flamengo",NA,5,14,2,5,12,6,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,23,"SPO","ata","Nulo",1.2,3.81,0.22,2.02,"Sport",1,13,15,1,21,11,NA,9,8,NA,1,NA,6,NA,NA,NA,NA,NA
"43","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,23,"SAO","mei","Provável",-0.3,9.99,-0.68,4.8,"São Paulo",6,20,45,8,71,15,NA,8,14,2,2,NA,3,NA,NA,NA,NA,NA
"44","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,23,"AME","mei","Dúvida",0.9,2.38,-0.04,0.73,"América-MG",NA,3,NA,NA,8,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,23,"CRU","lat","Nulo",4.6,7.47,0.14,2.35,"Cruzeiro",7,11,8,1,34,12,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,23,"BOT","mei","Nulo",0,2.32,0,-1.25,"Botafogo",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,23,"SPO","gol","Provável",1.7,7.07,-1.43,1.68,"Sport",4,1,1,NA,9,NA,3,NA,NA,NA,NA,NA,NA,27,31,NA,1,NA
"48","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,23,"ATL","ata","Provável",4.8,12.39,0.56,6.36,"Atlético-MG",2,32,25,9,34,9,NA,22,22,2,6,NA,16,NA,NA,NA,NA,NA
"49","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,23,"PAL","ata","Nulo",9.4,12.81,1.37,6.14,"Palmeiras",2,36,25,8,14,19,NA,11,11,3,2,NA,6,NA,NA,NA,NA,NA
"50","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,23,"SAN","mei","Contundido",0,6.43,0,1.66,"Santos",1,4,9,1,18,7,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"51","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,23,"FLA","mei","Provável",0,9.89,0,4.58,"Flamengo",6,28,55,4,68,26,NA,5,14,1,1,NA,8,NA,NA,NA,NA,NA
"52","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,23,"VIT","tec","Provável",4.14,8.66,0.02,3.94,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,23,"AME","tec","Provável",3.99,9.36,0.36,3.73,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,23,"CRU","lat","Provável",0,11.73,0,5.64,"Cruzeiro",2,19,17,NA,53,45,6,1,6,NA,1,NA,6,NA,NA,NA,NA,NA
"55","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,23,"COR","ata","Nulo",0,6.09,0,3.16,"Corinthians",NA,5,4,1,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,23,"GRE","tec","Provável",5.68,15.44,-0.3,4.99,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,23,"CHA","mei","Provável",0,4.26,0,1.72,"Chapecoense",1,20,5,NA,15,21,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"58","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,23,"COR","gol","Provável",0,11.43,0,5.06,"Corinthians",3,1,1,NA,9,1,6,NA,NA,NA,NA,NA,NA,21,10,NA,NA,NA
"59","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,23,"COR","lat","Nulo",0,11.21,0,4.11,"Corinthians",3,12,13,NA,45,19,4,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"60","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,23,"ATL","lat","Provável",0.5,4.45,-0.05,0,"Atlético-PR",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,23,"SAN","tec","Provável",4.66,10.64,-0.19,5.05,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,23,"PAL","tec","Provável",6.66,14.45,0.78,6.31,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,23,"PAL","zag","Nulo",6,6.15,0.75,1.62,"Palmeiras",3,10,12,NA,8,11,4,1,1,1,NA,1,3,NA,NA,NA,NA,1
"64","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,23,"BAH","lat","Nulo",0,3.37,0,1.22,"Bahia",1,13,8,NA,19,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,23,"SPO","zag","Provável",0,4.04,-0.76,1.6,"Sport",3,11,7,NA,12,14,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,23,"FLA","zag","Nulo",-0.3,6.81,-0.17,2.89,"Flamengo",NA,2,2,NA,7,8,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1
"67","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,23,"BAH","mei","Nulo",0,5.32,0,-0.5,"Bahia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/1f9835d5fb38d7e164ba9852c6be3209_FORMATO.png",60834,23,"AME","ata","Dúvida",3.6,9.66,0.09,3.24,"América-MG",3,21,28,1,26,16,NA,1,10,NA,3,NA,4,NA,NA,NA,NA,1
"69","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,23,"GRE","mei","Nulo",0,4.98,0,0.92,"Grêmio",1,7,5,1,31,1,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"70","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,23,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,23,"SAO","zag","Provável",0.9,7.67,1.02,3.82,"São Paulo",4,18,6,1,22,29,5,3,5,NA,NA,1,NA,NA,NA,NA,NA,1
"72","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,23,"AME","ata","Dúvida",0,8.29,0,2.63,"América-MG",3,30,13,5,28,4,NA,8,8,NA,2,NA,4,NA,NA,NA,NA,1
"73","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,23,"BOT","lat","Nulo",0,3.36,0,2,"Botafogo",NA,3,1,NA,15,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,23,"FLU","gol","Provável",8.5,6.41,0.94,3.1,"Fluminense",1,NA,4,NA,14,1,7,NA,NA,NA,NA,NA,NA,31,27,NA,NA,NA
"75","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,23,"CRU","gol","Provável",6.7,10.9,-0.43,3.51,"Cruzeiro",NA,NA,1,NA,8,NA,6,NA,NA,NA,NA,NA,NA,23,17,NA,1,NA
"76","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,23,"ATL","gol","Provável",14,12.43,2.82,3.35,"Atlético-MG",2,NA,2,NA,17,NA,6,NA,NA,NA,NA,NA,NA,37,28,NA,NA,NA
"77","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,23,"BOT","lat","Nulo",0,7.84,0,3.59,"Botafogo",4,14,24,1,32,20,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,23,"ATL","mei","Provável",0,5.94,0,2.42,"Atlético-MG",6,21,16,2,32,21,NA,3,8,NA,3,NA,5,NA,NA,NA,NA,NA
"79","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,23,"AME","ata","Nulo",0,5.63,0,1.43,"América-MG",1,6,10,1,33,6,NA,3,2,1,1,NA,1,NA,NA,NA,NA,NA
"80","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,23,"CRU","zag","Nulo",0,11.2,0,5.58,"Cruzeiro",4,17,15,2,30,34,6,5,6,NA,NA,NA,1,NA,NA,NA,NA,NA
