"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","CA","FT","G","I","SG","GC","DD","GS","CV","PP","DP"
"14","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,35,"PAL","gol","Nulo",0,9.55,0,1.7,"Palmeiras",NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA
"15","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,35,"CRU","ata","Dúvida",0,12.86,0,3.45,"Cruzeiro",6,NA,1,7,5,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"16","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,35,"CRU","mei","Provável",-1.4,8.45,-1.12,2.64,"Cruzeiro",17,19,15,25,63,15,NA,2,NA,3,9,NA,NA,NA,NA,NA,NA,NA
"17","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,35,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,35,"ATL","lat","Suspenso",1.5,6.66,-2.71,3.33,"Atlético-MG",37,2,6,44,74,32,1,6,NA,4,5,10,NA,NA,NA,1,1,NA
"19","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,35,"GRE","mei","Dúvida",0,7.51,0,3.01,"Grêmio",21,3,4,16,59,33,2,3,NA,3,NA,NA,NA,NA,NA,NA,1,NA
"20","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,35,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",8,NA,2,6,10,7,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA
"21","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,35,"BOT","gol","Nulo",0,8.15,0,2.46,"Botafogo",NA,NA,NA,1,7,NA,1,NA,NA,NA,NA,2,NA,16,16,NA,NA,NA
"22","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,35,"ATL","zag","Provável",0,8.63,0,3.39,"Atlético-PR",22,1,5,15,17,13,NA,2,1,2,NA,7,1,NA,NA,NA,NA,NA
"23","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,35,"CHA","ata","Provável",1.4,8.94,-0.39,2.57,"Chapecoense",47,5,25,33,48,12,2,7,NA,5,9,NA,NA,NA,NA,NA,NA,NA
"24","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,35,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",NA,NA,NA,3,5,NA,NA,1,NA,NA,NA,4,NA,10,11,NA,NA,NA
"25","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,35,"COR","ata","Nulo",-1.3,4.28,-0.23,1.36,"Corinthians",40,4,14,18,16,4,NA,3,1,4,14,NA,NA,NA,NA,NA,NA,NA
"26","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,35,"CHA","mei","Provável",3.8,4.48,1.13,2.07,"Chapecoense",27,2,3,28,49,46,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,35,"COR","mei","Provável",-2.3,6.65,-0.24,2.56,"Corinthians",13,7,9,11,73,5,5,1,1,4,4,NA,NA,NA,NA,NA,NA,NA
"28","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,35,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"29","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,35,"VAS","zag","Provável",-1,5.69,-0.53,1.18,"Vasco",13,1,1,8,10,13,NA,4,NA,NA,NA,2,NA,NA,NA,1,NA,NA
"30","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,35,"CRU","mei","Nulo",0,7.1,0,2.42,"Cruzeiro",13,4,3,40,27,17,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"31","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,35,"PAL","mei","Dúvida",10.8,5.23,0.66,2.26,"Palmeiras",39,1,10,23,52,49,1,12,1,2,1,NA,NA,NA,NA,NA,NA,NA
"32","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,35,"CEA","ata","Nulo",1.2,3.17,0.2,0.64,"Ceará",6,3,2,10,10,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"33","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,35,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,35,"GRE","mei","Nulo",-0.8,4.72,-0.06,1.04,"Grêmio",9,4,3,13,54,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"35","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,35,"SAN","mei","Nulo",1.2,5.84,0.17,1.12,"Santos",5,2,2,11,20,8,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"36","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,35,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",NA,NA,NA,7,28,NA,NA,2,NA,NA,NA,11,NA,29,16,NA,NA,1
"37","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,35,"BAH","mei","Provável",-1.7,4.88,-1.53,1.9,"Bahia",16,2,5,6,11,8,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"38","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,35,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",5,NA,2,1,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,35,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",1,NA,NA,3,14,NA,NA,4,NA,NA,NA,4,NA,38,42,NA,NA,2
"40","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,35,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",8,2,5,4,8,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"41","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,35,"GRE","tec","Provável",7.59,15.96,0.84,4.85,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,35,"FLA","mei","Provável",0,9.24,0,3.95,"Flamengo",34,7,20,74,82,30,2,9,1,5,8,NA,NA,NA,NA,1,NA,NA
"43","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,35,"PAL","ata","Provável",-0.6,11.26,-1.13,5.01,"Palmeiras",43,17,18,31,29,28,3,2,3,9,7,NA,NA,NA,NA,NA,NA,NA
"44","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,35,"CRU","lat","Provável",0.8,9.88,-1.59,4.56,"Cruzeiro",30,2,7,26,90,62,1,4,NA,NA,8,9,1,NA,NA,NA,NA,NA
"45","Levir Culpi","levir-culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2018/10/19/ae6ff45c9b9c188b0c6fb42f4573451d_FORMATO.png",40025,35,"ATL","tec","Provável",6.31,10.29,0.51,3.22,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,35,"FLA","tec","Provável",6.58,15.88,0.27,5.9,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,35,"BAH","lat","Provável",-1.4,3.34,-1.14,2.55,"Bahia",22,1,1,13,36,19,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"48","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,35,"COR","lat","Provável",10.1,11.48,1.44,4.23,"Corinthians",17,2,3,20,70,33,4,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"49","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,35,"PAL","tec","Provável",3.85,14.58,-0.39,5.2,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,35,"CHA","mei","Provável",0,3.55,0,1.6,"Chapecoense",33,3,5,10,19,33,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"51","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,35,"ATL","lat","Nulo",2,4.54,0.23,1.19,"Atlético-PR",6,NA,NA,8,10,7,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"52","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,35,"FLA","zag","Nulo",5,7.46,-0.14,3.52,"Flamengo",2,NA,1,2,7,9,NA,NA,NA,NA,1,5,NA,NA,NA,1,NA,NA
"53","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,35,"SPO","zag","Nulo",2.7,5.14,-1.11,2.46,"Sport",13,3,1,14,29,29,NA,4,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"54","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,35,"COR","gol","Provável",8.5,10.96,0.5,3.38,"Corinthians",1,NA,NA,2,13,1,NA,3,NA,NA,NA,8,NA,31,22,NA,NA,NA
"55","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,35,"VAS","lat","Nulo",0,4.72,0,3.41,"Vasco",8,5,5,10,26,6,1,2,NA,1,1,2,NA,NA,NA,NA,NA,NA
"56","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,35,"FLU","gol","Provável",11,7.43,1.84,3.25,"Fluminense",1,NA,NA,9,17,1,NA,2,NA,NA,NA,12,NA,44,39,NA,NA,NA
"57","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,35,"SAO","mei","Provável",1.8,10.04,0.17,3.66,"São Paulo",30,6,8,48,63,17,6,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA
"58","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,35,"CEA","ata","Provável",0.3,4.93,-0.67,2.11,"Ceará",22,9,9,27,45,18,3,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"59","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,35,"SAN","tec","Provável",1.75,10.83,0.2,4.1,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,35,"ATL","mei","Provável",-0.6,5.91,-0.09,2.73,"Atlético-MG",33,NA,5,28,36,52,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,35,"ATL","mei","Contundido",0,6.8,0,1.68,"Atlético-PR",18,3,8,19,35,7,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"62","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,35,"CRU","lat","Provável",0.7,6.7,0.17,2.12,"Cruzeiro",21,2,6,12,46,18,1,10,NA,1,NA,5,NA,NA,NA,NA,NA,NA
"63","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,35,"AME","zag","Provável",0.7,6.08,0.05,2.6,"América-MG",30,2,3,15,34,39,NA,3,NA,NA,2,8,NA,NA,NA,NA,NA,NA
"64","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,35,"FLU","ata","Nulo",0,3.13,0,0.27,"Fluminense",18,7,4,1,10,6,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"65","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,35,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",5,NA,NA,4,9,6,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"66","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,35,"GRE","lat","Dúvida",2.5,3.31,0.19,2.2,"Grêmio",22,NA,1,9,19,17,NA,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA
"67","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,35,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,35,"VIT","lat","Nulo",0,6.5,0,2.72,"Vitória",3,NA,2,8,11,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"69","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,35,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,35,"AME","mei","Nulo",0,3.44,0,1.7,"América-MG",25,11,5,14,47,24,NA,4,NA,2,5,NA,NA,NA,NA,NA,NA,NA
"71","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,35,"AME","mei","Nulo",0,1.14,0,0.09,"América-MG",19,2,4,15,23,9,1,3,1,NA,1,NA,NA,NA,NA,2,NA,NA
"72","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,35,"CRU","zag","Provável",2.2,7.9,-0.38,2.59,"Cruzeiro",28,1,5,5,15,29,NA,2,NA,NA,2,9,NA,NA,NA,NA,NA,NA
"73","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,35,"CHA","lat","Provável",2.1,6.58,0.32,3.33,"Chapecoense",37,2,5,26,74,46,3,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"74","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,35,"CHA","mei","Nulo",1.5,6.05,0.12,3.3,"Chapecoense",33,5,8,41,34,40,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"75","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,35,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",2,NA,2,6,8,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"76","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,35,"CEA","mei","Nulo",0,3.59,0,0.54,"Ceará",6,NA,1,8,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,35,"COR","zag","Provável",6.2,9.93,0.69,2.7,"Corinthians",20,1,8,16,21,20,NA,4,NA,2,1,10,NA,NA,NA,NA,NA,NA
"78","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,35,"AME","mei","Dúvida",0,1.54,0,0.45,"América-MG",34,3,4,20,64,33,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"79","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,35,"SAO","mei","Provável",4.8,9.93,0.29,3.93,"São Paulo",59,7,20,37,38,83,NA,9,NA,1,4,NA,NA,NA,NA,NA,NA,NA
"80","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,35,"COR","gol","Nulo",0,7.17,0,4.59,"Corinthians",NA,NA,NA,2,2,1,NA,1,NA,NA,NA,3,NA,23,11,NA,NA,NA
