"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","FT","G","I","RB","A","PE","CA","SG","DD","GS","GC","CV"
"11","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,2,"ATL","mei","Provável",-0.3,6.53,-2.49,0.4,"Atlético-MG",NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA
"12","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2018/03/20/c125fa08820e1bbf4a2640e7108b05d2_FORMATO.png",61033,2,"COR","mei","Provável",15.9,27.59,4.51,16.2,"Corinthians",1,NA,1,5,NA,3,NA,2,1,8,NA,NA,NA,NA,NA,NA
"13","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/04/21/4249cbc8bcef3e288002bf3d095bc6a5_FORMATO.png",60969,2,"ATL","lat","Provável",-0.9,2.4,-1.87,-0.85,"Atlético-MG",5,NA,NA,1,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA
"14","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_FORMATO.png",63219,2,"ATL","ata","Provável",4.6,14.32,1.16,7.85,"Atlético-MG",3,1,NA,NA,NA,NA,1,12,NA,5,NA,NA,NA,NA,NA,NA
"15","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,2,"ATL","zag","Dúvida",0,12,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/03/20/e5e73b264ec674ff095855be3bf9a152_FORMATO.png",73384,2,"ATL","lat","Nulo",0,5,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Matheus Mancini","matheus-mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2018/03/20/dd0c5ad4abc814c32be74d84ab8a1610_FORMATO.png",80124,2,"ATL","zag","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Giovanni Aparecido Adriano dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,2,"ATL","gol","Nulo",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,2,"ATL","gol","Provável",1,10.35,-2.12,2.55,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,3,NA,NA
"20","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png",81682,2,"ATL","mei","Dúvida",0,11.09,0,5.1,"Atlético-MG",1,2,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"21","Clayton Silveira da Silva","clayton","Clayton","https://s.glbimg.com/es/sde/f/2017/08/25/b1bd13510c1d64d8d7f7058a48c1acdb_FORMATO.png",81770,2,"ATL","ata","Contundido",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/03/17/0dc321c764f4ca32447947b34c86167f_FORMATO.png",60788,2,"AME","ata","Provável",0.8,5.26,-1.74,0.8,"América-MG",NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA
"23","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/03/17/1f23eed160c1e8ba9d4402d6859d4e72_FORMATO.png",60834,2,"AME","ata","Nulo",-0.6,12.1,-0.78,5.55,"América-MG",3,1,2,2,NA,NA,1,5,1,4,1,NA,NA,NA,NA,NA
"24","Fernando Rodrigues Caixeta Barbosa","fernando","Fernando","https://s.glbimg.com/es/sde/f/2017/04/25/81f091bd3dc3451dde264b3a655fe002_FORMATO.png",97543,2,"ATL","gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Giovanni Palmieri dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/03/20/9553c277fb201f9f309befb27b0c4841_FORMATO.png",72097,2,"AME","lat","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2018/03/17/4a6e561bbf1123eb516161678dea131e_FORMATO.png",62137,2,"AME","tec","Provável",1.95,9.97,0.98,6,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Renan Henrique Oliveira Vieira","renan-oliveira","Renan Oliveira","https://s.glbimg.com/es/sde/f/2018/03/17/5d1966ddb337e155bf00b90eb080a388_FORMATO.png",60822,2,"AME","mei","Nulo",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2016/04/26/3d46e04733571b02d6699820588895f2_FORMATO.png",82758,2,"ATL","ata","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/03/17/5ecf7c4819b775697ebc381145f01283_FORMATO.png",63194,2,"AME","lat","Provável",-0.1,14.56,0.16,7.9,"América-MG",3,2,1,2,NA,1,1,1,NA,3,NA,1,NA,NA,NA,NA
"30","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/03/17/da3cd31850e8d5668e2a014fbe7847c3_FORMATO.png",50421,2,"AME","mei","Dúvida",0,3.1,0,-0.5,"América-MG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Norberto Pereira Marinho Neto","norberto","Norberto ","https://s.glbimg.com/es/sde/f/2018/03/17/05b05b9b4b348f4aef923ec2152f275e_FORMATO.png",80374,2,"AME","lat","Provável",3.4,11.24,1.66,7.15,"América-MG",1,NA,NA,1,NA,NA,NA,7,NA,4,NA,1,NA,NA,NA,NA
"32","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/03/20/080ee1951f38a0381e5eccc11b1256cb_FORMATO.png",89226,2,"ATL","zag","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Lucas Cândido Silva","lucas-candido","Lucas Cândido","https://s.glbimg.com/es/sde/f/2017/04/03/3ce5d2322ae49cd21e272911d9992c4a_FORMATO.png",84851,2,"ATL","mei","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Erik Nascimento Lima","erik","Erik","https://s.glbimg.com/es/sde/f/2018/03/20/09a462d5c0759d7a0970b83c37640c63_FORMATO.png",84848,2,"ATL","ata","Nulo",-2.1,2.5,-2.32,-1.05,"Atlético-MG",2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"35","Carlos Alberto Carvalho da Silva Júnior","carlos","Carlos","https://s.glbimg.com/es/sde/f/2018/04/20/e4df417626fe465bd2a41d300e43856f_FORMATO.png",85027,2,"PAR","ata","Provável",4,4.5,0.5,4,"Paraná",NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"36","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,2,"ATL","gol","Contundido",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Róger Krug Guedes","roger-guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2018/03/20/75c54272e675d64530aeb9cb60976572_FORMATO.png",89898,2,"ATL","ata","Dúvida",11,7.81,3.19,5.35,"Atlético-MG",2,NA,1,4,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"38","Yago Henrique Severino dos Santos","yago","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,2,"ATL","mei","Nulo",0,0.69,0,-3,"Atlético-MG",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","Michael Matias Fracaro","michael","Michael","https://s.glbimg.com/es/sde/f/2018/03/20/66c49b9d55088a1305db28a505d4ec16_FORMATO.png",93659,2,"ATL","gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_FORMATO.png",87393,2,"ATL","zag","Provável",-3.6,3.91,-4.01,-2.05,"Atlético-MG",3,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA
"41","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2017/07/04/bdab16330aca79897bf4fa25fd8d7eaf_FORMATO.jpeg",91191,2,"ATL","mei","Nulo",6.7,16.08,3.4,11.05,"Atlético-MG",6,3,NA,1,1,NA,1,7,2,NA,1,NA,NA,NA,NA,NA
"42","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2017/04/03/ef54b93128f4d412c55c7cd27c83323b_FORMATO.png",93882,2,"ATL","gol","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Marco Túlio Oliveira Lemos","marco-tulio","Marco Túlio","https://s.glbimg.com/es/sde/f/2017/05/04/41bd7f91d7b18b2b10bf42c51a52305f_FORMATO.png",97546,2,"ATL","ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2018/03/17/138010c4f380e27d9122f984627b1769_FORMATO.png",88423,2,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2018/03/17/8f235fbb0170bc112cf17a2bfaa54499_FORMATO.png",81881,2,"AME","gol","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Aylon Darwin Tavella","aylon","Aylon","https://s.glbimg.com/es/sde/f/2018/03/17/126e634285cb02ea065c51098e6404cc_FORMATO.png",85930,2,"AME","ata","Provável",3.8,8.42,0.77,4.45,"América-MG",4,NA,4,4,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"47","Adilson dos Anjos Oliveira","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/03/17/5ac7a1ff64724f5d36e60c546485f596_FORMATO.png",82381,2,"AME","mei","Dúvida",6.8,6.8,2.25,4.7,"América-MG",3,NA,1,4,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,NA
"48","Glauco Tadeu Chaves","glauco","Glauco","https://s.glbimg.com/es/sde/f/2018/03/17/e3246102469114723b041fe2dddac1df_FORMATO.png",84555,2,"AME","gol","Nulo",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Ruy Franco de Almeida Junior","ruy","Ruy","https://s.glbimg.com/es/sde/f/2018/03/17/e5c923c2884a22666c9fa588105d9986_FORMATO.png",82939,2,"AME","mei","Nulo",0,6,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Matheus de Sales Cabral","matheus-sales","Matheus Sales","https://s.glbimg.com/es/sde/f/2018/03/17/81a3b34ce58a1c6a8f39c4874d7dbeeb_FORMATO.png",89285,2,"AME","mei","Nulo",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Messias Rodrigues da Silva Júnior","messias","Messias","https://s.glbimg.com/es/sde/f/2018/03/17/16371bd074e975b7918c2095443865e4_FORMATO.png",87402,2,"AME","zag","Provável",-1.3,8.75,-0.62,4.15,"América-MG",4,NA,NA,1,NA,NA,NA,4,NA,4,NA,1,NA,NA,NA,NA
"52","Sergio Antonio Soler de Oliveira Junior","serginho","Serginho","https://s.glbimg.com/es/sde/f/2018/03/17/144f983307b6cb40ec9b7a49fd811847_FORMATO.png",88002,2,"AME","mei","Provável",3.6,17.66,1.88,10.75,"América-MG",2,1,2,3,NA,2,1,3,NA,6,NA,NA,NA,NA,NA,NA
"53","Christian Sávio Machado","christian","Christian","https://s.glbimg.com/es/sde/f/2018/03/17/e7a3738a75711b491c5f2a18065022d3_FORMATO.png",91928,2,"AME","mei","Nulo",3.7,11.21,1.77,7.2,"América-MG",2,1,2,6,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA
"54","Michel Araújo Silvestre","michel","Michel","https://s.glbimg.com/es/sde/f/2018/03/17/5788bdb5cfd83c4c9780b6b1a2eabac2_FORMATO.png",92692,2,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,2,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Matheus Leonardo Sales Cardoso","matheusinho","Matheusinho","https://s.glbimg.com/es/sde/f/2018/03/17/74df7b312fb6197007e06d6add443fce_FORMATO.png",93886,2,"AME","mei","Contundido",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Joriwinnyson Santos dos Anjos Rodrigues","jori","Jori","https://s.glbimg.com/es/sde/f/2018/03/17/3e91835be601e74dbfb5f06e1dc35442_FORMATO.png",97453,2,"AME","gol","Provável",-1,10.56,0.43,6.35,"América-MG",1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,4,2,NA,NA
"58","José Ricardo Barbosa Ribeiro Drumond","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2018/03/17/c4fa59125c92192d3b9cc8e4f1f83c48_FORMATO.png",97317,2,"AME","mei","Nulo",0,0.96,0,0.4,"América-MG",1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"59","Matheus Santos Soares","matheus-santos","Matheus Santos","https://s.glbimg.com/es/sde/f/2018/04/20/525b5ef98743f625b14f357d0cd22981_FORMATO.png",101725,2,"AME","ata","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2017/04/23/3b471798626f6a04ef3427efb99d1c23_FORMATO.png",71479,2,"ATL","mei","Provável",0.3,5.75,-2.25,0.3,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA
"61","Erick Martins Ferreira Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2018/03/17/163ac85e9dc1f71fac933404aeee8acf_FORMATO.png",97930,2,"AME","gol","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","João Victor da Vitória Fernandes","capixaba","Capixaba","https://s.glbimg.com/es/sde/f/2018/03/17/31d6a62e8d0c4154c043891811345219_FORMATO.png",94894,2,"AME","ata","Nulo",-0.5,2.6,-1.4,-0.5,"América-MG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/03/20/68ec2d32eb7682f94494c4ee2cc01766_FORMATO.png",37718,2,"ATL","mei","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Ronaldo dos Santos Ramos Filho","ronaldo","Ronaldo",NA,102336,2,"AME","lat","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Roger de Oliveira Bernardo","roger-bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,2,"ATL","mei","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,2,"ATL","lat","Provável",2.2,4.24,-1.27,0.1,"Atlético-MG",3,NA,NA,3,NA,NA,1,3,NA,6,1,NA,NA,NA,NA,NA
"67","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2018/03/01/2ef9cc100ce47aba30588d47885223ec_FORMATO.png",73446,2,"ATL","ata","Nulo",-0.3,9.5,-0.42,4.55,"Atlético-PR",1,NA,NA,NA,NA,1,1,2,NA,3,NA,NA,NA,NA,NA,NA
"68","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,2,"ATL","gol","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2018/03/01/744e7ddbce3e389aa300edd8ce854afc_FORMATO.png",72391,2,"ATL","tec","Provável",3.45,9.55,0.75,5.11,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2018/03/01/8a057cef4a095e67d1314d0ff4bff05a_FORMATO.png",83528,2,"ATL","zag","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Gustavo Cascardo de Assis","cascardo","Cascardo","https://s.glbimg.com/es/sde/f/2018/03/01/7cd306c8774f6e52b5c693cc87fb2102_FORMATO.png",90587,2,"ATL","lat","Nulo",0,4,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,2,"ATL","zag","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Felipe Gedoz da Conceição","felipe-gedoz","Felipe Gedoz ","https://s.glbimg.com/es/sde/f/2017/04/23/b22d35fda6b1ebe5b12170bfaf1dced7_FORMATO.png",87864,2,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74"," João Pedro Heinen Silva","joao-pedro","João Pedro","https://s.glbimg.com/es/sde/f/2018/03/07/49b3de820bb1df66e8d548184e778c61_FORMATO.png",91687,2,"ATL","mei","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Esteban Andrés Pavez Suazo","pavez","Pavez","https://s.glbimg.com/es/sde/f/2018/03/01/f06d28d32ef04ad8803fc57fe0d565e7_FORMATO.png",90959,2,"ATL","mei","Provável",2.9,6.07,-0.06,2.4,"Atlético-PR",NA,NA,NA,3,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA
"76","Alex Sandro dos Santos Apolinario","alex","Alex","https://s.glbimg.com/es/sde/f/2018/03/07/8f55ff4c573775308cf191836e107b8d_FORMATO.png",90535,2,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Lucas Ribamar Lopes dos Santos Bibiano","ribamar","Ribamar","https://s.glbimg.com/es/sde/f/2017/07/20/6894ec593555b4c947a6ced0d1bf01c4_FORMATO.png",94068,2,"ATL","ata","Nulo",0,6.13,0,2.9,"Atlético-PR",1,NA,4,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"78","Diego Ferreira Matheus","diego","Diego","https://s.glbimg.com/es/sde/f/2018/03/01/5e300b254076f90bc73404c25d77cce8_FORMATO.png",91783,2,"ATL","lat","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2018/03/01/b984cfe3c5aef05cca4e8856a06ad317_FORMATO.png",91866,2,"ATL","zag","Nulo",5,1.58,0.89,0.7,"Atlético-PR",3,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA
"80","Giovanny Bariani Marques","giovanny","Giovanny ","https://s.glbimg.com/es/sde/f/2018/03/01/72a50af56d0244ff54802620b95b68a1_FORMATO.png",92085,2,"ATL","ata","Nulo",0,4,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2018/03/07/0c571fd2c2f974277fdbcf85ac2dcc80_FORMATO.png",94509,2,"ATL","mei","Nulo",0,7.58,0,5,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"82","Yago César da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/01/a4d69d7c3ed40ed788345efb2666cd7c_FORMATO.png",95126,2,"ATL","ata","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
