"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","I","PE","RB","SG","CV","DD","GS","PP","GC","DP"
"39","Patrick William Sá de Oliveira","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/05/25/a1c5d2208ca42adb18c95300079de72e_FORMATO.png",99595,38,"CEA","zag","Nulo",0,1.12,0,-0.3,"Ceará",NA,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"40","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg",100830,38,"GRE","gol","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Bruno Cosendey Lobo Pinto","bruno-cosendey","Bruno Cosendey","https://s.glbimg.com/es/sde/f/2018/09/27/fa6ad7ea560f7cfd705eed2799c9c148_FORMATO.png",99615,38,"VAS","mei","Nulo",0,3.35,0,1.53,"Vasco",1,NA,11,2,3,3,NA,1,NA,20,6,NA,NA,NA,NA,NA,NA,NA
"42","Filipe Gonçalves dos Santos","filipe","Filipe","https://s.glbimg.com/es/sde/f/2018/03/19/27a5b03e54471091e2daf78e203363ef_FORMATO.png",100712,38,"COR","gol","Nulo",0,1,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/05/07/3497662bc32f7504a1fa070ddc56cce4_FORMATO.png",63194,38,"AME","lat","Provável",-1.3,11.01,-0.93,4.13,"América-MG",2,9,52,10,10,30,1,2,4,78,55,7,NA,NA,NA,NA,NA,NA
"44","Luiz Henrique Beserra dos Santos","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2018/09/04/8faa5c06d04fcf63cbbe6913818173e3_FORMATO.png",99627,38,"BAH","mei","Nulo",-0.8,2.94,-1.06,-0.8,"Bahia",NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"45","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,38,"BOT","zag","Nulo",0,4.23,0,3.12,"Botafogo",NA,NA,3,NA,NA,1,NA,NA,NA,3,5,2,NA,NA,NA,NA,NA,NA
"46","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,38,"ATL","ata","Provável",5.4,14.77,0.26,4.45,"Atlético-MG",5,6,64,10,26,44,1,3,4,111,88,NA,NA,NA,NA,NA,NA,NA
"47","Jadson Ailton Oliveira Da Silva Vale","jadson","Jadson","https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_FORMATO.jpeg",99629,38,"GRE","ata","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Ezequiel Gonzalo Esperon","esperon","Esperon","https://s.glbimg.com/es/sde/f/2017/06/07/dfce0445c3144c43e2d3f33bb0dd4131_FORMATO.jpeg",99628,38,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,38,"INT","mei","Nulo",4.6,9.24,0.68,2.83,"Internacional",5,8,33,5,12,41,NA,3,2,73,44,NA,1,NA,NA,NA,NA,NA
"50","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/08/21/993c919329907447bdfe72defc7eced9_FORMATO.png",99789,38,"SAO","ata","Contundido",-0.5,2.14,-0.35,2.47,"São Paulo",NA,NA,3,1,3,4,NA,1,3,6,4,NA,NA,NA,NA,NA,NA,NA
"51","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2018/08/21/f187045e0e177e81233e607955059a4c_FORMATO.png",63422,38,"SAO","mei","Nulo",0,8.15,0,3.16,"São Paulo",NA,5,49,1,2,42,NA,NA,NA,64,79,NA,NA,NA,NA,NA,NA,NA
"52","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,38,"GRE","ata","Nulo",-0.5,6.55,0.21,1.32,"Grêmio",NA,5,45,7,14,32,NA,4,13,41,10,NA,NA,NA,NA,NA,NA,NA
"53","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2018/09/27/8b63cdcb68dc035fb9be678fc9c4b4e7_FORMATO.png",99881,38,"VAS","zag","Nulo",5.2,4.49,0.82,1.86,"Vasco",NA,6,13,1,NA,9,NA,NA,2,15,15,4,NA,NA,NA,NA,NA,NA
"54","Leonardo da Silva Simas","leonardo-simas","Leonardo Simas","https://s.glbimg.com/es/sde/f/2018/05/08/9f9fa35de662c141a4b23af95f99f022_FORMATO.png",99832,38,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,38,"INT","zag","Provável",5.9,12.74,-0.05,5.78,"Internacional",NA,4,24,4,12,30,NA,2,2,30,46,13,1,NA,NA,NA,NA,NA
"56","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,38,"ATL","ata","Nulo",0,3.47,0,2.49,"Atlético-PR",1,6,22,5,20,16,NA,3,4,14,5,NA,NA,NA,NA,NA,NA,NA
"57","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/18/c5296c34cd5096c635acc7874899ab65_FORMATO.png",68698,38,"CRU","mei","Nulo",0,6.27,0,2.21,"Cruzeiro",1,5,35,2,13,13,1,2,NA,35,26,NA,NA,NA,NA,NA,NA,NA
"58","José Francisco dos Santos Júnior","junior-brumado","Júnior Brumado","https://s.glbimg.com/es/sde/f/2018/03/21/bd18849356245d84cf422f076a8f1cdf_FORMATO.png",99894,38,"BAH","ata","Nulo",0,2.75,0,1.04,"Bahia",NA,3,17,2,10,9,1,1,6,8,5,NA,NA,NA,NA,NA,NA,NA
"59","Yimmi Javier Chará Zamora","chara","Chará","https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png",99891,38,"ATL","ata","Provável",4.3,10.47,-0.45,4.15,"Atlético-MG",7,1,20,5,10,48,NA,1,4,44,25,NA,NA,NA,NA,NA,NA,NA
"60","Khevin Rodrigo Fraga","khevin","Khevin","https://s.glbimg.com/es/sde/f/2018/05/24/aa909d621dc61944afb0d68fa14e38af_FORMATO.png",99921,38,"CHA","mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2018/05/17/9790a9eb14c2629004e401eb258e2505_FORMATO.png",99903,38,"BOT","ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Jhonny Lucas Flora Barboza ","jhonny-lucas","Jhonny Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/1891e9e504ce289621d56cf6db5ba93d_FORMATO.png",99994,38,"PAR","mei","Provável",12.9,5.71,1.65,1.69,"Paraná",NA,7,51,6,10,22,NA,2,1,44,31,NA,NA,NA,NA,NA,NA,NA
"63","Ezequiel Santos da Silva","ezequiel","Ezequiel","https://s.glbimg.com/es/sde/f/2018/05/17/f4995e8da11ffe996033b0ebf06c4a13_FORMATO.png",99915,38,"BOT","ata","Nulo",0.9,4.18,-0.38,1.85,"Botafogo",1,NA,4,1,3,9,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA
"64","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_FORMATO.png",68770,38,"ATL","mei","Provável",2.4,4.51,0.66,2.11,"Atlético-PR",NA,2,31,2,5,14,NA,1,NA,37,36,NA,1,NA,NA,NA,NA,NA
"65","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/05/04/26a67180b8114a860a9e6f9c54cdebd4_FORMATO.png",100065,38,"FLA","ata","Nulo",0,1.98,0,0.86,"Flamengo",NA,NA,7,3,3,3,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA
"66","Márcio Passos de Albuquerque","emerson-sheik","Emerson Sheik","https://s.glbimg.com/es/sde/f/2018/05/18/64c04239bb8fc608b9061c8f7833750c_FORMATO.png",68744,38,"COR","ata","Suspenso",0,5.42,0,1.05,"Corinthians",2,3,8,2,3,15,1,NA,1,10,4,NA,NA,NA,NA,NA,NA,NA
"67","Linik Eduardo Santos","linik","Linik","https://s.glbimg.com/es/sde/f/2018/03/21/1b2fe22656db0d2209b8e7ef2717f9a7_FORMATO.png",99545,38,"VIT","mei","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2018/05/04/092bb0f0452c36118decf2dba0e806a4_FORMATO.png",100125,38,"FLA","zag","Nulo",0,4.34,0,6.06,"Flamengo",NA,1,6,NA,2,2,NA,1,NA,9,13,4,NA,NA,NA,NA,NA,NA
"69","Kleber Augusto Caetano Leite Filho","kleber","Kleber","https://s.glbimg.com/es/sde/f/2018/05/04/3c7fcc093b6dd915834a1c3c3231e0c0_FORMATO.png",100126,38,"FLA","lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2018/08/22/151d1a25f1a557fbf4d66544c4d67e2a_FORMATO.png",100084,38,"SAO","mei","Contundido",0,0.78,-0.08,0.25,"São Paulo",NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"71","Maximiliano Gastón López","maxi-lopez","Maxi López","https://s.glbimg.com/es/sde/f/2018/09/27/06c01113a00936b7c2845177c24d4ae9_FORMATO.png",68800,38,"VAS","ata","Provável",-1.4,8.12,-0.26,3.74,"Vasco",6,8,56,6,15,22,2,7,7,37,5,NA,NA,NA,NA,NA,NA,NA
"72","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2018/05/02/6971ebec7f9c3c38db9490eb58f746f3_FORMATO.png",68808,38,"BAH","lat","Contundido",0,12.72,0,5.39,"Bahia",1,4,25,4,5,36,NA,NA,NA,45,54,8,NA,NA,NA,NA,NA,NA
"73","Pablo Carneiro Freitas","pablo-maldini","Pablo Maldini",NA,100127,38,"FLA","lat","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,38,"GRE","zag","Nulo",0,7.39,0,4.77,"Grêmio",NA,2,12,1,4,16,NA,NA,1,31,23,7,NA,NA,NA,NA,NA,NA
"75","Rafael Galhardo de Souza","rafael-galhardo","Rafael Galhardo","https://s.glbimg.com/es/sde/f/2018/09/27/9a2a4526dd6f2e06c81972b3048b1034_FORMATO.png",68821,38,"VAS","lat","Nulo",0,2.65,0,0.85,"Vasco",NA,2,8,4,7,9,NA,NA,1,28,7,NA,NA,NA,NA,NA,NA,NA
"76","Lucas Soares de Almeida","lucas-soares","Lucas Soares",NA,100158,38,"CRU","lat","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Sérgio Dutra Júnior","junior-dutra","Júnior Dutra","https://s.glbimg.com/es/sde/f/2018/07/20/a1efc5a279c303352851a3d68a6e7465_FORMATO.png",68784,38,"FLU","ata","Nulo",0,4.06,0,1,"Fluminense",1,2,25,2,9,17,NA,NA,NA,29,14,NA,NA,NA,NA,NA,NA,NA
"78","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2018/04/08/c6db42e2a46652d39dfdaf203267d223_FORMATO.png",68872,38,"INT","gol","Provável",3.7,8.9,-0.18,4.83,"Internacional",NA,1,NA,NA,NA,5,NA,NA,NA,7,1,10,NA,34,18,NA,NA,NA
"79","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2018/05/23/c1e09ae588439e79293d33881309f392_FORMATO.png",77959,38,"SAN","ata","Provável",8.4,6.22,1.46,1.61,"Santos",NA,NA,10,1,3,14,NA,1,1,12,13,NA,NA,NA,NA,NA,NA,NA
"80","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,38,"GRE","gol","Provável",8,7.64,-0.34,3.51,"Grêmio",NA,2,NA,NA,NA,3,NA,NA,NA,8,NA,9,NA,22,18,NA,NA,NA
