"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","A","CV","FD","G","I","FT","DD","DP","GS","GC","PP"
"39","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,30,"BOT","mei","Nulo",0,2.32,0,-1.25,"Botafogo",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,30,"BAH","lat","Dúvida",0,4.6,0,2.58,"Bahia",1,15,1,9,25,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,30,"FLA","zag","Nulo",0,7.6,0,3.34,"Flamengo",NA,2,1,2,7,9,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"42","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,30,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",NA,5,2,1,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,30,"COR","lat","Provável",3.8,10.29,-0.14,4.08,"Corinthians",3,13,2,16,55,24,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"44","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,30,"ATL","lat","Nulo",0,5,0,1.1,"Atlético-PR",1,1,NA,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,30,"SPO","zag","Provável",1.1,4.42,-0.05,1.87,"Sport",3,11,1,10,22,20,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"46","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,30,"FLU","gol","Nulo",10.5,7.05,2.77,3.08,"Fluminense",2,1,NA,6,16,1,10,NA,NA,NA,NA,NA,NA,39,NA,35,NA,NA
"47","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,30,"PAL","tec","Provável",2.76,14.4,-0.33,5.66,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,30,"ATL","mei","Nulo",0,6.43,0,1.57,"Atlético-PR",3,13,7,16,32,7,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"49","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,30,"SAO","mei","Contundido",0,10.35,0,4.05,"São Paulo",5,29,7,44,54,14,NA,6,NA,6,5,8,NA,NA,NA,NA,NA,NA
"50","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,30,"VAS","lat","Provável",8.4,4.73,0.01,3.13,"Vasco",2,6,4,8,23,5,1,1,NA,3,1,1,NA,NA,NA,NA,NA,NA
"51","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,30,"CHA","mei","Nulo",0,6.04,0,3.57,"Chapecoense",3,28,8,38,33,37,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"52","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,30,"SAO","mei","Provável",8.9,10.47,1.59,3.98,"São Paulo",8,51,15,35,36,73,NA,NA,NA,6,1,4,NA,NA,NA,NA,NA,NA
"53","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,30,"ATL","mei","Provável",-0.2,5.97,-0.62,2.95,"Atlético-MG",5,27,2,25,31,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,30,"GRE","lat","Dúvida",0.9,3.05,0.14,2.26,"Grêmio",4,21,1,9,18,16,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"55","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,30,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",3,5,NA,4,9,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,30,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,30,"FLA","zag","Provável",6.9,16.05,0.43,5.87,"Flamengo",NA,7,10,21,16,21,11,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"58","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,30,"BOT","lat","Provável",7.2,8.14,-0.62,4.19,"Botafogo",4,16,3,27,36,30,3,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
"59","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,30,"AME","mei","Nulo",0,1.14,0,0.09,"América-MG",3,19,4,15,23,9,NA,1,2,2,NA,1,1,NA,NA,NA,NA,NA
"60","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,30,"FLU","ata","Provável",0,3.67,0,0.5,"Fluminense",1,18,4,1,10,6,NA,NA,NA,7,NA,4,NA,NA,NA,NA,NA,NA
"61","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,30,"CHA","lat","Provável",0.4,6.14,-0.79,3.39,"Chapecoense",3,25,5,23,62,37,4,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"62","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,30,"SAO","zag","Nulo",0,6.83,0,3.23,"São Paulo",5,27,6,9,33,38,7,NA,2,3,1,NA,NA,NA,NA,NA,1,NA
"63","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,30,"CRU","zag","Provável",5.5,8.43,1.26,2.79,"Cruzeiro",2,24,5,5,13,25,8,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"64","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,30,"AME","mei","Provável",2.1,3.56,0.06,1.99,"América-MG",2,23,5,12,43,23,NA,NA,NA,8,2,4,NA,NA,NA,NA,NA,NA
"65","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,30,"VIT","lat","Nulo",0,6.5,0,2.72,"Vitória",NA,3,2,8,11,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"66","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,30,"COR","zag","Provável",-0.4,9,-0.02,2.88,"Corinthians",3,16,5,16,19,17,9,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"67","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,30,"ATL","gol","Provável",3.4,11.16,-2.31,3.61,"Atlético-MG",2,NA,NA,4,22,NA,8,NA,NA,NA,NA,NA,NA,49,NA,35,NA,NA
"68","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,30,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",2,3,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,30,"ATL","mei","Provável",3.2,6.87,0.05,3.45,"Atlético-MG",7,29,12,24,48,37,NA,4,NA,5,4,5,NA,NA,NA,NA,NA,NA
"70","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,30,"CEA","mei","Nulo",0,3.75,0,0.54,"Ceará",NA,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,30,"AME","mei","Nulo",-1,1.48,0.31,0.42,"América-MG",6,33,3,19,58,30,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"72","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,30,"COR","gol","Nulo",0,8.03,0,5.32,"Corinthians",NA,NA,NA,2,2,1,3,NA,NA,NA,NA,NA,NA,23,NA,11,NA,NA
"73","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,30,"CRU","zag","Provável",15.2,12.82,1.62,6.15,"Cruzeiro",5,18,6,16,31,37,7,NA,NA,5,3,1,NA,NA,NA,NA,NA,NA
"74","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,30,"BOT","lat","Nulo",0,3.88,0,2.27,"Botafogo",NA,3,NA,1,21,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,30,"COR","ata","Suspenso",6.2,5.53,0.89,1.61,"Corinthians",3,37,13,17,14,4,NA,NA,NA,3,4,12,1,NA,NA,NA,NA,NA
"76","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,30,"AME","ata","Nulo",0,5.33,0,1.33,"América-MG",1,6,2,11,33,6,NA,1,NA,3,1,2,1,NA,NA,NA,NA,NA
"77","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,30,"CEA","ata","Nulo",2.4,5.24,-0.04,2.16,"Ceará",NA,20,7,23,40,14,NA,3,NA,9,1,1,NA,NA,NA,NA,NA,NA
"78","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/1f9835d5fb38d7e164ba9852c6be3209_FORMATO.png",60834,30,"AME","ata","Provável",1.3,8.81,0.04,2.19,"América-MG",3,35,13,39,46,23,NA,3,2,2,1,6,NA,NA,NA,NA,NA,NA
"79","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/08/14/896171e75b5e390c3f18888c50298fe1_FORMATO.png",51495,30,"CEA","zag","Provável",1.5,5.79,0.12,3.73,"Ceará",4,21,1,6,20,21,10,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA
"80","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,30,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",NA,2,2,6,8,7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
