"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","PE","RB","DD","DP","GS","SG","CA","CV","I","GC","PP"
"14","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,27,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",1,NA,NA,NA,1,NA,NA,7,NA,16,NA,16,2,NA,NA,NA,NA,NA
"15","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,27,"GRE","mei","Provável",0,5.51,0,2.35,"Grêmio",2,23,10,9,18,NA,1,36,16,NA,NA,NA,NA,4,NA,NA,NA,NA
"16","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,27,"PAL","gol","Nulo",-2,8.8,-0.95,0.35,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA
"17","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,27,"CRU","ata","Nulo",-2.5,12.04,-3.96,-2.5,"Cruzeiro",NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"18","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,27,"GRE","lat","Nulo",0,12.33,0,5.75,"Grêmio",3,11,NA,NA,12,NA,NA,25,19,NA,NA,NA,9,NA,NA,2,NA,NA
"19","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,27,"CRU","mei","Nulo",0,8.84,0,2.02,"Cruzeiro",NA,11,16,13,18,NA,1,51,12,NA,NA,NA,NA,2,NA,7,NA,NA
"20","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,27,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,27,"CRU","mei","Nulo",0,7.97,0,2.14,"Cruzeiro",NA,18,1,7,16,NA,NA,18,31,NA,NA,NA,NA,6,NA,NA,1,NA
"22","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,27,"ATL","lat","Provável",9.2,7.43,1.95,2.88,"Atlético-MG",NA,26,1,5,32,NA,3,61,20,NA,NA,NA,7,5,NA,5,NA,NA
"23","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,27,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,27,"GRE","mei","Provável",5.3,8.4,-0.04,3.59,"Grêmio",2,18,3,4,13,NA,3,53,30,NA,NA,NA,NA,3,NA,NA,NA,1
"25","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,27,"COR","ata","Nulo",0.5,4.64,-0.22,1.34,"Corinthians",NA,35,3,13,17,1,3,13,3,NA,NA,NA,NA,2,NA,12,NA,NA
"26","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2018/09/20/b3381c5cfe339a41f28141764223aed2_FORMATO.png",68887,27,"FLU","zag","Provável",0,5.6,-0.13,2.68,"Fluminense",1,30,2,7,12,NA,1,45,21,NA,NA,NA,7,3,NA,NA,NA,NA
"27","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,27,"ATL","zag","Provável",0,8.49,0,2.88,"Atlético-PR",NA,16,1,3,8,1,1,13,10,NA,NA,NA,4,1,NA,NA,1,NA
"28","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,27,"CEA","mei","Nulo",-0.8,2.7,-0.5,0.31,"Ceará",NA,30,1,2,9,NA,NA,23,15,NA,NA,NA,NA,2,NA,1,NA,NA
"29","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,27,"PAR","mei","Contundido",0,2.37,0,0.5,"Paraná",NA,2,1,1,4,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,27,"CRU","ata","Nulo",0.5,7.53,0.11,3.98,"Cruzeiro",1,6,6,14,16,2,2,17,13,NA,NA,NA,NA,2,NA,2,NA,NA
"31","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,27,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"32","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,27,"CHA","mei","Contundido",1.5,4.32,0.28,2.23,"Chapecoense",NA,22,2,3,24,NA,NA,43,43,NA,NA,NA,NA,2,NA,NA,NA,NA
"33","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,27,"CHA","ata","Nulo",0,9.16,0,2.59,"Chapecoense",2,40,2,21,27,NA,4,34,10,NA,NA,NA,NA,7,NA,8,NA,NA
"34","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,27,"GRE","gol","Provável",0,14.19,0,4.5,"Grêmio",NA,NA,NA,NA,2,NA,NA,5,NA,14,NA,8,11,2,NA,NA,NA,NA
"35","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,27,"CRU","mei","Nulo",0,7.53,0,2.45,"Cruzeiro",1,12,4,3,35,NA,NA,27,17,NA,NA,NA,NA,NA,NA,4,NA,NA
"36","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,27,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",NA,NA,NA,NA,7,NA,NA,28,NA,29,1,16,11,2,NA,NA,NA,NA
"37","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,27,"CRU","lat","Nulo",0,7.79,0,2.69,"Cruzeiro",1,13,2,4,8,NA,1,36,14,NA,NA,NA,4,7,NA,NA,NA,NA
"38","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,27,"CEA","ata","Nulo",-0.3,3.11,-0.56,0.79,"Ceará",NA,6,2,2,10,NA,NA,8,4,NA,NA,NA,NA,NA,NA,5,NA,NA
"39","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,27,"VAS","zag","Suspenso",-5.8,5,-1.84,-0.34,"Vasco",NA,5,NA,NA,5,NA,NA,4,3,NA,NA,NA,NA,NA,1,NA,NA,NA
"40","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,27,"BAH","mei","Nulo",0,5.76,0,2.1,"Bahia",NA,4,NA,2,2,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,27,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,27,"PAL","mei","Provável",0.6,3.27,0.21,1.72,"Palmeiras",1,32,1,9,10,1,1,43,35,NA,NA,NA,NA,10,NA,1,NA,NA
"43","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,27,"AME","mei","Provável",-0.8,2.17,-0.13,0.78,"América-MG",NA,5,NA,2,1,NA,NA,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,27,"AME","zag","Provável",8.6,7.22,1.11,2.83,"América-MG",NA,21,2,2,9,NA,NA,24,29,NA,NA,NA,7,3,NA,2,NA,NA
"45","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,27,"FLA","mei","Nulo",0,8.94,0,4.84,"Flamengo",2,29,6,17,62,1,5,74,28,NA,NA,NA,NA,7,1,8,NA,NA
"46","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,27,"GRE","mei","Nulo",0.7,5.28,-1.01,1.55,"Grêmio",1,7,4,2,10,NA,2,43,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"47","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,27,"FLU","zag","Provável",2.3,5.78,0.24,3.03,"Fluminense",NA,23,2,3,7,NA,1,21,14,NA,NA,NA,5,1,NA,NA,NA,NA
"48","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,27,"SPO","ata","Nulo",-0.3,3.51,-0.3,1.9,"Sport",1,13,9,8,15,NA,1,22,11,NA,NA,NA,NA,1,NA,6,NA,NA
"49","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,27,"SAO","mei","Provável",0.2,10.39,-1.58,4.82,"São Paulo",4,22,10,15,51,2,8,85,21,NA,NA,NA,NA,6,NA,4,NA,NA
"50","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,27,"SAN","mei","Nulo",0,6.03,0,1.51,"Santos",NA,4,2,2,9,NA,1,18,7,NA,NA,NA,NA,1,NA,2,NA,NA
"51","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,27,"FLA","tec","Provável",4.04,12.81,-1.18,4.04,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,27,"BOT","mei","Nulo",0,2.32,0,-1.25,"Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"53","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,27,"ATL","ata","Provável",7.9,13.06,1.56,6.02,"Atlético-MG",6,38,24,24,30,2,11,38,9,NA,NA,NA,NA,2,NA,20,NA,NA
"54","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,27,"VIT","tec","Provável",-0.96,7.89,-0.79,2.94,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,27,"SPO","gol","Provável",-4,6.45,-1.7,1.99,"Sport",NA,1,NA,NA,2,NA,NA,12,NA,33,2,39,4,4,NA,NA,NA,NA
"56","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,27,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,27,"SPO","mei","Provável",9.5,5.79,1.3,2.48,"Sport",NA,11,2,9,10,1,3,26,4,NA,NA,NA,NA,1,NA,NA,NA,NA
"58","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,27,"BAH","lat","Provável",7.8,4.43,1.06,1.95,"Bahia",NA,15,NA,NA,9,NA,NA,23,13,NA,NA,NA,2,1,NA,NA,NA,NA
"59","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,27,"PAL","ata","Provável",3.8,12.04,-0.49,5.6,"Palmeiras",2,38,11,12,28,3,9,15,21,NA,NA,NA,NA,2,NA,6,NA,NA
"60","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,27,"COR","ata","Nulo",0,5.68,0,2.72,"Corinthians",NA,5,NA,5,4,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,27,"GRE","tec","Provável",6.17,15.77,0.18,5.02,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,27,"CHA","mei","Dúvida",0,3.69,0,1.53,"Chapecoense",NA,22,3,2,5,NA,NA,15,21,NA,NA,NA,NA,1,NA,1,NA,NA
"63","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,27,"CRU","lat","Nulo",0,9.66,0,5.28,"Cruzeiro",1,23,1,6,19,NA,NA,62,49,NA,NA,NA,7,3,NA,6,NA,NA
"64","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,27,"COR","lat","Contundido",0,10.43,0,4.11,"Corinthians",2,12,2,2,14,NA,NA,51,21,NA,NA,NA,4,3,NA,NA,NA,NA
"65","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,27,"AME","tec","Provável",5.23,9.68,0.71,3.42,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,27,"COR","gol","Provável",5,10.62,1.22,3.81,"Corinthians",NA,1,NA,NA,1,NA,NA,9,1,21,NA,13,7,3,NA,NA,NA,NA
"67","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,27,"SAN","tec","Provável",5.26,11.23,0.44,4.77,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,27,"ATL","lat","Nulo",-2,3.93,-0.92,0.2,"Atlético-PR",NA,1,NA,NA,3,NA,NA,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA
"69","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,27,"FLA","zag","Nulo",0,6.81,0,2.89,"Flamengo",NA,2,NA,1,2,NA,NA,7,8,NA,NA,NA,3,NA,1,1,NA,NA
"70","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,27,"SPO","zag","Nulo",0.9,4.47,-0.2,1.9,"Sport",NA,11,2,1,9,NA,NA,19,19,NA,NA,NA,5,3,NA,NA,NA,NA
"71","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,27,"PAL","tec","Provável",3.85,14.44,-0.14,5.77,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,27,"FLU","gol","Provável",-2,5.07,-0.27,3.07,"Fluminense",NA,NA,NA,NA,6,NA,NA,16,1,37,NA,32,8,2,NA,NA,NA,NA
"73","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,27,"VAS","lat","Nulo",0,3.44,0,0.6,"Vasco",NA,3,3,1,5,NA,NA,10,3,NA,NA,NA,NA,2,NA,1,NA,NA
"74","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,27,"GRE","lat","Nulo",5.4,3.77,0.51,2.64,"Grêmio",NA,17,NA,1,6,NA,NA,15,13,NA,NA,NA,4,3,NA,1,NA,NA
"75","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,27,"ATL","mei","Nulo",0,6.43,0,1.57,"Atlético-PR",NA,13,2,7,16,NA,2,32,7,NA,NA,NA,NA,3,NA,NA,NA,NA
"76","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,27,"SAO","mei","Provável",0,10.02,0,4.13,"São Paulo",6,28,6,7,44,NA,5,54,12,NA,NA,NA,NA,5,NA,8,NA,NA
"77","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,27,"CHA","mei","Provável",0.2,6.04,-0.2,3.71,"Chapecoense",NA,27,4,8,38,NA,2,33,36,NA,NA,NA,NA,3,NA,NA,NA,NA
"78","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,27,"SAO","mei","Provável",0.2,8.93,-0.38,3.68,"São Paulo",NA,43,5,11,24,NA,1,30,63,NA,NA,NA,NA,8,NA,3,NA,NA
"79","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,27,"ATL","mei","Nulo",0,6.77,0,3.09,"Atlético-MG",NA,24,NA,1,21,NA,NA,25,41,NA,NA,NA,NA,5,NA,NA,NA,NA
"80","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,27,"AME","mei","Provável",3.5,3.82,0.17,2.21,"América-MG",NA,21,7,5,12,NA,2,36,20,NA,NA,NA,NA,2,NA,3,NA,NA
