"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","G","CV","FD","FT","GC","I","A","DD","GS","DP","PP"
"11","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,31,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",4,1,NA,3,14,NA,4,NA,NA,NA,NA,NA,NA,NA,38,42,2,NA
"12","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,31,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,NA,NA,1,7,NA,2,NA,NA,NA,NA,NA,NA,1,16,16,NA,NA
"13","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,31,"AME","ata","Nulo",-2,8.21,-0.26,1.87,"América-MG",3,35,8,15,32,4,NA,5,1,8,NA,NA,8,2,NA,NA,NA,NA
"14","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,31,"CRU","gol","Provável",-2.6,9.96,-2.06,4.12,"Cruzeiro",NA,NA,NA,1,12,NA,8,NA,NA,NA,NA,NA,NA,NA,31,19,1,NA
"15","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,31,"PAL","gol","Nulo",0,9.55,0,1.7,"Palmeiras",1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"16","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,31,"SPO","zag","Nulo",0,4.3,0,2.52,"Sport",NA,8,2,6,10,7,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"17","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,31,"CHA","mei","Provável",-0.5,3.79,-0.48,1.62,"Chapecoense",2,29,3,6,15,29,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"18","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,31,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",NA,8,5,4,8,4,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"19","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,31,"SAN","tec","Provável",6.87,11.85,0.91,4.84,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,31,"GRE","tec","Provável",4.23,15.35,0.11,4.8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,31,"PAL","ata","Provável",1.5,11.7,-0.79,5.29,"Palmeiras",2,41,15,29,22,27,NA,9,NA,16,3,NA,6,2,NA,NA,NA,NA
"22","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,31,"COR","gol","Provável",0.7,9.64,0.24,3.21,"Corinthians",3,1,NA,1,11,1,7,NA,NA,NA,NA,NA,NA,NA,25,19,NA,NA
"23","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,31,"FLA","zag","Nulo",0,7.6,0,3.34,"Flamengo",NA,2,1,2,7,9,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"24","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,31,"BAH","lat","Nulo",0,4.6,0,2.58,"Bahia",1,15,1,9,25,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,31,"COR","lat","Provável",5.3,10.62,0.33,4.17,"Corinthians",3,13,2,16,59,25,4,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA
"26","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,31,"AME","tec","Provável",0.12,8.85,-0.52,3.15,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,31,"FLU","gol","Provável",0,7.05,0,3.08,"Fluminense",2,1,NA,6,16,1,10,NA,NA,NA,NA,NA,NA,NA,39,35,NA,NA
"28","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,31,"ATL","lat","Nulo",2,4.65,-0.35,1.25,"Atlético-PR",1,2,NA,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,31,"SPO","zag","Provável",3.7,4.89,0.47,1.94,"Sport",3,12,1,10,23,23,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"30","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,31,"PAL","tec","Provável",3.27,14.5,0.1,5.5,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,31,"VAS","lat","Provável",1.7,3.75,-0.98,2.95,"Vasco",2,7,5,9,24,5,1,1,NA,4,NA,NA,1,1,NA,NA,NA,NA
"32","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,31,"ATL","mei","Provável",4,6.69,0.72,3.01,"Atlético-MG",5,27,3,26,32,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,31,"SAO","mei","Contundido",0,10.35,0,4.05,"São Paulo",5,29,7,44,54,14,NA,5,NA,6,NA,NA,8,6,NA,NA,NA,NA
"34","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,31,"CHA","mei","Nulo",0,6.04,0,3.57,"Chapecoense",3,28,8,38,33,37,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"35","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,31,"ATL","mei","Nulo",3.1,6.8,0.37,1.68,"Atlético-PR",4,18,8,19,35,7,NA,2,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"36","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,31,"GRE","lat","Provável",1.2,3.12,0.07,2.17,"Grêmio",4,21,1,9,19,17,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"37","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,31,"VIT","lat","Nulo",0,6.5,0,2.72,"Vitória",NA,3,2,8,11,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,31,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,31,"FLU","ata","Nulo",0,3.67,0,0.5,"Fluminense",1,18,4,1,10,6,NA,NA,NA,7,NA,NA,4,NA,NA,NA,NA,NA
"40","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,31,"AME","mei","Suspenso",-0.8,3.1,-0.46,1.86,"América-MG",3,24,5,13,47,23,NA,2,NA,10,NA,NA,4,NA,NA,NA,NA,NA
"41","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,31,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",3,5,NA,4,9,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,31,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,31,"AME","mei","Dúvida",0,1.14,0,0.09,"América-MG",3,19,4,15,23,9,NA,NA,2,2,1,NA,1,1,NA,NA,NA,NA
"44","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,31,"CHA","lat","Provável",7.6,7.4,1.26,3.58,"Chapecoense",3,29,5,25,65,40,5,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA
"45","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,31,"CEA","mei","Nulo",2.2,4.03,0.28,0.82,"Ceará",NA,3,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,31,"CRU","zag","Provável",-0.5,7.49,-0.94,2.65,"Cruzeiro",2,25,5,5,13,25,8,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"47","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,31,"COR","zag","Provável",-0.5,8.95,-0.05,2.76,"Corinthians",3,17,5,16,19,17,9,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"48","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,31,"SAO","mei","Suspenso",3.3,9.68,-0.79,3.95,"São Paulo",9,54,16,35,36,77,NA,1,NA,6,NA,NA,4,NA,NA,NA,NA,NA
"49","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,31,"ATL","gol","Provável",2,10.96,-0.2,3.56,"Atlético-MG",2,NA,NA,4,22,NA,8,NA,NA,NA,NA,NA,NA,NA,51,37,NA,NA
"50","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,31,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",2,3,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,31,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",NA,2,2,6,8,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"52","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,31,"AME","mei","Nulo",0,1.48,0,0.42,"América-MG",6,33,3,19,58,30,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"53","Éverton Augusto de Barros Ribeiro","everton-ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2018/05/04/295690667a6a82986c742697c508ce3d_FORMATO.png",51772,31,"FLA","mei","Provável",3.1,7.61,0.71,4.35,"Flamengo",5,40,20,53,109,50,NA,4,1,13,NA,NA,1,5,NA,NA,NA,NA
"54","Antonio Eduardo Pereira dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/03/21/a2e4671774fb12a3492ed292aad6f617_FORMATO.png",51792,31,"VIT","zag","Nulo",0,2.18,0,0.99,"Vitória",8,25,4,5,10,15,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA
"55","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/08/21/2454010b45bdfc3b9f0ae351145ed7c9_FORMATO.png",52618,31,"SAO","zag","Nulo",0,6.83,0,3.23,"São Paulo",5,27,6,9,33,38,7,1,2,3,NA,1,NA,NA,NA,NA,NA,NA
"56","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,31,"COR","mei","Provável",2,7.08,0.06,1.62,"Corinthians",4,13,2,8,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,31,"COR","gol","Nulo",-2,7.17,-0.86,4.59,"Corinthians",1,NA,NA,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,23,11,NA,NA
"58","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,31,"ATL","mei","Provável",2.3,6.78,-0.09,3.41,"Atlético-MG",7,31,12,27,52,39,NA,4,NA,5,NA,NA,5,4,NA,NA,NA,NA
"59","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png",52253,31,"FLA","zag","Provável",2.1,15.33,-0.72,5.69,"Flamengo",NA,8,10,22,19,23,11,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"60","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,31,"BOT","lat","Provável",2.1,7.4,-0.74,4.04,"Botafogo",4,19,3,30,39,32,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"61","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,31,"CEA","ata","Nulo",0.5,4.95,-0.29,2.09,"Ceará",NA,21,7,25,40,14,NA,1,NA,9,NA,NA,1,3,NA,NA,NA,NA
"62","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/08/14/896171e75b5e390c3f18888c50298fe1_FORMATO.png",51495,31,"CEA","zag","Provável",1.7,5.85,0.06,3.63,"Ceará",4,21,2,6,22,22,10,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"63","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,31,"INT","lat","Nulo",0,5.09,0,3.55,"Internacional",NA,1,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"64","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,31,"BOT","lat","Nulo",0,3.88,0,2.27,"Botafogo",NA,3,NA,1,21,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,31,"AME","ata","Nulo",0,5.33,0,1.33,"América-MG",1,6,2,11,33,6,NA,1,NA,3,1,NA,2,1,NA,NA,NA,NA
"66","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,31,"CRU","zag","Provável",-0.6,10.38,-2.44,5.78,"Cruzeiro",5,18,6,16,33,37,7,3,NA,5,NA,NA,1,NA,NA,NA,NA,NA
"67","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,31,"CRU","lat","Provável",-3.5,9.23,-1.76,4.93,"Cruzeiro",3,23,6,21,68,52,8,NA,NA,2,NA,1,8,1,NA,NA,NA,NA
"68","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/1f9835d5fb38d7e164ba9852c6be3209_FORMATO.png",60834,31,"AME","ata","Provável",2.4,9.01,0.2,2.2,"América-MG",3,40,14,43,49,25,NA,1,2,2,NA,NA,6,3,NA,NA,NA,NA
"69","Jael Ferreira Vieira","jael","Jael","https://s.glbimg.com/es/sde/f/2018/05/18/528786142cfbdf2221caa974ac75720e_FORMATO.png",60859,31,"GRE","ata","Nulo",0,3.35,0,2.93,"Grêmio",1,15,4,18,32,4,NA,4,NA,3,1,NA,1,1,NA,NA,NA,1
"70","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2018/04/08/8ed64ccf988eab46873b7e4c9d99ebef_FORMATO.png",62009,31,"INT","mei","Nulo",0,3.72,0,2.35,"Internacional",NA,6,7,6,16,3,NA,1,NA,1,NA,NA,2,2,NA,NA,NA,NA
"71","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,31,"ATL","lat","Suspenso",-2.5,3.62,-0.59,1.15,"Atlético-MG",3,34,2,5,49,21,3,NA,NA,1,NA,NA,4,1,NA,NA,NA,NA
"72","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2018/05/04/4531c11cdf54bdb520247afb817f4dd1_FORMATO.png",62086,31,"FLA","lat","Provável",0.9,3.69,-0.77,2.66,"Flamengo",2,13,NA,17,29,9,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"73","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2018/07/01/5fac5fd0f63dc1ff4b6c80d6765e6c04_FORMATO.png",61188,31,"BAH","ata","Contundido",0,12.75,0,5.99,"Bahia",1,17,19,27,29,14,NA,7,NA,9,NA,NA,3,NA,NA,NA,NA,NA
"74","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,31,"CRU","mei","Provável",0,5.77,0,1.92,"Cruzeiro",6,28,9,22,61,28,NA,1,NA,2,NA,NA,2,3,NA,NA,NA,NA
"75","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2018/03/21/3a5a3365b94f222144190fe55a5d56f7_FORMATO.png",62023,31,"INT","mei","Provável",-1.1,4.83,0.09,0.87,"Internacional",2,4,6,23,46,2,NA,1,1,3,2,NA,1,1,NA,NA,NA,NA
"76","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2018/07/13/19610200497a0a011b67ab0cb2f99d0b_FORMATO.png",61985,31,"FLU","mei","Nulo",-0.6,2.38,-0.11,0.65,"Fluminense",4,7,NA,5,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2018/08/21/8168274098fd8c821729681da346e325_FORMATO.png",62024,31,"SAO","lat","Provável",7.9,5.36,1.2,3.92,"São Paulo",2,12,3,10,16,13,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"78","Wallyson Ricardo Maciel Monteiro","wallyson","Wallyson","https://s.glbimg.com/es/sde/f/2018/07/16/901eb351baf6774200546a4cb812d2a7_FORMATO.png",62127,31,"VIT","ata","Nulo",1.1,8.81,0.11,3.23,"Vitória",2,7,13,16,38,11,NA,2,NA,6,1,NA,2,4,NA,NA,NA,NA
"79","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,31,"SAN","gol","Provável",5,15.57,0.08,4.33,"Santos",NA,NA,NA,5,7,NA,14,NA,NA,NA,NA,NA,NA,NA,36,26,NA,NA
"80","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2018/07/27/66258debb61166bf3d552593e8934529_FORMATO.png",62129,31,"ATL","mei","Provável",0,2.98,0,1.4,"Atlético-PR",4,27,6,2,18,22,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
