"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","GC","I","PE","RB","SG","FF","FD","G","DD","GS","A","FT","CV","DP","PP"
"14","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2018/03/20/c125fa08820e1bbf4a2640e7108b05d2_FORMATO.png",61033,10,"COR","mei","Provável",6.2,21.96,0.3,7.43,"Corinthians",NA,12,16,NA,2,15,5,NA,3,3,4,NA,NA,2,NA,NA,NA,NA
"15","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,10,"GRE","lat","Provável",0,11.85,0,6.12,"Grêmio",NA,3,7,NA,NA,3,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"16","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,10,"CRU","mei","Provável",6.2,10.14,0.34,3.55,"Cruzeiro",2,6,9,NA,NA,8,14,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"17","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,10,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2018/01/21/140f763b85870cfc801ceae1684e7032_FORMATO.png",61985,10,"FLU","mei","Nulo",0,2.92,0,-0.3,"Fluminense",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2018/03/21/3a5a3365b94f222144190fe55a5d56f7_FORMATO.png",62023,10,"INT","mei","Contundido",0,6.68,0,0.72,"Internacional",NA,1,6,NA,1,14,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"20","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2018/04/08/8ed64ccf988eab46873b7e4c9d99ebef_FORMATO.png",62009,10,"INT","mei","Nulo",0,4.01,0,-0.5,"Internacional",NA,1,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2018/04/20/b37498cecb36eacf3be0170a1d99bd3d_FORMATO.png",61149,10,"INT","ata","Provável",0,9.09,0,5.36,"Internacional",2,7,19,NA,NA,16,7,NA,5,4,1,NA,NA,2,1,NA,NA,NA
"22","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2018/05/23/d1e78d7c4a4d2e68068e24cca6750439_FORMATO.png",62121,10,"SAN","gol","Provável",1,14.37,-0.03,2.48,"Santos",NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,15,14,NA,NA,NA,NA,NA
"23","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2018/05/26/b2cec6cd3a23c1d7474488c26df7248a_FORMATO.png",62024,10,"SAO","lat","Nulo",0,3.59,0,2.67,"São Paulo",1,4,3,NA,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,10,"CRU","mei","Provável",-2.2,4.46,-0.92,1.05,"Cruzeiro",3,12,10,NA,1,32,12,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA
"25","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,10,"PAL","lat","Provável",5.5,6.39,-0.61,5.5,"Palmeiras",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2018/04/09/d76608c4a8a334165ef8611858ab2432_FORMATO.png",62974,10,"VAS","zag","Contundido",0,5.87,0,2.35,"Vasco",NA,8,5,1,NA,9,9,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"27","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2018/05/04/4531c11cdf54bdb520247afb817f4dd1_FORMATO.png",62086,10,"FLA","lat","Contundido",0,3.1,0,1.15,"Flamengo",NA,1,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Wallyson Ricardo Maciel Monteiro","wallyson","Wallyson","https://s.glbimg.com/es/sde/f/2018/04/27/f013d92df6652366b0136490d4349934_FORMATO.png",62127,10,"VIT","ata","Provável",3,10.37,0.71,5.6,"Vitória",1,7,8,NA,1,23,7,NA,7,3,2,NA,NA,3,1,NA,NA,NA
"29","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2018/03/21/4447e0929a366fd4391a8f2df378f705_FORMATO.png",63058,10,"VIT","mei","Contundido",0,4.99,0,2.5,"Vitória",1,6,3,NA,NA,6,10,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"30","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2018/03/17/4a6e561bbf1123eb516161678dea131e_FORMATO.png",62137,10,"AME","tec","Provável",2.48,10.07,-0.35,3.63,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2018/04/09/5e00d08320cfc973b6b426167701991c_FORMATO.png",62129,10,"VAS","mei","Nulo",-0.5,2.26,-0.59,0.05,"Vasco",2,3,1,NA,NA,6,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"32","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2018/01/30/edb0d67e60d39d102b52517058ff4227_FORMATO.jpeg",63013,10,"PAL","lat","Provável",6.4,12.54,0.43,6.24,"Palmeiras",3,19,9,NA,NA,41,29,4,NA,NA,1,NA,NA,1,1,NA,NA,NA
"33","Evanildo Borges Barbosa Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/03/21/a365ec393385db562f884705537218a4_FORMATO.png",63119,10,"VIT","lat","Nulo",0,3.44,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,10,"CHA","zag","Provável",3,7.65,-0.18,3.56,"Chapecoense",1,11,8,NA,NA,6,17,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA
"35","José Luis dos Santos Pinto","zezinho","Zezinho","https://s.glbimg.com/es/sde/f/2018/03/21/20af82e27e6699c69e9458932cd76ae4_FORMATO.png",63208,10,"PAR","mei","Nulo",0,4.47,0,0.2,"Paraná",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2018/04/09/1cb2f4ec223fc588acc04336d52fcf07_FORMATO.png",63172,10,"VAS","zag","Provável",-0.2,4.83,-0.88,1.77,"Vasco",NA,3,3,NA,1,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Moisés Lima Magalhães","moises","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_FORMATO.png",63158,10,"PAL","mei","Provável",-1.8,4.25,-0.66,0.51,"Palmeiras",2,9,7,NA,NA,14,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,10,"FLU","gol","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,10,"INT","mei","Provável",0,9.35,0,3,"Internacional",1,5,7,NA,NA,18,10,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
"40","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2018/05/07/3497662bc32f7504a1fa070ddc56cce4_FORMATO.png",63194,10,"AME","lat","Contundido",0,11.48,0,3.7,"América-MG",1,13,3,NA,1,7,5,1,2,5,1,NA,NA,NA,NA,NA,NA,NA
"41","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2018/05/24/ddefa1a922260aeb7a1835dd4a8117f5_FORMATO.png",63110,10,"CHA","mei","Nulo",0,3.7,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Luan Madson Gedeão De Paiva","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/c8cafabc87bc7ef4d50c8f18eafa05ce_FORMATO.png",63219,10,"ATL","ata","Provável",6.4,14.49,0.73,5.01,"Atlético-MG",2,16,6,NA,1,30,33,NA,7,3,NA,NA,NA,2,NA,NA,NA,NA
"43","Jucilei da Silva","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2018/05/26/6ec50553602c7380485a79fa43cc7366_FORMATO.png",63422,10,"SAO","mei","Provável",0,8.44,0,3.7,"São Paulo",NA,15,13,NA,NA,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","José Rodolfo Pires Ribeiro","dodo","Dodô","https://s.glbimg.com/es/sde/f/2018/05/23/bed8c47807867724de1462e2c2e094cc_FORMATO.png",68727,10,"SAN","lat","Provável",0,10.51,-1.08,3.19,"Santos",2,4,15,NA,NA,32,18,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"45","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,10,"GRE","ata","Provável",3,8.06,0.43,1.42,"Grêmio",2,23,16,NA,10,22,4,NA,8,4,2,NA,NA,NA,NA,NA,NA,NA
"46","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,10,"INT","zag","Provável",0,12.84,0,6.74,"Internacional",2,11,8,NA,1,10,17,5,4,1,1,NA,NA,NA,NA,NA,NA,NA
"47","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png",68696,10,"ATL","ata","Nulo",-1.3,3.12,-0.36,-0.57,"Atlético-PR",1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"48","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/18/c5296c34cd5096c635acc7874899ab65_FORMATO.png",68698,10,"CRU","mei","Nulo",0.2,6.44,-0.8,2.67,"Cruzeiro",2,9,1,NA,NA,7,6,NA,7,1,1,NA,NA,1,NA,NA,NA,NA
"49","Marcos Gabriel do Nascimento","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/e4194c2bbdf34fa12da281428a823667_FORMATO.png",68954,10,"COR","mei","Nulo",0,2.6,0,-0.3,"Corinthians",1,3,5,NA,NA,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,10,"CRU","ata","Provável",8.5,8.33,1.61,4.47,"Cruzeiro",1,3,8,NA,NA,7,8,NA,11,3,1,NA,NA,1,NA,NA,NA,NA
"51","Emiliano Gabriel Vecchio","vecchio","Vecchio","https://s.glbimg.com/es/sde/f/2018/05/23/580db24e5f5f2179cb2757fc3a0e8286_FORMATO.png",68745,10,"SAN","mei","Contundido",0,5.26,0,0.7,"Santos",NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,10,"SAN","lat","Provável",6,9.01,0.45,3.16,"Santos",1,5,NA,NA,3,7,9,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"53","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,10,"CEA","ata","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,10,"CEA","gol","Contundido",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/05/21/02a93d79d22d84b3c6f8922d3aac87c2_FORMATO.png",37851,10,"GRE","mei","Nulo",0,2.92,0,0.47,"Grêmio",NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"56","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2018/05/07/6cf5cf190985e20f0a42a7408e164e10_FORMATO.png",69014,10,"CRU","zag","Nulo",0,4.94,0,2.7,"Cruzeiro",NA,2,2,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Márcio Passos de Albuquerque","emerson-sheik","Emerson Sheik","https://s.glbimg.com/es/sde/f/2018/05/18/64c04239bb8fc608b9061c8f7833750c_FORMATO.png",68744,10,"COR","ata","Nulo",0.5,6.76,-0.65,1.68,"Corinthians",NA,3,8,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"58","Giovanni Aparecido Adriano dos Santos","giovanni","Giovanni","https://s.glbimg.com/es/sde/f/2018/05/07/9499f2b8fc40e3492df0257c5b638310_FORMATO.png",68979,10,"ATL","gol","Nulo",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Régis Ribeiro de Souza","regis","Régis","https://s.glbimg.com/es/sde/f/2018/05/26/4e5702dd50b18168075ddd81501b8974_FORMATO.png",68995,10,"SAO","lat","Nulo",0,6.86,0,2.82,"São Paulo",2,7,2,NA,NA,12,10,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"60","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2018/05/23/94f8a60d067a1f1b2253bc082aaa653e_FORMATO.png",70986,10,"SAN","mei","Nulo",1.5,8.65,0.1,3,"Santos",1,7,5,NA,1,2,11,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA
"61","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2018/03/20/24dcab97bac1e830cd13938c4beb81ea_FORMATO.png",69047,10,"COR","mei","Nulo",0,3.31,0,3.47,"Corinthians",2,5,1,NA,NA,7,11,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"62","Hélio Hermito Zampier Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,10,"CHA","zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2018/05/08/cb128a5e04beb3653bf1847b06c72545_FORMATO.png",69012,10,"ATL","gol","Provável",1,8.93,-1.12,4.74,"Atlético-PR",NA,NA,1,NA,NA,6,NA,4,NA,NA,NA,14,9,NA,NA,NA,NA,NA
"64","Deivid Willian da Silva","deivid","Deivid","https://s.glbimg.com/es/sde/f/2018/05/18/9314a887ee8d5d3501ea45d244b7f947_FORMATO.png",69018,10,"SPO","mei","Provável",3.9,2.68,0.48,1.04,"Sport",1,5,8,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2018/05/23/afd45cb890c4f9430cd273e7bdb9cb72_FORMATO.png",69040,10,"SAN","gol","Nulo",0,6,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2018/05/08/cf32acce95d925ec92b7e084202c7e06_FORMATO.png",69138,10,"ATL","ata","Provável",4.2,9.46,0.66,3.37,"Atlético-PR",2,22,9,NA,8,11,9,NA,10,5,3,NA,NA,NA,NA,NA,NA,NA
"67","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,10,"GRE","gol","Provável",-4.3,14.42,-1.97,4.23,"Grêmio",NA,NA,2,NA,NA,3,NA,7,NA,NA,NA,3,3,NA,NA,NA,NA,NA
"68","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2018/04/08/c714e94cf7e83d9faed670b675e6ec25_FORMATO.png",69051,10,"INT","gol","Provável",0,9.39,0,4.77,"Internacional",NA,NA,1,NA,NA,1,NA,4,NA,NA,NA,10,6,NA,NA,NA,NA,NA
"69","Martín Andrés Silva","martin-silva","Martín Silva","https://s.glbimg.com/es/sde/f/2018/04/09/581747cc55c20b7044e254d17b057ed0_FORMATO.png",69249,10,"VAS","gol","Nulo",0,6.91,0,-0.4,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA
"70","Romulo Borges Monteiro","romulo","Romulo","https://s.glbimg.com/es/sde/f/2018/05/04/567c4c3a4d23c2c7f9849ff47e10d98f_FORMATO.png",70009,10,"FLA","mei","Nulo",0,3.01,0,0.35,"Flamengo",NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Javier Arley Reina Calvo","reina","Reina","https://s.glbimg.com/es/sde/f/2018/05/25/644b3e996f44835c5c708d4d081cf8d7_FORMATO.png",70118,10,"CEA","mei","Nulo",0,1.67,0,-0.2,"Ceará",NA,3,2,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"72","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2018/05/08/2b72d6975f3708b1c3eaa34ea5acf723_FORMATO.png",69705,10,"ATL","mei","Provável",-3.4,10.75,-1.09,2.87,"Atlético-PR",1,8,18,NA,4,23,5,NA,6,7,1,NA,NA,NA,1,NA,NA,NA
"73","Sidney Aparecido Ramos da Silva","sidao","Sidão","https://s.glbimg.com/es/sde/f/2018/05/26/dfb7fcc1e33bd344f55eb4005cebcecf_FORMATO.png",70222,10,"SAO","gol","Provável",0,7.73,0,1.52,"São Paulo",2,NA,NA,NA,NA,8,NA,3,NA,NA,NA,9,11,NA,NA,NA,NA,NA
"74","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2018/05/23/a1e5220c82575c4f297c1173ec07d58a_FORMATO.png",70360,10,"SAN","ata","Provável",0.5,7.73,-0.32,2.58,"Santos",NA,10,15,NA,7,19,7,NA,4,1,NA,NA,NA,3,NA,NA,NA,NA
"75","Francisco Jackson Menezes da Costa","jackson-caucaia","Jackson Caucaia","https://s.glbimg.com/es/sde/f/2018/05/25/a10dec2af40e8217db1a00b9de476961_FORMATO.png",70162,10,"CEA","mei","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Jorge Amorim de Oliveira Campos","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2018/05/22/fd18b15b16f9ef3d49362693fb4e0bd5_FORMATO.png",70323,10,"VAS","tec","Provável",0,4.96,0,2,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Ederson Honorato Campos","ederson","Ederson","https://s.glbimg.com/es/sde/f/2018/05/04/c18adafd0ca30b3dfc5cde5e044c79b8_FORMATO.png",70173,10,"FLA","mei","Nulo",0,3,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Fillipe Soutto Mayor Nogueira Ferreira","fillipe-soutto","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2018/03/21/0daa49ddeceb2e945617b2f9a0df22b9_FORMATO.png",70581,10,"VIT","mei","Contundido",0,3.75,0,-2.3,"Vitória",1,4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Mário Rogério Reis Micale ","rogerio-micale","Rogério Micale","https://s.glbimg.com/es/sde/f/2018/03/21/b716462900fb6d306d797525d21c94c2_FORMATO.png",70526,10,"PAR","tec","Provável",6.45,7.14,0.75,3.66,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
