"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","A","FC","I","RB","CA","FD","FF","GC","G","CV","FT","PP"
"19","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,34,"PAL","gol","Nulo",0,9.55,0,1.7,"Palmeiras",NA,NA,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"20","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,34,"GRE","mei","Dúvida",2,7.51,0.19,3.01,"Grêmio",NA,NA,16,NA,59,NA,2,21,NA,33,3,3,4,NA,3,NA,NA,1
"21","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,34,"CRU","ata","Provável",4.5,12.86,-1.29,3.45,"Cruzeiro",NA,NA,7,NA,5,NA,2,6,NA,NA,2,NA,1,NA,1,NA,NA,NA
"22","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,34,"AME","mei","Provável",2,3.44,0.57,1.7,"América-MG",NA,NA,14,NA,47,NA,NA,25,5,24,4,11,5,NA,2,NA,NA,NA
"23","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,34,"VIT","mei","Provável",-0.1,2.53,0.02,0.01,"Vitória",NA,NA,10,NA,18,NA,NA,18,1,12,4,NA,NA,NA,NA,NA,NA,NA
"24","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,34,"CHA","ata","Provável",4.1,9.33,1.03,2.63,"Chapecoense",NA,NA,33,NA,46,NA,2,44,9,11,7,4,24,NA,5,NA,NA,NA
"25","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,34,"COR","mei","Provável",-1.1,6.89,-0.22,2.79,"Corinthians",NA,NA,10,NA,67,NA,5,10,2,4,NA,6,8,NA,4,NA,1,NA
"26","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,34,"CRU","mei","Dúvida",0,9.57,0,2.83,"Cruzeiro",NA,NA,25,NA,59,NA,NA,15,9,15,2,19,14,NA,3,NA,NA,NA
"27","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,34,"COR","ata","Dúvida",0,4.51,0,1.49,"Corinthians",NA,NA,18,NA,14,NA,NA,37,14,4,3,4,13,NA,4,NA,1,NA
"28","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,34,"ATL","lat","Provável",19.5,9.37,1.89,3.39,"Atlético-MG",NA,NA,43,NA,74,9,1,33,5,30,6,2,6,NA,4,NA,NA,1
"29","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,34,"CRU","mei","Nulo",0,7.1,0,2.42,"Cruzeiro",NA,NA,40,NA,27,NA,1,13,4,17,NA,4,3,NA,NA,NA,NA,NA
"30","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,34,"CHA","mei","Provável",0,3.35,0,2,"Chapecoense",NA,NA,26,NA,45,NA,NA,26,NA,43,3,2,3,NA,NA,NA,NA,NA
"31","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,34,"VAS","zag","Provável",2.1,6.22,-0.36,1.4,"Vasco",NA,NA,7,NA,10,2,NA,10,NA,13,3,NA,NA,NA,NA,1,NA,NA
"32","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,34,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,34,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,34,"CEA","ata","Nulo",0,2.97,0,0.59,"Ceará",NA,NA,10,NA,10,NA,NA,6,5,4,NA,2,2,NA,NA,NA,NA,NA
"35","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,34,"BAH","mei","Provável",0,6.41,0,2.35,"Bahia",NA,NA,6,NA,11,NA,1,12,NA,7,2,2,4,NA,1,NA,NA,NA
"36","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,34,"PAL","mei","Dúvida",8,4.57,1.34,1.92,"Palmeiras",NA,NA,20,NA,47,NA,1,38,1,42,12,1,9,NA,2,NA,1,NA
"37","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,34,"CRU","lat","Provável",0,6.53,0,2.21,"Cruzeiro",NA,NA,9,NA,45,5,1,18,NA,16,9,2,6,NA,1,NA,NA,NA
"38","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,34,"ATL","zag","Provável",2.7,8.63,-0.36,3.39,"Atlético-PR",NA,NA,15,NA,17,7,NA,22,NA,13,2,1,5,1,2,NA,1,NA
"39","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,34,"FLA","gol","Contundido",0,12.02,0,4.71,"Flamengo",29,1,7,16,28,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"40","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,34,"BAH","gol","Nulo",0,2.91,0,1.7,"Bahia",10,NA,3,11,5,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"41","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,34,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",NA,NA,1,NA,14,NA,NA,5,NA,8,NA,NA,2,NA,NA,NA,NA,NA
"42","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,34,"SAO","mei","Provável",-3,9.41,-1.31,3.99,"São Paulo",NA,NA,57,NA,95,NA,5,27,6,21,8,11,17,NA,8,NA,3,NA
"43","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,34,"GRE","mei","Nulo",0,4.78,0,1.19,"Grêmio",NA,NA,13,NA,53,NA,1,8,NA,1,1,4,3,NA,2,NA,NA,NA
"44","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,34,"AME","zag","Provável",0.4,6.03,-0.34,2.67,"América-MG",NA,NA,15,NA,33,8,NA,26,2,37,3,2,3,NA,NA,NA,NA,NA
"45","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,34,"SAN","mei","Dúvida",0.2,5.67,-0.12,1.11,"Santos",NA,NA,10,NA,19,NA,NA,4,2,7,1,2,2,NA,1,NA,NA,NA
"46","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,34,"ATL","ata","Provável",0,11.76,0,5.27,"Atlético-MG",NA,NA,35,NA,40,NA,7,45,22,11,3,25,27,NA,11,NA,2,NA
"47","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,34,"FLA","mei","Suspenso",0.2,9.24,-0.31,3.95,"Flamengo",NA,NA,74,NA,82,NA,2,34,8,30,9,7,20,NA,5,1,1,NA
"48","Dorival Silvestre Júnior","dorival-junior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2018/09/28/ea756f3d9543d5c0e474b8f6dfe1973d_FORMATO.png",40990,34,"FLA","tec","Provável",6.5,15.61,0.6,5.81,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,34,"BOT","mei","Nulo",3.5,2.92,0.6,0.33,"Botafogo",NA,NA,1,NA,1,NA,NA,2,NA,2,1,NA,1,NA,NA,NA,NA,NA
"50","Givanildo José de Oliveira","givanildo-oliveira","Givanildo Oliveira","https://s.glbimg.com/es/sde/f/2018/11/13/0060adc224a8a007641085c7f316e46c_FORMATO.png",39431,34,"AME","tec","Provável",2.06,7.9,-1.04,2.06,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,34,"SPO","gol","Contundido",0,8.22,0,2.2,"Sport",38,2,3,42,14,4,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"52","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,34,"PAL","ata","Provável",6.7,12.39,0.76,5.2,"Palmeiras",NA,NA,30,NA,26,NA,3,42,6,28,2,17,17,NA,9,NA,3,NA
"53","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,34,"COR","ata","Nulo",0,5.08,0,2.22,"Corinthians",NA,NA,4,NA,8,NA,NA,8,1,4,NA,2,5,NA,1,NA,NA,NA
"54","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,34,"CRU","lat","Provável",11.4,11.47,1.58,4.73,"Cruzeiro",NA,NA,23,NA,86,9,1,28,8,61,4,2,7,1,NA,NA,NA,NA
"55","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,34,"GRE","tec","Provável",3.1,15.12,-0.46,4.77,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,34,"SPO","ata","Nulo",-3.3,2.82,-0.77,1.52,"Sport",NA,NA,16,NA,25,NA,1,16,6,11,2,10,8,NA,1,NA,NA,NA
"57","Levir Culpi","levir-culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2018/10/19/ae6ff45c9b9c188b0c6fb42f4573451d_FORMATO.png",40025,34,"ATL","tec","Provável",5.84,9.78,0.75,2.6,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,34,"BAH","lat","Provável",5.9,4.48,0.52,2.88,"Bahia",NA,NA,11,NA,33,3,1,19,NA,19,1,1,1,NA,NA,NA,NA,NA
"59","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,34,"COR","gol","Provável",6.4,10.46,1.26,3.16,"Corinthians",30,NA,1,22,13,7,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"60","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,34,"SAN","tec","Provável",0.51,10.63,-0.42,4.24,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2018/07/25/9aef615051b5ea6607236311d0d26c91_FORMATO.png",42491,34,"ATL","lat","Nulo",0,4.31,0,1.07,"Atlético-PR",NA,NA,7,NA,10,1,NA,3,NA,5,2,NA,NA,NA,NA,NA,NA,NA
"62","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,34,"COR","lat","Provável",2,10.04,-0.08,3.86,"Corinthians",NA,NA,20,NA,67,4,3,14,NA,30,3,2,3,NA,NA,NA,NA,NA
"63","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,34,"SPO","zag","Provável",10.4,6.25,0.83,2.45,"Sport",NA,NA,11,NA,28,8,NA,13,NA,28,4,3,1,NA,NA,NA,NA,NA
"64","Fabricio dos Santos Silva","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/09/27/a1134641ca673f3acc104cd2f49b65e5_FORMATO.png",49674,34,"VAS","lat","Nulo",0,4.72,0,3.41,"Vasco",NA,NA,10,NA,26,2,1,8,1,6,2,5,5,NA,1,NA,NA,NA
"65","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,34,"PAL","tec","Provável",6.92,14.97,0.67,5.28,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,34,"CHA","mei","Suspenso",-2.1,3.55,-1.36,1.6,"Chapecoense",NA,NA,10,NA,19,NA,NA,33,1,33,3,3,5,NA,NA,NA,NA,NA
"67","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,34,"VIT","lat","Nulo",0,6.5,0,2.72,"Vitória",NA,NA,8,NA,11,NA,NA,3,NA,5,NA,NA,2,NA,1,NA,NA,NA
"68","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2018/03/01/b1d7b363b4276008f46a4887b87bd5a8_FORMATO.png",50294,34,"ATL","mei","Contundido",0,6.8,0,1.68,"Atlético-PR",NA,NA,19,NA,35,NA,1,18,NA,7,4,3,8,NA,2,NA,NA,NA
"69","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,34,"FLU","gol","Provável",0.5,5.59,-0.88,3.01,"Fluminense",42,NA,9,39,17,11,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"70","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2018/05/04/b731eca97bc5d5e2b7d2f221d3595d5b_FORMATO.png",42501,34,"FLA","zag","Dúvida",0,7.6,0,3.34,"Flamengo",NA,NA,2,NA,7,4,NA,2,1,9,NA,NA,1,NA,NA,1,NA,NA
"71","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,34,"SAO","mei","Provável",0.9,9.87,-0.07,3.74,"São Paulo",NA,NA,44,NA,59,NA,6,30,9,16,5,6,8,NA,5,NA,NA,NA
"72","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,34,"ATL","mei","Dúvida",0,6,0,2.9,"Atlético-MG",NA,NA,26,NA,34,NA,NA,32,NA,51,6,NA,5,NA,NA,NA,NA,NA
"73","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,34,"SAO","mei","Provável",3.5,9.64,0,3.9,"São Paulo",NA,NA,37,NA,38,NA,NA,57,4,81,9,6,18,NA,1,NA,NA,NA
"74","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,34,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,34,"CHA","mei","Provável",0.9,5.93,-0.24,3.38,"Chapecoense",NA,NA,41,NA,34,NA,NA,30,NA,38,3,5,8,NA,2,NA,NA,NA
"76","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,34,"GRE","lat","Nulo",0,3.12,0,2.17,"Grêmio",NA,NA,9,NA,19,4,NA,21,1,17,4,NA,1,NA,NA,NA,NA,NA
"77","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,34,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,34,"SPO","mei","Provável",2,5.02,-0.2,2.87,"Sport",NA,NA,14,NA,44,NA,3,18,5,9,1,4,14,NA,3,NA,3,NA
"79","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,34,"FLU","ata","Nulo",-2,3.13,-0.54,0.27,"Fluminense",NA,NA,1,NA,10,NA,NA,18,4,6,2,7,4,NA,NA,NA,NA,NA
"80","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,34,"ATL","zag","Contundido",0,7.18,0,2.98,"Atlético-PR",NA,NA,7,NA,24,7,NA,11,NA,6,5,NA,NA,NA,1,NA,NA,NA
