"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","CV","FF","I","FD","DD","GS","DP","A","FT","GC","PP"
"49","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,36,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,36,"PAL","zag","Provável",0,5.25,0,1.58,"Palmeiras",5,12,18,1,11,12,4,1,2,3,1,NA,NA,NA,NA,1,1,NA
"51","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,36,"ATL","lat","Nulo",3.1,9.09,1.22,3.59,"Atlético-PR",5,22,8,1,36,12,11,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA
"52","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,36,"GRE","lat","Dúvida",0,12.21,0,5.98,"Grêmio",NA,11,16,NA,27,21,10,NA,1,2,NA,NA,NA,NA,4,NA,NA,NA
"53","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,36,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,36,"CRU","mei","Dúvida",0,8.03,0,2.52,"Cruzeiro",7,23,20,NA,26,39,NA,NA,11,NA,1,NA,NA,NA,1,NA,1,NA
"55","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,36,"BOT","mei","Provável",0,2.92,0,0.33,"Botafogo",1,2,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,36,"CEA","mei","Provável",-1.8,2.2,-0.12,0.14,"Ceará",3,42,13,NA,32,19,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA
"57","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,36,"GRE","gol","Contundido",0,13.66,0,4.14,"Grêmio",2,NA,2,NA,5,NA,11,NA,NA,NA,NA,14,9,NA,NA,NA,NA,NA
"58","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,36,"VIT","mei","Nulo",0,2.53,0,0.01,"Vitória",4,18,10,NA,18,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"59","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,36,"CRU","ata","Nulo",0,7.75,0,4.25,"Cruzeiro",3,8,20,3,22,19,NA,NA,17,2,7,NA,NA,NA,1,3,NA,NA
"60","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,36,"PAR","mei","Nulo",0,2.37,0,0.5,"Paraná",NA,2,4,NA,5,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"61","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2018/07/13/19610200497a0a011b67ab0cb2f99d0b_FORMATO.png",61985,36,"FLU","mei","Nulo",0,2.87,0,0.94,"Fluminense",5,11,7,NA,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,36,"CRU","lat","Provável",0,6.7,0,2.12,"Cruzeiro",10,21,12,1,46,18,5,NA,6,NA,2,NA,NA,NA,1,NA,NA,NA
"63","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,36,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,36,"PAL","mei","Provável",1.2,3.74,-1.49,2.22,"Palmeiras",12,39,23,2,53,50,NA,NA,10,1,1,NA,NA,NA,1,1,NA,NA
"65","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,36,"PAL","lat","Provável",0,6.48,0,2.69,"Palmeiras",1,13,6,NA,13,5,9,NA,3,NA,1,NA,NA,NA,NA,1,NA,1
"66","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2018/08/21/8168274098fd8c821729681da346e325_FORMATO.png",62024,36,"SAO","lat","Nulo",0,4.96,0,3.8,"São Paulo",2,12,10,NA,17,14,7,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA
"67","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,36,"AME","mei","Contundido",0,2.44,0,0.83,"América-MG",NA,5,1,NA,14,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Fernando Camilo Farias","camilo","Camilo","https://s.glbimg.com/es/sde/f/2018/04/08/8ed64ccf988eab46873b7e4c9d99ebef_FORMATO.png",62009,36,"INT","mei","Dúvida",0.9,3.67,0.08,2.05,"Internacional",NA,6,7,1,19,4,NA,NA,7,2,1,NA,NA,NA,2,NA,NA,NA
"69","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,36,"BAH","mei","Nulo",0,4.88,0,1.9,"Bahia",3,16,6,1,11,8,NA,NA,5,NA,2,NA,NA,NA,1,NA,NA,NA
"70","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,36,"AME","zag","Provável",-2,5.56,-0.52,2.45,"América-MG",4,33,15,NA,34,40,8,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA
"71","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2018/07/27/66258debb61166bf3d552593e8934529_FORMATO.png",62129,36,"ATL","mei","Suspenso",-1.5,2.31,-0.29,1.04,"Atlético-PR",6,31,3,1,22,24,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA
"72","Wallyson Ricardo Maciel Monteiro","wallyson","Wallyson","https://s.glbimg.com/es/sde/f/2018/07/16/901eb351baf6774200546a4cb812d2a7_FORMATO.png",62127,36,"VIT","ata","Nulo",0,8.81,0,3.23,"Vitória",2,7,16,2,38,11,NA,NA,13,2,6,NA,NA,NA,4,1,NA,NA
"73","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2018/03/21/3a5a3365b94f222144190fe55a5d56f7_FORMATO.png",62023,36,"INT","mei","Provável",10.8,6.73,2.64,1.3,"Internacional",4,6,29,3,75,6,NA,1,7,1,4,NA,NA,NA,1,2,NA,NA
"74","Róbson Michael Signorini","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/05/07/9ec32acd97931db6852cd1b099fca085_FORMATO.png",62104,36,"CRU","mei","Provável",2.1,5.34,0.75,1.57,"Cruzeiro",8,34,26,1,81,32,NA,NA,12,3,5,NA,NA,NA,3,NA,NA,NA
"75","Marcelo de Oliveira Santos","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/07/05/01edbc76fc669fabaedd576160699382_FORMATO.png",62136,36,"FLU","tec","Provável",1.64,10.68,-0.61,3.72,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2018/09/03/03264bf38dfae9a050a9be1e98d381e5_FORMATO.png",62137,36,"BAH","tec","Provável",5.09,11.18,0.53,3.78,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2018/01/30/edb0d67e60d39d102b52517058ff4227_FORMATO.jpeg",63013,36,"PAL","lat","Nulo",0,12.82,0,6.06,"Palmeiras",5,43,20,1,86,65,8,NA,3,NA,2,NA,NA,NA,3,1,NA,NA
"78","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2018/05/24/ddefa1a922260aeb7a1835dd4a8117f5_FORMATO.png",63110,36,"CHA","mei","Nulo",-2.1,2.8,-0.78,0.92,"Chapecoense",2,8,10,NA,10,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"79","Willian Roberto Farias","willian-farias","Willian Farias","https://s.glbimg.com/es/sde/f/2018/03/21/4447e0929a366fd4391a8f2df378f705_FORMATO.png",63058,36,"VIT","mei","Provável",-0.8,4.08,-0.38,2.1,"Vitória",1,21,11,NA,21,28,NA,NA,7,1,1,NA,NA,NA,1,NA,NA,NA
"80","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,36,"CHA","zag","Provável",0,7.4,-0.48,3.04,"Chapecoense",2,36,19,NA,19,41,8,1,7,NA,1,NA,NA,NA,NA,1,NA,NA
