"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FS","CA","FC","FF","PE","RB","SG","A","FD","G","I","FT","DD","GS","CV","GC","PP","DP"
"21","Riuler de Oliveira Faustino","riuler","Riuler","https://s.glbimg.com/es/sde/f/2018/05/08/d02df5afc866bff4bd57ec2a89b945d3_FORMATO.png",99021,22,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Linik Eduardo Santos","linik","Linik","https://s.glbimg.com/es/sde/f/2018/03/21/1b2fe22656db0d2209b8e7ef2717f9a7_FORMATO.png",99545,22,"VIT","mei","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","João Carlos Cardoso Santo","joao-carlos","João Carlos","https://s.glbimg.com/es/sde/f/2018/04/13/26a4ba714efafcc43303d908b1da4aac_FORMATO.png",99583,22,"FLU","ata","Nulo",0,0.75,0,0.15,"Fluminense",7,1,11,2,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bruno Cosendey Lobo Pinto","bruno-cosendey","Bruno Cosendey","https://s.glbimg.com/es/sde/f/2018/04/09/5a3395e38948c1618677cceb1cd1b9cb_FORMATO.png",99615,22,"VAS","mei","Nulo",0,3.76,0,2.61,"Vasco",3,NA,7,2,14,5,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"25","Leonardo da Silva Simas","leonardo-simas","Leonardo Simas","https://s.glbimg.com/es/sde/f/2018/05/08/9f9fa35de662c141a4b23af95f99f022_FORMATO.png",99832,22,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Jadson Ailton Oliveira Da Silva Vale","jadson","Jadson","https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_FORMATO.jpeg",99629,22,"GRE","ata","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Ezequiel Gonzalo Esperon","esperon","Esperon","https://s.glbimg.com/es/sde/f/2017/06/07/dfce0445c3144c43e2d3f33bb0dd4131_FORMATO.jpeg",99628,22,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2018/04/09/b65f0d2879435e36c4e5348eedb9f8b7_FORMATO.png",99881,22,"VAS","zag","Nulo",0,4.55,0,1.78,"Vasco",8,5,11,NA,12,13,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"29","Yimmi Javier Chará Zamora","chara","Chará","https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png",99891,22,"ATL","ata","Nulo",-1.2,9.57,-0.57,3.8,"Atlético-MG",19,1,8,2,21,11,NA,3,1,1,3,NA,NA,NA,NA,NA,NA,NA
"30","José Francisco dos Santos Júnior","junior-brumado","Júnior Brumado","https://s.glbimg.com/es/sde/f/2018/03/21/bd18849356245d84cf422f076a8f1cdf_FORMATO.png",99894,22,"BAH","ata","Nulo",0,3.41,0,1.19,"Bahia",7,2,12,6,5,4,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA
"31","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2018/05/17/9790a9eb14c2629004e401eb258e2505_FORMATO.png",99903,22,"BOT","ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/08/21/993c919329907447bdfe72defc7eced9_FORMATO.png",99789,22,"SAO","ata","Nulo",0,2.24,0,0.97,"São Paulo",2,NA,1,2,3,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"33","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2018/08/22/151d1a25f1a557fbf4d66544c4d67e2a_FORMATO.png",100084,22,"SAO","mei","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/05/04/26a67180b8114a860a9e6f9c54cdebd4_FORMATO.png",100065,22,"FLA","ata","Nulo",1.2,2.44,0.08,1.18,"Flamengo",3,NA,3,1,2,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Jhonny Lucas Flora Barboza ","jhonny-lucas","Jhonny Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/1891e9e504ce289621d56cf6db5ba93d_FORMATO.png",99994,22,"PAR","mei","Suspenso",1.5,3.96,0.21,1.19,"Paraná",10,6,31,5,21,19,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"36","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2018/05/04/092bb0f0452c36118decf2dba0e806a4_FORMATO.png",100125,22,"FLA","zag","Nulo",0,4.34,0,6.06,"Flamengo",2,1,6,2,9,13,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"37","Lucas Soares de Almeida","lucas-soares","Lucas Soares",NA,100158,22,"CRU","lat","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Pablo Carneiro Freitas","pablo-maldini","Pablo Maldini",NA,100127,22,"FLA","lat","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Pedro Henrique de Oliveira Correia","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2017/09/14/f98ef7fba472b456f28c1888c9e392e5_FORMATO.jpeg",100322,22,"PAL","zag","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Paulo Henrique Pereira da Silva","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2018/05/26/755b69cb731efaf835f0b845f7693bbf_FORMATO.png",100333,22,"SAO","ata","Nulo",0,1.29,0,2.5,"São Paulo",1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Vander Tavares Silva","vander","Vander",NA,100159,22,"CRU","mei","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Kleber Augusto Caetano Leite Filho","kleber","Kleber","https://s.glbimg.com/es/sde/f/2018/05/04/3c7fcc093b6dd915834a1c3c3231e0c0_FORMATO.png",100126,22,"FLA","lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Matheus Matias Ferreira","matheus-matias","Matheus Matias","https://s.glbimg.com/es/sde/f/2018/03/20/eb73de7fb8328542fb0438fdd1809c4b_FORMATO.png",100430,22,"COR","ata","Nulo",0,2.99,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Khevin Rodrigo Fraga","khevin","Khevin","https://s.glbimg.com/es/sde/f/2018/05/24/aa909d621dc61944afb0d68fa14e38af_FORMATO.png",99921,22,"CHA","mei","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2018/05/23/c12302cb409beb75eb67f045028f774e_FORMATO.png",100652,22,"SAN","ata","Nulo",0,2.25,0,1.06,"Santos",3,1,2,3,NA,1,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"46","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2018/08/22/5074326c849aa0f7702b74cfcf2be30f_FORMATO.png",100761,22,"SAO","lat","Nulo",2.7,6.19,0.71,3.72,"São Paulo",14,2,14,3,16,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Filipe Gonçalves dos Santos","filipe","Filipe","https://s.glbimg.com/es/sde/f/2018/03/19/27a5b03e54471091e2daf78e203363ef_FORMATO.png",100712,22,"COR","gol","Nulo",0,1,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Weverton Almeida Silva","weverton-almeida","Weverton Almeida","https://s.glbimg.com/es/sde/f/2018/05/08/4c72622d78b8cfdc737c1eb48ea75370_FORMATO.png",100459,22,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Ezequiel Santos da Silva","ezequiel","Ezequiel","https://s.glbimg.com/es/sde/f/2018/05/17/f4995e8da11ffe996033b0ebf06c4a13_FORMATO.png",99915,22,"BOT","ata","Nulo",0,4.51,0,2.02,"Botafogo",8,NA,3,3,3,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes",NA,100741,22,"GRE","lat","Nulo",0,0.95,0,1,"Grêmio",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Rodrygo Silva de Goes","rodrygo","Rodrygo","https://s.glbimg.com/es/sde/f/2018/05/23/a4027e39ad5dea6e62cfafe8425bd637_FORMATO.png",100651,22,"SAN","ata","Provável",1,11.56,0.08,4.91,"Santos",36,1,22,8,44,10,NA,3,8,6,1,1,NA,NA,NA,NA,NA,NA
"52","Gabriel Davi Gomes Sara","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/08/21/de4ebb4930052513099aefe26a7f4caa_FORMATO.png",100763,22,"SAO","mei","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique",NA,100742,22,"GRE","mei","Nulo",0,1.49,0,1.23,"Grêmio",2,1,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Emerson Barbosa Rodrigues Dos Santos","emerson-barbosa","Emerson Barbosa","https://s.glbimg.com/es/sde/f/2018/03/21/412270f069daea4bf712a92e52a6a14e_FORMATO.png",100800,22,"SAN","lat","Nulo",0,1,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Guilherme Bissoli Campos ","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2018/08/21/22011257c0776df772761efd89a801d2_FORMATO.png",100762,22,"SAO","ata","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg",100830,22,"GRE","gol","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Matheus Gabriel Guedes Caetano","matheus-guedes","Matheus Guedes","https://s.glbimg.com/es/sde/f/2017/11/21/beea04b2739626d19d9a6c24da40762e_FORMATO.png",100746,22,"SAN","zag","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Ericson da Silva","ericson","Ericson",NA,100839,22,"GRE","zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Emanuel Leone Moura","emanuel","Emanuel","https://s.glbimg.com/es/sde/f/2017/12/01/e2a85d715ac397898197228bac470497_FORMATO.jpeg",100840,22,"GRE","zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Marco Antonio Saravia Antinori","marco-saravia","Marco Saravia",NA,101479,22,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Ruan Tressoldi Netto","ruan","Ruan",NA,100842,22,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Lucas Esteves de Souza","esteves","Esteves","https://s.glbimg.com/es/sde/f/2017/12/02/1506a1501f5670d8841c320d2456e45d_FORMATO.png",100846,22,"PAL","lat","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Aníbal Gabriel Vega da Silva","anibal","Aníbal","https://s.glbimg.com/es/sde/f/2017/12/02/fefa8b7d5270b00509e86279efdf2c9f_FORMATO.png",100847,22,"PAL","ata","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Felipe Albuquerque Felippi","felipe","Felipe",NA,100843,22,"GRE","lat","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Lucas Araújo de Oliveira","lucas-araujo","Lucas Araújo",NA,100844,22,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Guilherme Vieira Moraes da Silva","guilherme-vieira","Guilherme Vieira","https://s.glbimg.com/es/sde/f/2017/12/02/4f51d2cd317db553d2b03d1df58350a2_FORMATO.png",100849,22,"PAL","ata","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Luan Cândido de Almeida","luan-candido","Luan Cândido","https://s.glbimg.com/es/sde/f/2017/12/02/e7ddf5812ba39b07d5ce1a4b9475ebd0_FORMATO.png",100848,22,"PAL","lat","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Victor Alexander Da Silva ","vitinho","Vitinho",NA,100898,22,"CRU","lat","Nulo",0,0.95,0,0.5,"Cruzeiro",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Matheus Ferreira de Sousa","ferreira","Ferreira","https://s.glbimg.com/es/sde/f/2018/04/12/1a8922ffc1c19237faf02beed71c102d_FORMATO.png",100985,22,"SPO","mei","Nulo",0,2.89,0,1.05,"Sport",NA,1,5,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2018/07/23/765c032bd553fcba8b0ef9139f425012_FORMATO.png",100987,22,"INT","mei","Nulo",0,2,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Helerson Mateus do Nascimento","helerson","Helerson","https://s.glbimg.com/es/sde/f/2018/05/17/d77174c23bf61556c34f3ce05ac4c396_FORMATO.png",101073,22,"BOT","zag","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Bruno da Silva Santos","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/24/c08c1ffb51c09b59126c4f9ae3771ec7_FORMATO.png",101422,22,"CHA","ata","Provável",0.9,2.54,0.61,2.04,"Chapecoense",15,1,21,3,31,22,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA
"73","Igor Henrique Pereira de Campos","igor-campos","Igor Campos","https://s.glbimg.com/es/sde/f/2018/05/24/97ef928b4d8da38916e72a5166792dc8_FORMATO.png",101421,22,"CHA","gol","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Murillo Barbosa Lopes","murillo-lopes","Murillo Lopes","https://s.glbimg.com/es/sde/f/2018/03/21/e2ec7f5249ed4e20ba954475be6bdd08_FORMATO.png",101199,22,"PAR","gol","Nulo",0,2,0,0,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Isaque Elias Brito","isaque","Isaque",NA,101483,22,"GRE","mei","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Thonny Anderson da Silva Carvalho","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2018/05/21/c953437a71c9cd2f1052eaf9d828bd6d_FORMATO.png",101484,22,"GRE","mei","Nulo",0,2.71,0,1.18,"Grêmio",2,NA,4,1,7,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"77","Mateus Felipe Santiago Dutra","santiago","Santiago",NA,101481,22,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2018/07/05/ce690031c364aa0119c415809e422cf0_FORMATO.png",101315,22,"INT","mei","Nulo",0,5,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Rodrigo Jorge Medina Ancheta","rodrigo-ancheta","Rodrigo Ancheta",NA,101482,22,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Paulo Henrique Rolim de Genova","paulo-henrique","Paulo Henrique","https://s.glbimg.com/es/sde/f/2018/05/26/1aca13a72ed990c98e463349b3d14ef1_FORMATO.png",101531,22,"SAO","mei","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","João Pedro Vilardi Pinto","pepe","Pepê","https://s.glbimg.com/es/sde/f/2018/03/17/e7607f8d20077dbbbeb1d032794914ca_FORMATO.png",101573,22,"FLA","mei","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Hugo de Souza Nogueira","hugo-souza","Hugo Souza","https://s.glbimg.com/es/sde/f/2018/08/17/0d62f2b958751f0744942f9328f49c39_FORMATO.png",101574,22,"FLA","gol","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Jorge Ambrosio Mendonça","mendonca","Mendonça",NA,101480,22,"GRE","zag","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
