"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","CV","FD","FT","GC","I","G","A","DD","GS","DP","PP"
"23","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,17,"VIT","mei","Suspenso",3.2,3.44,0.53,0.46,"Vitória",3,7,NA,3,9,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"24","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,17,"CRU","mei","Provável",0,9.21,0,2.86,"Cruzeiro",3,11,6,13,13,21,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,17,"CEA","mei","Provável",0.1,3.01,0.3,-1.75,"Ceará",1,10,NA,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,17,"GRE","gol","Nulo",0,15.68,0,4.77,"Grêmio",NA,NA,NA,2,4,NA,10,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA
"27","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2018/07/13/19610200497a0a011b67ab0cb2f99d0b_FORMATO.png",61985,17,"FLU","mei","Provável",3.5,3.18,0.66,0.97,"Fluminense",2,4,NA,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,17,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,17,"VIT","lat","Nulo",0,6.5,0,2.72,"Vitória",NA,3,2,8,11,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"30","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,17,"ATL","gol","Provável",0.7,9.99,0.68,2.58,"Atlético-MG",1,NA,NA,2,14,NA,3,NA,NA,NA,NA,NA,NA,NA,28,25,NA,NA
"31","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,17,"ATL","zag","Nulo",0,8.87,0,3.02,"Atlético-PR",1,13,3,8,11,9,3,NA,1,1,1,NA,1,NA,NA,NA,NA,NA
"32","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,17,"COR","mei","Nulo",0.2,7.25,-1.7,3.17,"Corinthians",NA,5,3,1,23,2,NA,NA,1,1,NA,NA,2,3,NA,NA,NA,NA
"33","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,17,"CRU","mei","Provável",-0.8,6.61,-0.67,1.94,"Cruzeiro",NA,7,1,14,11,7,NA,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA
"34","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2010/11/17/fc125a7a134e459c66b08c32448c1426_FORMATO.jpeg",38505,17,"VAS","zag","Provável",0,10,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,17,"ATL","ata","Provável",1.2,11.14,-0.77,6.29,"Atlético-MG",2,25,15,17,27,8,NA,NA,14,NA,NA,10,7,5,NA,NA,NA,NA
"36","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/07/9cae85100fc013bc0d503fb2e82577ce_FORMATO.png",54395,17,"ATL","mei","Provável",1.1,5.39,-0.27,1.95,"Atlético-MG",5,17,5,13,28,17,NA,NA,1,NA,NA,4,1,3,NA,NA,NA,NA
"37","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,17,"AME","mei","Provável",5.4,3.33,0.83,0.92,"América-MG",2,9,2,4,14,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,17,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Luis Ricardo Silva Umbelino","luis-ricardo","Luis Ricardo","https://s.glbimg.com/es/sde/f/2018/05/17/b97d0ae6a2ac460ef42ffa8600c770a6_FORMATO.png",55348,17,"BOT","lat","Nulo",0,3.99,0,2.38,"Botafogo",NA,2,NA,1,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/05/26/df16876e9f870ea8c1233df2e4dc4c5a_FORMATO.png",38913,17,"SAO","mei","Provável",-0.6,9.75,-0.02,4.9,"São Paulo",5,16,11,36,53,11,NA,NA,5,2,NA,2,6,2,NA,NA,NA,NA
"41","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/03/21/c1647634cd1be0db834cb736dd2296de_FORMATO.png",50402,17,"BAH","ata","Nulo",0,4.57,0,0.93,"Bahia",1,6,2,NA,2,2,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA
"42","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,17,"CEA","ata","Nulo",0,3.67,0,0.93,"Ceará",NA,6,2,10,7,4,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA
"43","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/04/09/f2c6c8bfe27315c6e7bd65079343b249_FORMATO.png",50408,17,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",3,5,NA,4,9,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,17,"BOT","mei","Nulo",0,2.91,0,-0.5,"Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,17,"FLA","gol","Provável",5.1,12.87,1.22,5.36,"Flamengo",1,NA,NA,4,19,NA,8,NA,NA,NA,NA,NA,NA,NA,19,9,1,NA
"46","Marcos Antônio da Silva Gonçalves","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png",60788,17,"AME","ata","Provável",-0.1,5.8,0.37,1.35,"América-MG",1,6,1,8,29,5,NA,NA,3,NA,NA,1,1,1,NA,NA,NA,NA
"47","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,17,"SPO","ata","Provável",3.2,4.28,0.06,2.46,"Sport",1,12,8,13,17,10,NA,NA,8,NA,NA,6,1,1,NA,NA,NA,NA
"48","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,17,"CRU","lat","Suspenso",0,6.89,0,1.85,"Cruzeiro",6,10,4,7,28,12,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,17,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,17,"CRU","zag","Nulo",0,12.15,0,6.34,"Cruzeiro",3,14,5,15,20,29,5,NA,5,NA,NA,1,2,NA,NA,NA,NA,NA
"51","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,17,"AME","mei","Provável",-0.5,0.84,0.07,-0.91,"América-MG",1,10,3,11,10,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"52","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,17,"SPO","gol","Provável",1,7.13,0.93,1.62,"Sport",3,1,NA,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,16,19,1,NA
"53","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,17,"AME","tec","Provável",4.85,8.97,0.78,4.52,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,17,"CEA","ata","Provável",-0.3,4.87,0.11,2.29,"Ceará",NA,13,5,16,31,9,NA,NA,4,NA,NA,1,1,2,NA,NA,NA,NA
"55","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,17,"CRU","zag","Nulo",0,8.29,0,3.57,"Cruzeiro",NA,11,5,4,9,18,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"56","Renan Henrique Oliveira Vieira","renan-oliveira","Renan Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b77d3968ee48567370aabffeb805c67f_FORMATO.png",60822,17,"AME","mei","Nulo",0,3.5,0,-0.5,"América-MG",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,17,"PAL","mei","Nulo",0,2.67,0,0.67,"Palmeiras",8,22,4,7,23,23,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"58","Luan Michel de Louzã","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/07/1f9835d5fb38d7e164ba9852c6be3209_FORMATO.png",60834,17,"AME","ata","Nulo",0,9.59,0,2.3,"América-MG",2,16,7,15,18,12,NA,1,1,NA,NA,3,NA,2,NA,NA,NA,NA
"59","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,17,"CHA","lat","Provável",5,6.55,1.31,3.99,"Chapecoense",1,7,1,5,22,15,3,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"60","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,17,"GRE","tec","Provável",6.19,15.33,0.88,4.8,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,17,"BAH","mei","Dúvida",-0.5,5.32,-1.68,-0.5,"Bahia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Elton Rodrigues Brandão","elton","Elton","https://s.glbimg.com/es/sde/f/2018/05/25/f85dba3a9b276e1b282f403b58a9980a_FORMATO.png",38588,17,"CEA","ata","Nulo",0,6.18,0,3.45,"Ceará",2,17,4,4,6,3,NA,NA,4,NA,NA,1,2,1,NA,NA,NA,NA
"63","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,17,"GRE","lat","Nulo",0,2.48,0,-0.13,"Grêmio",2,10,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Jael Ferreira Vieira","jael","Jael","https://s.glbimg.com/es/sde/f/2018/05/18/528786142cfbdf2221caa974ac75720e_FORMATO.png",60859,17,"GRE","ata","Provável",9.9,3.72,1.77,0.83,"Grêmio",1,6,2,4,15,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1
"65","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2018/04/08/54329b1f2e19497e40a10f2e289a5406_FORMATO.png",60852,17,"INT","lat","Nulo",0,4.17,0,-1.2,"Internacional",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,17,"COR","zag","Nulo",8,10.62,1.26,3.44,"Corinthians",1,7,4,12,10,10,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"67","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,17,"CEA","mei","Suspenso",0,5,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,17,"PAL","ata","Contundido",0,12.66,0,6.52,"Palmeiras",2,30,9,17,9,14,NA,NA,9,3,NA,6,7,2,NA,NA,NA,NA
"69","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,17,"COR","ata","Contundido",0,6.57,0,4.27,"Corinthians",NA,5,3,2,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"70","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,17,"INT","zag","Nulo",0,5.08,0,3.35,"Internacional",2,3,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,17,"CRU","lat","Nulo",0,10,0,5.38,"Cruzeiro",1,16,5,11,36,32,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"72","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/04/12/4ac64e59708b5d650a2eaa4d53c9c1db_FORMATO.png",51495,17,"CEA","zag","Provável",5,5.95,-0.19,4.69,"Ceará",NA,5,1,4,7,13,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"73","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/08/01/d022e1c6c93f51788b509d33c4b1110a_FORMATO.png",51194,17,"CHA","zag","Nulo",0,4.61,0,2.7,"Chapecoense",NA,2,2,6,8,7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"74","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2018/05/07/1a92a6695f550a6074401fe61265d5db_FORMATO.png",60969,17,"ATL","lat","Nulo",0,4.14,0,1.66,"Atlético-MG",1,25,2,3,40,19,2,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA
"75","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,17,"CHA","mei","Nulo",0.6,4.15,-0.84,1.87,"Chapecoense",1,15,1,3,12,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,17,"COR","gol","Nulo",0,8.96,0,6.17,"Corinthians",NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,15,6,NA,NA
"77","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,17,"COR","gol","Provável",10.7,12.13,1.92,5.82,"Corinthians",2,NA,NA,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,17,7,NA,NA
"78","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,17,"AME","mei","Provável",-0.4,1.52,0.15,0.15,"América-MG",3,14,3,11,29,12,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Pedro Roberto Silva Botelho","pedro-botelho","Pedro Botelho","https://s.glbimg.com/es/sde/f/2018/03/21/3c4dc7fc1ea46e31898d6cdb2b37d3c9_FORMATO.png",51779,17,"VIT","lat","Nulo",0,6.26,0,3.2,"Vitória",NA,3,1,NA,15,8,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"80","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,17,"SAN","tec","Provável",1.95,8.85,-1.43,1.95,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
