"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","CA","FC","G","RB","FD","FF","FT","A","CV","I","GC","PP"
"33","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,24,"CHA","ata","Nulo",0,9.16,0,2.59,"Chapecoense",NA,NA,27,NA,34,NA,7,40,4,10,2,21,NA,2,NA,8,NA,NA
"34","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,24,"COR","mei","Nulo",0,2.63,0,0.67,"Corinthians",NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"35","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,24,"CRU","mei","Dúvida",4.1,7.53,0.31,2.45,"Cruzeiro",NA,NA,35,NA,27,NA,NA,12,NA,17,4,3,NA,1,NA,4,NA,NA
"36","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/08/14/452ba81de55e40e0d4dd5782c12f3bb0_FORMATO.png",38505,24,"VAS","zag","Provável",0,7.28,0,0.45,"Vasco",NA,NA,2,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"37","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,24,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,24,"CEA","ata","Contundido",0,3.67,0,0.93,"Ceará",NA,NA,10,NA,7,NA,NA,6,NA,4,2,2,NA,NA,NA,5,NA,NA
"39","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,24,"FLA","gol","Provável",8.2,12.98,1.5,4.65,"Flamengo",24,1,7,14,27,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,24,"BAH","mei","Nulo",0,5.32,0,-0.5,"Bahia",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,24,"BOT","lat","Nulo",0,7.84,0,3.59,"Botafogo",NA,NA,24,NA,32,2,4,14,1,20,2,2,NA,NA,NA,NA,NA,NA
"42","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,24,"CRU","lat","Nulo",0,7.47,0,2.35,"Cruzeiro",NA,NA,8,NA,34,4,7,11,1,12,2,4,NA,NA,NA,NA,NA,NA
"43","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png",38632,24,"AME","zag","Provável",0,5.79,0,2.61,"América-MG",NA,NA,8,NA,21,6,3,18,NA,23,1,2,NA,NA,NA,1,NA,NA
"44","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/18/1b23e7199fdc9a516412aeb4c4957a08_FORMATO.png",38738,24,"GRE","mei","Provável",0,4.98,0,0.92,"Grêmio",NA,NA,5,NA,31,NA,1,7,1,1,3,2,NA,1,NA,NA,NA,NA
"45","Renato Dirnei Florêncio","renato","Renato","https://s.glbimg.com/es/sde/f/2018/05/23/9f920c86a12c3ed34531ce2c4e8770ac_FORMATO.png",38908,24,"SAN","mei","Nulo",0,6.03,-0.4,1.51,"Santos",NA,NA,9,NA,18,NA,1,4,1,7,2,2,NA,NA,NA,2,NA,NA
"46","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,24,"ATL","ata","Provável",9.5,13.22,0.83,6.5,"Atlético-MG",NA,NA,25,NA,35,NA,2,32,10,9,23,24,2,6,NA,18,NA,NA
"47","David França Oliveira e Silva","david","David","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png",38695,24,"AME","mei","Provável",3.2,2.79,0.41,1.22,"América-MG",NA,NA,NA,NA,10,NA,NA,3,NA,6,NA,2,NA,NA,NA,NA,NA,NA
"48","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2018/08/22/e820d84b4792435d04248685975216a2_FORMATO.png",38913,24,"SAO","mei","Provável",8,11.33,1.34,4.95,"São Paulo",NA,NA,48,NA,76,NA,6,20,8,16,9,15,2,3,NA,4,NA,NA
"49","Alexandro Silva de Souza","dudu-cearense","Dudu Cearense","https://s.glbimg.com/es/sde/f/2018/05/17/01eaebc0944e538f365960a40b6c4996_FORMATO.png",38928,24,"BOT","mei","Nulo",0,2.32,0,-1.25,"Botafogo",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png",38909,24,"FLA","mei","Provável",19.7,12.94,3.05,5.47,"Flamengo",NA,NA,60,NA,72,NA,6,28,5,28,5,17,1,2,NA,8,NA,NA
"51","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,24,"VIT","tec","Provável",3.52,8.56,-0.1,3.87,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,24,"PAL","ata","Nulo",-0.3,11.19,-1.62,5.82,"Palmeiras",NA,NA,25,NA,15,NA,2,36,8,19,11,11,3,2,NA,6,NA,NA
"53","Jonathas Cristian de Jesus","jonathas","Jonathas","https://s.glbimg.com/es/sde/f/2018/07/27/9876abcdea0d81491f0dc0199588261b_FORMATO.png",42138,24,"COR","ata","Nulo",0.5,5.68,-0.41,2.72,"Corinthians",NA,NA,4,NA,4,NA,NA,5,1,4,NA,5,NA,NA,NA,NA,NA,NA
"54","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,24,"GRE","tec","Provável",2.12,14.78,-0.66,4.87,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Rafael Marques Mariano","rafael-marques","Rafael Marques","https://s.glbimg.com/es/sde/f/2018/05/16/25d3a7de80ca1a566231bfaf02f2bce4_FORMATO.png",38957,24,"SPO","ata","Nulo",0,3.81,0,2.02,"Sport",NA,NA,15,NA,21,NA,1,13,1,11,9,8,NA,1,NA,6,NA,NA
"56","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,24,"SPO","gol","Provável",12.2,8.91,1.84,2.23,"Sport",27,2,2,31,10,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,24,"AME","tec","Provável",3.99,9.42,0.06,3.76,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,24,"CRU","lat","Provável",7.3,11.2,-0.53,5.74,"Cruzeiro",NA,NA,18,NA,57,7,2,22,NA,48,1,6,NA,1,NA,6,NA,NA
"59","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,24,"SAN","tec","Provável",5.26,10.87,0.23,5.08,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,24,"CHA","mei","Nulo",-1,3.69,-0.57,1.53,"Chapecoense",NA,NA,5,NA,15,NA,1,22,NA,21,3,2,NA,NA,NA,1,NA,NA
"61","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,24,"COR","gol","Provável",-2,9.65,-1.78,4.56,"Corinthians",21,NA,1,11,9,6,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"62","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2018/03/19/528856fa71a532f9c34d6147c18a41cf_FORMATO.png",42500,24,"COR","lat","Nulo",0,11.21,0,4.11,"Corinthians",NA,NA,13,NA,45,4,3,12,NA,19,NA,2,NA,2,NA,NA,NA,NA
"63","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2018/04/10/ded820338a01a7340f60943816b4b09c_FORMATO.png",49651,24,"SPO","zag","Provável",6.5,5.15,1.11,1.84,"Sport",NA,NA,7,NA,12,5,3,11,NA,15,1,NA,NA,NA,NA,NA,NA,NA
"64","Bruno Vieira do Nascimento","bruno","Bruno","https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png",42499,24,"BAH","lat","Nulo",0,3.37,0,1.22,"Bahia",NA,NA,8,NA,19,1,1,13,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"65","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,24,"GRE","gol","Nulo",2,14.86,-1.14,4.84,"Grêmio",13,NA,2,6,5,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2018/08/21/1557114c47ef2c1d046b4c58bca9679e_FORMATO.png",50301,24,"SAO","mei","Provável",0,10.42,0,4.45,"São Paulo",NA,NA,44,NA,50,NA,5,27,5,12,6,7,NA,6,NA,8,NA,NA
"67","Adilson Warken","adilson","Adilson","https://s.glbimg.com/es/sde/f/2018/05/07/8d28089e075545ce7ac5d0eacc69563e_FORMATO.png",50307,24,"ATL","mei","Provável",1,6.07,-0.18,2.97,"Atlético-MG",NA,NA,21,NA,24,NA,4,23,NA,36,NA,1,NA,NA,NA,NA,NA,NA
"68","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2018/05/18/9175fb237f88f2d3ff918fe179c4d295_FORMATO.png",49673,24,"FLU","gol","Provável",11.2,7.09,0.68,3.44,"Fluminense",33,NA,5,27,15,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"69","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,24,"GRE","lat","Provável",0,4.48,0,2.2,"Grêmio",NA,NA,5,NA,13,2,2,15,NA,12,NA,1,NA,NA,NA,1,NA,NA
"70","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png",50324,24,"SAO","mei","Provável",4.8,9.49,0.59,3.87,"São Paulo",NA,NA,19,NA,27,NA,7,39,1,56,5,11,NA,NA,NA,2,NA,NA
"71","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,24,"PAL","tec","Provável",6.37,14.54,0.09,6.32,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,24,"VIT","lat","Contundido",0,6.5,0,2.72,"Vitória",NA,NA,8,NA,11,NA,NA,3,1,5,NA,2,NA,NA,NA,NA,NA,NA
"73","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,24,"CHA","mei","Provável",0,6.38,0,4.12,"Chapecoense",NA,NA,34,NA,26,NA,3,22,2,33,3,6,NA,NA,NA,NA,NA,NA
"74","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,24,"AME","mei","Contundido",0,4.73,0,2.07,"América-MG",NA,NA,10,NA,27,NA,2,20,2,16,6,3,NA,NA,NA,3,NA,NA
"75","Marco Antonio de Mattos Filho","marquinho","Marquinho","https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png",50407,24,"ATL","mei","Nulo",0,5,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/04/09/f2c6c8bfe27315c6e7bd65079343b249_FORMATO.png",50408,24,"VAS","zag","Contundido",0,3,0,-0.04,"Vasco",NA,NA,4,NA,9,1,3,5,NA,6,NA,NA,NA,NA,1,NA,NA,NA
"77","Kayke Moreno de Andrade Rodrigues","kayke","Kayke","https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png",50402,24,"FLU","ata","Provável",0.6,3.75,-0.14,0.51,"Fluminense",NA,NA,1,NA,9,NA,1,16,NA,6,6,2,NA,NA,NA,4,NA,NA
"78","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,24,"AME","mei","Provável",1.5,1.39,0.19,0.05,"América-MG",NA,NA,15,NA,22,NA,2,18,NA,8,1,3,1,1,2,1,NA,NA
"79","Vilson Xavier de Meneses Junior","vilson","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,24,"COR","zag","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,24,"CRU","zag","Nulo",4.2,8.49,0.69,3.11,"Cruzeiro",NA,NA,4,NA,13,7,1,21,NA,25,1,5,NA,NA,NA,2,NA,NA
