"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","GC","I","PI","SG","DD","DP","GS","CV","PP"
"34","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,23,356,"gol","Nulo",0,3.44,0,1.44,19,"356",NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,226,6,13,NA,18,NA,NA
"35","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,23,356,"ata","Nulo",0,6.67,0,2.66,19,"356",3,2,20,8,6,9,14,1,1,NA,2,81,NA,NA,NA,NA,NA,NA
"36","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,23,265,"mei","Dúvida",-0.8,12.94,-0.41,4.23,13,"265",1,1,6,10,5,8,26,1,4,NA,3,79,NA,NA,NA,NA,NA,NA
"37","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2020/03/09/df53a31bb47d9ca7d71c5826b26910ea_FORMATO.png",70784,23,276,"ata","Nulo",0,6,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,23,293,"mei","Provável",4,12.12,-0.76,3.49,18,"293",NA,3,40,37,7,17,32,NA,2,NA,NA,67,NA,NA,NA,NA,NA,NA
"39","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,23,294,"zag","Nulo",0,4.64,0,1.92,6,"Coritiba",NA,NA,9,2,NA,NA,3,NA,NA,NA,NA,30,1,NA,NA,NA,NA,NA
"40","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,23,265,"zag","Provável",-0.1,5.23,-0.4,2.05,13,"265",1,NA,7,10,3,2,2,NA,1,NA,NA,44,2,NA,NA,NA,NA,NA
"41","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,23,354,"lat","Nulo",0,2.99,0,1.44,8,"354",NA,1,10,9,1,NA,5,1,1,NA,1,62,1,NA,NA,NA,1,NA
"42","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,23,264,"zag","Nulo",0,6.85,0,2.99,17,"264",1,2,26,14,1,2,9,1,1,1,1,71,5,NA,NA,NA,NA,NA
"43","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,23,356,"zag","Nulo",0,3.49,0,1.6,12,"356",NA,4,14,11,NA,2,13,NA,NA,NA,NA,44,3,NA,NA,NA,NA,NA
"44","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2020/08/17/c3880e0855085540096eb79ca1b203f2_FORMATO.png",68896,23,267,"lat","Contundido",0,7,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,23,264,"lat","Nulo",0,12.51,0,3.48,15,"264",NA,2,45,20,4,5,15,NA,1,NA,2,172,4,NA,NA,NA,1,NA
"46","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/08/31/70a9b022ffebe02680755240aa4440cc_FORMATO.png",68928,23,282,"gol","Nulo",0,7.01,0,2,9,"282",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,65,4,6,NA,7,1,NA
"47","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,23,294,"gol","Nulo",0,9.12,0,2.23,22,"Coritiba",NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,192,5,24,1,31,NA,NA
"48","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2020/03/02/d39e2efa4d8440e5313bc3b78a139e22_FORMATO.png",68938,23,294,"mei","Nulo",0,9,0,6.27,16,"Coritiba",5,1,31,10,3,4,39,1,4,NA,1,95,NA,NA,NA,NA,NA,NA
"49","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,23,354,"mei","Nulo",0,2.38,-0.81,0.87,11,"354",1,1,2,9,NA,2,2,NA,1,NA,NA,15,NA,NA,NA,NA,NA,NA
"50","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,23,356,"mei","Nulo",0,2.82,0,-0.35,2,"356",NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Vinícius Goes Barbosa de Souza","vina","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,23,354,"mei","Provável",13.8,11.78,2.02,6.78,16,"354",4,1,11,10,17,21,11,1,7,NA,4,151,NA,NA,NA,NA,NA,NA
"52","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,23,262,"mei","Nulo",0,9.13,0,4.55,17,"Flamengo",2,3,19,18,7,11,35,1,5,NA,1,137,NA,NA,NA,NA,NA,NA
"53","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,23,284,"gol","Nulo",0,6.76,0,4.24,5,"284",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,2,5,NA,5,NA,NA
"54","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,23,293,"gol","Nulo",0,6.56,0,1.4,16,"293",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,106,4,10,1,17,NA,NA
"55","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,23,356,"mei","Nulo",0,4.34,0,2.54,19,"356",3,5,35,27,4,14,25,NA,1,NA,NA,150,NA,NA,NA,NA,NA,NA
"56","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,23,354,"mei","Nulo",0,3.19,0,0.57,6,"354",1,NA,2,3,NA,1,2,NA,NA,NA,3,24,NA,NA,NA,NA,NA,NA
"57","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,23,277,"ata","Provável",18.2,25.81,2.69,10.44,19,"Santos",6,4,21,26,14,22,90,1,13,NA,15,106,NA,NA,NA,NA,NA,NA
"58","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,23,284,"gol","Nulo",0,4,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,23,284,"zag","Nulo",0,8.58,0,3.78,16,"284",NA,1,33,13,2,5,6,1,2,NA,NA,74,4,NA,NA,NA,1,NA
"60","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,23,276,"gol","Provável",1.8,12.69,-0.37,4.04,19,"276",1,1,1,NA,NA,NA,4,NA,NA,NA,NA,131,5,19,3,19,NA,NA
"61","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,23,282,"zag","Nulo",0,7.32,0,3.29,14,"282",1,2,19,10,1,5,10,NA,1,NA,NA,71,4,NA,NA,NA,NA,NA
"62","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,23,266,"mei","Nulo",0,5.79,0,2.06,14,"266",2,1,39,27,3,3,12,NA,NA,1,2,58,NA,NA,NA,NA,1,NA
"63","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,23,356,"zag","Contundido",0,2.77,0,2.1,5,"356",NA,NA,2,3,NA,NA,2,NA,NA,NA,NA,10,3,NA,NA,NA,1,NA
"64","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,23,267,"gol","Nulo",0,8.56,0,2.59,18,"267",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,141,5,17,2,24,NA,NA
"65","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,23,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,23,266,"gol","Nulo",0,4.62,0,2.36,19,"266",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,140,4,19,NA,20,NA,NA
"67","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,23,284,"mei","Nulo",0,4.91,0,1.38,9,"284",1,1,12,14,3,2,11,NA,NA,NA,4,42,NA,NA,NA,NA,NA,NA
"68","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,23,293,"mei","Nulo",-0.9,2.62,-0.59,-0.03,7,"293",NA,1,3,6,NA,1,3,1,NA,NA,2,25,NA,NA,NA,NA,NA,NA
"69","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2020/10/06/1e5d2511be625adda18aa1b5728bdabb_FORMATO.png",71549,23,263,"ata","Contundido",0,3.33,0,1.07,3,"263",NA,NA,2,3,1,NA,6,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
"70","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,23,264,"zag","Contundido",0,6.45,0,2.83,10,"264",NA,1,10,15,6,2,4,NA,2,NA,NA,39,2,NA,NA,NA,1,NA
"71","Uillian Correia Granemann","uillian-correia","Uillian Correia","https://s.glbimg.com/es/sde/f/2020/07/28/0e53aa2f143ac0e5e0db6e7dbe0fce14_FORMATO.png",72007,23,280,"mei","Nulo",0,2.21,0,-0.67,7,"280",NA,1,1,8,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"72","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2020/02/28/4d9d7f15b47033ac09c8e32e9b963227_FORMATO.png",69040,23,277,"gol","Nulo",0,6.43,0,2.93,3,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,4,NA,3,NA,NA
"73","Luis Francisco Grando","chico","Chico","https://s.glbimg.com/es/sde/f/2020/10/29/ad8a8e68f1dce70d212df37ec08ea32a_FORMATO.png",50446,23,290,"zag","Contundido",0,2.8,0,-1.35,2,"290",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"74","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,23,284,"lat","Nulo",0,9.71,0,2.89,16,"284",NA,1,34,19,1,1,16,NA,NA,NA,2,102,6,NA,NA,NA,1,NA
"75","Eduardo Jesús Vargas Rojas","vargas","Vargas","https://s.glbimg.com/es/sde/f/2020/11/09/cb8b9463d4eb0ae15c7d51da96d5d3ac_FORMATO.png",69102,23,282,"ata","Nulo",0,9.74,0,5.3,1,"282",1,1,1,NA,NA,2,2,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA
"76","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,23,280,"ata","Provável",0.3,5.56,-1.49,3.21,15,"280",3,NA,10,15,7,6,11,NA,2,NA,2,30,NA,NA,NA,NA,NA,NA
"77","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2020/02/27/d6d33f8f9a956799465c508d4d9e4263_FORMATO.png",69051,23,285,"gol","Nulo",0,4.27,0,-2,0,"285",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,23,265,"zag","Suspenso",0,4.68,0,0.9,3,"265",NA,1,1,4,NA,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA
"79","Everson Felipe Marques Pires","everson","Everson","https://s.glbimg.com/es/sde/f/2020/09/10/782ebf600a14b7e47942a1fd4ed3bc5f_FORMATO.png",72294,23,282,"gol","Nulo",0,8.25,0,2.31,12,"282",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,58,3,11,NA,16,NA,NA
"80","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,23,264,"gol","Nulo",0,8.21,0,17.9,1,"264",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,4,NA,NA,NA,NA
"81","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,23,282,"gol","Nulo",0,5.4,0,-9.2,1,"282",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,3,NA,NA
