"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","A","DD","GS","SG","FT","PP","CV","DP","GC"
"11","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,29,282,"tec","Provável",4.13,13.78,-0.95,4.48,25,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2020/09/11/8c1bbc63952b2e050b6b5662f996e79d_FORMATO.png",70916,29,284,"lat","Nulo",0,9.71,0,3.78,18,"284",1,39,11,1,6,15,NA,1,113,3,NA,NA,4,NA,NA,NA,NA,NA
"13","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,29,356,"mei","Provável",0,3.6,0,2.68,21,"356",5,39,31,4,18,29,2,NA,172,3,NA,NA,NA,NA,NA,1,NA,NA
"14","Bruno dos Santos Nazário","bruno-nazario","Bruno Nazário","https://s.glbimg.com/es/sde/f/2020/03/01/e075c585ee5c2d864db961025f9ac952_FORMATO.png",81776,29,263,"mei","Dúvida",5.6,7.44,0.26,2.88,19,"263",3,29,24,11,12,29,1,NA,146,2,NA,NA,NA,1,NA,NA,NA,NA
"15","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2020/02/27/58765e09575aeed485460352a0980dad_FORMATO.png",71844,29,285,"mei","Dúvida",1.2,17.57,-2.07,7.22,26,"285",3,21,23,17,24,40,16,16,117,5,NA,NA,NA,NA,1,1,NA,NA
"16","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,29,284,"mei","Nulo",1.3,10.34,-0.2,5.04,16,"284",1,20,15,14,19,45,1,4,135,4,NA,NA,NA,1,NA,NA,NA,NA
"17","Júlio César de Souza Santos","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2020/07/28/d011e4a2fb177d4a8669f9d5c77ef25e_FORMATO.png",38133,29,280,"gol","Nulo",0,4.47,0,0.75,6,"280",NA,NA,NA,NA,NA,NA,NA,NA,55,NA,4,9,1,NA,NA,NA,1,NA
"18","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2020/08/17/aad01ff8fba4f807ccfdca075fa0d581_FORMATO.png",72142,29,264,"zag","Contundido",0,6.45,0,2.83,10,"264",1,10,15,6,2,4,2,NA,39,NA,NA,NA,2,NA,NA,1,NA,NA
"19","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2020/03/09/511303024e5679ad2b3ae40dd0b19d1d_FORMATO.png",72290,29,275,"gol","Nulo",0,3.32,0,-0.4,4,"275",1,NA,NA,NA,NA,NA,NA,NA,26,NA,2,5,1,NA,NA,NA,NA,NA
"20","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2020/03/09/dcd863bb1e191c65dfdeac7713a01704_FORMATO.png",81677,29,277,"mei","Contundido",0,5.65,0,1.66,12,"Santos",1,15,11,6,7,18,NA,1,98,1,NA,NA,NA,NA,1,NA,NA,NA
"21","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,29,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,29,276,"gol","Provável",1.6,12.34,-0.44,3.55,24,"276",1,1,NA,NA,NA,4,NA,NA,156,1,24,26,6,NA,NA,NA,3,NA
"23","Everson Felipe Marques Pires","everson","Everson","https://s.glbimg.com/es/sde/f/2020/09/10/782ebf600a14b7e47942a1fd4ed3bc5f_FORMATO.png",72294,29,282,"gol","Provável",-0.4,8.38,-2.36,3.09,16,"282",NA,1,NA,NA,NA,2,NA,NA,67,1,16,20,5,NA,NA,NA,NA,NA
"24","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2020/03/09/df53a31bb47d9ca7d71c5826b26910ea_FORMATO.png",70784,29,276,"ata","Nulo",0,6,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2020/02/28/d1a73b8fecfac4a570fdd44568d62e0f_FORMATO.png",81798,29,265,"ata","Nulo",-0.1,4.97,0.31,1.61,22,"265",4,18,15,7,8,27,2,4,144,1,NA,NA,NA,NA,NA,NA,NA,NA
"26","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,29,354,"zag","Provável",9.8,6.12,1.38,2.69,21,"354",7,43,25,1,2,4,1,NA,60,NA,NA,NA,7,1,NA,1,NA,NA
"27","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,29,293,"mei","Provável",-0.3,0.98,-0.04,-0.29,9,"293",2,4,5,NA,1,2,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,29,354,"mei","Nulo",0,2.37,0,1.27,14,"354",2,4,12,NA,2,3,1,NA,24,3,NA,NA,NA,NA,NA,NA,NA,NA
"29","Uillian Correia Granemann","uillian-correia","Uillian Correia","https://s.glbimg.com/es/sde/f/2020/07/28/0e53aa2f143ac0e5e0db6e7dbe0fce14_FORMATO.png",72007,29,280,"mei","Nulo",0,2.21,0,-0.67,7,"280",1,1,8,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2020/09/26/b400496767c5b2364514614c6837b344_FORMATO.png",81682,29,264,"mei","Nulo",0,10.66,0,3.9,9,"264",1,7,5,1,6,4,1,NA,45,3,NA,NA,NA,2,NA,NA,NA,NA
"31","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,29,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,29,356,"gol","Provável",8.5,4.92,1.77,1.95,24,"356",NA,2,NA,NA,NA,4,NA,NA,260,NA,17,23,8,NA,NA,NA,1,NA
"33","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,29,354,"lat","Provável",4,8.54,0.66,3.61,23,"354",2,58,29,NA,3,27,NA,NA,176,2,NA,NA,8,NA,NA,1,NA,NA
"34","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,29,285,"lat","Provável",5.4,10.62,-0.62,3.96,18,"285",1,42,38,2,6,8,NA,2,177,2,NA,NA,9,1,NA,NA,NA,NA
"35","Bruno Cortês Barbosa","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2018/05/18/0ba3c7d69167c8dcfafe511fc043e800_FORMATO.png",72079,29,284,"lat","Nulo",7.9,10.04,0.66,3.05,20,"284",1,40,23,1,3,20,NA,2,128,NA,NA,NA,8,NA,NA,1,NA,NA
"36","Gustavo Cascardo de Assis","cascardo","Cascardo","https://s.glbimg.com/es/sde/f/2020/09/25/8da2a9ebf1fe26a94626114c196697ed_FORMATO.png",90587,29,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,29,293,"ata","Provável",0.1,5.75,-0.94,3.89,21,"293",NA,18,18,4,8,27,5,2,59,3,NA,NA,NA,NA,NA,NA,NA,NA
"38","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/c6deeaacd987fda728f5e5cb9a7d733c_FORMATO.png",90285,29,262,"ata","Provável",1.6,12.3,-0.15,5.16,21,"Flamengo",8,28,34,12,18,55,6,7,123,4,NA,NA,NA,3,1,NA,NA,NA
"39","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,29,280,"zag","Provável",-0.8,1.01,-1.78,1.36,8,"280",2,16,8,NA,1,3,1,NA,24,NA,NA,NA,NA,NA,NA,1,NA,NA
"40","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2020/02/27/bc31f941c1bb5d6c26ada24af71bcf45_FORMATO.png",72362,29,285,"mei","Nulo",0.9,3.84,-0.03,0.71,24,"285",5,37,37,3,3,13,NA,NA,85,1,NA,NA,NA,NA,NA,NA,NA,NA
"41","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,29,356,"ata","Provável",0,4.71,0,2.53,22,"356",4,20,45,5,14,24,5,9,83,2,NA,NA,NA,NA,NA,NA,NA,NA
"42","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,29,373,"gol","Provável",5.1,9.89,-1.75,4.56,26,"373",1,1,1,1,1,8,2,NA,220,NA,34,29,7,NA,NA,NA,1,NA
"43","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/14/ef0f723350847206c410a0cdec3e8afe_FORMATO.png",90715,29,284,"ata","Nulo",0,5.35,0,1.9,17,"284",1,10,16,5,7,16,2,3,68,2,NA,NA,NA,NA,NA,1,NA,NA
"44","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,29,266,"mei","Provável",0,1.97,0,0.76,13,"266",4,24,24,4,3,6,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Jadson Cristiano Silva de Morais","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/11/11/9cd8c17f449c11311b6d55fdc1c818b4_FORMATO.png",90428,29,267,"zag","Nulo",5,5.3,0.4,3.06,5,"267",3,8,3,NA,1,1,NA,NA,15,NA,NA,NA,3,NA,NA,NA,NA,NA
"46","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,29,292,"ata","Nulo",1.5,2.73,0.17,1.27,18,"292",2,3,8,NA,4,21,2,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Mateus Eduardo Claus","mateus-claus","Mateus Claus","https://s.glbimg.com/es/sde/f/2020/07/20/20b5a80823c74d5c1a1dfcae3aca571b_FORMATO.png",90590,29,265,"gol","Nulo",0,3.77,0,7.9,2,"265",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,4,NA,NA,NA,NA,NA,NA
"48","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,29,354,"zag","Nulo",5,4.17,0.7,2.28,7,"354",NA,2,2,NA,NA,2,NA,NA,10,NA,NA,NA,3,NA,NA,NA,NA,NA
"49","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,29,373,"zag","Provável",2.2,3.67,-0.47,1.06,23,"373",4,18,31,2,2,11,NA,1,87,NA,NA,NA,6,NA,NA,NA,NA,NA
"50","Eduardo Gabriel Aquino Cossa","pepe","Pepê","https://s.glbimg.com/es/sde/f/2018/07/31/21dbd08feda4a4caf00ffc5fe75ec14b_FORMATO.png",91201,29,284,"ata","Nulo",1.2,13.81,-0.38,6.31,23,"284",1,31,9,8,15,48,8,4,101,4,NA,NA,NA,1,NA,NA,NA,NA
"51","Marcos da Silva França","keno","Keno","https://s.glbimg.com/es/sde/f/2020/08/31/1c7eb530ff0944a5fb26c266c76aac9c_FORMATO.png",86485,29,282,"ata","Provável",1,13.19,-0.99,6.86,24,"282",4,36,29,24,29,42,10,22,238,5,NA,NA,NA,4,1,NA,NA,NA
"52","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,29,263,"lat","Provável",2,9.34,-0.15,3.72,20,"263",1,55,18,6,4,20,2,NA,168,1,NA,NA,3,NA,1,1,NA,NA
"53","Carlos Eduardo Soares Mota","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/27/3e68131e760ca1e4bc68e176dfd5b5ec_FORMATO.png",90416,29,292,"gol","Nulo",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Antônio Josenildo Rodrigues de Oliveira","rodrigues","Rodrigues","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,29,284,"zag","Nulo",8.2,3.43,0.91,2.07,14,"284",3,10,5,1,6,7,NA,2,61,NA,NA,NA,5,NA,NA,NA,NA,NA
"55","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2020/08/04/13893a6365a1a9dc6fc1d57912718f8d_FORMATO.png",82407,29,373,"ata","Provável",-0.7,4.23,-0.05,2.46,25,"373",2,23,33,13,12,44,1,1,166,3,NA,NA,NA,2,NA,NA,NA,NA
"56","Tadeu Antônio Ferreira","tadeu","Tadeu","https://s.glbimg.com/es/sde/f/2020/08/26/cf01a937d465c1d2b6417bf927da94c7_FORMATO.jpeg",82453,29,290,"gol","Provável",1.4,8.99,0.07,4.46,22,"290",NA,1,1,1,NA,9,NA,NA,221,NA,34,32,7,NA,NA,NA,1,NA
"57","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2020/10/22/c4fb7a28616bd29c86efe4c7ae63a1b7_FORMATO.png",91191,29,290,"mei","Nulo",0,3.95,0,-1.1,3,"290",1,1,4,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,29,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Osman de Menezes Venâncio Junior","osman","Osman","https://s.glbimg.com/es/sde/f/2020/11/18/ca2aeafe986346def55b188fb4e765b1_FORMATO.png",81898,29,294,"ata","Nulo",0,3.19,0,0.47,3,"Coritiba",NA,3,1,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,29,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,NA,NA,NA,26,NA,5,3,2,NA,NA,NA,NA,NA
"61","Leandro Barcia Montero","leandro-barcia","Leandro Barcia","https://s.glbimg.com/es/sde/f/2020/02/27/78521d3f41f6e49002ef62386b998bb7_FORMATO.png",91242,29,292,"ata","Contundido",0,7.56,0,2.94,16,"292",2,26,19,6,6,20,3,6,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,29,264,"ata","Nulo",0,4.2,0,3.08,5,"264",NA,3,5,2,5,4,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2020/07/16/8e57cefa124fc249fc9e07be0e3dc8bc_FORMATO.png",86519,29,373,"mei","Nulo",0,2.95,0,0.76,13,"373",2,10,6,4,2,17,NA,NA,79,1,NA,NA,NA,NA,NA,1,NA,NA
"64","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2020/03/09/ada4c949fbe8a7d69336cf1ccd4ad0e9_FORMATO.png",82455,29,275,"mei","Nulo",6.3,9.91,0.48,2.92,20,"275",5,38,36,5,12,37,2,NA,65,3,NA,NA,NA,NA,NA,2,NA,NA
"65","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png",86711,29,293,"mei","Provável",6.9,3.52,0.7,1.81,20,"293",4,43,26,1,5,22,NA,NA,72,1,NA,NA,NA,NA,NA,NA,NA,NA
"66","Laércio Soldá","laercio","Laércio","https://s.glbimg.com/es/sde/f/2020/10/13/cc2746f464476a7f9908dbc251d225ff_FORMATO.png",82564,29,277,"zag","Provável",4.4,3.01,0.31,1.37,8,"Santos",NA,12,12,NA,2,2,NA,NA,26,NA,NA,NA,1,NA,NA,NA,NA,NA
"67","Jonathan Francisco Lemos","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2020/08/18/63c72daeb92b49638ecf5505f27b7806_FORMATO.png",86713,29,294,"lat","Nulo",0,4.61,0,2.91,17,"Coritiba",2,36,10,1,3,9,NA,1,82,NA,NA,NA,4,1,NA,NA,NA,NA
"68","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2020/09/01/c6c4761a2d57001c8a08954dca2c76c0_FORMATO.png",91260,29,276,"gol","Contundido",0,1.1,0,-2,0,"276",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","João Paulo da Silva Alves","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2020/11/17/9fdf11f57baeb28d97181c41f210d7a5_FORMATO.png",86770,29,356,"mei","Nulo",-0.6,4.63,-0.56,0.12,5,"356",1,4,7,1,2,3,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,29,276,"zag","Provável",2.1,8.45,-0.08,3.06,10,"276",2,9,13,5,3,8,1,NA,32,NA,NA,NA,3,NA,NA,NA,NA,NA
"71","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png",81951,29,266,"lat","Nulo",0,5.11,0,2.94,17,"266",5,35,39,1,7,30,NA,2,113,3,NA,NA,4,NA,NA,NA,NA,NA
"72","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,29,276,"mei","Nulo",0,7.77,0,2.1,20,"276",2,23,14,6,9,22,2,NA,63,NA,NA,NA,NA,NA,NA,1,NA,NA
"73","Adryelson Shawann Lima Silva","adryelson","Adryelson","https://s.glbimg.com/es/sde/f/2020/02/27/af95f24d59281d8062c7bb367417bce2_FORMATO.png",91664,29,292,"zag","Provável",-0.2,3.33,-1.23,1.33,26,"292",6,29,36,2,8,18,NA,1,96,NA,NA,NA,6,1,NA,NA,NA,1
"74","Rafael Forster","rafael-forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2020/07/25/45f0a542e4a96e80e8787fdca06ccec8_FORMATO.png",82764,29,263,"zag","Nulo",0,2.91,0,0.99,17,"263",2,17,18,1,6,15,NA,2,95,NA,NA,NA,3,NA,NA,1,NA,NA
"75","Sebastián Enrique Salazar Beltrán","salazar","Salazar","https://s.glbimg.com/es/sde/f/2020/10/01/d9e923eb01b5966eb5e072a26be58679_FORMATO.png",91415,29,290,"mei","Nulo",0,4,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Ezequiel Cerutti","cerutti","Cerutti","https://s.glbimg.com/es/sde/f/2020/10/20/4e7dc54de447fc159cc6c6d46dd571fe_FORMATO.png",91502,29,294,"ata","Provável",2.3,5.63,0.2,0.42,5,"Coritiba",NA,3,4,NA,NA,7,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Wellington Soares da Silva","wellington-rato","Wellington Rato","https://s.glbimg.com/es/sde/f/2020/10/05/b190d450eb26fdf91906a41bc3070d11_FORMATO.png",82766,29,373,"mei","Provável",4.8,3.05,0.36,2.42,9,"373",NA,9,7,6,3,6,NA,1,38,1,NA,NA,NA,1,NA,NA,NA,NA
"78","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,29,294,"mei","Contundido",0,10.97,0,4.39,19,"Coritiba",4,59,24,7,12,39,1,1,116,1,NA,NA,NA,2,NA,NA,NA,NA
"79","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,29,356,"lat","Provável",0,7.3,0,3.58,15,"356",1,26,10,3,3,9,NA,1,182,2,NA,NA,6,1,NA,NA,NA,NA
"80","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2020/02/28/84228574413957408f18e14b94d2aa81_FORMATO.png",86797,29,277,"ata","Contundido",0,5.16,0,2.95,4,"Santos",NA,8,7,2,2,11,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,29,373,"zag","Nulo",0,4.59,0,2,15,"373",6,20,24,1,3,9,1,NA,21,NA,NA,NA,4,NA,NA,NA,NA,NA
