"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","PI","SG","FD","FS","DD","GS","FF","G","I","FT","CV","GC","DP","PP"
"16","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,6,373,"mei","Nulo",0,4.06,0,1.03,3,"Atlético-GO",NA,NA,2,2,13,NA,NA,3,NA,NA,3,NA,1,NA,NA,NA,NA,NA
"17","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,6,373,"zag","Provável",1.8,5.05,0.34,1.94,5,"Atlético-GO",NA,1,8,7,11,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"18","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,6,293,"mei","Nulo",0,4.35,0,1.4,2,"Athlético-PR",NA,NA,NA,1,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"19","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,6,373,"mei","Provável",5.5,8.19,0.38,5.24,5,"Atlético-GO",1,1,21,10,16,NA,1,12,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"20","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,6,373,"lat","Provável",3.8,2.87,0.74,0.45,4,"Atlético-GO",NA,NA,7,6,32,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"21","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,6,373,"mei","Provável",0.5,9.14,-0.48,5.98,4,"Atlético-GO",1,NA,6,7,30,NA,2,12,NA,NA,5,1,2,NA,NA,NA,NA,NA
"22","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,6,373,"zag","Provável",-0.2,3.81,-0.39,1.5,5,"Atlético-GO",NA,1,4,4,27,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/02/27/f22a30bebccebd99dba033a4a509804f_FORMATO.png",92696,6,373,"ata","Contundido",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,6,293,"ata","Provável",0,4.22,0,1.5,4,"Athlético-PR",1,NA,NA,4,7,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,6,373,"ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,6,373,"ata","Nulo",0,2.5,0,0.77,3,"Atlético-GO",NA,NA,1,2,5,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"27","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,6,373,"mei","Suspenso",-0.3,5.56,-0.52,2.32,5,"Atlético-GO",NA,NA,12,7,38,NA,3,7,NA,NA,6,NA,NA,NA,1,NA,NA,NA
"28","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,6,373,"gol","Provável",5.3,7.73,1.61,3.28,5,"Atlético-GO",NA,1,NA,1,38,1,1,1,8,8,NA,NA,NA,NA,NA,NA,NA,NA
"29","Marcos Gabriel do Nascimento","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2020/02/28/e46f09afd434bd93aff4ac163dca230c_FORMATO.png",68954,6,293,"mei","Nulo",0,3.84,0,1.1,4,"Athlético-PR",NA,NA,3,NA,24,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"30","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,6,373,"zag","Nulo",0,2.15,0,-0.4,1,"Atlético-GO",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,6,293,"mei","Nulo",0,1.44,0,-0.2,3,"Athlético-PR",NA,1,2,1,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"32","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,6,293,"ata","Nulo",0,4.06,0,1.1,1,"Athlético-PR",NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/02/27/851090fa3a68b14a9b55eb825b21a6f9_FORMATO.png",77544,6,373,"mei","Provável",0,10.61,-0.83,5.84,5,"Atlético-GO",NA,NA,10,5,27,NA,1,8,NA,NA,4,2,NA,NA,NA,NA,NA,NA
"34","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,6,293,"mei","Provável",0,1.64,0,-1.25,4,"Athlético-PR",NA,2,4,11,18,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"35","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,6,373,"mei","Nulo",0,3.17,0,0.8,2,"Atlético-GO",NA,NA,2,NA,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"36","Henry Vaca Urquiza","vaca","Vaca","https://s.glbimg.com/es/sde/f/2020/03/03/49c4df4b898d3ab3f8b1ae29282b06a4_FORMATO.png",98992,6,373,"mei","Nulo",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,6,373,"lat","Provável",0.5,5.91,0.01,2.42,5,"Atlético-GO",NA,NA,11,6,82,1,2,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"38","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,6,294,"mei","Nulo",0,2.39,0,-0.13,3,"Coritiba",NA,2,7,10,12,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"39","Rafael Navarro Leal","rafael-navarro","Rafael Navarro","https://s.glbimg.com/es/sde/f/2020/07/20/893ac0fe6c55a42b91ef4744f6ca7d4b_FORMATO.png",105770,6,263,"ata","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Wesley Pionteck Souza","wesley","Wesley","https://s.glbimg.com/es/sde/f/2020/08/07/70b200dbf6703aca6b5eee4008dbcad6_FORMATO.png",93376,6,280,"ata","Contundido",0,2,0,0,0,"Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Natanael Moreira Milouski","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/03/03/2c9e5951bc7a8dfb8ed3c7f7759e59f6_FORMATO.png",107554,6,294,"lat","Nulo",0,0.78,0,0.1,1,"Coritiba",NA,NA,NA,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"42","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,6,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",NA,NA,NA,NA,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,6,294,"mei","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,6,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2020/08/21/0a104e26afc93ebbbf158e5bfc8a3400_FORMATO.png",91702,6,280,"ata","Nulo",0.4,2.38,-0.62,0.4,1,"Bragantino",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,6,373,"mei","Nulo",-0.1,2.58,-0.35,0.43,3,"Atlético-GO",NA,NA,NA,1,5,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"47","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,6,373,"zag","Nulo",-0.7,1.34,-0.66,-0.7,1,"Atlético-GO",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,6,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Iván Darío Angulo Cortés","ivan-angulo","Iván Angulo","https://s.glbimg.com/es/sde/f/2019/07/02/731398bec297fdd7b71603f1da8e4c61_FORMATO.jpeg",105841,6,275,"ata","Nulo",0,4,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2020/08/11/d3bc0d5856387f3aab09b5c23bc2f805_FORMATO.png",105612,6,266,"mei","Nulo",0,2.39,0,0.3,1,"Fluminense",NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,6,293,"zag","Nulo",0,6.96,0,5.6,1,"Athlético-PR",NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,6,293,"zag","Nulo",0,5.65,0,1.45,2,"Athlético-PR",NA,1,4,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"53","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,6,293,"zag","Contundido",0,4.81,0,-0.5,3,"Athlético-PR",NA,2,3,4,13,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"54","Bruno Conceição Praxedes","praxedes","Praxedes","https://s.glbimg.com/es/sde/f/2020/07/20/521eb9012cf96bba8e8c3b08e79b3138_FORMATO.png",107744,6,285,"mei","Nulo",0,0.75,0,-0.6,2,"Internacional",NA,1,2,3,18,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"55","Matheus Bueno Batista","matheus-bueno","Matheus Bueno","https://s.glbimg.com/es/sde/f/2020/03/03/a159f5ccd62c81f4ada32db91977a6be_FORMATO.png",101832,6,294,"mei","Nulo",1.8,1.76,0.28,1.02,5,"Coritiba",NA,NA,6,4,12,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"56","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,6,275,"ata","Nulo",0,10.51,-1.26,3.92,5,"Palmeiras",NA,1,4,7,8,NA,1,3,NA,NA,4,2,NA,NA,NA,NA,NA,NA
"57","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,6,285,"ata","Contundido",0,20.81,0,11.2,3,"Internacional",1,NA,2,7,15,NA,1,5,NA,NA,3,3,3,1,NA,NA,NA,NA
"58","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,6,293,"mei","Contundido",0,4,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/10/15/60ddd8a6a2f680e46493c59c99af16c4_FORMATO.png",70944,6,275,"mei","Provável",-0.5,7.12,-0.75,0.26,5,"Palmeiras",NA,1,4,7,25,NA,2,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA
"60","Gabriel Santos Cordeiro Lacerda","gabriel-lacerda","Gabriel Lacerda","https://s.glbimg.com/es/sde/f/2020/07/21/3dc2061d37b1f85d9dd8d9dd72cb35de_FORMATO.png",108176,6,354,"zag","Nulo",7.2,4.06,0.17,4.65,4,"Ceará",1,NA,4,2,16,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,6,277,"ata","Provável",-0.3,5.71,-0.5,2.02,6,"Santos",NA,2,3,3,51,NA,2,10,NA,NA,6,1,1,NA,NA,NA,NA,NA
"62","Thiago Couto Wenceslau","thiago-couto","Thiago Couto","https://s.glbimg.com/es/sde/f/2017/05/25/dfcf4266572f7296e853252f68813195_FORMATO.png",97645,6,276,"gol","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Matheus Isaías dos Santos","matheus-jussa","Matheus Jussa","https://s.glbimg.com/es/sde/f/2020/07/20/b6025d70931dcc81ed6357f0201f65e9_FORMATO.png",91689,6,285,"zag","Nulo",0,2.97,0,2.4,1,"Internacional",NA,1,2,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2019/05/09/77ef73e05fe5f4a5bcbf11b7577516d4_FORMATO.png",93368,6,277,"zag","Provável",-2.9,6.2,-1.08,0.12,5,"Santos",NA,2,8,5,30,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"65","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes","https://s.glbimg.com/es/sde/f/2020/07/19/3e492b4747eacc5d7e87267e97310fad_FORMATO.png",100741,6,284,"lat","Nulo",0,3,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gustavo Coutinho Silva Lopes","gustavo-coutinho","Gustavo Coutinho","https://s.glbimg.com/es/sde/f/2019/03/22/219513fd22c061ae4c06d8ae536f7b6f_FORMATO.png",104362,6,356,"ata","Nulo",0,1,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Douglas do Espírito Santo Torres","douglas-borel","Douglas Borel","https://s.glbimg.com/es/sde/f/2020/02/28/b712535c02755e644522c63bcfa813af_FORMATO.png",104634,6,265,"lat","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Edson Fernando da Silva Gomes","edson","Edson","https://s.glbimg.com/es/sde/f/2020/07/20/233753207218d661601cf908cc94dc4f_FORMATO.png",105901,6,265,"mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Tiago Barbosa Figueiredo","tiago-barbosa","Tiago Barbosa","https://s.glbimg.com/es/sde/f/2020/07/20/48e64443c43ff43fa1a705b9c5ee4534_FORMATO.png",107742,6,285,"zag","Nulo",0,2,0,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Madson de Souza Silva","madson","Madson","https://s.glbimg.com/es/sde/f/2020/07/26/9c86e8b3081d6953961c842f08d4961a_FORMATO.png",99048,6,356,"ata","Nulo",0,2,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Jeferson Douglas dos Santos Souza","jeferson-douglas","Jeferson Douglas","https://s.glbimg.com/es/sde/f/2020/08/07/2e5a0516e3bbdabae1434dc44e1d8fd8_FORMATO.png",109405,6,265,"mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,6,277,"lat","Provável",3.7,11,0.35,5.47,6,"Santos",NA,1,22,9,51,1,1,10,NA,NA,4,1,NA,NA,NA,NA,NA,NA
"73","Carlos Eduardo da Silva Rodrigues Lima","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/07/20/e4dbbf8866206bb1c0611baf30621efc_FORMATO.png",107756,6,285,"zag","Nulo",0,1,0,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","João Pedro Sacramento da Silva","joao-pedro-silva","João Pedro Silva","https://s.glbimg.com/es/sde/f/2020/08/07/8e3a30b895c6926ff18476c75e799abc_FORMATO.png",109464,6,265,"ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Mateus Eduardo Claus","mateus-claus","Mateus Claus","https://s.glbimg.com/es/sde/f/2020/07/20/20b5a80823c74d5c1a1dfcae3aca571b_FORMATO.png",90590,6,265,"gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Everson Bispo Pereira","everson","Everson","https://s.glbimg.com/es/sde/f/2020/08/07/bcee43b5a9d7f2a59fe420a61e728ec9_FORMATO.png",91929,6,265,"zag","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2020/02/28/4d9d7f15b47033ac09c8e32e9b963227_FORMATO.png",69040,6,277,"gol","Nulo",0,6.43,0,2.93,3,"Santos",NA,NA,NA,NA,12,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"78","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,6,277,"lat","Provável",0.4,7.33,-0.22,2.4,6,"Santos",NA,1,11,10,35,1,1,10,NA,NA,4,NA,1,NA,NA,NA,NA,NA
