"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FS","PI","SG","FD","FF","FT","G","I","PP","DD","GS","GC","DP","CV"
"18","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,18,282,"ata","Contundido",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Júlio César de Souza Santos","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2020/07/28/d011e4a2fb177d4a8669f9d5c77ef25e_FORMATO.png",38133,18,280,"gol","Nulo",0,4.47,0,0.75,6,"280",NA,NA,NA,NA,NA,55,1,NA,NA,NA,NA,NA,NA,4,9,NA,1,NA
"20","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,18,264,"gol","Provável",0,5.46,0,-0.19,13,"264",NA,1,1,1,NA,59,2,NA,NA,NA,NA,NA,NA,11,22,NA,NA,1
"21","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,18,265,"gol","Nulo",0,0.76,0,-1.23,4,"265",NA,NA,NA,NA,1,34,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA
"22","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2020/02/27/887c825f63637b345d17570bf49d66fa_FORMATO.png",63354,18,285,"zag","Provável",4.8,7.07,0.04,3.54,13,"285",NA,2,15,6,13,22,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"23","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,18,266,"mei","Nulo",0.5,12.76,-0.14,5.48,15,"266",1,2,13,7,28,168,NA,6,14,NA,7,NA,NA,NA,NA,NA,NA,NA
"24","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,18,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,18,263,"mei","Nulo",0,4.72,0,0.67,3,"263",NA,NA,1,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,18,356,"ata","Nulo",0,7.75,0,3.23,15,"356",1,NA,5,16,15,29,NA,4,5,1,4,4,NA,NA,NA,NA,NA,NA
"27","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2020/10/01/83becd84fed9fcf027e6ddd95ae3fea7_FORMATO.png",38910,18,294,"ata","Dúvida",0.2,5.86,0.21,-0.8,3,"Coritiba",NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,18,294,"gol","Provável",-4.6,6.78,-0.39,1.86,18,"Coritiba",NA,NA,1,NA,2,156,4,NA,NA,NA,NA,NA,NA,17,24,NA,1,NA
"29","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,18,264,"lat","Provável",0,6.12,0,3.28,5,"264",NA,NA,3,2,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Mariano Ferreira Filho","mariano","Mariano","https://s.glbimg.com/es/sde/f/2020/08/31/50061e6cc612276277686e788cb0ac4c_FORMATO.png",38877,18,282,"lat","Nulo",0,7.98,0,2.64,7,"282",1,1,18,8,5,72,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,18,293,"zag","Provável",0.8,5.26,-0.24,1.91,11,"293",1,3,13,12,11,53,3,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA
"32","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,18,275,"mei","Nulo",0.5,4.46,0.12,0.57,14,"275",NA,2,20,12,6,31,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"33","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,18,356,"ata","Nulo",0,6.27,0,2.69,16,"356",2,2,19,8,13,78,NA,5,9,1,1,2,NA,NA,NA,NA,NA,NA
"34","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,18,263,"gol","Provável",0,6.76,0,1.75,8,"263",NA,1,NA,1,NA,55,1,NA,NA,NA,NA,NA,NA,8,11,NA,1,NA
"35","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2020/09/01/423284c226644dd18bcf74444e71a668_FORMATO.png",38523,18,290,"lat","Provável",0.6,5.85,-1.09,1.8,7,"290",1,3,6,5,5,60,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Ricardo Ribeiro de Lima","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/25/003e596752a82b34bc103220faa3125d_FORMATO.png",68832,18,292,"mei","Provável",1.7,3.73,0.15,2.07,15,"292",NA,1,23,12,26,39,NA,6,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"37","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/10/08/9ecaaf3e38f88ba70257b2b3159c437e_FORMATO.png",38311,18,292,"mei","Nulo",1.6,4.32,-0.68,1.6,1,"292",NA,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,18,275,"zag","Provável",10.3,7.61,1.82,2.23,6,"275",NA,2,14,5,6,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,18,284,"gol","Nulo",0,4,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2020/07/23/73b5168e7153d03026f7793518fe9dd9_FORMATO.png",68808,18,265,"lat","Nulo",0,7.2,0,1.82,11,"265",NA,2,26,10,8,80,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2020/02/27/ff4cfd7c9d5ee3bf7c1f281c6a05c147_FORMATO.png",68872,18,285,"gol","Provável",-3.4,8.69,-1.49,1.45,18,"285",NA,2,1,NA,2,218,8,NA,NA,NA,NA,NA,NA,10,15,NA,NA,NA
"42","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,18,293,"mei","Nulo",0,5,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Henrique Almeida Caixeta Nascentes","henrique-almeida","Henrique Almeida","https://s.glbimg.com/es/sde/f/2020/08/26/e557abba11e4a7a58c8e280da1480703_FORMATO.jpeg",68773,18,290,"ata","Contundido",0,5,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,18,284,"tec","Provável",2.93,11.99,-0.36,3.49,17,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,18,276,"mei","Contundido",0,8.29,0,2.75,6,"276",NA,1,6,10,12,25,NA,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"46","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,18,294,"mei","Contundido",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2020/08/07/365a7d563bd584a5940f937c9ed97ea4_FORMATO.png",42411,18,277,"tec","Provável",3.16,10.75,-0.08,3.64,18,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,18,284,"zag","Provável",3.3,8.46,0.76,3.32,13,"284",NA,NA,27,11,6,56,3,2,5,NA,1,NA,NA,NA,NA,NA,NA,1
"49","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,18,262,"mei","Nulo",0,6.55,0,2.43,12,"Flamengo",2,3,9,17,31,44,NA,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"50","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,18,262,"gol","Contundido",0,10.72,0,2.22,5,"Flamengo",NA,NA,NA,NA,2,19,1,NA,NA,NA,NA,NA,NA,6,6,NA,NA,1
"51","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,18,266,"mei","Provável",0.9,5.35,0.43,1.84,11,"266",2,1,32,24,9,47,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,1
"52","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,18,284,"gol","Provável",2.2,5.61,0.25,3.3,4,"284",1,NA,NA,NA,NA,28,1,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"53","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,18,267,"zag","Suspenso",0,12.58,0,3.22,11,"267",NA,2,26,12,15,43,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,18,284,"mei","Provável",-2.4,4.66,-0.66,1.57,7,"284",1,1,9,10,8,37,NA,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA
"55","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,18,266,"zag","Nulo",0,5.6,0,4.09,9,"266",NA,3,17,9,6,23,2,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"56","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,18,284,"zag","Nulo",0,2.07,0,0.5,6,"284",NA,1,8,11,2,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,18,356,"zag","Provável",0,4.63,0,3.88,4,"356",NA,NA,1,2,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,18,266,"zag","Nulo",0,5.46,0,5.15,2,"266",1,NA,NA,2,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,18,282,"zag","Provável",6.1,8.33,0.18,3.71,11,"282",1,1,16,9,8,59,3,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"60","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,18,262,"mei","Provável",8.1,9.44,-1.58,4.98,14,"Flamengo",2,2,17,16,26,113,NA,6,8,NA,5,1,NA,NA,NA,NA,NA,NA
"61","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,18,263,"mei","Provável",0,5.7,0,2.82,11,"263",NA,NA,22,11,5,52,NA,3,7,NA,1,NA,NA,NA,NA,NA,NA,NA
"62","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,18,284,"ata","Nulo",0,9.96,0,2.63,12,"284",1,2,6,19,14,71,NA,3,10,NA,4,1,1,NA,NA,NA,NA,1
"63","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,18,354,"lat","Provável",13.2,5.23,3.29,1.87,7,"354",NA,1,10,7,5,56,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1
"64","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,18,280,"ata","Provável",8.5,6.76,0.28,3.56,11,"280",3,NA,9,9,6,16,NA,6,5,NA,1,2,NA,NA,NA,NA,NA,NA
"65","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,18,264,"zag","Provável",0,6.94,0,3.12,13,"264",1,1,22,9,5,58,3,1,2,1,1,1,NA,NA,NA,1,NA,NA
"66","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2020/02/27/874b64215923c64744352951788dc4b4_FORMATO.png",60852,18,285,"lat","Provável",-1.1,3.33,-1.11,2.07,6,"285",NA,NA,12,9,NA,51,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,18,263,"lat","Suspenso",0,6.67,0,2.15,11,"263",1,3,15,16,10,58,3,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"68","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2020/07/20/8da72cb158360ebe2e1e03b6c12b81dd_FORMATO.png",60969,18,292,"lat","Provável",7.1,8.87,1.38,2.7,17,"292",2,2,27,23,19,141,2,2,9,1,1,3,NA,NA,NA,NA,NA,NA
"69","Breno Vinícius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2020/08/17/b1730b6254a951e4bbb94d46fa7261ad_FORMATO.png",50408,18,267,"zag","Contundido",0,6,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,18,266,"ata","Nulo",-2,3.19,-1.33,1.94,10,"266",1,4,7,6,19,22,NA,1,3,NA,1,1,NA,NA,NA,NA,NA,NA
"71","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,18,265,"mei","Contundido",0,14.89,0,4.68,10,"265",1,NA,3,7,23,68,NA,5,7,1,3,2,NA,NA,NA,NA,NA,NA
"72","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2020/03/02/d39e2efa4d8440e5313bc3b78a139e22_FORMATO.png",68938,18,294,"mei","Provável",2.9,7.22,-1.88,5.39,12,"Coritiba",2,NA,24,5,32,69,NA,2,4,1,2,1,NA,NA,NA,NA,NA,NA
"73","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,18,265,"zag","Nulo",0,6,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,18,280,"zag","Provável",6.7,4.86,0.06,2.64,12,"280",1,NA,17,19,7,21,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,18,293,"gol","Provável",-3.7,4.56,-0.47,0.94,12,"293",NA,NA,NA,1,1,77,2,NA,NA,NA,NA,NA,NA,8,15,NA,1,NA
"76","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,18,265,"ata","Nulo",0,10.43,0,4.05,13,"265",1,2,9,14,17,57,NA,14,12,1,3,5,1,NA,NA,NA,NA,NA
"77","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,18,356,"mei","Nulo",0,2.82,0,-0.35,2,"356",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,18,282,"gol","Nulo",0,6.11,0,-7.2,1,"282",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"79","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,18,264,"gol","Nulo",0,8.21,0,17.9,1,"264",NA,2,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"80","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,18,277,"ata","Provável",7.7,24.39,-1.72,10.82,15,"Santos",4,2,15,22,74,87,NA,10,21,1,11,12,NA,NA,NA,NA,NA,NA
"81","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/08/31/70a9b022ffebe02680755240aa4440cc_FORMATO.png",68928,18,282,"gol","Nulo",0,7.81,0,2.36,8,"282",NA,NA,NA,1,NA,56,4,NA,NA,NA,NA,NA,NA,5,5,NA,NA,1
