"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","G","GC","PI","SG","I","DD","GS","FT","DP","PP"
"67","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,32,265,"ata","Provável",3.3,8.64,0.92,3.75,22,"265",1,5,NA,13,26,21,21,33,5,NA,67,NA,6,NA,NA,1,NA,1
"68","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,32,293,"mei","Nulo",0,11.7,0,3.79,24,"293",NA,5,NA,56,46,10,18,39,4,NA,90,NA,2,NA,NA,NA,NA,NA
"69","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,32,285,"mei","Provável",-0.4,11.94,-1.47,5.18,28,"285",4,1,NA,70,39,7,14,63,4,NA,144,NA,2,NA,NA,3,NA,NA
"70","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2020/08/31/a672c0a0e10ef44cc74724473209cdb0_FORMATO.png",93368,32,277,"zag","Nulo",0.2,6.85,-0.55,2.08,16,"Santos",1,6,NA,33,24,4,4,7,1,NA,93,2,2,NA,NA,NA,NA,NA
"71","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,32,373,"mei","Dúvida",0,3.05,0,1.1,23,"373",1,3,NA,16,28,4,13,35,NA,NA,78,NA,1,NA,NA,NA,NA,NA
"72","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,32,294,"mei","Provável",2.3,3.47,-1.32,2.06,22,"Coritiba",2,4,NA,41,37,1,7,26,1,NA,69,NA,NA,NA,NA,NA,NA,NA
"73","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2020/11/09/8879b35c72aef797d229636dbdf3dd4f_FORMATO.png",97341,32,262,"tec","Provável",4.39,8.5,0.19,3.69,29,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,32,266,"mei","Provável",0.4,12.15,0.1,4.46,23,"266",1,2,NA,21,11,10,19,40,8,NA,215,NA,NA,NA,NA,NA,NA,1
"75","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,32,285,"lat","Provável",-2.2,9.74,-1.36,3.84,21,"285",4,2,NA,51,48,2,6,10,NA,NA,213,9,2,NA,NA,1,NA,NA
"76","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,32,262,"zag","Nulo",0,2.2,0,-0.28,4,"Flamengo",NA,1,NA,2,3,NA,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"77","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,32,262,"ata","Nulo",-0.1,4.83,-0.06,0.84,17,"Flamengo",1,1,NA,8,15,3,9,8,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
"78","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,32,277,"ata","Nulo",15.1,26.22,0.51,10.62,24,"Santos",6,4,NA,23,31,26,33,113,16,NA,153,NA,21,NA,NA,3,NA,NA
"79","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,32,284,"tec","Provável",2.83,12.37,0.44,3.8,29,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,32,356,"gol","Provável",-0.2,3.8,-1.79,2,27,"356",NA,NA,NA,2,NA,NA,NA,5,NA,NA,275,9,NA,19,29,NA,2,NA
"81","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/11/03/51e9f9ba46d806d46d4d256d45ac95e6_FORMATO.png",101727,32,262,"lat","Nulo",-0.5,2.12,-0.19,1.71,10,"Flamengo",1,1,NA,8,5,3,2,2,NA,NA,26,1,NA,NA,NA,NA,NA,NA
