"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","A","SG","DD","DP","GS","FT","PP","CV","GC"
"11","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2020/11/03/5017d907e4b43c79caf908b5d32626b2_FORMATO.png",37281,25,265,"tec","Provável",1.16,6.86,-0.11,2.8,12,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png",38001,25,265,"gol","Nulo",0,0.82,0,-1.04,5,"265",NA,NA,NA,NA,NA,1,NA,NA,37,NA,NA,5,NA,11,NA,NA,NA,NA
"13","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,25,264,"lat","Provável",12.2,8.06,1.19,5.52,9,"264",NA,17,6,NA,1,3,1,NA,47,NA,6,NA,NA,NA,NA,NA,NA,NA
"14","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,25,264,"ata","Nulo",0,10.67,0,2.51,13,"264",NA,NA,9,5,5,13,3,5,49,1,NA,NA,NA,NA,1,1,NA,NA
"15","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,25,293,"zag","Provável",0,4.69,0,2.53,16,"293",3,16,14,2,9,15,1,NA,77,1,5,NA,NA,NA,NA,NA,1,1
"16","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,25,354,"gol","Nulo",0,5.57,0,2.7,21,"354",2,NA,1,NA,NA,2,NA,NA,176,NA,6,28,NA,32,NA,NA,NA,NA
"17","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,25,262,"gol","Provável",-2.2,7.88,-1.21,1.35,8,"Flamengo",NA,NA,NA,NA,NA,2,NA,NA,32,NA,2,6,NA,8,NA,NA,1,NA
"18","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,25,266,"ata","Nulo",-0.2,3.2,-0.2,1.92,13,"266",3,1,15,4,2,21,2,2,44,2,NA,NA,NA,NA,NA,NA,NA,NA
"19","Igor Marques Paciência Cardoso","igor-formiga","Igor Formiga","https://s.glbimg.com/es/sde/f/2020/09/15/7f27f40ad90d38e340989d3076982f60_FORMATO.png",106708,25,264,"lat","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,25,292,"mei","Provável",10.1,6.15,1.78,2.67,17,"292",1,6,6,8,9,8,3,NA,105,2,NA,NA,NA,NA,NA,NA,NA,NA
"21","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,25,267,"zag","Provável",-1.6,11.51,-0.48,2.39,15,"267",2,30,17,1,1,15,NA,NA,62,NA,3,NA,NA,NA,NA,NA,NA,NA
"22","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,25,293,"mei","Nulo",0,5,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,25,356,"ata","Nulo",0.5,7.57,-0.31,3.17,19,"356",NA,6,18,4,8,20,5,5,35,1,NA,NA,NA,NA,1,NA,NA,NA
"24","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,25,284,"mei","Nulo",0,3.39,0,0.7,10,"284",1,9,8,3,3,3,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,25,282,"ata","Contundido",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,25,264,"tec","Provável",8.02,8.16,0.64,3.54,21,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png",38939,25,276,"mei","Nulo",-2.9,9.9,-1.48,1.52,15,"276",7,27,38,4,15,26,1,2,179,2,NA,NA,NA,NA,NA,NA,NA,NA
"28","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,25,294,"mei","Provável",3.7,6.13,0.56,2.05,2,"Coritiba",NA,3,3,1,1,5,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2020/10/01/83becd84fed9fcf027e6ddd95ae3fea7_FORMATO.png",38910,25,294,"ata","Provável",0.6,5.8,0,0.3,7,"Coritiba",1,1,9,3,1,4,NA,1,13,NA,NA,NA,NA,NA,1,NA,NA,NA
"30","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,25,266,"mei","Nulo",3.9,13.16,-0.43,5.03,20,"266",2,21,10,9,19,36,8,NA,206,1,NA,NA,NA,NA,NA,1,NA,NA
"31","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/11/13/4a17daa520fd623ffa34480bdabdead6_FORMATO.png",38311,25,292,"mei","Nulo",0,3.47,0,0.67,6,"292",NA,7,6,NA,NA,3,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,25,262,"lat","Provável",7.3,7.41,0.39,3.9,17,"Flamengo",4,52,28,2,1,19,2,1,148,1,4,NA,NA,NA,1,NA,NA,1
"33","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,25,284,"tec","Provável",4.37,12.8,-0.64,4.12,23,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,25,263,"gol","Provável",-6.5,3.65,-0.73,-0.08,13,"263",2,NA,1,NA,NA,1,NA,NA,91,NA,1,10,1,20,NA,NA,NA,NA
"35","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,25,275,"zag","Contundido",0,7.76,0,3.73,8,"275",3,24,9,NA,1,8,NA,NA,35,NA,3,NA,NA,NA,NA,NA,NA,NA
"36","Mariano Ferreira Filho","mariano","Mariano","https://s.glbimg.com/es/sde/f/2020/08/31/50061e6cc612276277686e788cb0ac4c_FORMATO.png",38877,25,282,"lat","Nulo",0,7.98,0,2.64,7,"282",1,18,8,1,NA,5,NA,NA,72,1,1,NA,NA,NA,NA,NA,NA,NA
"37","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,25,266,"zag","Nulo",0.5,4.96,0.01,3.08,5,"266",2,5,5,1,2,1,NA,NA,14,1,2,NA,NA,NA,NA,NA,NA,NA
"38","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,25,275,"ata","Dúvida",12,11.85,0.7,3.67,21,"275",NA,10,14,6,13,20,6,8,38,2,NA,NA,NA,NA,NA,1,NA,NA
"39","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,25,276,"mei","Nulo",1,7.4,0.31,1.75,11,"276",3,10,12,5,4,14,1,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2020/08/07/365a7d563bd584a5940f937c9ed97ea4_FORMATO.png",42411,25,277,"tec","Provável",2.12,10.83,-0.3,3.56,25,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,25,264,"gol","Provável",7.4,8.35,0.1,1.06,18,"264",1,1,1,NA,NA,1,NA,NA,139,NA,5,16,NA,25,NA,NA,1,NA
"42","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,25,262,"mei","Nulo",0,5.42,0,2.32,13,"Flamengo",3,10,17,2,4,31,1,NA,44,2,NA,NA,NA,NA,NA,NA,NA,NA
"43","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,25,282,"mei","Nulo",0,5.15,0,2.13,17,"282",1,18,26,4,5,14,3,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,25,264,"lat","Provável",7.7,11.82,-0.69,3.74,16,"264",2,48,21,5,5,15,1,2,182,NA,5,NA,NA,NA,NA,NA,1,NA
"45","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,25,294,"zag","Provável",5.3,5.06,0.35,2.58,8,"Coritiba",1,15,4,NA,NA,3,NA,1,44,NA,2,NA,NA,NA,1,NA,NA,NA
"46","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,25,265,"zag","Nulo",-0.6,5.27,-0.64,1.94,15,"265",NA,10,14,3,3,4,1,NA,47,1,2,NA,NA,NA,NA,NA,NA,NA
"47","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,25,294,"gol","Provável",1.3,8.26,-1.65,2.59,24,"Coritiba",NA,1,NA,NA,NA,2,NA,NA,210,NA,6,27,1,32,NA,NA,NA,NA
"48","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,25,284,"zag","Nulo",0,9.51,0,3.96,17,"284",1,35,13,2,5,6,2,NA,76,NA,5,NA,NA,NA,1,NA,1,NA
"49","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2020/11/10/0f92efccde1103a2d235bd9cb9fa4deb_FORMATO.png",40006,25,285,"tec","Provável",1.76,9.62,-0.17,1.98,5,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,25,293,"lat","Contundido",0,2.88,0,0.18,6,"293",1,6,9,NA,NA,4,NA,1,49,NA,1,NA,NA,NA,NA,NA,NA,NA
"51","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,25,266,"lat","Nulo",4.4,9.6,0.17,4.19,13,"266",1,51,17,5,1,10,NA,1,173,3,1,NA,NA,NA,NA,NA,NA,NA
"52","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,25,356,"ata","Provável",3.1,6.38,-0.29,2.68,20,"356",2,22,8,6,10,16,1,2,88,3,NA,NA,NA,NA,1,NA,NA,NA
"53","Sandro Raniere Guimarães Cordeiro","sandro","Sandro","https://s.glbimg.com/es/sde/f/2020/08/26/fe2e657982abf2a67f086ac44918fdad_FORMATO.jpeg",62111,25,290,"mei","Nulo",0,3.12,0,0.42,9,"290",3,12,15,NA,2,7,NA,1,23,NA,NA,NA,NA,NA,1,NA,NA,NA
"54","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,25,284,"gol","Nulo",0,4,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,25,262,"mei","Provável",1.6,8.7,-1.33,4.69,19,"Flamengo",4,25,20,7,13,37,6,1,156,2,NA,NA,NA,NA,1,NA,NA,NA
"56","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,25,293,"mei","Provável",1,8.75,-0.15,1.19,14,"293",2,9,19,6,10,24,NA,8,91,1,NA,NA,NA,NA,2,1,NA,NA
"57","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,25,284,"mei","Nulo",0,4.91,0,1.38,9,"284",1,12,14,3,2,11,NA,4,42,1,NA,NA,NA,NA,NA,NA,NA,NA
"58","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,25,354,"mei","Nulo",0,2.38,0,0.5,10,"354",1,9,5,2,1,1,NA,1,57,NA,NA,NA,NA,NA,1,NA,NA,NA
"59","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,25,266,"mei","Nulo",2.1,5.62,0.47,1.88,16,"266",2,41,30,4,3,17,NA,3,63,2,NA,NA,NA,NA,NA,NA,1,1
"60","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,25,265,"zag","Provável",0.4,4.61,-0.07,0.77,4,"265",1,2,5,NA,NA,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"61","Breno Vinícius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2020/08/17/b1730b6254a951e4bbb94d46fa7261ad_FORMATO.png",50408,25,267,"zag","Contundido",0,6,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,25,282,"zag","Nulo",2.5,7.67,0.34,3.05,16,"282",3,21,13,1,5,10,1,NA,78,1,5,NA,NA,NA,NA,NA,NA,NA
"63","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,25,263,"lat","Contundido",0,6.24,0,1.99,12,"263",3,15,17,NA,6,10,NA,1,59,1,3,NA,NA,NA,NA,NA,NA,NA
"64","Luis Francisco Grando","chico","Chico","https://s.glbimg.com/es/sde/f/2020/10/29/ad8a8e68f1dce70d212df37ec08ea32a_FORMATO.png",50446,25,290,"zag","Contundido",0,2.8,0,-1.35,2,"290",1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,25,356,"zag","Contundido",0,2.77,0,2.1,5,"356",NA,2,3,NA,NA,2,NA,NA,10,NA,3,NA,NA,NA,NA,NA,1,NA
"66","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,25,354,"lat","Suspenso",0,2.99,0,1.44,8,"354",1,10,9,1,NA,5,1,1,62,NA,1,NA,NA,NA,1,NA,1,NA
"67","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,25,280,"ata","Provável",1.1,5.88,-0.47,3.13,17,"280",NA,11,17,9,9,12,2,2,32,3,NA,NA,NA,NA,NA,NA,NA,NA
"68","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,25,282,"gol","Nulo",0,5.4,0,-9.2,1,"282",1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,3,NA,NA,NA,NA
"69","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,25,263,"mei","Provável",5.2,6.35,1,2.94,16,"263",1,33,21,5,10,10,2,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,25,264,"gol","Nulo",0,8.21,0,17.9,1,"264",2,NA,NA,NA,NA,NA,NA,NA,11,NA,1,4,NA,NA,NA,NA,NA,NA
"71","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,25,277,"lat","Provável",0,7.23,0,2.03,19,"Santos",3,32,28,2,10,20,NA,2,126,NA,4,NA,NA,NA,NA,NA,NA,NA
"72","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2020/02/27/848601c752c8fa58a805d78e5bad50db_FORMATO.png",62023,25,285,"mei","Nulo",-0.1,2.49,0.04,0.06,19,"285",3,6,5,4,3,11,NA,3,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,25,284,"lat","Nulo",0,8.05,0,2.82,7,"284",1,5,5,2,2,2,NA,NA,58,2,2,NA,NA,NA,NA,NA,NA,NA
"74","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2020/09/24/466b1e0c94a4b7fe9eab500c429d91be_FORMATO.png",54395,25,265,"mei","Nulo",0,5.94,0,-0.51,8,"265",3,8,17,NA,4,4,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,25,356,"mei","Nulo",0,2.82,0,-0.35,2,"356",1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,25,280,"zag","Provável",-1.9,3.88,-0.81,2.6,18,"280",1,26,25,1,4,11,NA,NA,47,1,5,NA,NA,NA,NA,NA,NA,NA
"77","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2020/07/28/add64224dcac666b23e193bb0505d8a5_FORMATO.png",62024,25,280,"lat","Provável",0,4.57,0,1.78,18,"280",4,32,26,2,13,10,NA,1,164,NA,4,NA,NA,NA,NA,NA,NA,NA
"78","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2020/02/27/874b64215923c64744352951788dc4b4_FORMATO.png",60852,25,285,"lat","Nulo",0,3.27,0,1.39,11,"285",1,18,16,1,NA,5,NA,NA,114,NA,3,NA,NA,NA,NA,NA,NA,NA
"79","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2020/10/15/788a514811d1b7fe6bc8f3cb4078b1b4_FORMATO.png",62033,25,290,"ata","Provável",2,4.54,0.37,1.39,9,"290",1,3,8,2,8,8,1,4,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2020/08/26/07181c4e061a2e4a3daef524908f563b_FORMATO.png",62121,25,284,"gol","Dúvida",8,9.04,0.07,2.8,17,"284",1,NA,NA,NA,NA,3,NA,NA,100,NA,6,14,NA,14,NA,NA,NA,NA
"81","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2020/07/20/8da72cb158360ebe2e1e03b6c12b81dd_FORMATO.png",60969,25,292,"lat","Provável",12.2,10.12,2.16,3.11,23,"292",2,39,33,2,12,27,1,5,207,5,4,NA,NA,NA,1,NA,1,NA
