"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","G","I","PI","DD","DP","GS","SG","CV","FT","GC","PP"
"11","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,21,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,3,NA,NA,NA,NA,NA
"12","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,21,373,"mei","Nulo",-0.6,2.63,-0.54,1.04,15,"373",1,2,6,15,2,9,20,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,21,373,"gol","Provável",13.9,10.56,2.69,3.77,19,"373",NA,1,1,1,1,NA,8,1,NA,160,26,NA,24,4,NA,NA,NA,NA
"14","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,21,293,"ata","Contundido",0,15.46,0,5.9,5,"293",1,1,5,13,4,2,11,2,NA,29,NA,NA,NA,NA,NA,1,NA,NA
"15","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,21,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,NA,15,8,1,5,13,2,NA,39,NA,NA,NA,NA,NA,NA,NA,NA
"16","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,21,373,"mei","Provável",5,3.43,0.22,1.15,9,"373",NA,1,18,12,1,5,6,NA,1,23,NA,NA,NA,NA,1,NA,NA,NA
"17","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,21,373,"zag","Nulo",0,3,-1.39,2.82,9,"373",NA,2,7,9,NA,1,7,2,NA,34,NA,NA,NA,2,NA,NA,NA,NA
"18","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,21,262,"zag","Suspenso",-3.8,4.39,-0.3,1.24,12,"Flamengo",NA,3,13,13,NA,3,5,1,NA,35,NA,NA,NA,2,NA,NA,1,NA
"19","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,21,373,"lat","Provável",-1.8,6.66,-1.33,2.95,18,"373",3,NA,29,19,6,9,8,NA,1,192,NA,NA,NA,4,NA,NA,NA,NA
"20","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,21,373,"zag","Provável",-2.7,4.17,-0.17,1.58,12,"373",NA,5,16,17,1,1,6,1,NA,16,NA,NA,NA,2,NA,NA,NA,NA
"21","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,21,373,"ata","Nulo",-1.1,1.91,-0.29,0.45,9,"373",NA,NA,3,7,2,3,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"22","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,21,373,"mei","Nulo",0,5.09,0,2.13,16,"373",1,NA,9,5,4,9,9,1,1,43,NA,NA,NA,NA,NA,1,NA,NA
"23","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,21,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,21,284,"tec","Provável",5.9,12.8,-0.07,3.84,20,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,21,293,"gol","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,21,293,"zag","Nulo",0,5.09,0,1.33,6,"293",NA,1,10,4,1,1,2,NA,NA,10,NA,NA,NA,1,NA,NA,1,NA
"27","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2020/08/26/07181c4e061a2e4a3daef524908f563b_FORMATO.png",62121,21,284,"gol","Dúvida",-0.5,7.37,-1.79,2.07,15,"284",NA,1,NA,NA,NA,NA,3,NA,NA,85,12,NA,14,4,NA,NA,NA,NA
"28","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,21,284,"ata","Dúvida",8.9,10.25,1.18,2.99,14,"284",1,2,6,20,5,11,14,5,1,75,NA,NA,NA,NA,1,NA,NA,1
"29","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,21,373,"ata","Nulo",0,6.01,0,1.48,15,"373",NA,2,10,15,3,8,4,2,5,18,NA,NA,NA,NA,NA,NA,NA,NA
"30","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,21,293,"zag","Nulo",0,2.57,0,0.67,6,"293",1,1,3,7,1,1,4,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"31","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,21,284,"zag","Nulo",0,10.89,0,4.1,8,"284",NA,2,30,8,NA,4,5,NA,NA,49,NA,NA,NA,3,1,NA,NA,NA
"32","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,21,293,"lat","Nulo",0,3.98,0,0.77,8,"293",NA,2,13,10,NA,2,2,NA,NA,55,NA,NA,NA,1,NA,NA,NA,NA
"33","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,21,293,"lat","Provável",5.2,9.46,0.89,2.74,17,"293",1,3,24,17,4,7,10,1,NA,161,NA,NA,NA,5,NA,NA,NA,NA
"34","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,21,265,"zag","Nulo",0.4,7.71,0.16,2.28,15,"265",NA,1,23,4,2,4,4,1,1,51,NA,NA,NA,2,1,NA,NA,NA
"35","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,21,290,"ata","Nulo",-3.4,5.1,-0.71,1.91,12,"290",NA,3,4,22,6,6,10,4,15,56,NA,NA,NA,NA,NA,NA,NA,NA
"36","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,21,262,"ata","Dúvida",3.3,6.47,-0.65,2.2,15,"Flamengo",1,2,16,17,9,13,9,1,2,81,NA,NA,NA,NA,NA,NA,NA,NA
"37","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,21,356,"ata","Nulo",0,4.8,0,2.24,17,"356",1,2,14,15,4,13,24,1,3,30,NA,NA,NA,NA,NA,NA,NA,NA
"38","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,21,373,"zag","Provável",3.9,3.47,0.42,2.3,14,"373",1,5,27,14,1,1,12,NA,NA,57,NA,NA,NA,3,NA,NA,NA,NA
"39","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,21,262,"zag","Provável",1.1,4.95,-0.23,2.29,11,"Flamengo",NA,1,18,15,2,2,9,1,NA,47,NA,NA,NA,1,NA,NA,NA,NA
"40","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,21,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,21,373,"lat","Provável",0.1,4.65,-0.32,2.73,19,"373",NA,1,50,22,2,5,22,NA,2,165,NA,NA,NA,4,1,NA,NA,NA
"42","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,21,262,"mei","Provável",7.4,10.08,0.66,2.94,16,"Flamengo",1,5,33,34,5,9,61,NA,2,68,NA,NA,NA,NA,NA,NA,NA,NA
"43","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,21,262,"lat","Provável",-0.9,4.82,-0.38,2.39,8,"Flamengo",NA,1,18,7,NA,1,5,NA,NA,67,NA,NA,NA,2,NA,NA,NA,NA
"44","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,21,262,"mei","Contundido",8.6,6.99,1.46,2.72,12,"Flamengo",2,4,39,26,2,3,7,NA,NA,66,NA,NA,NA,NA,NA,1,NA,NA
"45","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,21,262,"ata","Nulo",0,5.79,0,4.48,16,"Flamengo",NA,1,4,16,14,8,16,7,4,34,NA,NA,NA,NA,NA,NA,NA,1
"46","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,21,265,"mei","Nulo",-1.9,13.35,-2.24,4.65,12,"265",1,1,6,9,5,7,26,4,2,73,NA,NA,NA,NA,NA,1,NA,NA
"47","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,21,285,"ata","Contundido",0,20.81,0,11.2,3,"285",1,NA,2,7,1,3,5,3,3,15,NA,NA,NA,NA,NA,1,NA,NA
"48","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,21,293,"zag","Provável",8.7,6.75,1.06,2.52,13,"293",1,3,15,12,2,8,14,NA,NA,60,NA,NA,NA,4,NA,NA,1,NA
"49","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,21,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,21,293,"mei","Provável",2.4,1.26,0.47,-0.92,15,"293",NA,8,16,33,1,4,7,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA
"51","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,21,262,"ata","Nulo",0,3.82,0,1.33,3,"Flamengo",1,NA,1,2,NA,NA,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"52","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,21,293,"lat","Contundido",0,9.64,0,3.07,8,"293",1,2,8,4,NA,NA,4,NA,NA,45,NA,NA,NA,4,NA,NA,NA,NA
"53","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,21,373,"lat","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,21,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Odair Marciano de Oliveira Filho","odair","Odair","",108745,21,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Danilo Alves da Silva","danilo","Danilo","",107981,21,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,21,373,"ata","Nulo",0,1.26,0,1.7,1,"373",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,21,293,"lat","Contundido",0,2.88,0,0.18,6,"293",NA,1,6,9,NA,NA,4,NA,1,49,NA,NA,NA,1,NA,NA,NA,NA
"59","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,21,293,"ata","Nulo",0,2.93,0,0.25,8,"293",NA,NA,1,2,1,2,2,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA
"60","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,21,264,"lat","Nulo",0,7.03,0,4.45,7,"264",NA,NA,8,5,NA,NA,1,1,NA,29,NA,NA,NA,4,NA,NA,NA,NA
"61","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,21,265,"ata","Nulo",2.9,8.66,-0.04,3.9,16,"265",1,2,10,15,18,16,20,3,5,58,NA,NA,NA,NA,NA,1,NA,1
"62","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,21,284,"lat","Dúvida",1.6,6.75,-0.98,1.34,5,"284",1,1,5,3,2,2,2,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
"63","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,21,265,"zag","Nulo",3.4,4.57,-0.74,1.82,8,"265",NA,1,8,5,1,1,4,NA,NA,30,NA,NA,NA,2,NA,NA,NA,NA
"64","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,21,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,NA,3,2,NA,NA,NA,NA
"65","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2020/11/09/8879b35c72aef797d229636dbdf3dd4f_FORMATO.png",97341,21,262,"tec","Provável",2.43,7.42,-0.14,3.12,19,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,21,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,NA,NA,NA,NA,NA,1,NA,NA,12,2,NA,5,NA,NA,NA,NA,NA
"67","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,21,293,"ata","Nulo",0,4.57,0,2.37,11,"293",2,4,9,15,7,2,13,1,1,44,NA,NA,NA,NA,NA,1,NA,NA
"68","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,21,277,"ata","Provável",5,24.27,-1.89,10.68,17,"Santos",5,3,19,25,13,21,82,12,14,95,NA,NA,NA,NA,NA,1,NA,NA
"69","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,21,293,"mei","Nulo",0,3.21,0,0.12,6,"293",NA,1,3,5,NA,1,2,NA,1,21,NA,NA,NA,NA,NA,1,NA,NA
"70","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,21,293,"mei","Nulo",0.3,1.17,0.35,-0.48,5,"293",NA,2,3,3,NA,1,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"71","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,21,285,"mei","Contundido",0,12.71,0,5.14,18,"285",2,1,45,27,6,8,33,3,2,89,NA,NA,NA,NA,NA,3,NA,NA
"72","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,21,263,"mei","Provável",1.3,5.72,-1.17,3.14,13,"263",NA,1,28,15,3,8,6,2,NA,67,NA,NA,NA,NA,NA,NA,NA,NA
"73","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,21,277,"ata","Provável",0,6.43,0,3.06,14,"Santos",3,5,7,9,7,11,27,2,2,104,NA,NA,NA,NA,NA,NA,NA,NA
"74","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2020/08/31/a672c0a0e10ef44cc74724473209cdb0_FORMATO.png",93368,21,277,"zag","Nulo",0,7.52,0,2.08,13,"Santos",NA,4,28,20,3,3,3,1,1,79,NA,NA,NA,2,NA,NA,NA,NA
"75","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,21,282,"ata","Contundido",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,21,266,"lat","Provável",0.4,2.93,-0.06,0.49,13,"266",1,3,19,33,2,3,2,1,1,184,NA,NA,NA,3,1,NA,NA,NA
"77","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,21,293,"ata","Provável",11.1,6.83,0.94,3.28,15,"293",2,NA,11,11,2,5,17,3,2,42,NA,NA,NA,NA,NA,NA,NA,NA
"78","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,21,354,"gol","Provável",-0.5,5.77,-0.93,2.9,20,"354",NA,2,NA,NA,NA,NA,2,NA,NA,168,27,NA,30,6,NA,NA,NA,NA
"79","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,21,262,"zag","Provável",0,2.12,0,-0.6,3,"Flamengo",NA,1,1,1,NA,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"80","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,21,293,"zag","Nulo",4.8,6.2,1.1,2.72,4,"293",NA,1,4,2,NA,1,1,NA,NA,14,NA,NA,NA,2,NA,NA,NA,NA
"81","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,21,264,"gol","Provável",2,7.19,0.08,0.26,16,"264",NA,1,1,1,NA,NA,1,NA,NA,109,14,NA,25,3,1,NA,NA,NA
