"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CV","DD","FS","GS","PI","SG","CA","DS","FC","FD","FF","G","I","A","FT","DP","GC","PP"
"12","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,28,290,"ata","Provável",6,6.44,1.18,1.91,18,"290",NA,NA,16,NA,108,NA,6,8,36,6,15,6,16,NA,NA,NA,NA,NA
"13","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,28,293,"lat","Provável",5.8,9.38,0.2,3.49,10,"293",NA,NA,4,NA,52,6,2,9,4,NA,NA,NA,NA,1,NA,NA,NA,NA
"14","Leonardo de Matos Cruz","leo-matos","Léo Matos","https://s.glbimg.com/es/sde/f/2020/11/05/c691cbfaec7f0b947c51a8cf861340a1_FORMATO.png",37866,28,267,"lat","Suspenso",1.8,5.76,-0.02,2.41,9,"267",NA,NA,6,NA,88,3,5,11,18,4,4,1,1,1,NA,NA,NA,NA
"15","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,28,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Júlio César de Souza Santos","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2020/07/28/d011e4a2fb177d4a8669f9d5c77ef25e_FORMATO.png",38133,28,280,"gol","Nulo",0,4.47,0,0.75,6,"280",NA,4,NA,9,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"17","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,28,293,"zag","Provável",7.1,6.89,0.12,3.13,19,"293",1,NA,18,NA,90,8,3,20,16,2,10,1,NA,1,NA,NA,1,NA
"18","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,28,263,"mei","Provável",1.2,4.62,-0.41,1.95,6,"263",NA,NA,6,NA,9,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA
"19","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,28,267,"zag","Provável",8.8,13.09,1.17,2.9,18,"267",NA,NA,18,NA,74,5,2,38,21,1,1,NA,NA,NA,NA,NA,NA,NA
"20","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/11/13/4a17daa520fd623ffa34480bdabdead6_FORMATO.png",38311,28,292,"mei","Dúvida",0,3.47,0,0.67,6,"292",NA,NA,3,NA,15,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,28,293,"mei","Nulo",0,3.91,0,0,1,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,28,263,"gol","Provável",-3,4.31,-1.13,0.57,16,"263",NA,15,1,25,99,1,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"23","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2020/03/02/6c5d6ccf4132d968daaf6a4738feaee9_FORMATO.png",38421,28,294,"mei","Provável",-3.6,4.88,-0.99,1.16,5,"Coritiba",NA,NA,11,NA,45,NA,1,9,9,1,2,NA,1,NA,NA,NA,NA,NA
"24","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,28,282,"ata","Nulo",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,28,356,"ata","Provável",0.2,7.2,-0.02,2.65,22,"356",NA,NA,21,NA,43,NA,NA,6,23,4,9,5,5,1,1,NA,NA,NA
"26","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,28,264,"ata","Nulo",0,10.06,0,2.75,15,"264",NA,NA,18,NA,64,NA,NA,NA,13,7,6,4,8,1,1,NA,NA,1
"27","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,28,275,"ata","Dúvida",0,9.71,0,3.28,23,"275",NA,NA,21,NA,41,NA,1,10,17,6,15,6,8,2,NA,NA,NA,1
"28","Uillian Correia Granemann","uillian-correia","Uillian Correia","https://s.glbimg.com/es/sde/f/2020/07/28/0e53aa2f143ac0e5e0db6e7dbe0fce14_FORMATO.png",72007,28,280,"mei","Nulo",0,2.21,0,-0.67,7,"280",NA,NA,NA,NA,5,NA,1,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"29","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,28,284,"mei","Nulo",0,3.39,0,0.7,10,"284",NA,NA,3,NA,35,NA,1,9,8,3,3,NA,NA,NA,NA,NA,NA,NA
"30","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,28,356,"ata","Provável",1.5,5.98,0.13,2.42,23,"356",NA,NA,18,NA,107,NA,2,23,9,6,13,1,2,3,1,NA,NA,NA
"31","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,28,354,"gol","Nulo",0,5.77,0,2.65,22,"354",NA,29,2,33,181,6,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,28,264,"lat","Nulo",0,7.17,0,5.18,11,"264",NA,NA,5,NA,67,7,NA,21,9,NA,2,1,NA,NA,NA,NA,NA,NA
"33","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,28,266,"ata","Nulo",0,3.39,-1.61,2.34,15,"266",NA,NA,27,NA,57,NA,3,4,20,4,2,3,2,2,NA,NA,NA,NA
"34","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,28,266,"lat","Nulo",0,9.6,0,4.19,13,"266",NA,NA,10,NA,173,1,1,51,17,5,1,NA,1,3,NA,NA,NA,NA
"35","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,28,284,"tec","Provável",4.02,12.5,0.26,3.92,26,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,28,264,"gol","Nulo",0,7.45,0,1.08,19,"264",1,17,1,26,145,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,28,293,"mei","Suspenso",-2,8.44,-3.02,1.93,17,"293",NA,NA,27,NA,108,NA,3,12,22,8,12,1,8,2,2,NA,NA,1
"38","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,28,293,"lat","Contundido",0,2.88,0,0.18,6,"293",NA,NA,4,NA,49,1,1,6,9,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2020/08/07/365a7d563bd584a5940f937c9ed97ea4_FORMATO.png",42411,28,277,"tec","Provável",0,11.13,0,3.58,27,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,28,265,"zag","Provável",2.9,5.78,0.15,1.96,18,"265",NA,NA,4,NA,55,2,NA,15,14,4,4,1,NA,1,NA,NA,NA,NA
"41","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,28,284,"gol","Nulo",0,4,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,28,284,"mei","Nulo",0,4.59,0.02,1.06,11,"284",NA,NA,12,NA,44,NA,1,12,16,3,2,NA,4,1,NA,NA,NA,NA
"43","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,28,294,"gol","Provável",-0.5,7.77,-0.76,2.4,27,"Coritiba",NA,31,2,38,224,6,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"44","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,28,263,"lat","Contundido",0,6.24,0,1.99,12,"263",NA,NA,10,NA,59,3,3,15,17,NA,6,NA,1,1,NA,NA,NA,NA
"45","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,28,264,"lat","Nulo",0,11.82,0,3.79,18,"264",1,NA,16,NA,203,6,2,51,22,7,5,1,2,NA,NA,NA,NA,NA
"46","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,28,294,"zag","Provável",-3.3,3.59,-1,1.82,11,"Coritiba",NA,NA,4,NA,57,2,2,17,6,NA,2,NA,2,NA,1,NA,NA,NA
"47","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,28,266,"mei","Nulo",1.2,5.34,-0.28,1.84,17,"266",1,NA,19,NA,64,NA,2,42,33,4,4,NA,3,2,NA,NA,1,NA
"48","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2020/12/31/a8308071841710b7b43c3c0f28ff6113_FORMATO.png",41327,28,267,"tec","Provável",5.28,10.23,-0.41,3.38,15,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,28,284,"zag","Nulo",0,9.51,0,3.96,17,"284",1,NA,6,NA,76,5,1,35,13,2,5,2,NA,NA,1,NA,NA,NA
"50","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2020/08/31/521385a7bf21af42afb472eabe1fbec0_FORMATO.png",70360,28,282,"ata","Nulo",0,9.03,0,3.59,20,"282",NA,NA,22,NA,65,NA,1,12,16,9,8,5,2,2,1,NA,NA,1
"51","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,28,282,"tec","Provável",0,14.73,0,4.49,24,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,28,284,"lat","Provável",0,6.81,0,2.5,8,"284",NA,NA,2,NA,70,2,1,7,6,2,2,NA,NA,2,NA,NA,NA,NA
"53","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/09/12/25b06b2bbcc0a18b06542144db3ebc75_FORMATO.png",70666,28,264,"zag","Nulo",0,5.6,0,2.74,7,"264",1,NA,1,NA,10,4,NA,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"54","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2020/09/11/8c1bbc63952b2e050b6b5662f996e79d_FORMATO.png",70916,28,284,"lat","Provável",11.6,9.71,0.68,3.78,18,"284",NA,NA,15,NA,113,4,1,39,11,1,6,NA,1,3,NA,NA,NA,NA
"55","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2020/03/09/df53a31bb47d9ca7d71c5826b26910ea_FORMATO.png",70784,28,276,"ata","Nulo",0,6,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,28,354,"mei","Nulo",-1.5,2.37,-1.03,1.27,14,"354",NA,NA,3,NA,24,NA,2,4,12,NA,2,1,NA,3,NA,NA,NA,NA
"57","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,28,293,"mei","Provável",10.7,13.62,1.31,3.98,23,"293",NA,NA,37,NA,85,NA,4,54,44,10,18,4,2,NA,NA,NA,NA,NA
"58","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,28,356,"zag","Dúvida",0,4.19,0,1.69,15,"356",NA,NA,14,NA,50,4,5,17,17,2,3,NA,NA,NA,NA,NA,NA,NA
"59","Fábio Pizarro Sanches","fabio-sanches","Fábio Sanches","https://s.glbimg.com/es/sde/f/2020/08/26/5756a4bae1a6bb1e484099d7ea94222d_FORMATO.jpeg",71604,28,290,"zag","Provável",9.2,7.43,0.65,3.51,18,"290",NA,NA,15,NA,40,7,3,31,14,1,3,1,NA,NA,NA,NA,1,NA
"60","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,28,354,"mei","Nulo",0,3.18,0,0.33,7,"354",NA,NA,2,NA,25,NA,NA,2,5,NA,1,NA,3,1,NA,NA,NA,NA
"61","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,28,267,"gol","Provável",8.3,9.36,0.5,2.87,23,"267",NA,24,4,32,169,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"62","Vinícius Goes Barbosa de Souza","vina","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,28,354,"mei","Provável",2.4,10.42,0.25,6.35,20,"354",NA,NA,16,NA,181,NA,3,11,16,23,27,8,4,6,1,NA,NA,1
"63","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2020/10/06/1e5d2511be625adda18aa1b5728bdabb_FORMATO.png",71549,28,263,"ata","Contundido",0,3.33,0,1.07,3,"263",NA,NA,6,NA,15,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"64","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,28,293,"mei","Nulo",0,2.62,0,-0.13,10,"293",NA,NA,3,NA,29,NA,1,3,8,NA,2,NA,3,NA,1,NA,NA,NA
"65","Ronaldo Henrique Silva","ronaldo-silva","Ronaldo Silva","https://s.glbimg.com/es/sde/f/2020/07/19/6262a00677d1041e87f100faa6c04f45_FORMATO.png",71640,28,292,"ata","Nulo",0,0.81,0,-2.2,3,"292",1,NA,NA,NA,3,NA,1,1,1,1,NA,NA,2,NA,NA,NA,NA,NA
"66","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2020/03/09/d8945e5024344014b96d64adab91f4da_FORMATO.png",71684,28,275,"zag","Dúvida",0,11.15,0,3.29,16,"275",1,NA,15,NA,52,6,3,27,21,2,5,1,9,1,NA,NA,NA,NA
"67","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2020/02/27/58765e09575aeed485460352a0980dad_FORMATO.png",71844,28,285,"mei","Provável",0,19.64,0,7.46,25,"285",1,NA,40,NA,114,NA,3,21,23,16,23,16,15,5,NA,NA,NA,1
"68","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2020/03/09/981499da2df970e3aa062fabcbf2f745_FORMATO.png",79035,28,277,"zag","Nulo",0,3.46,0,1.35,8,"Santos",NA,NA,3,NA,27,1,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,28,356,"mei","Nulo",0,3.6,0,2.68,21,"356",1,NA,29,NA,172,NA,5,39,31,4,18,2,NA,3,NA,NA,NA,NA
"70","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,28,354,"zag","Provável",3,6.32,0.19,2.79,19,"354",NA,NA,16,NA,93,6,6,33,16,1,4,1,2,NA,NA,NA,NA,NA
"71","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,28,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Marcos Guilherme de Almeida Santos Matos","marcos-guilherme","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2020/02/27/cface4b2faa10e1c22eb8e5dfb7971ad_FORMATO.png",83266,28,285,"mei","Nulo",0,2.62,0,0.41,23,"285",NA,NA,10,NA,48,NA,2,12,23,3,6,NA,7,1,1,NA,NA,NA
"73","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2020/02/27/add8047ee0515010dccf6e0d204c3bb0_FORMATO.png",79113,28,285,"zag","Provável",2,10.12,-0.15,2.4,26,"285",NA,NA,25,NA,183,11,8,43,35,2,2,NA,NA,NA,NA,NA,NA,NA
"74","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/10/03/58aa0eddfe8c9c684344f4231a233ddf_FORMATO.png",71631,28,275,"gol","Provável",0,8.98,0,2.19,21,"275",NA,15,1,19,172,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Mattheus Andrade Gama de Oliveira","mattheus","Mattheus","https://s.glbimg.com/es/sde/f/2020/09/30/38d8d1bd4dd6f381d7dcabac2692be19_FORMATO.png",79023,28,294,"mei","Contundido",0,4.05,0,2.62,7,"Coritiba",NA,NA,7,NA,30,NA,NA,9,4,1,2,1,NA,NA,NA,NA,NA,NA
"76","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,28,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,28,293,"tec","Provável",6.53,9.11,-0.18,3.39,22,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,28,356,"zag","Nulo",0,2.77,0,2.1,5,"356",1,NA,2,NA,10,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Luis Eduardo Barros Cavalcanti","dado-cavalcanti","Dado Cavalcanti","https://s.glbimg.com/es/sde/f/2021/01/02/26f198ddbe516885c786f065c8082dee_FORMATO.png",73975,28,265,"tec","Provável",1.07,7.01,-0.6,2.5,2,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,28,354,"tec","Provável",0.8,8.85,-0.37,3.68,27,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
