,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.jogos_num,atletas.clube.id.full.name,CA,DS,FC,FD,FF,FS,G,I,PI,A,FT,SG,DD,GS,CV,DP,GC,PP
39,Thiago Heleno Henrique Ferreira,thiago-heleno,Thiago Heleno,https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png,38394,10,293,zag,Nulo,9.5,6.37,1.78,1.86,5,Athlético-PR,2,8,6,NA,3,6,NA,NA,21,NA,NA,1,NA,NA,NA,NA,NA,NA
40,Erick Luis Conrado de Carvalho,erick,Erick,https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png,98022,10,293,mei,Nulo,1.5,4.56,-0.54,4.22,4,Athlético-PR,NA,13,7,2,1,1,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA
41,Márcio Gonzaga de Azevedo,marcio-azevedo,Márcio Azevedo,https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png,42491,10,293,lat,Nulo,2,3.41,0.65,-0.12,4,Athlético-PR,1,4,9,NA,NA,2,NA,1,35,NA,NA,1,NA,NA,NA,NA,NA,NA
42,Luiz Ricardo Alves,sassa,Sassá,https://s.glbimg.com/es/sde/f/2020/03/02/6ec74772de012171f72f546a01823ea0_FORMATO.png,79578,10,294,ata,Nulo,-1.3,2.48,-1.3,1.55,10,Coritiba,2,2,20,4,8,9,1,5,17,1,1,NA,NA,NA,NA,NA,NA,NA
43,Walter Henrique da Silva,walter,Walter,https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png,62128,10,293,ata,Nulo,0,3.64,0,0.55,2,Athlético-PR,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Guilherme Bissoli Campos,bissoli,Bissoli,https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png,100762,10,293,ata,Nulo,0.8,2.32,0.14,0.28,4,Athlético-PR,NA,1,3,1,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Everton Augusto de Barros Ribeiro,everton-ribeiro,Everton Ribeiro,https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png,51772,10,262,mei,Nulo,2.8,7.62,-0.31,3.33,10,Flamengo,2,16,9,3,5,20,2,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Pedro Gabriel Pereira Lopes,pedrinho,Pedrinho,https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png,100103,10,293,ata,Nulo,0,2.49,0,0.76,5,Athlético-PR,NA,1,5,1,1,3,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA
47,Wellington Aparecido Martins,wellington,Wellington,https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png,62129,10,293,mei,Nulo,-2.6,1.02,-0.49,-1.57,6,Athlético-PR,4,6,18,1,1,4,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Rodrigo Caio Coquette Russo,rodrigo-caio,Rodrigo Caio,https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png,73800,10,262,zag,Nulo,0,8.92,0,2.78,9,Flamengo,1,18,9,1,3,3,NA,NA,16,NA,NA,2,NA,NA,NA,NA,NA,NA
49,Luis Oscar González,lucho-gonzalez,Lucho González,https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png,71479,10,293,mei,Nulo,0,2.9,0,-0.23,4,Athlético-PR,1,NA,3,NA,1,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA
50,Anderson Silva da Paixão,anderson,Anderson,https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png,102906,10,293,gol,Nulo,0,2,0,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Vitor Hugo Naum dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png,101960,10,293,ata,Contundido,0,15.46,0,5.9,5,Athlético-PR,1,5,13,4,2,11,2,NA,29,1,1,NA,NA,NA,NA,NA,NA,NA
52,Lucas Halter,lucas-halter,Lucas Halter,https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png,102253,10,293,zag,Nulo,0,2.99,0,0.8,5,Athlético-PR,1,3,7,1,1,4,NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA
53,Filipe Luís Kasmirski,filipe-luis,Filipe Luís,https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png,38750,10,262,lat,Nulo,0,6.56,0,3.12,8,Flamengo,1,17,10,2,1,11,1,1,62,NA,NA,2,NA,NA,NA,NA,1,NA
54,Diego Alves Carreira,diego-alves,Diego Alves,https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png,38509,10,262,gol,Contundido,0,10.72,0,2.22,5,Flamengo,NA,NA,NA,NA,NA,2,NA,NA,19,NA,NA,1,6,6,1,NA,NA,NA
55,Willian Souza Arão da Silva,willian-arao,Willian Arão,https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png,78478,10,262,mei,Nulo,3.1,8.7,0.29,1.98,10,Flamengo,1,23,10,1,5,5,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Khellven Douglas Silva Oliveira,khellven,Khellven ,https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png,105175,10,293,lat,Nulo,0,4.13,0,0.67,6,Athlético-PR,2,11,10,NA,1,1,NA,NA,43,NA,NA,1,NA,NA,NA,NA,NA,NA
57,Gustavo Henrique Vernes,gustavo-henrique,Gustavo Henrique,https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png,78248,10,262,zag,Nulo,1.6,5.46,0.22,1.96,5,Flamengo,NA,5,3,NA,2,2,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA
58,Diego Ribas da Cunha,diego,Diego,https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png,38909,10,262,mei,Nulo,0.7,4.5,-0.19,0.12,7,Flamengo,2,3,10,NA,1,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Abner Vinícius da Silva Santos,abner-vinicius,Abner Vinícius,https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png,104513,10,293,lat,Nulo,7.2,9.95,1.23,3.52,8,Athlético-PR,NA,12,9,3,3,4,1,NA,53,NA,NA,2,NA,NA,NA,NA,NA,NA
60,César Bernardo Dutra,cesar,César,https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png,78086,10,262,gol,Nulo,-4.2,3.38,-1.71,1.2,4,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,2,NA,NA,NA,NA
61,Diego Tardelli Martins,diego-tardelli,Diego Tardelli,https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png,38231,10,282,ata,Contundido,0,9,0,0,0,Atlético-MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Fábio Santos Romeu,fabio-santos,Fábio Santos,https://s.glbimg.com/es/sde/f/2020/08/31/eafd006d2fd67a1a408086328eb3fd4c_FORMATO.png,38229,10,282,lat,Nulo,0,6.19,0,3.3,3,Atlético-MG,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
63,Renê Rodrigues Martins,rene,Renê,https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png,78445,10,262,lat,Nulo,6.2,6.17,0.89,3.73,4,Flamengo,1,14,1,NA,NA,3,NA,NA,31,NA,NA,1,NA,NA,NA,NA,NA,NA
64,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png,78435,10,262,ata,Nulo,1.7,6.02,-0.12,1.38,7,Flamengo,NA,5,6,2,8,5,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Lincoln Corrêa dos Santos,lincoln,Lincoln,https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png,100065,10,262,ata,Nulo,-0.4,2.79,-0.35,0,3,Flamengo,NA,NA,1,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Michael Richard Delgado de Oliveira,michael,Michael,https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png,99392,10,262,ata,Nulo,3.6,6.56,0.54,2.32,6,Flamengo,1,6,8,3,8,2,NA,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA
67,Matheus Soares Thuler,thuler,Thuler,https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png,100125,10,262,zag,Nulo,0,2.37,0,-0.6,2,Flamengo,1,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Lucas Eduardo Ribeiro de Souza,edu,Edu,https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png,105842,10,293,zag,Nulo,0,2,0,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Gilberto Oliveira Souza Júnior,gilberto,Gilberto,https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png,61188,10,265,ata,Nulo,-0.5,7.22,-1.09,2.61,8,Bahia,NA,6,6,8,6,11,NA,4,40,1,1,NA,NA,NA,NA,NA,NA,1
70,Leonardo Pereira,leo-pereira,Léo Pereira,https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png,83528,10,262,zag,Nulo,2.3,5.24,0.25,2.21,7,Flamengo,NA,12,9,2,1,6,NA,NA,32,NA,NA,1,NA,NA,NA,NA,NA,NA
71,Rodrigo Eduardo Costa Marinho,rodriguinho,Rodriguinho,https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png,61033,10,265,mei,Nulo,1.5,15.25,-0.8,5.02,9,Bahia,NA,3,6,5,6,19,3,1,66,1,1,NA,NA,NA,NA,NA,NA,NA
72,Thiago Maia Alencar,thiago-maia,Thiago Maia,https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png,89637,10,262,mei,Nulo,5.5,6.16,0.72,2.04,5,Flamengo,NA,14,7,1,NA,2,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Gabriel Batista de Souza,gabriel-batista,Gabriel Batista,https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png,98333,10,262,gol,Nulo,0,1.56,0,-0.9,3,Flamengo,NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,NA,2,5,NA,NA,NA,NA
74,Bruno Nunes de Barros,bruno-tubarao,Bruno Tubarão,https://s.glbimg.com/es/sde/f/2020/07/28/463ff91ecdd216754f963fbe0244e831_FORMATO.png,93637,10,280,mei,Nulo,0,1.88,0,0.66,8,Bragantino,1,8,6,1,2,3,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Wellington Pereira do Nascimento,wellington-paulista,Wellington Paulista,https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png,38279,10,356,ata,Provável,-1.2,7.77,-1.86,4.03,10,Fortaleza,NA,1,13,4,2,12,4,3,21,1,NA,NA,NA,NA,NA,NA,NA,NA
76,Anderson Luiz de Carvalho,nene,Nenê,https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png,38913,10,266,mei,Provável,16.5,15.02,3.37,6.38,9,Fluminense,2,6,5,4,11,19,5,NA,102,1,NA,NA,NA,NA,NA,NA,NA,NA
77,Gerson Santos da Silva,gerson,Gerson,https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png,89256,10,262,mei,Nulo,0,9.07,0,1.98,7,Flamengo,3,17,18,NA,4,22,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Leonardo Rech Ortiz,leo-ortiz,Léo Ortiz,https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png,97867,10,280,zag,Provável,3.4,7.45,0.41,2.54,10,Bragantino,1,21,8,1,2,6,1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Robert Abel Arboleda Escobar,arboleda,Arboleda,https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png,91573,10,276,zag,Nulo,0,10.07,0,2.47,4,São Paulo,1,1,2,2,NA,1,NA,NA,10,NA,NA,2,NA,NA,NA,NA,NA,NA
80,Felipe Alves Raymundo,felipe-alves,Felipe Alves,https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png,72372,10,356,gol,Provável,1.4,3.23,-0.41,1.72,10,Fortaleza,NA,2,NA,NA,NA,3,NA,NA,113,NA,NA,3,7,9,NA,NA,NA,NA
