"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","I","PI","SG","G","DD","DP","GS","FT","GC","PP"
"11","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,35,373,"mei","Provável",0.5,5.08,-0.05,1.5,26,"373",1,4,1,41,28,9,16,18,1,148,NA,NA,NA,NA,NA,1,NA,NA
"12","Odair Marciano de Oliveira Filho","odair","Odair","",108745,35,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Renyer Luan de Oliveira Damasceno","renyer","Renyer","https://s.glbimg.com/es/sde/f/2020/07/16/a63e9e4595449a48f9b4160c4eec1045_FORMATO.png",107954,35,277,"ata","Nulo",0,3,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,35,276,"zag","Provável",2.4,7.84,0.47,2.45,21,"276",NA,3,NA,28,27,NA,7,35,NA,52,5,NA,NA,NA,NA,NA,NA,NA
"15","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,35,277,"ata","Provável",0,26.22,0,10.62,24,"Santos",6,4,NA,23,31,26,33,113,21,153,NA,16,NA,NA,NA,3,NA,NA
"16","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,35,276,"gol","Provável",-2.6,11.34,-0.68,2.74,29,"276",1,1,NA,1,NA,NA,NA,7,NA,188,6,NA,28,3,36,NA,NA,NA
"17","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,35,293,"lat","Contundido",0,2.88,0,0.18,6,"293",NA,1,NA,6,9,NA,NA,4,1,49,1,NA,NA,NA,NA,NA,NA,NA
"18","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,35,276,"lat","Suspenso",-3.9,5.08,-0.82,1.94,17,"276",1,3,NA,25,13,3,2,10,NA,96,3,NA,NA,NA,NA,NA,NA,NA
"19","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,35,293,"zag","Provável",0.5,6.2,-0.66,3.13,26,"293",1,4,1,31,19,2,12,23,NA,134,11,1,NA,NA,NA,NA,1,NA
"20","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,35,262,"lat","Nulo",0,4.43,0,4.1,3,"Flamengo",NA,1,NA,5,7,NA,1,7,NA,15,2,NA,NA,NA,NA,NA,NA,NA
"21","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,35,276,"zag","Provável",1.1,8.29,-0.39,2.61,14,"276",NA,3,NA,17,17,6,4,11,NA,47,3,1,NA,NA,NA,NA,NA,NA
"22","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,35,294,"mei","Provável",0,4.15,0,2.23,24,"Coritiba",3,4,NA,44,40,2,7,27,NA,71,NA,1,NA,NA,NA,NA,NA,NA
"23","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,35,276,"lat","Provável",0,5.13,0,1.97,20,"276",2,4,NA,27,34,4,6,15,NA,98,4,NA,NA,NA,NA,NA,NA,NA
"24","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,35,276,"ata","Suspenso",4.2,7.45,0.33,1.73,23,"276",2,3,NA,16,31,9,22,15,9,39,NA,1,NA,NA,NA,NA,NA,NA
"25","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,35,276,"mei","Nulo",0,6.49,0,1.27,13,"276",NA,4,NA,10,14,5,4,15,NA,32,NA,1,NA,NA,NA,NA,NA,NA
"26","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,35,293,"mei","Contundido",0,2.45,0,-0.19,11,"293",NA,1,NA,3,9,NA,2,3,3,32,NA,NA,NA,NA,NA,1,NA,NA
"27","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,35,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,3,NA,NA,NA
"28","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,35,373,"zag","Nulo",0,4.62,-0.1,1.86,19,"373",NA,6,NA,20,25,1,3,11,NA,22,5,1,NA,NA,NA,NA,NA,NA
"29","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,35,264,"tec","Provável",3.82,7.81,0.08,3.78,27,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png",87009,35,282,"mei","Provável",0.9,9.23,-0.07,2.87,22,"282",1,NA,NA,22,7,9,7,10,2,49,NA,3,NA,NA,NA,NA,NA,NA
"31","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,35,264,"gol","Provável",-7,5.75,-0.75,0.91,23,"264",NA,1,1,1,1,NA,NA,1,NA,189,6,NA,20,NA,32,NA,NA,NA
"32","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,35,293,"mei","Dúvida",0,12.36,0,3.85,26,"293",NA,6,NA,61,48,11,19,44,2,94,NA,4,NA,NA,NA,1,NA,NA
"33","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,35,293,"mei","Dúvida",23.8,5.18,3.97,1.61,14,"293",2,3,NA,14,10,1,2,7,1,44,NA,1,NA,NA,NA,NA,NA,NA
"34","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,35,264,"zag","Provável",4.9,6.71,0.62,3.28,23,"264",2,2,NA,36,17,1,3,14,1,91,7,1,NA,NA,NA,1,1,NA
"35","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,35,373,"mei","Provável",3.4,3.15,0.91,0.98,19,"373",NA,5,1,43,31,2,5,12,1,57,NA,NA,NA,NA,NA,NA,NA,NA
"36","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,35,262,"zag","Nulo",0,5.1,0,2.26,12,"Flamengo",NA,1,NA,20,15,2,3,9,NA,56,1,1,NA,NA,NA,NA,NA,NA
"37","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,35,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,NA,NA,15,8,1,5,13,NA,39,NA,2,NA,NA,NA,NA,NA,NA
"38","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,35,294,"gol","Suspenso",0,7.75,0,2.79,33,"Coritiba",NA,NA,1,1,NA,NA,NA,4,NA,285,8,1,38,2,46,NA,NA,NA
"39","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,35,264,"mei","Nulo",0,6.35,0,2.03,15,"264",1,1,NA,14,12,4,8,12,NA,88,NA,1,NA,NA,NA,1,NA,NA
"40","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,35,373,"gol","Provável",12.5,12.25,1.09,5.61,32,"373",NA,1,NA,1,1,1,1,10,NA,302,8,4,48,2,37,NA,NA,NA
"41","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,35,293,"ata","Provável",0.8,7.42,0.02,4.35,28,"293",1,4,NA,17,47,17,20,41,20,92,NA,11,NA,NA,NA,2,NA,NA
"42","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,35,294,"gol","Provável",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,35,373,"zag","Provável",0,2.76,0.3,2.01,14,"373",NA,3,NA,10,13,NA,1,7,NA,47,3,2,NA,NA,NA,NA,NA,NA
"44","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,35,373,"zag","Provável",-3,3,-0.83,1.1,29,"373",NA,5,NA,25,35,2,4,13,2,112,7,NA,NA,NA,NA,NA,NA,NA
"45","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,35,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,35,373,"lat","Nulo",2.7,7.08,0.19,2.58,27,"373",3,1,NA,44,31,6,12,11,2,278,7,NA,NA,NA,NA,NA,NA,NA
"47","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,35,373,"zag","Suspenso",-0.8,3.27,-0.9,2.46,24,"373",2,9,NA,42,25,1,1,28,NA,84,6,NA,NA,NA,NA,NA,NA,NA
"48","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,35,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,35,373,"lat","Provável",-0.8,4.36,-0.32,2.07,30,"373",1,3,1,64,34,2,7,31,4,252,6,NA,NA,NA,NA,NA,1,NA
"50","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,35,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,35,356,"gol","Provável",4.2,4.56,1.14,2.07,30,"356",NA,NA,NA,3,NA,NA,NA,5,NA,304,10,NA,20,3,32,NA,NA,NA
"52","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,35,276,"lat","Nulo",0,3.88,0,1.35,17,"276",1,2,NA,16,10,NA,2,15,NA,82,2,NA,NA,NA,NA,NA,NA,NA
"53","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,35,276,"mei","Provável",0.2,7.22,-0.13,2.15,25,"276",NA,2,1,24,22,7,14,29,1,77,NA,3,NA,NA,NA,NA,NA,NA
"54","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,35,266,"mei","Provável",-0.1,12.39,-1.79,4.96,26,"266",3,2,NA,30,12,12,21,47,NA,240,NA,8,NA,NA,NA,1,NA,1
"55","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,35,356,"ata","Provável",1.2,7.63,-0.82,2.81,29,"356",1,1,NA,6,33,6,16,31,6,65,NA,8,NA,NA,NA,1,NA,1
"56","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,35,265,"zag","Nulo",0,6.34,0,2.82,5,"265",NA,1,NA,4,6,NA,2,2,NA,5,1,1,NA,NA,NA,NA,NA,NA
"57","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,35,276,"mei","Dúvida",0,7.75,0,2.08,25,"276",1,2,NA,14,10,9,13,26,3,97,NA,2,NA,NA,NA,1,NA,NA
"58","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,35,276,"mei","Contundido",0,4.4,0,1.02,5,"276",NA,1,NA,9,7,2,2,4,NA,44,NA,NA,NA,NA,NA,NA,NA,NA
"59","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2020/11/09/8879b35c72aef797d229636dbdf3dd4f_FORMATO.png",97341,35,262,"tec","Provável",4.37,8.73,-0.36,3.94,32,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,35,290,"ata","Nulo",0.9,5.85,0.21,2.15,24,"290",NA,8,NA,12,45,6,25,21,19,143,NA,8,NA,NA,NA,NA,NA,NA
"61","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,35,292,"ata","Nulo",2.5,2.97,-0.03,1.34,21,"292",NA,2,NA,5,10,1,4,27,NA,18,NA,2,NA,NA,NA,NA,NA,NA
"62","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,35,276,"mei","Suspenso",2.2,4.02,-0.86,1.44,29,"276",3,3,NA,21,34,11,9,31,4,134,NA,1,NA,NA,NA,NA,NA,NA
"63","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2020/08/26/07181c4e061a2e4a3daef524908f563b_FORMATO.png",62121,35,284,"gol","Provável",0,6.36,0,1.17,23,"284",NA,2,NA,NA,NA,NA,NA,4,NA,154,6,NA,15,NA,23,NA,NA,NA
"64","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2020/11/20/7c0d041c984aed2ad0bddb5980390af3_FORMATO.png",102598,35,280,"ata","Provável",9.3,5.24,1.35,3.97,12,"280",3,4,NA,23,14,4,3,7,NA,51,NA,2,NA,NA,NA,1,NA,NA
"65","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,35,276,"mei","Provável",0.7,3.26,-0.07,0.74,21,"276",NA,5,NA,34,26,2,3,11,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
"66","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,35,284,"lat","Provável",0,6.2,0,2.38,12,"284",2,3,NA,18,10,2,3,4,NA,103,3,NA,NA,NA,NA,NA,NA,NA
"67","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,35,267,"gol","Provável",-5.7,6.99,-0.97,2.25,30,"267",NA,NA,NA,NA,NA,NA,NA,6,NA,224,9,NA,29,2,44,NA,NA,NA
"68","Germán Ezequiel Cano","cano","Cano","https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png",79631,35,267,"ata","Provável",0.5,12.92,-0.19,5.06,29,"267",1,NA,NA,13,27,20,18,21,12,71,NA,13,NA,NA,NA,1,NA,NA
"69","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,35,284,"tec","Provável",6.25,12.89,0.41,3.83,32,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,35,276,"zag","Contundido",0,4,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,35,277,"ata","Provável",1.7,4.62,-1.04,2.01,27,"Santos",1,5,NA,17,37,2,16,35,2,61,NA,4,NA,NA,NA,1,NA,NA
"72","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,35,277,"ata","Provável",3.5,7.14,0.3,3.21,21,"Santos",4,8,NA,11,16,9,16,43,4,178,NA,4,NA,NA,NA,1,NA,NA
"73","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,35,262,"mei","Provável",1.5,7.08,-0.09,1.25,29,"Flamengo",NA,4,NA,55,35,2,10,14,NA,104,NA,NA,NA,NA,NA,NA,NA,NA
"74","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,35,284,"zag","Contundido",0,9.61,0,3.91,12,"284",NA,2,1,34,9,NA,4,9,1,58,5,NA,NA,NA,NA,NA,NA,NA
"75","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,35,284,"ata","Provável",0,10.6,0,4.26,20,"284",2,5,1,14,22,7,17,18,2,107,NA,9,NA,NA,NA,NA,NA,1
"76","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,35,262,"mei","Provável",7.6,10.14,0.03,4.73,29,"Flamengo",4,4,NA,56,32,10,20,58,1,223,NA,6,NA,NA,NA,1,NA,NA
"77","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,35,285,"mei","Suspenso",6.4,13.09,0.79,5.24,31,"285",4,3,NA,74,43,7,14,68,2,165,NA,6,NA,NA,NA,4,NA,NA
"78","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,35,262,"lat","Provável",8.9,8.4,0.31,4.45,26,"Flamengo",2,6,NA,89,39,2,2,31,1,247,8,2,NA,NA,NA,1,1,NA
"79","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,35,354,"gol","Nulo",0,5.77,0,2.65,22,"354",NA,2,NA,NA,1,NA,NA,2,NA,181,6,NA,29,NA,33,NA,NA,NA
"80","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,35,285,"ata","Contundido",0,20.81,0,11.2,3,"285",1,NA,NA,2,7,1,3,5,3,15,NA,3,NA,NA,NA,1,NA,NA
"81","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,35,275,"ata","Dúvida",0,10.7,0,4.32,18,"275",1,2,NA,11,17,5,6,17,1,45,NA,8,NA,NA,NA,NA,NA,1
"82","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2020/03/09/981499da2df970e3aa062fabcbf2f745_FORMATO.png",79035,35,277,"zag","Nulo",0,3.34,0,1.21,9,"Santos",NA,NA,NA,10,6,NA,NA,4,NA,31,1,NA,NA,NA,NA,NA,NA,NA
