"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","PI","DD","GS","SG","A","G","CV","GC","DP","I","FT","PP"
"11","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,24,293,"mei","Nulo",0,5,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Marcelo Augusto Oliveira Chamusca","marcelo-chamusca","Marcelo Chamusca","https://s.glbimg.com/es/sde/f/2019/04/18/bb15f1b6f0431b9df73151cf80c33cb7_FORMATO.png",37319,24,356,"tec","Provável",0,7.59,0,3.07,2,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,24,263,"gol","Provável",-3.3,4.38,-0.63,0.45,12,"263",1,NA,1,NA,NA,1,86,10,18,1,NA,NA,NA,NA,1,NA,NA,NA
"14","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,24,266,"ata","Nulo",0,3.4,0,2.1,12,"266",3,1,14,4,2,20,42,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA
"15","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,24,264,"ata","Suspenso",0,10.67,0,2.51,13,"264",NA,NA,9,5,5,13,49,NA,NA,NA,1,3,NA,NA,NA,5,1,1
"16","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,24,262,"gol","Provável",4.8,9.09,1.17,1.86,7,"Flamengo",NA,NA,NA,NA,NA,2,30,6,7,2,NA,NA,1,NA,NA,NA,NA,NA
"17","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,24,275,"zag","Contundido",0,7.76,0,3.73,8,"275",3,24,9,NA,1,8,35,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"18","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,24,276,"mei","Nulo",0,7.09,0,1.82,10,"276",3,9,12,5,4,14,30,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"19","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/11/13/4a17daa520fd623ffa34480bdabdead6_FORMATO.png",38311,24,292,"mei","Nulo",0,3.47,0,0.67,6,"292",NA,7,6,NA,NA,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,24,282,"ata","Contundido",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,24,266,"zag","Provável",0.2,4.95,-0.53,3.73,4,"266",2,5,5,1,1,1,11,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"22","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,24,282,"mei","Nulo",2.6,5.15,0.1,2.13,17,"282",1,18,26,4,5,14,60,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA
"23","Júlio César de Souza Santos","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2020/07/28/d011e4a2fb177d4a8669f9d5c77ef25e_FORMATO.png",38133,24,280,"gol","Nulo",0,4.47,0,0.75,6,"280",NA,NA,NA,NA,NA,NA,55,4,9,1,NA,NA,NA,NA,1,NA,NA,NA
"24","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png",38939,24,276,"mei","Provável",5.6,11.38,1.75,1.84,14,"276",6,27,36,4,14,25,167,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA
"25","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,24,266,"mei","Provável",6.7,13.59,1.27,5.09,19,"266",2,19,10,8,19,33,198,NA,NA,NA,1,8,NA,NA,NA,NA,NA,1
"26","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,24,262,"mei","Nulo",0,5.42,0,2.32,13,"Flamengo",3,10,17,2,4,31,44,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"27","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,24,262,"lat","Provável",5.8,7.02,0.47,3.69,16,"Flamengo",3,49,25,2,1,18,141,NA,NA,4,1,1,NA,1,NA,1,1,NA
"28","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,24,264,"tec","Provável",0,7.52,0,3.32,20,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,24,275,"ata","Provável",9.1,11.15,1.33,3.25,20,"275",NA,7,14,5,13,19,36,NA,NA,NA,2,5,NA,NA,NA,7,NA,1
"30","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,24,356,"ata","Provável",0,6.67,0,2.66,19,"356",2,20,8,6,9,14,81,NA,NA,NA,3,1,NA,NA,NA,2,1,NA
"31","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,24,264,"gol","Provável",0,8.25,0,0.69,17,"264",1,1,1,NA,NA,1,123,15,25,4,NA,NA,1,NA,NA,NA,NA,NA
"32","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,24,266,"lat","Dúvida",3.6,9.43,0.13,4.17,12,"266",1,46,16,5,1,8,162,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA
"33","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,24,267,"zag","Provável",0.5,11.99,0.19,2.67,14,"267",2,29,13,1,1,15,56,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"34","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,24,284,"tec","Provável",8.7,13.44,0.7,4.11,22,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,24,264,"lat","Provável",0,6.87,0,4.68,8,"264",NA,10,6,NA,NA,2,36,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA
"36","Mariano Ferreira Filho","mariano","Mariano","https://s.glbimg.com/es/sde/f/2020/08/31/50061e6cc612276277686e788cb0ac4c_FORMATO.png",38877,24,282,"lat","Nulo",0,7.98,0,2.64,7,"282",1,18,8,1,NA,5,72,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"37","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,24,294,"zag","Provável",3.8,4.71,0.07,2.19,7,"Coritiba",1,12,3,NA,NA,3,42,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA
"38","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,24,265,"zag","Provável",3.1,5.91,0.68,2.12,14,"265",NA,9,11,3,3,4,46,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA
"39","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,24,294,"gol","Provável",11.9,9.91,0.79,2.65,23,"Coritiba",NA,1,NA,NA,NA,2,203,26,31,6,NA,NA,NA,NA,1,NA,NA,NA
"40","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,24,356,"ata","Nulo",0,7.88,0,3.32,18,"356",NA,6,17,4,7,19,32,NA,NA,NA,1,5,NA,NA,NA,5,1,NA
"41","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,24,284,"zag","Provável",6.8,9.51,0.93,3.96,17,"284",1,35,13,2,5,6,76,NA,NA,5,NA,2,1,NA,NA,NA,1,NA
"42","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2020/10/01/83becd84fed9fcf027e6ddd95ae3fea7_FORMATO.png",38910,24,294,"ata","Provável",0.3,5.8,-0.57,0.25,6,"Coritiba",1,1,6,2,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"43","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,24,264,"lat","Provável",0,12.51,0,3.48,15,"264",2,45,20,4,5,15,172,NA,NA,4,NA,1,1,NA,NA,2,NA,NA
"44","Abel Carlos da Silva Braga","abel-braga","Abel Braga","https://s.glbimg.com/es/sde/f/2020/11/10/0f92efccde1103a2d235bd9cb9fa4deb_FORMATO.png",40006,24,285,"tec","Provável",1.87,9.79,-0.07,2.04,4,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,24,293,"lat","Contundido",0,2.88,0,0.18,6,"293",1,6,9,NA,NA,4,49,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"46","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2020/08/07/365a7d563bd584a5940f937c9ed97ea4_FORMATO.png",42411,24,277,"tec","Provável",3.83,11.13,0.24,3.62,24,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,24,262,"mei","Provável",10.1,10.03,0.9,4.86,18,"Flamengo",4,23,20,7,13,36,147,NA,NA,NA,2,6,NA,NA,NA,1,1,NA
"48","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,24,284,"gol","Nulo",0,4,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,24,264,"gol","Nulo",0,8.21,0,17.9,1,"264",2,NA,NA,NA,NA,NA,11,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"50","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,24,284,"mei","Nulo",0,4.91,0,1.38,9,"284",1,12,14,3,2,11,42,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA
"51","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,24,266,"mei","Provável",-0.9,5.15,-0.64,1.86,15,"266",2,40,30,4,3,14,59,NA,NA,NA,2,NA,1,1,NA,3,NA,NA
"52","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,24,265,"mei","Provável",4.9,14.19,1.25,4.28,14,"265",1,6,10,7,10,29,85,NA,NA,NA,1,4,NA,NA,NA,3,1,NA
"53","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,24,282,"zag","Provável",0.3,7.33,0.01,3.09,15,"282",2,21,12,1,5,10,78,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA
"54","Guilherme Oliveira Santos","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/03/01/6979e564242e4e6905c0118a015237b2_FORMATO.png",50346,24,263,"lat","Contundido",0,6.24,0,1.99,12,"263",3,15,17,NA,6,10,59,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA
"55","Luis Francisco Grando","chico","Chico","https://s.glbimg.com/es/sde/f/2020/10/29/ad8a8e68f1dce70d212df37ec08ea32a_FORMATO.png",50446,24,290,"zag","Contundido",0,2.8,0,-1.35,2,"290",1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,24,354,"lat","Suspenso",0,2.99,0,1.44,8,"354",1,10,9,1,NA,5,62,NA,NA,1,NA,1,1,NA,NA,1,1,NA
"57","Breno Vinícius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2020/08/17/b1730b6254a951e4bbb94d46fa7261ad_FORMATO.png",50408,24,267,"zag","Contundido",0,6,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,24,280,"zag","Provável",2.8,4.69,-0.79,2.86,17,"280",NA,26,24,1,4,9,43,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"59","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,24,356,"zag","Contundido",0,2.77,0,2.1,5,"356",NA,2,3,NA,NA,2,10,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"60","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,24,265,"ata","Provável",0.8,8.23,-0.43,3.72,17,"265",2,10,16,18,17,21,58,NA,NA,NA,1,3,NA,NA,NA,5,1,1
"61","Uendel Pereira Gonçalves","uendel","Uendel","https://s.glbimg.com/es/sde/f/2020/02/27/874b64215923c64744352951788dc4b4_FORMATO.png",60852,24,285,"lat","Dúvida",-1,3.27,-1.23,1.39,11,"285",1,18,16,1,NA,5,114,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"62","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,24,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,24,293,"lat","Nulo",0,9.64,0,3.07,8,"293",2,8,4,NA,NA,4,45,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"64","Anderson Vieira Martins","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png",52618,24,265,"zag","Nulo",0,4.68,0,0.9,3,"265",1,1,4,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"65","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,24,290,"ata","Provável",7.2,6.7,1.61,1.96,14,"290",4,4,29,6,9,11,64,NA,NA,NA,NA,5,NA,NA,NA,15,NA,NA
"66","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,24,263,"mei","Nulo",0,4.72,0,0.67,3,"263",NA,1,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2020/10/13/4e771210e49b104092cac2a09476bbd1_FORMATO.png",61149,24,266,"ata","Nulo",0,4.77,0,2.96,5,"266",NA,5,5,2,NA,8,11,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA
"68","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,24,356,"mei","Suspenso",0,2.82,0,-0.35,2,"356",1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Elias Mendes Trindade","elias","Elias","https://s.glbimg.com/es/sde/f/2020/09/24/466b1e0c94a4b7fe9eab500c429d91be_FORMATO.png",54395,24,265,"mei","Nulo",-2.5,5.94,-0.55,-0.51,8,"265",3,8,17,NA,4,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,24,280,"ata","Provável",4,6.35,0.79,3.26,16,"280",NA,10,15,9,8,11,30,NA,NA,NA,3,2,NA,NA,NA,2,NA,NA
"71","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,24,267,"gol","Provável",-8.6,6.39,-2.17,2,19,"267",NA,NA,NA,NA,NA,4,147,17,28,5,NA,NA,NA,NA,2,NA,NA,NA
"72","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,24,282,"gol","Nulo",0,5.4,0,-9.2,1,"282",1,NA,NA,NA,NA,NA,12,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/10/03/58aa0eddfe8c9c684344f4231a233ddf_FORMATO.png",71631,24,275,"gol","Provável",-1.7,7.21,-1.36,1.45,18,"275",NA,1,NA,NA,NA,1,151,11,17,6,NA,NA,NA,NA,NA,NA,NA,NA
"74","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,24,262,"mei","Provável",-0.7,6.98,-0.34,1.1,20,"Flamengo",4,38,27,2,7,9,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Leonardo de Matos Cruz","leo-matos","Léo Matos","https://s.glbimg.com/es/sde/f/2020/11/05/c691cbfaec7f0b947c51a8cf861340a1_FORMATO.png",37866,24,267,"lat","Provável",1.3,5.15,0.32,1.62,5,"267",3,5,9,2,2,4,49,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA
"76","Andrés Nicolas D'Alessandro","d-alessandro","D'Alessandro","https://s.glbimg.com/es/sde/f/2020/02/27/848601c752c8fa58a805d78e5bad50db_FORMATO.png",62023,24,285,"mei","Nulo",0,2.45,0,0.07,18,"285",3,6,5,4,3,11,75,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"77","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2020/07/20/8da72cb158360ebe2e1e03b6c12b81dd_FORMATO.png",60969,24,292,"lat","Provável",-0.1,7.96,-0.4,2.7,22,"292",2,37,29,2,10,24,198,NA,NA,3,4,1,1,NA,NA,5,1,NA
"78","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2020/02/27/58765e09575aeed485460352a0980dad_FORMATO.png",71844,24,285,"mei","Provável",1,18.13,0.86,7.73,22,"285",1,16,20,13,20,31,102,NA,NA,NA,5,15,1,NA,NA,14,NA,1
"79","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2020/03/09/d8945e5024344014b96d64adab91f4da_FORMATO.png",71684,24,275,"zag","Provável",0,11.78,0,3.32,14,"275",3,25,18,2,3,14,43,NA,NA,5,1,1,1,NA,NA,8,NA,NA
"80","Paulo Roberto Valoura Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/09/03/f3c44a346794fb67a9084ef89211cd1c_FORMATO.png",71937,24,356,"mei","Provável",0,4.34,0,2.54,19,"356",5,35,27,4,14,25,150,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA
"81","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2020/10/06/1e5d2511be625adda18aa1b5728bdabb_FORMATO.png",71549,24,263,"ata","Contundido",0,3.33,0,1.07,3,"263",NA,2,3,1,NA,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
