"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DD","GS","PI","A","CA","DS","FC","FF","FS","FD","G","I","SG","CV","FT","GC","PP","DP"
"18","Fredy Alejandro Guarín Vásquez","guarin","Guarín","https://s.glbimg.com/es/sde/f/2019/09/27/2711e527895fb7ccdf64fbd1167a6a6d_FORMATO.png",71233,4,267,"mei","Nulo",0,11,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,4,293,"ata","Nulo",1.2,4.81,0.1,2.17,4,"Athlético-PR",NA,NA,6,NA,NA,NA,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"20","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,4,293,"ata","Nulo",0.5,4.01,-0.53,1.43,3,"Athlético-PR",NA,NA,7,1,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Gabriel Fortes Chaves","gabriel-pec","Gabriel Pec","https://s.glbimg.com/es/sde/f/2020/08/17/5af9923a34a978a056a214d243306c33_FORMATO.png",106199,4,267,"mei","Nulo",0,2.48,0,0.75,2,"Vasco",NA,NA,5,NA,1,2,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,4,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"23","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,4,293,"mei","Nulo",0,4.93,0,0.8,1,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Lucas Ribamar Lopes dos Santos Bibiano","ribamar","Ribamar","https://s.glbimg.com/es/sde/f/2020/08/17/cd4f9206b4c3308452f5560028e465e8_FORMATO.png",94068,4,267,"ata","Nulo",8,6.14,1.14,8,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"25","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,4,293,"mei","Nulo",-1.2,1.44,-0.67,-0.2,3,"Athlético-PR",NA,NA,9,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,4,373,"zag","Nulo",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Talles Magno Bacelar Martins","talles-magno","Talles Magno","https://s.glbimg.com/es/sde/f/2020/08/17/5cefaba2b457f1c014cbe06ba3b59b3f_FORMATO.png",105786,4,267,"ata","Provável",6.5,9.91,0.48,6.23,3,"Vasco",NA,NA,12,2,NA,6,2,NA,6,2,NA,1,NA,NA,NA,NA,NA,NA
"28","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,4,373,"lat","Provável",0.1,6.38,-0.58,4.1,3,"Atlético-GO",NA,NA,35,NA,NA,8,2,2,2,1,NA,NA,1,NA,NA,NA,NA,NA
"29","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,4,373,"lat","Provável",0,1.6,0,-1.5,2,"Atlético-GO",NA,NA,15,NA,NA,1,6,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA
"30","Wendell Maksinczuk Ortega","wendell","Wendell","https://s.glbimg.com/es/sde/f/2020/02/27/f22d57268e40f2e45144a79165d888e7_FORMATO.png",78738,4,373,"gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Moacir Costa da Silva","moacir","Moacir","https://s.glbimg.com/es/sde/f/2020/02/27/9937a66467916c4528d3b0575c53418f_FORMATO.png",60858,4,373,"mei","Nulo",2.8,2.44,0.59,0.87,3,"Atlético-GO",NA,NA,9,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2020/08/17/4dfbba68c3645f7379490067e0ce092d_FORMATO.png",62974,4,267,"zag","Nulo",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2020/08/17/3d3e902dd30a64a2547b7ab9c97128db_FORMATO.png",70116,4,267,"mei","Provável",9.7,11.93,2.56,9.47,3,"Vasco",NA,NA,13,NA,NA,7,11,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA
"34","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2020/08/17/679cc051b3529d05424bb6ea6e411411_FORMATO.png",52558,4,267,"mei","Nulo",0,5,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,4,373,"mei","Provável",5.5,7.02,1.23,4.8,3,"Atlético-GO",NA,NA,11,1,1,14,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,4,373,"ata","Provável",-0.5,7.21,-0.77,4.23,3,"Atlético-GO",NA,NA,6,NA,NA,4,4,2,2,1,1,1,NA,NA,NA,NA,NA,NA
"37","Jordi Martins Almeida","jordi","Jordi","https://s.glbimg.com/es/sde/f/2020/03/13/6372f2a3f2788140cc3f5f874ec43326_FORMATO.png",86776,4,267,"gol","Nulo",0,5,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,4,373,"zag","Provável",0.9,5.16,-0.09,2.77,3,"Atlético-GO",NA,NA,7,NA,NA,5,5,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","Henry Vaca Urquiza","vaca","Vaca","https://s.glbimg.com/es/sde/f/2020/03/03/49c4df4b898d3ab3f8b1ae29282b06a4_FORMATO.png",98992,4,373,"mei","Nulo",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,4,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Raul Lô Gonçalves","raul","Raul","https://s.glbimg.com/es/sde/f/2018/09/27/cff54b0c5b12cb5f18cd3ca9292e3511_FORMATO.png",92496,4,267,"mei","Nulo",0,7,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,4,262,"lat","Provável",0,3.94,-1.12,1.7,4,"Flamengo",NA,NA,34,NA,1,11,7,NA,7,1,NA,NA,1,NA,NA,1,NA,NA
"43","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,4,265,"mei","Nulo",1.3,3.54,-0.22,1.55,2,"Bahia",NA,NA,5,NA,NA,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2020/08/17/f705407ead383caeb7ebe8d491851b04_FORMATO.png",74074,4,267,"lat","Dúvida",3,3.15,0.15,3,1,"Vasco",NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"45","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,4,373,"mei","Nulo",0,3.17,0,0.8,2,"Atlético-GO",NA,NA,4,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"46","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,4,373,"mei","Provável",0,10.08,0,10.45,2,"Atlético-GO",NA,NA,16,1,NA,5,2,1,8,1,1,1,NA,NA,NA,NA,NA,NA
"47","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,4,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,4,373,"gol","Provável",-5.6,6.85,-2.52,5.03,3,"Atlético-GO",6,4,34,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"49","Lucas Santos da Silva","lucas-santos","Lucas Santos","https://s.glbimg.com/es/sde/f/2020/08/17/9d1cc15782d0788c4ccb7f3cd9a12641_FORMATO.png",101718,4,267,"mei","Nulo",0,2.13,0,-0.2,1,"Vasco",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,4,267,"lat","Contundido",0,9.06,0,7.1,1,"Vasco",NA,NA,6,NA,NA,1,1,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA
"51","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,4,354,"tec","Provável",1.47,6.18,0,2.25,4,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,4,373,"mei","Nulo",0.9,2.93,-0.25,0.7,2,"Atlético-GO",NA,NA,4,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,4,373,"zag","Provável",-0.4,3.9,-0.38,2.03,3,"Atlético-GO",NA,NA,9,NA,1,2,2,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"54","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/07/19/6b2dbf503589c5cd94793b949e37ab80_FORMATO.png",36943,4,263,"tec","Provável",4.39,8.25,0.4,4,3,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,4,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Marcos Antonio Candido Ferreira Júnior","marcos-junior","Marcos Júnior","https://s.glbimg.com/es/sde/f/2020/08/17/36ea552764f49b731d549f23f44aee4d_FORMATO.png",93893,4,267,"mei","Nulo",0,2.65,0,-0.7,1,"Vasco",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,4,263,"mei","Nulo",0,7,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,4,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,4,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/02/27/f22a30bebccebd99dba033a4a509804f_FORMATO.png",92696,4,373,"ata","Contundido",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,4,373,"mei","Provável",1.8,6.02,-0.1,3.3,3,"Atlético-GO",NA,NA,25,NA,NA,7,3,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"62","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,4,267,"lat","Provável",5.3,7.6,1.47,4.4,3,"Vasco",NA,NA,13,NA,1,9,7,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"63","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,4,282,"zag","Provável",0,8.12,0,3.3,2,"Atlético-MG",NA,NA,14,NA,NA,3,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"64","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,4,267,"mei","Provável",4.9,8.91,0.4,4.8,3,"Vasco",NA,NA,24,NA,NA,13,5,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"65","Odair Marciano de Oliveira Filho","odair","Odair","",108745,4,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,4,293,"zag","Nulo",0,6.96,0,5.6,1,"Athlético-PR",NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"67","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,4,282,"gol","Nulo",0,10,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Vitor Benedito Leque da Silva","vitor","Vitor",NA,108714,4,373,"ata","Nulo",1.7,1.26,0.26,1.7,1,"Atlético-GO",NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"69","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2019/05/30/7e60ff2712f74e10b9a6bcf9661f2f8f_FORMATO.png",81682,4,282,"mei","Nulo",0,12,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Danilo Alves da Silva","danilo","Danilo","",107981,4,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,4,282,"tec","Provável",4.03,14.11,-0.21,5.54,4,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,4,293,"zag","Provável",0,7.54,0,5.4,1,"Athlético-PR",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"73","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/19/ac6a6938f05a40899244264c80443dee_FORMATO.png",97245,4,373,"ata","Nulo",0,4.14,0,1,1,"Atlético-GO",NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,4,265,"mei","Nulo",0,2.17,0,-0.1,1,"Bahia",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,4,293,"ata","Contundido",0,3,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,4,293,"lat","Dúvida",0,10.54,0,2.97,3,"Athlético-PR",NA,NA,16,1,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"77","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,4,293,"mei","Contundido",0,4,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Ramon Menezes Hubner","ramon-menezes","Ramon Menezes","https://s.glbimg.com/es/sde/f/2020/07/19/7af6039becf9dd51c78be10d7df5c645_FORMATO.png",96767,4,267,"tec","Provável",7.8,9.58,1.5,5.93,3,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
