"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","FC","FD","FS","G","GS","PI","SG","DS","FF","DP","I","A","CV","FT","GC","PP"
"11","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,12,373,"mei","Provável",5.4,9.47,0.82,4.75,11,"373",2,NA,24,2,27,1,NA,27,NA,39,4,NA,NA,1,NA,NA,NA,NA
"12","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,12,282,"mei","Provável",-1,5.08,-0.35,2.95,11,"282",NA,NA,13,2,10,3,NA,43,NA,10,3,NA,1,NA,NA,NA,NA,NA
"13","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,12,373,"mei","Nulo",0,3.05,0,1,3,"373",NA,NA,NA,NA,1,NA,NA,10,NA,4,NA,NA,1,NA,NA,NA,NA,NA
"14","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,12,373,"lat","Provável",-0.2,6.72,-0.52,3.07,11,"373",NA,NA,10,5,6,NA,NA,123,2,22,7,NA,1,1,NA,NA,NA,NA
"15","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,12,373,"zag","Provável",-1.1,2.58,-1.64,2.52,5,"373",NA,NA,5,NA,3,1,NA,24,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"16","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,12,373,"gol","Nulo",0,4,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,12,373,"lat","Provável",-1.7,3.32,-0.61,1.99,10,"373",1,NA,12,1,8,NA,NA,79,2,24,2,NA,NA,NA,1,NA,NA,NA
"18","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,12,373,"zag","Nulo",-1.1,1.79,-0.5,1.1,7,"373",2,NA,8,NA,3,NA,NA,28,1,12,NA,NA,NA,NA,NA,NA,NA,NA
"19","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,12,373,"mei","Provável",-1,4.94,-0.51,1.62,8,"373",NA,NA,13,4,7,NA,NA,56,NA,17,6,NA,NA,NA,1,NA,NA,NA
"20","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,12,373,"zag","Nulo",0,3.21,0,0.9,10,"373",1,NA,9,1,8,NA,NA,46,2,5,NA,NA,NA,NA,NA,NA,NA,NA
"21","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,12,293,"zag","Suspenso",5,5.98,-0.39,2.38,6,"293",3,NA,7,NA,8,NA,NA,26,2,10,3,NA,NA,NA,NA,NA,NA,NA
"22","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,12,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,12,293,"mei","Provável",-0.6,1.18,0.16,-1.43,7,"293",4,NA,20,1,4,NA,NA,30,NA,7,1,NA,NA,NA,NA,NA,NA,NA
"24","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,12,373,"ata","Nulo",1.3,2.46,-0.04,0.9,4,"373",NA,NA,3,1,NA,NA,NA,5,NA,2,3,NA,NA,NA,NA,NA,NA,NA
"25","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,12,373,"mei","Nulo",2.5,4.89,0.42,2.18,9,"373",NA,NA,4,1,6,NA,NA,29,NA,8,6,NA,1,1,NA,1,NA,NA
"26","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,12,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,12,373,"mei","Nulo",-0.3,2.43,-0.04,0.56,7,"373",NA,NA,5,1,6,NA,NA,16,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"28","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,12,293,"lat","Nulo",0,3.41,0,-0.12,4,"293",1,NA,9,NA,2,NA,NA,35,1,4,NA,NA,1,NA,NA,NA,NA,NA
"29","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,12,293,"mei","Provável",3.2,4.88,0.32,4.02,5,"293",1,NA,8,3,1,NA,NA,14,NA,16,3,NA,NA,1,NA,NA,NA,NA
"30","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,12,293,"ata","Nulo",0,3.64,0,0.55,2,"293",NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Henry Vaca Urquiza","henry-vaca","Henry Vaca","https://s.glbimg.com/es/sde/f/2020/09/05/b763cfbcafb68e3a1ca2a96aa7dc1f83_FORMATO.png",98992,12,373,"mei","Nulo",0,2.38,0,0.3,1,"373",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"32","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,12,373,"gol","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,12,293,"mei","Nulo",0,2.9,0,-0.23,4,"293",1,NA,3,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"34","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,12,284,"zag","Provável",0,11.23,0,4.28,6,"284",3,NA,18,2,9,NA,NA,20,3,20,1,NA,NA,NA,NA,NA,NA,NA
"35","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,12,293,"gol","Nulo",0,10.29,0,8.2,1,"293",NA,1,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,12,293,"mei","Nulo",0,1.44,0,-0.2,3,"293",1,NA,1,NA,NA,NA,NA,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"37","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,12,293,"ata","Provável",1.3,2.41,-0.08,0.85,6,"293",NA,NA,6,1,3,NA,NA,12,NA,2,2,NA,NA,NA,NA,1,NA,NA
"38","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,12,373,"mei","Nulo",0,1.23,0,-0.43,3,"373",1,NA,3,NA,1,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"39","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,12,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,12,293,"zag","Contundido",0,6.4,0,2.63,3,"293",1,NA,1,1,2,NA,NA,6,1,8,1,NA,NA,NA,NA,NA,1,NA
"41","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,12,373,"lat","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,12,293,"ata","Nulo",0,5.23,0,2.91,8,"293",2,NA,12,3,7,1,NA,34,NA,7,2,NA,NA,2,NA,1,NA,NA
"43","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,12,293,"lat","Provável",3.3,9.54,-0.31,2.82,6,"293",2,NA,3,NA,2,NA,NA,26,3,4,NA,NA,NA,1,NA,NA,NA,NA
"44","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,12,262,"mei","Provável",0,9.07,0,1.98,7,"Flamengo",3,NA,18,NA,22,NA,NA,23,NA,17,4,NA,NA,NA,NA,NA,NA,NA
"45","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,12,293,"ata","Nulo",0.8,4.24,-0.29,1.68,7,"293",NA,NA,5,NA,4,1,NA,11,NA,3,3,NA,NA,NA,NA,NA,NA,NA
"46","Thiago Maia Alencar","thiago-maia","Thiago Maia","https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png",89637,12,262,"mei","Provável",0,6.16,0,2.04,5,"Flamengo",NA,NA,7,1,2,NA,NA,25,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"47","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,12,293,"lat","Provável",12.3,11.25,1.3,4.5,9,"293",NA,NA,10,3,5,1,NA,68,3,15,4,NA,NA,1,NA,NA,NA,NA
"48","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,12,262,"ata","Provável",0,3.25,0,2.45,8,"Flamengo",1,NA,8,4,2,2,NA,9,NA,3,4,NA,3,NA,NA,NA,NA,NA
"49","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,12,293,"ata","Nulo",0,2.32,0,0.28,4,"293",NA,NA,3,1,2,NA,NA,4,NA,1,1,NA,2,NA,NA,NA,NA,NA
"50","Odair Marciano de Oliveira Filho","odair","Odair","",108745,12,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,12,373,"ata","Nulo",0,1.26,0,1.7,1,"373",NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"52","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,12,293,"zag","Nulo",0,6.96,0,5.6,1,"293",NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"53","Danilo Alves da Silva","danilo","Danilo","",107981,12,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,12,293,"zag","Provável",0,2.99,0,0.8,5,"293",1,NA,7,1,4,NA,NA,25,NA,3,1,NA,NA,1,NA,NA,NA,NA
"55","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,12,293,"ata","Contundido",0,15.46,0,5.9,5,"293",1,NA,13,4,11,2,NA,29,NA,5,2,NA,NA,1,NA,1,NA,NA
"56","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,12,276,"lat","Provável",2,5.36,-0.2,2.15,8,"276",3,NA,20,4,7,NA,NA,51,1,16,5,NA,NA,1,NA,NA,NA,NA
"57","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,12,265,"ata","Provável",0.6,7.17,-0.05,2.39,9,"265",NA,NA,6,8,11,NA,NA,42,NA,6,7,NA,4,1,NA,1,NA,1
"58","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,12,293,"gol","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2020/07/21/f0f2f28e34457d06873d36cf7c894abd_FORMATO.png",90302,12,262,"ata","Nulo",0,3.82,0,1.33,3,"Flamengo",NA,NA,2,NA,1,NA,NA,15,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"60","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,12,265,"mei","Provável",1.6,14.89,-0.36,4.68,10,"265",NA,NA,7,5,23,3,NA,68,NA,3,7,NA,2,1,NA,1,NA,NA
"61","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,12,276,"gol","Provável",-2.6,11.48,-1.35,2.2,10,"276",NA,9,NA,NA,1,NA,12,85,2,1,NA,1,NA,NA,NA,NA,NA,NA
"62","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,12,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,2,NA,NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,12,276,"zag","Nulo",0,7.83,0,1.3,5,"276",1,NA,2,NA,5,NA,NA,10,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"64","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,12,293,"lat","Nulo",0,4.13,0,0.67,6,"293",2,NA,10,NA,1,NA,NA,43,1,11,1,NA,NA,NA,NA,NA,NA,NA
"65","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,12,262,"ata","Nulo",0,6.56,0,2.32,6,"Flamengo",1,NA,8,3,2,NA,NA,21,NA,6,8,NA,NA,1,NA,NA,NA,NA
"66","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,12,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,12,262,"ata","Nulo",0,2.79,0,0,3,"Flamengo",NA,NA,1,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/08/31/eafd006d2fd67a1a408086328eb3fd4c_FORMATO.png",38229,12,282,"lat","Nulo",0,6.19,0,3.3,3,"282",NA,NA,2,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"69","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,12,282,"ata","Contundido",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,12,266,"lat","Provável",1.3,2.83,0.66,-1.34,5,"266",2,NA,12,2,NA,NA,NA,59,1,6,1,NA,NA,NA,1,NA,NA,NA
"71","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,12,262,"lat","Dúvida",0,4.17,0,3.55,2,"Flamengo",1,NA,6,NA,7,NA,NA,12,1,4,1,NA,NA,NA,NA,NA,NA,NA
"72","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,12,265,"zag","Provável",1.8,8.29,0.36,2.43,10,"265",NA,NA,2,2,4,1,NA,34,1,16,1,NA,1,NA,1,NA,NA,NA
"73","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,12,276,"mei","Nulo",0.8,8.29,-0.26,2.75,6,"276",1,NA,10,3,12,1,NA,25,NA,6,3,NA,NA,NA,NA,NA,NA,NA
"74","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,12,276,"zag","Nulo",0,10.07,0,2.47,4,"276",1,NA,2,2,1,NA,NA,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"75","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,12,265,"zag","Nulo",0,4.22,0,-0.45,2,"265",NA,NA,2,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,12,262,"zag","Nulo",0,2.37,0,-0.6,2,"Flamengo",1,NA,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,12,356,"ata","Provável",-0.5,7.61,-0.17,3.37,12,"356",NA,NA,15,4,12,4,NA,25,NA,3,2,NA,4,1,NA,NA,NA,NA
"78","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,12,284,"mei","Nulo",0,5.99,0,2.72,5,"284",NA,NA,9,3,7,NA,NA,31,NA,8,2,NA,1,1,NA,NA,NA,NA
"79","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,12,264,"gol","Provável",0,8.07,0,1.48,9,"264",NA,10,NA,NA,NA,NA,14,47,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"80","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,12,354,"gol","Provável",11.7,7.67,2.58,4.02,12,"354",1,19,NA,NA,NA,NA,18,98,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,12,356,"gol","Provável",1.1,3.43,-0.32,1.86,12,"356",NA,8,NA,NA,3,NA,10,132,4,2,NA,NA,NA,NA,NA,NA,NA,NA
