"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FD","FF","FS","G","I","PI","CA","SG","DD","GS","A","CV","FT","DP","GC","PP"
"11","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2020/03/09/54fa3d697fc129a0e755c94b10fedd38_FORMATO.png",94156,9,277,"mei","Provável",4.2,8.07,0.57,2.86,9,"Santos",24,4,2,2,12,NA,1,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/02/27/f22a30bebccebd99dba033a4a509804f_FORMATO.png",92696,9,373,"ata","Provável",16.6,7.81,3.51,9.57,3,"Atlético-GO",1,9,2,4,9,3,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,9,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,9,293,"mei","Nulo",4.2,13.09,0.06,3.8,8,"Athlético-PR",15,12,1,12,15,1,NA,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,9,373,"tec","Provável",4.69,6.51,0.59,3.34,8,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,9,373,"mei","Nulo",8.4,5.74,1.39,2.72,6,"Atlético-GO",6,3,NA,5,4,NA,1,17,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"17","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,9,293,"mei","Nulo",0,10.61,0,5.84,5,"Athlético-PR",10,5,1,4,8,2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2020/08/11/4d0626b467649cadfbf95578a06887cf_FORMATO.png",100290,9,292,"ata","Nulo",0,2.2,-0.07,1.2,5,"Sport",1,2,NA,NA,10,NA,NA,20,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"19","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,9,277,"ata","Dúvida",7.8,5.07,0.98,4.2,3,"Santos",2,1,1,1,5,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,9,277,"ata","Nulo",0,3.5,0,0.89,8,"Santos",8,12,1,6,9,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,9,262,"ata","Dúvida",0.9,6.02,-0.64,2.06,5,"Flamengo",2,5,3,7,1,NA,NA,19,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"22","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,9,373,"ata","Nulo",0,2.5,0,0.77,3,"Atlético-GO",1,2,1,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,9,354,"mei","Provável",1,7.36,-0.6,4.45,6,"Ceará",5,5,4,8,4,2,1,55,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"24","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,9,373,"zag","Nulo",0,5.05,0,1.94,5,"Atlético-GO",8,7,NA,1,5,NA,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"25","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,9,373,"ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,9,373,"zag","Nulo",0.3,2.03,-0.12,-0.05,2,"Atlético-GO",NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,9,373,"lat","Provável",2.2,3.53,0.01,1.83,7,"Atlético-GO",18,10,1,1,8,NA,NA,62,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"28","Henry Vaca Urquiza","henry-vaca","Henry Vaca","https://s.glbimg.com/es/sde/f/2020/09/05/b763cfbcafb68e3a1ca2a96aa7dc1f83_FORMATO.png",98992,9,373,"mei","Nulo",0,2.38,0,0.3,1,"Atlético-GO",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png",104578,9,277,"ata","Nulo",0,2.65,0,0.95,4,"Santos",4,2,NA,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,9,373,"lat","Provável",5.9,7.01,0.88,2.64,8,"Atlético-GO",16,10,3,5,6,NA,NA,105,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"31","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,9,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,9,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,9,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,9,373,"zag","Provável",-2.8,1.23,-0.61,0.45,4,"Atlético-GO",7,5,NA,NA,1,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2020/03/09/8bf582cd91832a1415dc460fd233c490_FORMATO.png",104580,9,277,"mei","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,9,373,"mei","Dúvida",0,1.23,0,-0.43,3,"Atlético-GO",2,3,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Odair Marciano de Oliveira Filho","odair","Odair","",108745,9,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,9,276,"zag","Nulo",0,7.83,0,1.3,5,"São Paulo",3,2,NA,NA,5,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"39","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,9,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,9,276,"gol","Provável",-1.1,12.3,-0.77,2.71,8,"São Paulo",1,NA,NA,NA,1,NA,NA,68,NA,2,7,9,NA,NA,NA,1,NA,NA
"41","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,9,276,"lat","Nulo",0.9,6.21,0.14,2.4,4,"São Paulo",6,5,NA,1,4,NA,NA,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"42","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,9,373,"ata","Nulo",0,1.26,0,1.7,1,"Atlético-GO",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,9,276,"lat","Provável",0,4.94,0,1.98,6,"São Paulo",13,16,3,3,6,NA,NA,31,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"44","Danilo Alves da Silva","danilo","Danilo","",107981,9,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,9,276,"zag","Nulo",0,10.07,0,2.47,4,"São Paulo",1,2,2,NA,1,NA,NA,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"46","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,9,276,"ata","Contundido",0,8.36,0,2.77,6,"São Paulo",3,16,3,15,9,1,6,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,9,293,"lat","Provável",-0.4,8.87,-1.67,2.13,4,"Athlético-PR",3,2,NA,NA,1,NA,NA,20,1,1,NA,NA,1,NA,NA,NA,NA,NA
"48","Everton Cardoso da Silva","everton","Everton","https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png",50301,9,284,"mei","Nulo",8,6.81,1.68,2.92,4,"Grêmio",6,7,3,2,4,NA,1,25,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"49","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/10/03/6d8ae397f0417ad0faa735bc5f9c21d5_FORMATO.png",72391,9,276,"tec","Provável",1.96,8.81,-0.34,3.58,8,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,9,293,"lat","Provável",-2,2.76,-0.65,-0.83,3,"Athlético-PR",3,6,NA,NA,1,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,9,293,"zag","Provável",1.3,4.59,-0.22,-0.05,4,"Athlético-PR",4,5,NA,2,5,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,9,293,"ata","Nulo",0,3.64,0,0.55,2,"Athlético-PR",NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,9,276,"mei","Provável",2.4,8.84,0.18,3.67,4,"São Paulo",5,7,2,2,7,1,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png",85626,9,276,"lat","Provável",-2,3.76,-1.16,2.27,6,"São Paulo",5,3,NA,NA,11,NA,NA,34,1,1,NA,NA,1,NA,NA,NA,NA,NA
"55","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png",87552,9,276,"mei","Provável",2.8,7.64,-1.21,3.4,5,"São Paulo",7,3,1,4,9,1,NA,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Danilo das Neves Pinheiro","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png",86686,9,276,"mei","Provável",-1.4,7.35,-0.71,2.01,8,"São Paulo",11,6,4,5,12,NA,NA,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,9,293,"mei","Provável",0,1.51,0,-1.36,5,"Athlético-PR",5,14,1,1,3,NA,NA,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,9,293,"mei","Nulo",-3.7,2.9,-0.92,-0.23,4,"Athlético-PR",NA,3,NA,1,NA,NA,NA,12,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"59","Everson Felipe Marques Pires","everson","Everson","https://s.glbimg.com/es/sde/f/2020/09/10/782ebf600a14b7e47942a1fd4ed3bc5f_FORMATO.png",72294,9,282,"gol","Provável",0,11,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,9,276,"mei","Provável",0.8,3.22,-0.01,0.19,8,"São Paulo",6,10,2,NA,5,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,9,293,"ata","Provável",7.7,6.19,1.63,3.18,7,"Athlético-PR",4,10,2,2,6,1,NA,27,1,NA,NA,NA,2,NA,1,NA,NA,NA
"62","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,9,276,"mei","Contundido",0,4.4,0,1.02,5,"São Paulo",9,7,2,2,4,NA,NA,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,9,275,"ata","Nulo",7.2,12.48,1.08,4.81,8,"Palmeiras",5,10,1,5,10,4,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,9,293,"mei","Provável",5.6,5.1,0.69,5.13,3,"Athlético-PR",11,5,2,1,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"65","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png",102598,9,276,"ata","Nulo",5.4,4.08,0.68,2.57,3,"São Paulo",3,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"66","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,9,277,"ata","Provável",18,25.41,2.21,11.64,9,"Santos",14,13,8,12,48,6,6,40,1,NA,NA,NA,3,NA,NA,NA,NA,NA
"67","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,9,275,"zag","Nulo",0,8,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,9,275,"ata","Provável",6.7,10.02,0.19,2.33,8,"Palmeiras",NA,7,2,3,4,1,3,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"69","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,9,276,"mei","Nulo",0,3.53,0,0.53,4,"São Paulo",4,1,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Walce da Silva Costa Filho","walce","Walce","https://s.glbimg.com/es/sde/f/2020/07/20/0f9b74a97483b77635784d099b5d1983_FORMATO.png",104074,9,276,"zag","Contundido",0,4,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,9,277,"lat","Dúvida",0,8.75,0,2.92,8,"Santos",14,12,1,6,15,NA,2,51,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"72","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,9,277,"ata","Provável",5.2,7.54,-0.16,3.32,8,"Santos",4,4,6,6,12,1,2,65,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"73","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2020/08/31/a672c0a0e10ef44cc74724473209cdb0_FORMATO.png",93368,9,277,"zag","Provável",0,8.49,0,2.17,7,"Santos",12,8,1,3,1,1,NA,39,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"74","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,9,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"75","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,9,277,"lat","Suspenso",2.3,11.83,-1.86,5.77,9,"Santos",33,13,1,5,14,2,NA,68,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"76","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,9,292,"ata","Nulo",0,1.65,-0.1,-0.11,8,"Sport",1,3,NA,NA,8,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2020/02/28/4d9d7f15b47033ac09c8e32e9b963227_FORMATO.png",69040,9,277,"gol","Nulo",0,6.43,0,2.93,3,"Santos",NA,NA,NA,NA,NA,NA,NA,12,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"78","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,9,293,"ata","Nulo",0,4.22,0,1.72,5,"Athlético-PR",NA,2,NA,1,3,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2020/03/09/bfe14638328381a0498413759e610ed4_FORMATO.png",94857,9,292,"mei","Dúvida",0,10.95,-0.51,2.57,9,"Sport",5,7,2,10,14,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
