"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CV","DD","FS","GS","PI","SG","CA","DS","FC","FD","FF","FT","G","I","A","GC","DP","PP"
"13","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,38,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,2,1,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,38,267,"lat","Dúvida",3.3,8.24,-0.47,3.65,26,"267",NA,NA,38,NA,161,8,5,39,20,5,8,2,2,4,NA,NA,NA,NA
"15","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,38,262,"zag","Nulo",0,2.2,0,-0.28,4,"Flamengo",NA,NA,3,NA,11,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png",94583,38,262,"ata","Nulo",-0.3,5.56,0.04,3.61,31,"Flamengo",NA,NA,24,NA,54,NA,2,10,31,20,15,NA,10,7,2,NA,NA,2
"17","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/11/03/51e9f9ba46d806d46d4d256d45ac95e6_FORMATO.png",101727,38,262,"lat","Nulo",1.5,2.34,0.19,1.55,12,"Flamengo",NA,NA,2,NA,29,1,1,9,5,3,3,NA,NA,NA,1,NA,NA,NA
"18","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,38,264,"tec","Provável",5.11,8.02,0.12,3.79,30,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,38,293,"ata","Provável",6.9,8.27,1.14,4.16,31,"293",NA,NA,44,NA,97,NA,4,19,49,17,20,2,11,20,2,NA,NA,NA
"20","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2020/08/31/f47edb06171b8cc97b1c955c58ae682d_FORMATO.png",101594,38,294,"mei","Provável",1,3.34,-0.18,2.04,27,"Coritiba",NA,NA,29,NA,87,NA,5,46,42,4,8,NA,1,NA,3,NA,NA,NA
"21","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,38,373,"gol","Provável",-2.6,9.5,-0.09,5.09,34,"373",NA,48,10,40,315,8,1,1,1,1,2,NA,4,NA,NA,NA,2,NA
"22","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,38,356,"ata","Provável",-0.6,7.15,-0.24,2.56,32,"356",NA,NA,33,NA,69,NA,2,7,35,6,18,1,8,6,1,NA,NA,1
"23","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2020/11/09/8879b35c72aef797d229636dbdf3dd4f_FORMATO.png",97341,38,262,"tec","Provável",2.12,8.33,-0.27,3.85,35,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Anderson Luiz de Carvalho","nene","Nenê","https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png",38913,38,266,"mei","Provável",5.2,13.03,0.68,4.78,29,"266",NA,NA,52,NA,275,NA,2,30,12,12,22,1,8,NA,5,NA,NA,1
"25","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,38,373,"zag","Nulo",0,3.89,0,1.15,30,"373",NA,NA,14,NA,114,7,5,27,36,2,5,NA,NA,2,NA,NA,NA,NA
"26","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2020/08/26/6c38445bf76b8b26d2b258cbcbf30a9d_FORMATO.jpeg",37655,38,290,"ata","Provável",3.5,6.39,0.09,2.49,27,"290",NA,NA,28,NA,154,NA,8,13,50,10,28,NA,9,20,NA,NA,NA,NA
"27","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2020/07/19/5604ae02dbe93c1893a6cdb31d2b0e90_FORMATO.png",41929,38,284,"tec","Provável",2.83,12.17,-0.5,3.73,35,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,38,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,NA,13,NA,39,NA,NA,15,8,1,5,NA,2,NA,NA,NA,NA,NA
"29","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,38,356,"gol","Provável",-0.8,3.75,-0.02,1.97,33,"356",NA,24,6,41,327,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"30","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,38,373,"mei","Nulo",2.2,3.05,-0.57,1.07,28,"373",1,NA,45,NA,93,NA,4,19,42,5,17,NA,1,1,1,NA,NA,NA
"31","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,38,373,"mei","Nulo",0.4,4.99,-0.39,1.47,29,"373",1,NA,20,NA,162,NA,4,45,31,9,18,1,NA,1,1,NA,NA,NA
"32","Vanderlei Farias da Silva","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2020/08/26/07181c4e061a2e4a3daef524908f563b_FORMATO.png",62121,38,284,"gol","Nulo",0,5.95,0,0.95,24,"284",NA,15,5,25,159,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,38,262,"zag","Provável",5.8,6.14,0.77,2.48,23,"Flamengo",1,NA,12,NA,63,7,4,25,31,3,8,NA,2,NA,1,1,NA,NA
"34","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,38,262,"ata","Nulo",0,6.52,0,2.32,28,"Flamengo",NA,NA,16,NA,113,NA,3,30,25,15,17,NA,2,2,2,NA,NA,NA
"35","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2020/02/27/0b1fa1ff46564d7ca161a86233bf84de_FORMATO.png",75295,38,285,"ata","Contundido",0,20.81,0,11.2,3,"285",NA,NA,5,NA,15,NA,NA,2,7,1,3,1,3,3,1,NA,NA,NA
"36","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2020/07/19/3d89c3ae8eb990263dc39c0fc17c42d8_FORMATO.png",70046,38,284,"lat","Nulo",0,7.58,0,2.51,14,"284",NA,NA,5,NA,115,4,3,21,13,2,4,NA,NA,NA,2,NA,NA,NA
"37","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,38,373,"zag","Provável",1.7,3,0.08,1.83,17,"373",NA,NA,8,NA,80,3,3,15,13,NA,2,NA,2,NA,NA,NA,NA,NA
"38","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,38,373,"zag","Nulo",1.8,3.66,-0.22,2.45,26,"373",NA,NA,30,NA,91,6,9,47,26,1,1,NA,NA,NA,2,NA,NA,NA
"39","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,38,262,"lat","Nulo",0,4.84,0,3.21,12,"Flamengo",NA,NA,8,NA,92,4,4,24,12,NA,1,NA,1,NA,1,NA,NA,NA
"40","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,38,373,"lat","Provável",1.6,6.85,-0.57,2.61,29,"373",NA,NA,15,NA,291,7,1,48,32,7,13,NA,NA,2,3,NA,NA,NA
"41","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,38,262,"ata","Nulo",0,4.59,0,0.71,19,"Flamengo",NA,NA,8,NA,42,NA,1,8,18,3,10,NA,NA,NA,1,NA,NA,NA
"42","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,38,284,"zag","Contundido",0,9.61,0,3.91,12,"284",1,NA,9,NA,58,5,2,34,9,NA,4,NA,NA,1,NA,NA,NA,NA
"43","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/02/27/e34cd8e0cbbfc1786815d823464d83e3_FORMATO.png",83433,38,285,"mei","Provável",3.3,12.39,0.04,5.07,33,"285",NA,NA,71,NA,182,NA,3,79,44,7,15,4,6,2,4,NA,NA,NA
"44","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png",83528,38,262,"zag","Nulo",0,5.1,0,2.26,12,"Flamengo",NA,NA,9,NA,56,1,1,20,15,2,3,NA,1,NA,NA,NA,NA,NA
"45","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2020/07/21/18411dbbf7fa68ca337d4cc0fba7b2d9_FORMATO.png",104257,38,262,"lat","Nulo",0,3.47,0,2.9,4,"Flamengo",NA,NA,7,NA,17,2,1,5,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"46","Luiz Adriano de Souza da Silva","luiz-adriano","Luiz Adriano","https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png",72772,38,275,"ata","Nulo",0,9.96,0,4.03,19,"275",NA,NA,17,NA,52,NA,2,11,18,5,6,NA,8,1,1,NA,NA,1
"47","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,38,285,"lat","Provável",7.3,11.05,0.81,3.81,26,"285",NA,NA,17,NA,268,12,4,59,55,2,7,1,NA,4,5,NA,NA,NA
"48","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,38,373,"lat","Nulo",0,5,0,2.27,32,"373",1,NA,35,NA,269,6,3,75,37,3,7,NA,NA,5,1,1,NA,NA
"49","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,38,275,"ata","Nulo",0,9.51,0,3.3,26,"275",NA,NA,23,NA,44,NA,1,12,21,6,17,NA,7,8,2,NA,NA,1
"50","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,38,262,"mei","Provável",2.4,9.39,-0.26,3.09,31,"Flamengo",NA,NA,117,NA,140,NA,7,59,68,9,17,NA,1,5,2,NA,NA,NA
"51","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,38,284,"ata","Nulo",0,9.45,0,4.16,22,"284",1,NA,22,NA,116,NA,6,14,26,8,17,NA,10,2,2,NA,NA,1
"52","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2020/03/09/54d3936a3f4591a9d700ba26b7fd9e91_FORMATO.png",38545,38,275,"zag","Nulo",0,6.36,0,2.99,11,"275",NA,NA,11,NA,38,4,4,24,13,NA,2,NA,NA,NA,NA,NA,NA,NA
"53","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,38,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,38,277,"ata","Nulo",0,7.17,0,3.15,23,"Santos",NA,NA,47,NA,202,NA,8,11,20,9,19,1,4,4,5,NA,NA,NA
"55","Mário Sérgio Santos Costa","marinho","Marinho","https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png",68952,38,277,"ata","Nulo",0,23.82,0,10.25,26,"Santos",NA,NA,120,NA,163,NA,4,24,33,26,35,3,17,22,6,NA,NA,NA
"56","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,38,277,"lat","Nulo",0,12.18,0,4.07,32,"Santos",NA,NA,37,NA,263,5,7,99,33,8,19,NA,2,2,1,NA,NA,NA
"57","Everson Felipe Marques Pires","everson","Everson","https://s.glbimg.com/es/sde/f/2020/09/10/782ebf600a14b7e47942a1fd4ed3bc5f_FORMATO.png",72294,38,282,"gol","Provável",6.2,9.35,1.5,2.73,25,"282",NA,23,3,29,113,8,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA
"58","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,38,293,"lat","Provável",4.2,8.71,0.35,2.25,18,"293",NA,NA,11,NA,105,8,4,14,11,NA,1,NA,NA,2,1,NA,NA,NA
"59","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/08/06/9d5025e7dec263206b72d3a08d034ef9_FORMATO.png",62086,38,277,"lat","Nulo",0,6.56,0,1.81,26,"Santos",NA,NA,24,NA,173,6,3,37,33,2,10,NA,NA,4,NA,NA,NA,NA
"60","Marcos Antônio Cândido Ferreira Júnior","marcos-junior","Marcos Júnior","https://s.glbimg.com/es/sde/f/2020/08/17/36ea552764f49b731d549f23f44aee4d_FORMATO.png",93893,38,267,"mei","Nulo",0,2.89,0,1.56,19,"267",NA,NA,18,NA,44,NA,1,28,15,NA,2,NA,NA,NA,1,NA,NA,NA
"61","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,38,293,"zag","Suspenso",0,5.43,0,3.04,28,"293",2,NA,24,NA,144,11,4,33,22,2,13,NA,2,NA,1,1,NA,NA
"62","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,38,293,"mei","Nulo",0,5.18,0,1.61,14,"293",NA,NA,7,NA,44,NA,3,14,10,1,2,NA,1,1,2,NA,NA,NA
"63","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2020/03/09/73ed5ab3cb9b56aecea70945f57d3adf_FORMATO.png",73974,38,277,"mei","Nulo",0,8.16,0,1.79,19,"Santos",2,NA,31,NA,84,NA,4,55,34,1,1,NA,NA,NA,1,NA,NA,NA
"64","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2020/02/28/4d9d7f15b47033ac09c8e32e9b963227_FORMATO.png",69040,38,277,"gol","Nulo",0,5.53,0,2.65,4,"Santos",NA,5,NA,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,38,267,"lat","Provável",1.9,6.38,-0.7,2.2,27,"267",1,NA,31,NA,150,8,6,54,48,2,1,NA,NA,4,1,NA,NA,NA
"66","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,38,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,38,293,"zag","Provável",8,6.61,1.24,2.6,13,"293",NA,NA,2,NA,30,6,2,12,9,NA,3,NA,NA,NA,NA,NA,NA,NA
"68","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2020/08/31/521385a7bf21af42afb472eabe1fbec0_FORMATO.png",70360,38,282,"ata","Provável",7.4,9.01,0.98,3.57,30,"282",NA,NA,24,NA,79,NA,2,14,20,14,11,1,8,2,3,NA,NA,1
"69","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,38,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Danilo Alves da Silva","danilo","Danilo","",107981,38,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/08/17/1f0c50b2e3b9d5732c27d1fe873c62b8_FORMATO.png",99881,38,267,"zag","Provável",18.5,9.72,1.83,3.92,19,"267",NA,NA,8,NA,48,6,2,33,14,3,5,NA,2,1,NA,NA,NA,NA
"72","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2020/03/09/981499da2df970e3aa062fabcbf2f745_FORMATO.png",79035,38,277,"zag","Provável",-0.2,3.07,0.39,0.68,11,"Santos",NA,NA,4,NA,35,1,1,11,9,NA,NA,NA,NA,1,NA,NA,NA,NA
"73","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,38,282,"tec","Provável",5.89,14.17,0.17,4.33,34,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Odair Marciano de Oliveira Filho","odair","Odair","",108745,38,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,38,267,"mei","Nulo",0,8.84,0,3.36,23,"267",NA,NA,50,NA,207,NA,4,52,24,11,14,NA,1,3,2,NA,NA,NA
"76","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/11/12/7baefdcac45915f2d98c0f57b44e3198_FORMATO.png",97898,38,294,"lat","Nulo",0,3.48,0,1.65,12,"Coritiba",NA,NA,14,NA,100,3,2,14,11,2,3,NA,NA,3,NA,NA,NA,NA
"77","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,38,293,"ata","Dúvida",8.7,7.79,0.63,4.31,30,"293",NA,NA,44,NA,103,NA,1,35,31,15,12,NA,7,7,4,NA,NA,NA
"78","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2020/08/17/bfaf7651c9572b3c95e4d731dadc3958_FORMATO.png",93787,38,267,"mei","Dúvida",8.5,7.35,0.83,3.41,24,"267",1,NA,39,NA,95,NA,6,76,51,8,7,NA,1,NA,3,NA,NA,NA
"79","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,38,277,"zag","Nulo",0,6.76,0,2.85,28,"Santos",1,NA,28,NA,140,6,3,49,13,3,6,NA,NA,NA,2,NA,NA,NA
"80","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,38,293,"gol","Nulo",0,9.01,0,5.35,4,"293",NA,5,NA,3,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/10/21/a61792c7a74e5f1d704faca06e9143e6_FORMATO.png",36943,38,293,"tec","Provável",8.61,9.73,1.11,3.51,32,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
